"cluster_id","sector","issue_type","district_code","severity","route_entity","hitl_required","public_safety","report_count","centroid_lat","centroid_lon","created_at_reference","cluster_description","canonical_report_id","notes"
"CLU-B001-001","ROADS","POTHOLE","BEI_HAMRA","MEDIUM","MUN","false","false","4","33.889700","35.480000","2026-05-10T14:00:00Z","Hamra Street pothole near Virgin Megastore — 4 reports in 3 languages + Arabizi","RPT-B001-001","Baseline stress test: keyword router should detect this but miss cross-language duplicates"
"CLU-B001-002","WATER","WATER_CUT","BEI_ACHRAFIEH","HIGH","BMLWE","false","false","5","33.889500","35.509000","2026-05-08T09:00:00Z","3-day water cut in Achrafieh — 4 duplicates + 1 RELATED from adjacent district","RPT-B001-005","Tests cross-district RELATED detection; RELATED report has different issue_type (LOW_PRESSURE)"
"CLU-B001-003","ELECTRICITY","EXPOSED_WIRE","BEI_BOURJHAMMOUD","CRITICAL","EDL","true","true","4","33.895500","35.550900","2026-05-12T11:00:00Z","Exposed live wire Armenia St Bourj Hammoud — forced HITL; 4 duplicates + 1 NOISE hard negative","RPT-B001-009","NOISE R012 tests whether model confuses street light outage with exposed wire in same area"
"CLU-B001-004","WASTE","GARBAGE_NOT_COLLECTED","BEI_VERDUN","MEDIUM","MUN","false","false","4","33.881000","35.490500","2026-05-09T16:00:00Z","3-day garbage non-collection Verdun — 4 reports in all 4 languages","RPT-B001-013","All 4 languages: FR original + AR + Arabizi + EN; tests language-agnostic dedup"
"CLU-B001-005","ROADS","ROAD_COLLAPSE","BEI_RAOUCHE","CRITICAL","CDR","true","true","5","33.894400","35.470000","2026-05-13T08:00:00Z","Raouche Corniche road collapse near Pigeon Rocks — 4 duplicates + 1 RELATED (road blocked downstream)","RPT-B001-017","CDR routing (national road). RELATED R021 tests different issue_type within same incident cascade"
"CLU-B001-006","WATER","SEWAGE_OVERFLOW","BEI_RASBEIRUT","CRITICAL","BMLWE","true","true","4","33.894600","35.477100","2026-05-11T13:00:00Z","Sewage overflow Bliss Street Ras Beirut — CRITICAL water + public safety; 4 duplicates","RPT-B001-022","Baseline stress test: CRITICAL severity + public_safety=true; tests priority ranking at cluster level"
"CLU-B001-007","FLOODING","ROAD_FLOODED","BEI_GEMMAYZE","HIGH","CD","false","true","4","33.887900","35.515800","2026-05-14T17:00:00Z","Gemmayze main street flooding after rain — Civil Defense routing; 4 duplicates","RPT-B001-026","Tests CD routing vs MUN routing decision (active flooding vs drainage maintenance)"
"CLU-B001-008","SAFETY","STRUCTURAL_COLLAPSE","BEI_MARMIKHAEL","HIGH","CD","true","true","4","33.886300","35.522500","2026-05-07T10:00:00Z","Structural cracks in old building Mar Mikhael — forced HITL; 4 duplicates in 4 languages","RPT-B001-030","HITL=true per SAFETY sector policy; tests explanation grounding (safety regulations)"
"CLU-B001-009","ELECTRICITY","POWER_OUTAGE","BEI_MAZRAA","HIGH","EDL","true","false","4","33.878700","35.494500","2026-05-15T22:00:00Z","Overnight power outage Mazraa — forced HITL; 4 duplicates; public_safety=false (no exposed wire)","RPT-B001-034","Contrasts with C003: same ELECTRICITY sector but different issue_type; HITL=true but public_safety=false"
"CLU-B001-010","WASTE","ILLEGAL_DUMP","BEI_BADARO","HIGH","MOE","false","false","4","33.879500","35.511400","2026-05-06T08:00:00Z","Illegal construction waste dump Badaro vacant lot — MOE routing; 4 duplicates + 1 NOISE hard negative","RPT-B001-038","MOE routing (not MUN); NOISE R042 tests damaged bin vs illegal dump confusion in same area"
"CLU-B001-011","FLOODING","BLOCKED_DRAIN","BEI_SANAYEH","MEDIUM","MUN","false","false","3","33.883900","35.488200","2026-05-10T11:00:00Z","Blocked drain Sanayeh — 3 duplicates; tests FLOODING/MEDIUM vs FLOODING/HIGH routing split","RPT-B001-043","MUN routing (drainage maintenance) vs CD routing (active flooding) — tests severity-dependent routing"
"CLU-B001-012","ROADS","POTHOLE","BEI_DOWNTOWN","HIGH","MUN","false","false","4","33.888800","35.502600","2026-05-12T15:00:00Z","Large deep pothole downtown ring road near Grand Serail — HIGH severity; 4 duplicates + 1 NOISE hard negative","RPT-B001-046","Contrasts with C001: same issue_type POTHOLE but different severity (HIGH vs MEDIUM); tests priority ranking"
"CLU-B001-013","SAFETY","FIRE","BEI_HAMRA","CRITICAL","CD","true","true","3","33.897000","35.485100","2026-05-16T18:30:00Z","Building fire in Hamra near Al Maarad — Arabizi panic shorthand plus French-mixed duplicate; forced HITL","RPT-B001-053","Stress-lab-backed SAFETY/FIRE cluster; tests high-risk Arabizi terms nnar/7ariki/5tr and CD routing"
"CLU-B001-014","WASTE","GARBAGE_NOT_COLLECTED","BEI_VERDUN","MEDIUM","MUN","false","false","3","33.881000","35.490500","2026-05-16T09:15:00Z","Uncollected garbage and overflowing bins in Verdun — Arabizi and French-mixed duplicate reports","RPT-B001-057","Stress-lab-backed WASTE cluster; tests garbage vs overflowing-bin wording under same municipal route"
"CLU-B001-015","FLOODING","BLOCKED_DRAIN","BEI_RASBEIRUT","HIGH","MUN","false","true","4","33.901800","35.487200","2026-05-16T13:20:00Z","Blocked drain near Makhoul/Ras Beirut causing street flooding — Arabizi variants plus RELATED road-flooding effect","RPT-B001-061","Stress-lab-backed FLOODING cluster; tests blocked-drain vs road-flooded related effect and panic shorthand"
CLU-B002-001,ROADS,POTHOLE,BEI_ACHRAFIEH,HIGH,CDR,false,false,2,33.8938,35.5117,RPT-B001-066,"Persistent large pothole on Rue Armenienne, Achrafieh — 2 arabizi reports; tire-damage risk",RPT-B001-066,Batch 002 ROADS cluster; 7ufra token coverage
CLU-B002-002,WATER,WATER_CUT,BEI_TARIK_JDIDE,HIGH,BWE,false,true,2,33.8813,35.4985,RPT-B001-069,"72-hour water cut, Khandaq el Ghamik / Tarik Jdide — community-scale impact; miye 2at3a",RPT-B001-069,Batch 002 WATER cluster; miye 2at3a + mat3a token coverage
CLU-B002-003,ELECTRICITY,POWER_OUTAGE,BEI_HAMRA,MEDIUM,EDL,false,false,2,33.8970,35.4849,RPT-B001-072,"Unscheduled power outage, Makdissi / Hamra — kahraba mat3a + moulid kharban; EDL no-schedule",RPT-B001-072,Batch 002 ELECTRICITY cluster; kahraba mat3a token coverage
