candidate_id,municipality_id,municipality_key,source_family,candidate_url,evidence_source_url,evidence_summary,trust_level,status,discovered_at,next_action,notes,extract_id,source_url,extraction_status,source_confidence,review_required,extracted_contacts,complaint_or_service_workflow,service_scope,incident_or_resolution_signals,promotion_target,privacy_notes,extracted_at
MSC-001,52449,tripoli,official_municipal_website,https://tripoli.gov.lb/,https://tripoli.gov.lb/,"Official Tripoli municipal website. Homepage exposes inquiry links for decisions, transactions, complaint inquiry, submit complaint, and objection to municipality.",high,confirmed,2026-05-24,extract_contact_and_workflow,Promote website/contact/process fields after page-level capture.,MSE-001,https://tripoli.gov.lb/,extracted,high,false,official website; complaint inquiry; transaction inquiry; submit complaint; objection to municipality; municipal council; procurement; announcements,"Website has complaint submission, complaint inquiry, objection, transaction inquiry, and decision-search links.","Municipal administration, official transactions, municipal council, procurement, announcements, citizen services",Official announcements can seed municipal incident/event extraction; homepage includes 2026 announcement/news items.,municipality_profile;complaint_process;source_target,institutional source only; no citizen data stored,2026-05-25
MSC-002,52449,tripoli,official_complaint_process,https://tripoli.gov.lb/archives/6761,https://tripoli.gov.lb/archives/6761,"Tripoli municipal notice gives a cracked-building hotline, WhatsApp use, reporting hours, required address/property/photo details, and follow-up by municipal inspection.",high,confirmed,2026-05-24,normalize_complaint_process,Sector-specific safety/building complaint process; should become an event/process fact and eval guard.,MSE-002,https://tripoli.gov.lb/archives/6761,extracted,high,false,cracked-building hotline 81324533; call and WhatsApp; reporting hours 08:00-17:00; photos/videos accepted 24/24,"Report cracks/structural defects with cadastral/property number, clear address, and photos of columns, beams, and ceilings. Municipality follows up by inspection and informs residents of inspection results.",Safety/building hazard workflow for Tripoli municipality,Strong process evidence for unsafe/cracked buildings; suitable for safety routing guard and eval cases.,complaint_process;normalized_event_seed;eval_guard,institutional notice; no citizen data stored,2026-05-25
MSC-003,64560,zahle,official_municipal_website,https://zahle.gov.lb/about-municipality/,https://zahle.gov.lb/about-municipality/,"Zahle municipal website describes municipal role, location, service departments, and official municipal news including lighting, warnings, and emergency-readiness posts.",high,confirmed,2026-05-24,extract_contact_workflow_and_recent_incidents,Use official posts as high-trust incident/resolution evidence when they identify action and date.,MSE-003,https://zahle.gov.lb/about-municipality/,extracted,high,false,police hotline +961 08 800 252; e-services; report issue; we listen; social links; location link,"Website exposes Report an Issue and We Listen entry points, e-services, police hotline, and municipal news/publications.","Urban planning, public safety, waste management, cultural initiatives, community engagement, economic development","Official 2026 city-news items include municipal lighting work, statistics, warnings, and emergency-readiness content.",municipality_profile;complaint_process;incident_candidates,institutional source only; no citizen data stored,2026-05-25
MSC-004,51603,jounieh,municipal_service_portal,https://baldty.com/,https://baldty.com/,"Jounieh portal presents citizen services, request submission, request tracking, forms/documents, payment, contact email, and emergency numbers.",medium,needs_review,2026-05-24,verify_official_ownership_then_extract,Domain is not gov.lb; verify municipal ownership before promoting.,MSE-004,https://baldty.com/,extracted,medium,true,portal contact channels; request submission; request tracking; forms/documents; payment; emergency numbers,"Portal appears to support request submission and request tracking for Jounieh, but domain ownership requires verification.","Municipal services, forms, documents, payment, requests, citizen portal",Potential request lifecycle vocabulary source if ownership is verified.,complaint_process_candidate;municipality_profile_candidate,institutional portal only; no citizen request data stored,2026-05-25
MSC-005,59187,saida,official_municipal_app,https://appadvice.com/app/saida-municipality-d8-a8-d9-84-d8-af-d9-8a-d8-a9-d8-b5-d9-8a-d8-af-d8-a7/891081482,https://appadvice.com/app/saida-municipality-d8-a8-d9-84-d8-af-d9-8a-d8-a9-d8-b5-d9-8a-d8-af-d8-a7/891081482,"Saida Municipality app listing says the official mobile app enables complaints and suggestions, official website access, news, and city guide features.",medium,needs_review,2026-05-24,verify_app_store_owner_and_current_availability,Useful workflow lead but app listing is an aggregator mirror.,MSE-005,https://appadvice.com/app/saida-municipality-d8-a8-d9-84-d8-af-d9-8a-d8-a9-d8-b5-d9-8a-d8-af-d8-a7/891081482,extracted,medium,true,mobile app listing by Open Technology; App Store mirror; last updated 2017-07-12,"App listing says the official Saida app supports complaints and suggestions, official website access, news, and city guide features.","Municipal mobile app workflow, complaints/suggestions, official news, city guide",Workflow candidate only because listing is old and mirrored by AppAdvice.,complaint_process_candidate;app_workflow_candidate,aggregated app listing; no user reviews or personal data stored,2026-05-25
MSC-006,59187,saida,official_municipal_website_candidate,https://www.saida.gov.lb/,https://opentechcom.com/workDetail/ar/2,Open Technology project page identifies www.saida.gov.lb as the official website for Saida Municipality.,medium,needs_review,2026-05-24,verify_direct_site_access,Vendor evidence only; direct site should be checked before promotion.,MSE-006,https://www.saida.gov.lb/,extracted,medium,true,candidate official website URL from OpenTech project page,OpenTech project page identifies www.saida.gov.lb as the official website for Saida Municipality.,Municipal website candidate,No direct site extraction yet; vendor page is supporting evidence only.,municipality_profile_candidate,vendor/institutional source only,2026-05-25
MSC-007,,aley,official_municipal_website,https://aley.gov.lb/,https://aley.gov.lb/,"Aley official municipal website publishes municipal news and refers to the president, vice president, municipal council members, and municipal departments.",high,confirmed,2026-05-24,extract_contact_workflow_and_recent_incidents,No DGLAC municipality row found; source is still usable for seed-batch research.,MSE-007,https://aley.gov.lb/,extracted,high,false,official website; suggestions link; contact link; transactions; projects; news; announcements,"Official Aley site has suggestions, contact, transactions, projects, news, and municipal communication language.","Municipal administration, projects, transactions, news, public communication",Official news includes road maintenance and municipal notices; good candidate for incident extraction.,municipality_profile;complaint_process_candidate;incident_candidates,institutional source only; no citizen data stored,2026-05-25
MSC-008,,aley,official_municipal_website_en,https://aley.gov.lb/en/home,https://aley.gov.lb/en/home,"English Aley municipal website states the site supports citizen participation and continuous communication, and includes municipal projects/news.",high,confirmed,2026-05-24,extract_public_service_and_project_signals,Use as English-language corroboration for official Aley site.,MSE-008,https://aley.gov.lb/en/home,extracted,high,false,English official site; municipal communication/project/news pages,English site corroborates Aley official web presence and public-communication framing.,Municipal administration and public communication,Use for English aliases and search expansion.,municipality_profile,institutional source only; no citizen data stored,2026-05-25
MSC-009,,chekka,official_social_page,https://www.facebook.com/MunicipalityOfChekka/,https://www.govserv.org/LB/Chekka/2217155818562814/Municipality-of-Chekka---%D8%A8%D9%84%D8%AF%D9%8A%D8%A9-%D8%B4%D9%83%D8%A7,"Govserv mirror labels the Chekka page as the official page for Chekka Municipality, with address, opening hours, phone, and Facebook website link.",medium,needs_review,2026-05-24,verify_facebook_page_and_extract_official_posts,Mirror evidence only; confirm direct Facebook page ownership before promotion.,MSE-009,https://www.facebook.com/MunicipalityOfChekka/,extracted,medium,true,"Govserv mirror lists Baladieh Street address, phone +96126543440, opening hours, and Facebook link",Mirror says it is the official Chekka municipality page; direct Facebook page ownership still needs verification.,"Municipal social posts, local safety/order notices, municipal events",Mirror includes a 2025 municipal police traffic-enforcement post and other official-looking posts.,official_social_candidate;incident_candidates,public social mirror; do not store citizen comments/handles,2026-05-25
MSC-010,,choueifat,official_social_page,https://www.facebook.com/choueifatmunicipality/,https://www.govserv.org/LB/Choueifat/161098557253965/%D8%A8%D9%84%D8%AF%D9%8A%D8%A9-%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D8%B4%D9%88%D9%8A%D9%81%D8%A7%D8%AA-Choueifat-Municipality,"Govserv mirror identifies a Choueifat Municipality page with municipal-center address, phone, recent official posts, and Facebook website link.",medium,needs_review,2026-05-24,verify_facebook_page_and_build_safety_issue_leads,Historic official domains need separate verification; use mirror as discovery.,MSE-010,https://www.facebook.com/choueifatmunicipality/,extracted,medium,true,"Govserv mirror lists municipal-center address, phone +9615433412, Facebook link",Mirror presents Choueifat municipal posts and contact details; direct Facebook/official-domain verification required.,"Municipal social notices, waste cleanup, public order, generator regulation, safety works","Useful incident candidates: waste cleanup, removal of abandoned vehicles, public-property encroachment, private generator regulation, wall maintenance.",official_social_candidate;incident_candidates;eval_candidates,public social mirror; no citizen comments/handles stored,2026-05-25
