task_id,strategy,source_ids,scope,query,expected_yield,promotion_rule,status,notes
CIS-SCALE-001,nna_governorate_keyword_bulk,SRC-040,Beirut,"site:nna-leb.gov.lb/en (""Beirut"" OR ""بيروت"") (municipality OR waste OR water OR road OR electricity OR drainage OR repaired OR restored)",5-15 candidate articles,Normalize only if article names public entity/action/status/date; set HITL for safety/conflict/ambiguous road-owner cases.,sweep_executed_batch10,Executed initial NNA sweep. Promoted Beirut Al-Rihab flooding as CIE-000059; kept Clean Your Country as context-only.
CIS-SCALE-002,nna_governorate_keyword_bulk,SRC-040,Mount Lebanon,"site:nna-leb.gov.lb/en (""Mount Lebanon"" OR Jounieh OR Metn OR Kesrouan OR Chouf) (municipality OR drainage OR flood OR road OR waste OR repaired OR restored)",5-15 candidate articles,Prefer official ministry/municipality statements; road/highway drainage requires MPWT/MUN ambiguity review.,sweep_executed_batch10,Executed initial NNA sweep. Promoted Jbeil-Nahr Ibrahim paving and Dbayeh flood-preparedness as CIE-000060/CIE-000061.
CIS-SCALE-003,nna_governorate_keyword_bulk,SRC-040,Aakkar,site:nna-leb.gov.lb/en (Akkar OR Aakkar OR Halba OR Qoubayat OR Akroum) (bridge OR road OR water OR waste OR electricity OR repaired OR restored),5-15 candidate articles,Use news_followup/official_news only for public assets and official actor statements; conflict damage always HITL.,sweep_executed_batch10,Executed initial NNA sweep. Existing Akkar bridge already promoted as CIE-000050; FAO El-Bared canal kept candidate-only pending canonical owner.
CIS-SCALE-004,nna_governorate_keyword_bulk,SRC-040,North,site:nna-leb.gov.lb/en (Tripoli OR Koura OR Zgharta OR Bcharri OR Batroun) (municipality OR water OR waste OR road OR OGERO OR EDL OR repaired OR restored),5-15 candidate articles,Deduplicate against existing Tripoli-heavy NNA events before normalizing.,sweep_executed_batch10,Executed initial NNA sweep. Promoted Batroun OGERO support and Kousba-Abu Ali hydropower/NLWE dependency as CIE-000062/CIE-000063.
CIS-SCALE-005,nna_governorate_keyword_bulk,SRC-040,South,site:nna-leb.gov.lb/en (Saida OR Sidon OR Sour OR Tyre OR Zahrani) (municipality OR waste OR water OR electricity OR road OR repaired OR restored),5-15 candidate articles,Separate municipal waste/roads from SLWE/EDL/MPWT infrastructure; conflict damage HITL.,sweep_executed_batch10,Executed initial NNA sweep. SLWE South repairs were already promoted as CIE-000039; no duplicate added.
CIS-SCALE-006,nna_governorate_keyword_bulk,SRC-040,Nabatiye,site:nna-leb.gov.lb/en (Nabatieh OR Nabatiye OR Marjayoun OR Hasbaya OR Bint Jbeil) (water OR electricity OR road OR municipality OR repaired OR restored),5-15 candidate articles,Use EDL/SLWE/MPWT actor mention for routing; conflict damage and emergency work HITL.,sweep_executed_batch10,Executed initial NNA sweep. Promoted Hula EDL power-line repair as CIE-000065; Nabatieh EDL full-repair duplicate already covered by CIE-000056.
CIS-SCALE-007,nna_governorate_keyword_bulk,SRC-040,Beqaa,site:nna-leb.gov.lb/en (Bekaa OR Zahle OR Chtaura OR Rashaya OR West Bekaa) (water OR electricity OR road OR waste OR repaired OR restored),5-15 candidate articles,"Route water by BWE, electricity by EDL, main roads by MPWT; municipal issues to MUN with HITL if source is news only.",sweep_executed_batch10,Executed initial NNA sweep. Zahle/Dahr al-Baidar item kept candidate-only because CIE-000038 already covers the repair priority.
CIS-SCALE-008,nna_governorate_keyword_bulk,SRC-040,Baalbek-Hermel,site:nna-leb.gov.lb/en (Baalbek OR Baalbeck OR Hermel OR Labweh) (electricity OR water OR road OR repaired OR restored),5-15 candidate articles,Prefer official EDL/MPWT/MEW statements; conflict damage HITL.,sweep_executed_batch10,Executed initial NNA sweep. Promoted Hermel Civil Defense fuel-station fire response as CIE-000064.
CIS-SCALE-009,lorient_t1_p0_pass,SRC-041,Beirut;Tripoli;Zahle;Jounieh;Saida,site:today.lorientlejour.com (Beirut OR Tripoli OR Zahle OR Jounieh OR Saida OR Sidon) (municipality OR waste OR water OR road OR electricity OR Ogero OR repaired OR restored),10-25 candidate articles,Use as medium-confidence news_followup unless direct official statement is cited; normalize P0 cities first.,sweep_executed_batch11,"Executed T1 P0 L'Orient sweep. Promoted BMLWE temporary water restoration, Tripoli cleanup, Saida collection disruption, Saida landfill fire, and Bekaa/BWE water-power crisis; duplicates and context-only items recorded in findings."
CIS-SCALE-010,civic_tracker_access_check,SRC-038;SRC-046;SRC-110,Baladi Map;Baldati;Trash Crowdmap,"Verify public terms/API/export path; if allowed, import issue/status/location/date with no user identity.",50-100 structured issue/status candidates if export is permitted,Do not bulk export until terms are verified; normalize as civic_tracker_status with medium confidence and coarse public location.,access_checked_batch12_bulk_blocked,"Civic tracker access checked. Baladi Map/Baldati/Baladiat are valuable for manual leads and status vocabulary, but no bulk import is allowed until terms/API/export rights are verified; Trash Crowdmap is historical/context-only."
CIS-SCALE-011,impact_open_data_context,SRC-092;SRC-093;SRC-094;SRC-095,IMPACT;Central Inspection;Open Data Lebanon,Inventory public datasets and complaint pathways relevant to municipalities/ministry services; collect only aggregate/context unless case statuses are public and safe.,Context/risk layers and complaint-process facts; low direct CIE yield unless status feeds exist,Context only unless dataset is official/current and has explicit event or public complaint-status fields.,inventory_executed_batch13_context_only,IMPACT/Central Inspection/Open Data Lebanon inventoried. Added missing CIS-161 target for SRC-093. Findings are context/process only; no CIE events promoted because no public complaint-status feed was verified.
CIS-SCALE-012,relaxed_t2_news_followup,SRC-040;SRC-041;SRC-042;SRC-084;SRC-085,T2 official-channel-gap municipalities,"For municipalities with no official channel, accept news_followup only when article names entity/action/status/date and location is coarse public asset.",High coverage lift for 692 T2 rows with controlled confidence,"Medium confidence max; review_required/HITL for safety, public-health, conflict, contractor, or road-owner ambiguity.",expanded_batch15_governorate_depth,"Relaxed T2 news-followup expanded with four additional governorate-depth events: Qammoua Aakkar snow road, Deir Ammar waste-dump fires, Baalbek-Hermel electricity/water inequity, and Sin el Fil MPWT drainage response. Continue next with Nabatiye/Beqaa T2 utility and road events."
