channel_id,entity_id,complaint_type,channel_type,accepted,endpoint,required_fields,ticket_reference_policy,emergency_override,source_ids,confidence,notes
BMLWE-FAULT-1713,BMLWE,faults_or_leaks,phone,yes,1713,location_and_problem_recommended;official_required_fields_not_published,phone_reference_not_published,call_125_or_112_if_life_safety,SRC-BMLWE-FAQ;SRC-BMLWE-CONTACT,high,Official FAQ says faults and leaks can be reported by call-center hotline 1713.
BMLWE-FAULT-TICKET,BMLWE,faults_or_leaks,online_ticket,yes,https://ebml.gov.lb/user_ticket.php?lang=en,login_required_fields_not_public,ticketing_system_available_but_reference_policy_not_public,call_125_or_112_if_life_safety,SRC-BMLWE-FAQ;SRC-BMLWE-TICKET,medium,Official navigation and FAQ reference a website or app ticketing system. Browser review redirects unauthenticated users to MY EBML login so ticket fields and reference-number behavior are not public.
BMLWE-SERVICE-FORMS,BMLWE,subscriptions_meter_transfer_cancellation,online_form_or_app,yes,https://ebml.gov.lb/forms.php?lang=en,see_required_fields_csv,not_applicable,not_applicable,SRC-BMLWE-FORMS;SRC-BMLWE-FAQ,high,FAQ says forms can be filled in an EBML department or through website Forms section or mobile app.
BMLWE-APP,BMLWE,account_billing_alerts_and_fault_ticket,official_mobile_app,yes,My EBML Android/iOS app,app_account_or_ticket_details_not_verified_in_app,ticketing_system_available_but_reference_policy_not_published,call_125_or_112_if_life_safety,SRC-BMLWE-GPLAY;SRC-BMLWE-APPSTORE;SRC-BMLWE-FAQ,medium_high,App-store listings describe account management online bill payment news alerts ticketing water centers/POS locations and bids; in-app ticket fields still need verification.
BMLWE-WALKIN-DEPTS,BMLWE,service_requests_and_forms,walk_in,yes,department_offices,see_required_fields_csv,not_applicable,not_for_emergencies,SRC-BMLWE-CONTACT;SRC-BMLWE-FAQ,high,Official contact page lists department offices and FAQ points applicants to EBML departments.
BMLWE-GENERAL-MESSAGE,BMLWE,general_message,online_contact_form,yes,https://ebml.gov.lb/contactus.php?lang=en,contact_information_and_message,response_reference_not_published,not_for_emergencies,SRC-BMLWE-CONTACT,medium,Contact page has a send-message flow but does not explicitly describe it as a complaint channel.
BMLWE-OMT-PAYMENT,BMLWE,bill_payment,partner_agent,yes,OMT_locations,subscription_number;subscription_type;region;town,not_applicable,not_for_complaints,SRC-BMLWE-OMT,medium_high,Partner page says EBML annual water subscription dues can be settled through OMT locations and lists payment details.
NLWE-COMPLAINT-1712,NLWE,private_or_general_complaint,phone,yes,1712,subscriber_name;subscription_number;problem;address,public_ticket_number_not_published,call_125_or_112_if_life_safety,SRC-NLWE-CUSTOMER-SERVICE,high,Official customer-service page lists exact complaint fields and complaint phone 1712.
NLWE-CONTACT-FORM,NLWE,general_message,online_contact_form,yes,https://eeln.gov.lb/en/contact/,name;email;phone;message,contact_form_reference_not_published,not_for_emergencies,SRC-NLWE-CONTACT,high,Official contact page lists form fields and says messages are answered within 24 hours.
NLWE-SERVICE-PHONE,NLWE,service_request,phone,yes,06-430075,request_type_and_documents_by_workflow,not_applicable,not_for_emergencies,SRC-NLWE-SERVICE-REQUESTS,high,Official service-request page says to call 06-430075 for service requests.
