service_id,entity_id,service_category,complaint_types,primary_or_secondary,accepted_when,not_accepted_when,source_ids,confidence,notes
SVC-BMLWE-POTABLE,BMLWE,potable_water,water_outage;dirty_water;low_pressure;public_pipe_leak,primary,complaint is in Beirut or Mount Lebanon and concerns public water supply or public network,private_building_plumbing_or_internal_tank_issue,SRC-BMLWE-ABOUT;SRC-BMLWE-FAQ,high,Official about page supports potable-water distribution and network responsibilities.
SVC-BMLWE-WASTEWATER,BMLWE,wastewater,sewage_overflow_linked_to_water_network,secondary,complaint evidence points to wastewater collection treatment or disposal within BMLWE area,local_storm_drain_or_road_drainage_without_sewer_evidence,SRC-BMLWE-ABOUT,medium_high,Official about page includes wastewater refining and collection treatment disposal in approved plans.
SVC-BMLWE-IRRIGATION,BMLWE,irrigation_water,irrigation_water_issue,secondary,complaint is within BMLWE service scope and no LRA Litani asset evidence exists,LRA_or_Litani_project_asset,SRC-BMLWE-ABOUT;SRC-LRA-ORGANIGRAM,medium,Use HITL for irrigation asset ownership ambiguity.
SVC-BMLWE-CUSTOMER,BMLWE,customer_service,meter_billing_dispute;new_water_connection;transfer;cancel_subscription,primary,subscriber service request or bill issue in BMLWE area,complaint belongs to another water establishment by location,SRC-BMLWE-FORMS;SRC-BMLWE-CONTACT;SRC-BMLWE-FAQ,high,Official forms and contact pages support customer-service handling.
SVC-NLWE-POTABLE,NLWE,potable_water,water_outage;dirty_water;low_pressure;public_pipe_leak,primary,complaint is in North or Aakkar runtime scope and concerns public water service,private_building_plumbing_or_private_well,SRC-NLWE-ABOUT;SRC-NLWE-CUSTOMER-SERVICE,high,Official about page supports safe sustainable water service and customer-service complaint intake.
SVC-NLWE-SANITATION,NLWE,sanitation_and_drainage,sewage_services;public_sewage_overflow,secondary,complaint concerns sanitation drainage or sewerage within NLWE service investment scope,storm_drain_or_rescue_emergency_without_network_evidence,SRC-NLWE-ABOUT,medium,Official mission mentions expanding drainage irrigation and sanitation service scope.
SVC-NLWE-CUSTOMER,NLWE,customer_service,meter_billing_dispute;service_request;new_connection;transfer;suspend;cancel,primary,subscriber request or complaint can provide subscriber name subscription number problem and address,non-subscriber_public_emergency_without_location,SRC-NLWE-CUSTOMER-SERVICE;SRC-NLWE-SERVICE-REQUESTS;SRC-NLWE-ESERVICES,high,Official pages publish complaint fields service-request process and e-services.
SVC-SLWE-POTABLE,SLWE,potable_water,water_outage;dirty_water;low_pressure;public_pipe_leak,primary,complaint is in South or Nabatieh and concerns drinking-water distribution,private_plumbing_or_LRA_irrigation_asset,SRC-SLWE-ABOUT;SRC-SLWE-CUSTOMER-SERVICE,high,Official overview supports drinking-water distribution projects and hotline-based fault reporting.
SVC-SLWE-WASTEWATER,SLWE,wastewater,sewage_overflow_public;wastewater_service,secondary,complaint evidence points to wastewater collection treatment or disposal within SLWE area,storm_drain_or_non-sewer_flooding,SRC-SLWE-ABOUT,high,Official overview lists wastewater collection treatment and disposal tasks.
SVC-SLWE-IRRIGATION-EXCEPTION,SLWE,irrigation_boundary,irrigation_water_issue,boundary,complaint may involve South irrigation assets,route directly to SLWE without checking LRA exception,SRC-SLWE-ABOUT;SRC-LRA-ORGANIGRAM,high,SLWE source explicitly states irrigation exception assigned to LRA.
SVC-SLWE-CUSTOMER,SLWE,customer_service,billing;fault_report;district_followup,primary,subscriber needs hotline or district office follow-up,online_ticket_or_email_not_published,SRC-SLWE-CONTACT;SRC-SLWE-CUSTOMER-SERVICE;SRC-SLWE-BILLING,high,Official pages publish hotline district phones and bill inquiry page.
SVC-BWE-POTABLE,BWE,potable_water,water_outage;dirty_water;low_pressure;public_pipe_leak,primary,complaint is in Bekaa or Baalbek-Hermel and concerns public drinking water service,private_plumbing_or_private_well,SRC-BWE-ABOUT;SRC-BWE-WATER-QUALITY,high,Official about and water-quality pages support drinking-water service and monitoring.
SVC-BWE-IRRIGATION,BWE,irrigation_water,irrigation_water_issue,primary_or_boundary,complaint is ordinary BWE irrigation service and no LRA project evidence exists,Litani_or_collective_network_asset_unclear,SRC-BWE-ABOUT;SRC-LRA-BASIN,medium_high,BWE mandate includes irrigation but LRA boundary can override.
SVC-BWE-WASTEWATER,BWE,wastewater,wastewater_service;public_sewage_overflow,secondary,complaint concerns wastewater collection or treatment in BWE area,local_storm_drain_or_private_building_issue,SRC-BWE-ABOUT,high,Official about page includes wastewater collection and treatment.
SVC-BWE-CUSTOMER,BWE,customer_service,invoice_inquiry;new_subscription;water_testing;repair;maintenance,primary,subscriber needs office or branch handling in BWE area,request belongs to different water establishment by location,SRC-BWE-CUSTOMER-SERVICE;SRC-BWE-FAQ;SRC-BWE-CONTACT,high,Official customer-service and FAQ pages list invoice office service and branch contacts.
SVC-LRA-BOUNDARY,LRA,irrigation_and_basin_boundary,irrigation_asset;river_pollution;collective_network;well_licensing,boundary,complaint references Litani basin project sections collective irrigation networks or LRA-specific assets,ordinary tap outage_without_LRA_asset_evidence,SRC-LRA-ORGANIGRAM;SRC-LRA-BASIN,medium_high,LRA rows are boundary support rather than default citizen intake for ordinary water complaints.
