issue_type,severity,canonical_key,variant,current_value,expected_or_note,source
orphan_sector_variant,LOW,ROADS/pothole,7ofra bel tari2,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/pothole,jora bel tari2,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/pothole,7ofra kbire,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/pothole,7ofra 3ami2a,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/pothole,jora 3ami2a,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/pothole,7ofra nos l tari2,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/pothole,jora nos l tari2,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/pothole,7ofra bla ta7zir,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/pothole,ma fi isharet ta7zir 3al 7ofra,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/pothole,jora kbire,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_collapse,tari2 nharit,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_collapse,l tari2 nhar,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_collapse,tari2 3am tenhar,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_collapse,l tari2 habatit,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_collapse,fi habout bel tari2,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_collapse,l tari2 3am tefta7 men ta7t,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_collapse,joz2 men l tari2 nkasar,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_collapse,asfalt hbat,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_blocked,tari2 ma2tou3a,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_blocked,tari2 masdoud,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_blocked,darb ma2tou3,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_blocked,fi shi sedd l tari2,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_blocked,ma fi majel nmro2,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_blocked,ma fi tari2 y3adde,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_blocked,l seyyarat ma 3am te2dar temro2,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
orphan_sector_variant,LOW,ROADS/road_blocked,sekke masdoude,not in term_metadata,Add term_metadata entry or remove from sector list,sectors_inline
