candidate_id,arabic_script,english,sector,issue_type,category,variants,tier_notes,usage_notes,source_type,source_reference,dialect_region,confidence_level,false_friend_risk,risk_level,review_status,reviewer_id,decision,promotion_target,created_at,updated_at
ARZ-CAND-0001,طريق,road,ROADS,ALL,noun_infra,tari2;tari';tare2;darb;sekke,A/B/C/C/B,"tari2 most common; darb = path, sekke = track/lane",PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,HIGH,true,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0002,حفرة,pothole,ROADS,POTHOLE,noun_damage,7ufra;7ofra;7afra;bir,A/B/C/D,7ufra standard; bir = pit (can also mean well),PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,HIGH,false,LOW,DEFERRED,,KEEP_CANDIDATE,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0003,تالف,damaged,ROADS,ROAD_DAMAGE,adj_damage,ta3eb;ta3bane;kharban;meksour;nkassar;rdeye,A/A/B/B/C/D,ta3eb most natural Lebanese; kharban = broken,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0004,انهيار,collapse,ROADS,ROAD_DAMAGE,noun_event,inhiyar;insiyah;nziyah;7ajara nzalat,A/B/C/D,inhiyar formal; 7ajara nzalat = stones fell,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0005,انسداد,blockage,ROADS,ROAD_BLOCKED,noun_damage,msedoud;msddoud;sakker;3em ysedd,A/A/B/B,msedoud standard; sakker = blocked it,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,HIGH,false,MEDIUM,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0006,ورشة,construction site,ROADS,ROAD_BLOCKED,noun_infra,warche;mashrou3;2abiyed;hayye,A/B/B/C,warche most common,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,HIGH,false,MEDIUM,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0007,إشارة,traffic light,ROADS,TRAFFIC_SIGNAL,noun_infra,ishara;2isharit l siyyara;daw 2a7mar;daw kharban,A/B/B/C,ishara can mean sign or signal; add context,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0008,أسفلت,asphalt,ROADS,ROAD_DAMAGE,noun_infra,asphalt;asfalt;asphalt nkassar;2asphalt msh mnee7,A/A/B/C,loanword; both spellings valid,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0009,منهل,manhole,ROADS,ROAD_DAMAGE,noun_infra,man7al;man7el;ghata man7al;ghata man7al meksour;man7al meftou7,A/B/B/C/C,man7al standard; meftou7 = open = danger,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,HIGH,false,LOW,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
ARZ-CAND-0010,جسر,bridge,ROADS,ROAD_DAMAGE,noun_infra,jisr;jisr kharban;jisr meksour;jisr bi 5atar,A/B/C/C,jisr standard,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,HIGH,false,HIGH,PENDING,,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z
