id,arabizi_variant,normalized_arabizi,arabic_lebanese,english_meaning,category,part_of_speech,form_type,notes,confidence
1,marhaba,marhaba,مرحبا,hello,daily_phrases,phrase,base_word,neutral Lebanese greeting,high
2,mar7aba,marhaba,مرحبا,hello,daily_phrases,phrase,base_word,neutral Lebanese greeting,high
3,marhba,marhaba,مرحبا,hello,daily_phrases,phrase,base_word,neutral Lebanese greeting,high
4,mar7ba,marhaba,مرحبا,hello,daily_phrases,phrase,base_word,neutral Lebanese greeting,high
5,mr7ba,marhaba,مرحبا,hello,daily_phrases,phrase,base_word,neutral Lebanese greeting,high
6,mrhaba,marhaba,مرحبا,hello,daily_phrases,phrase,base_word,neutral Lebanese greeting,high
7,ahla,ahla,أهلا,hi / welcome,daily_phrases,phrase,base_word,friendly casual greeting,high
8,ahlaa,ahla,أهلا,hi / welcome,daily_phrases,phrase,base_word,friendly casual greeting,high
9,ahlan,ahla,أهلا,hi / welcome,daily_phrases,phrase,base_word,friendly casual greeting,high
10,ahlein,ahla,أهلا,hi / welcome,daily_phrases,phrase,base_word,friendly casual greeting,high
11,ahlan w sahlan,ahlan w sahlan,أهلا وسهلا,welcome,daily_phrases,phrase,base_word,common welcome greeting,high
12,kifak,kifak,كيفك؟,how are you?,daily_phrases,phrase,question,masculine or general casual,high
13,keefak,kifak,كيفك؟,how are you?,daily_phrases,phrase,question,masculine or general casual,high
14,kefak,kifak,كيفك؟,how are you?,daily_phrases,phrase,question,masculine or general casual,high
15,kifik,kifik,كيفِك؟,how are you?,daily_phrases,phrase,question,feminine casual,high
16,keefik,kifik,كيفِك؟,how are you?,daily_phrases,phrase,question,feminine casual,high
17,kefik,kifik,كيفِك؟,how are you?,daily_phrases,phrase,question,feminine casual,high
18,kifeik,kifik,كيفِك؟,how are you?,daily_phrases,phrase,question,feminine casual,high
19,kifkon,kifkon,كيفكن؟,how are you all?,daily_phrases,phrase,question,plural casual,high
20,keefkon,kifkon,كيفكن؟,how are you all?,daily_phrases,phrase,question,plural casual,high
21,kefkon,kifkon,كيفكن؟,how are you all?,daily_phrases,phrase,question,plural casual,high
22,kifkun,kifkon,كيفكن؟,how are you all?,daily_phrases,phrase,question,plural casual,high
23,kifkoun,kifkon,كيفكن؟,how are you all?,daily_phrases,phrase,question,plural casual,high
24,saba7o,saba7o,صباحو,morning,daily_phrases,phrase,base_word,very common casual morning greeting,high
25,saba7oo,saba7o,صباحو,morning,daily_phrases,phrase,base_word,very common casual morning greeting,high
26,sba7o,saba7o,صباحو,morning,daily_phrases,phrase,base_word,very common casual morning greeting,high
27,sabahho,saba7o,صباحو,morning,daily_phrases,phrase,base_word,very common casual morning greeting,high
28,saba7 l kheir,saba7 l kheir,صباح الخير,good morning,daily_phrases,phrase,base_word,standard morning greeting,high
29,masa l kheir,masa l kheir,مسا الخير,good evening,daily_phrases,phrase,base_word,common evening greeting,high
30,masa el kheir,masa l kheir,مسا الخير,good evening,daily_phrases,phrase,base_word,common evening greeting,high
31,masa2 l kheir,masa l kheir,مسا الخير,good evening,daily_phrases,phrase,base_word,common evening greeting,high
32,masa2 el kheir,masa l kheir,مسا الخير,good evening,daily_phrases,phrase,base_word,common evening greeting,high
33,masa kheir,masa l kheir,مسا الخير,good evening,daily_phrases,phrase,base_word,common evening greeting,high
34,tesba7 3a kheir,tesba7 3a kheir,تصبح عخير,good night,daily_phrases,phrase,phrase,said before sleep,high
35,tesba7 3a 5eir,tesba7 3a kheir,تصبح عخير,good night,daily_phrases,phrase,phrase,said before sleep,high
36,tesbah 3a kheir,tesba7 3a kheir,تصبح عخير,good night,daily_phrases,phrase,phrase,said before sleep,high
37,tsba7 3a kheir,tesba7 3a kheir,تصبح عخير,good night,daily_phrases,phrase,phrase,said before sleep,high
38,tesba7o 3a kheir,tesba7 3a kheir,تصبحوا ع خير,good night,daily_phrases,phrase,phrase,plural good-night phrase,high
39,ahlan fik,ahlan fik,أهلا فيك,welcome / glad to have you,daily_phrases,phrase,phrase,reply to thanks or greeting,high
40,ahla fik,ahlan fik,أهلا فيك,welcome / glad to have you,daily_phrases,phrase,phrase,reply to thanks or greeting,high
41,ahlan feek,ahlan fik,أهلا فيك,welcome / glad to have you,daily_phrases,phrase,phrase,reply to thanks or greeting,high
42,ahla feek,ahlan fik,أهلا فيك,welcome / glad to have you,daily_phrases,phrase,phrase,reply to thanks or greeting,high
43,ahlan fike,ahlan fik,أهلا فيكي,welcome / glad to have you,daily_phrases,phrase,phrase,feminine reply to thanks or greeting,high
44,bye,bye,باي,bye,daily_phrases,phrase,base_word,borrowed English used in Lebanese texting,high
45,bay,bye,باي,bye,daily_phrases,phrase,base_word,borrowed English used in Lebanese texting,high
46,bai,bye,باي,bye,daily_phrases,phrase,base_word,borrowed English used in Lebanese texting,high
47,yalla bye,yalla bye,يلا باي,okay bye,daily_phrases,phrase,base_word,casual farewell phrase,high
48,yalla bay,yalla bye,يلا باي,okay bye,daily_phrases,phrase,base_word,casual farewell phrase,high
49,shu,shu,شو,what,questions,question_word,base_word,core Lebanese question word,high
50,shou,shu,شو,what,questions,question_word,base_word,core Lebanese question word,high
51,cho,shu,شو,what,questions,question_word,base_word,core Lebanese question word,high
52,chou,shu,شو,what,questions,question_word,base_word,core Lebanese question word,high
53,sho,shu,شو,what,questions,question_word,base_word,core Lebanese question word,high
54,shoo,shu,شو,what,questions,question_word,base_word,core Lebanese question word,high
55,kif,kif,كيف,how,questions,question_word,base_word,core question word,high
56,keef,kif,كيف,how,questions,question_word,base_word,core question word,high
57,kef,kif,كيف,how,questions,question_word,base_word,core question word,high
58,kief,kif,كيف,how,questions,question_word,base_word,core question word,high
59,kiif,kif,كيف,how,questions,question_word,base_word,core question word,high
60,wen,wen,وين,where,questions,question_word,base_word,core question word,high
61,wein,wen,وين,where,questions,question_word,base_word,core question word,high
62,wayn,wen,وين,where,questions,question_word,base_word,core question word,high
63,wene,wen,وين,where,questions,question_word,base_word,core question word,high
64,win,wen,وين,where,questions,question_word,base_word,core question word,high
65,leish,leish,ليش,why,questions,question_word,base_word,common Lebanese why,high
66,lesh,leish,ليش,why,questions,question_word,base_word,common Lebanese why,high
67,laych,leish,ليش,why,questions,question_word,base_word,common Lebanese why,high
68,leech,leish,ليش,why,questions,question_word,base_word,common Lebanese why,high
69,leesh,leish,ليش,why,questions,question_word,base_word,common Lebanese why,high
70,leysh,leish,ليش,why,questions,question_word,base_word,common Lebanese why,high
71,emta,emta,إمتى,when,questions,question_word,base_word,common spoken form,high
72,imta,emta,إمتى,when,questions,question_word,base_word,common spoken form,high
73,imtan,emta,إمتى,when,questions,question_word,base_word,common spoken form,high
74,emten,emta,إمتى,when,questions,question_word,base_word,common spoken form,high
75,emte,emta,إمتى,when,questions,question_word,base_word,common spoken form,high
76,adde,adde,قدّي,how much / how many,questions,question_word,question,Lebanese quantity question,high
77,addeh,adde,قدّي,how much / how many,questions,question_word,question,Lebanese quantity question,high
78,2adde,adde,قدّي,how much / how many,questions,question_word,question,Lebanese quantity question,high
79,2addeh,adde,قدّي,how much / how many,questions,question_word,question,Lebanese quantity question,high
80,addeysh,adde,قدّي,how much / how many,questions,question_word,question,Lebanese quantity question,high
81,2addeysh,adde,قدّي,how much / how many,questions,question_word,question,Lebanese quantity question,high
82,min,min,مين,who,questions,question_word,base_word,common question word,high
83,meen,min,مين,who,questions,question_word,base_word,common question word,high
84,miin,min,مين,who,questions,question_word,base_word,common question word,high
85,men,min,مين,who,questions,question_word,base_word,common question word,high
86,meeen,min,مين,who,questions,question_word,base_word,common question word,high
87,ayya,ayya,أيّا,which,questions,question_word,base_word,used before noun,high
88,ayya wa7ad,ayya wa7ad,أيّا واحد؟,which one?,questions,question_word,base_word,question phrase,high
89,ayya wahad,ayya wa7ad,أيّا واحد؟,which one?,questions,question_word,base_word,question phrase,high
90,aya,ayya,أيّا,which,questions,question_word,base_word,used before noun,high
91,ayya shi,ayya shi,أيّا شي؟,which thing? / anything?,questions,question_word,base_word,context-dependent Lebanese question phrase,high
92,shu yaane,shu yaane,شو يعني؟,what does it mean?,questions,phrase,question,common clarification phrase,high
93,shu ya3ne,shu yaane,شو يعني؟,what does it mean?,questions,phrase,question,common clarification phrase,high
94,shou yaane,shu yaane,شو يعني؟,what does it mean?,questions,phrase,question,common clarification phrase,high
95,shou ya3ne,shu yaane,شو يعني؟,what does it mean?,questions,phrase,question,common clarification phrase,high
96,cho yaane,shu yaane,شو يعني؟,what does it mean?,questions,phrase,question,common clarification phrase,high
97,shu esmak,shu esmak,شو اسمك؟,what is your name?,questions,phrase,question,masculine or general,high
98,shou esmak,shu esmak,شو اسمك؟,what is your name?,questions,phrase,question,masculine or general,high
99,shu esmik,shu esmik,شو اسمِك؟,what is your name?,questions,phrase,question,feminine,high
100,shou esmik,shu esmik,شو اسمِك؟,what is your name?,questions,phrase,question,feminine,high
101,shu ismak,shu esmak,شو اسمك؟,what is your name?,questions,phrase,question,masculine or general,high
102,eh,eh,إي,yes,daily_phrases,particle,base_word,Lebanese yes,high
103,e,eh,إي,yes,daily_phrases,particle,base_word,Lebanese yes,high
104,ee,eh,إي,yes,daily_phrases,particle,base_word,Lebanese yes,high
105,ey,eh,إي,yes,daily_phrases,particle,base_word,Lebanese yes,high
106,ehh,eh,إي,yes,daily_phrases,particle,base_word,Lebanese yes,high
107,la2,la2,لأ,no,daily_phrases,particle,base_word,Lebanese no with hamza/qaf often 2,high
108,laa,la2,لأ,no,daily_phrases,particle,base_word,Lebanese no with hamza/qaf often 2,high
109,la,la2,لأ,no,daily_phrases,particle,base_word,Lebanese no with hamza/qaf often 2,high
110,la2a,la2,لأ,no,daily_phrases,particle,base_word,Lebanese no with hamza/qaf often 2,high
111,laaa,la2,لأ,no,daily_phrases,particle,base_word,Lebanese no with hamza/qaf often 2,high
112,walla,walla,والله,really / I swear,daily_phrases,particle,slang,very common emphasis,high
113,wallah,walla,والله,really / I swear,daily_phrases,particle,slang,very common emphasis,high
114,walah,walla,والله,really / I swear,daily_phrases,particle,slang,very common emphasis,high
115,yaane,yaane,يعني,I mean / like,daily_phrases,particle,base_word,filler or clarification,high
116,ya3ne,yaane,يعني,I mean / like,daily_phrases,particle,base_word,filler or clarification,high
117,yaani,yaane,يعني,I mean / like,daily_phrases,particle,base_word,filler or clarification,high
