id,arabizi_variant,normalized_arabizi,arabic_lebanese,english_meaning,category,part_of_speech,form_type,confidence,quality_flag,complaint_use,candidate_sector,candidate_issue,signal_strength,context_rule,hard_negative_hint,already_in_vocab,notes
2090,airport,matar,مطار,airport,transportation,noun,base_word,high,,hard_negative,ROADS,,context_support,mobility/road context; not issue-specific,"HARD_NEGATIVE:FLOODING:airport/travel term, not flooding rain",FALSE,travel location
2091,eyrport,matar,مطار,airport,transportation,noun,base_word,high,,hard_negative,ROADS,,context_support,mobility/road context; not issue-specific,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,travel location
2092,ra2e7 3al matar,matar,مطار,airport,transportation,noun,base_word,high,,hard_negative,ROADS,,context_support,mobility/road context; not issue-specific,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,travel location
11805,3am natrin l flight,3am natrin l flight,عم ناطرين الفلايت,we are waiting for the flight,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11806,3m natrin l flight,3am natrin l flight,عم ناطرين الفلايت,we are waiting for the flight,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11807,3ande boarding pass,3ande boarding pass,عندي بوردينغ باس,I have a boarding pass,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11808,3ndi boarding pass,3ande boarding pass,عندي بوردينغ باس,I have a boarding pass,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11809,3ande extra luggage,3ande extra luggage,عندي إكسترا لاغج,I have extra luggage,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11810,3ndi extra luggage,3ande extra luggage,عندي إكسترا لاغج,I have extra luggage,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11811,3ande visa appointment,3ande visa appointment,عندي موعد فيزا,I have a visa appointment,airport,phrase,phrase,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11812,3ndi visa appointment,3ande visa appointment,عندي موعد فيزا,I have a visa appointment,airport,phrase,spelling_variant,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11813,7a teb3at taxi 3al matar,7a teb3at taxi 3al matar,رح تبعت تاكسي عالمطار؟,will you send a taxi to the airport?,airport,phrase,question,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11814,ra7 teb3at taxi 3al matar,7a teb3at taxi 3al matar,رح تبعت تاكسي عالمطار؟,will you send a taxi to the airport?,airport,phrase,question,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11815,adde taxi mn l matar,adde taxi mn l matar,قديش تاكسي من المطار؟,how much is a taxi from the airport?,airport,phrase,question,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
11816,addeish taxi mn l matar,adde taxi mn l matar,قديش تاكسي من المطار؟,how much is a taxi from the airport?,airport,phrase,question,high,,hard_negative,,,review,,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",FALSE,Batch 26; airport/travel phrase
