normalised_token,top_raw_forms,freq,distinct_tweets,civic_co_occ,civic_ratio,az_ctx_count,az_ctx_ratio,score,has_arabizi_digit,guardrailed,sample_tweet
raphaeljabbour,raphaeljabbour(3291)|raphaeljabbour1(1754),5045,3094,156,0.050,1649,0.533,6898.1,0,0,هل رأى الحب سكاااارى سكااارى مثلنا يمكن هيك الكلمات ^^  #RaphaelJabbour @RaphaelJabbour1
you,you(3201),3201,2559,312,0.122,713,0.279,4427.5,0,0,I'm not yet a father but you can call me daddy.
hananeelkhader,hananeelkhader(1624),1624,982,354,0.360,596,0.607,3287.7,0,0,#خضراويين_جبوريين_مباقيش_واحد  #RaphaelJabbour  #HananeElkhader
follow,follow(2337),2337,2020,20,0.010,1516,0.750,3260.2,0,0,https://t.co/RIjn3iCeOL? Follow insta  @RaphaelJabbour1? Follow twitter  #RaphaelJabbour https://t.c
none,none(1015),1015,41,27,0.659,33,0.805,2760.3,0,0,"يا رب لست أعلم ما هو أكبر ذنب لدي لكن أعلم و كلي إيمان أن رحمتك سبقت غضبك ومغفرتك سبقت عذابك,None,No"
lebanon,lebanon(1489)|lebanon1(2),1491,864,175,0.203,539,0.624,2560.1,0,0,Love my girls! The best cheerleaders in town ?! pepsilebanon @pepsieliefleyhan @ Tripoli Lebanon htt
emas,emas(1980),1980,1359,39,0.029,470,0.346,2436.0,0,0,#EMAs_RaphaelJabbour #raphaeljabbour https://t.co/MUjbptvWRk
dtopbeautyworld,dtopbeautyworld(642),642,632,459,0.726,629,0.995,1894.0,0,0,#TBworld2016  Ivote for beautiful #TBworld2016    @DTopbeautyworld @Haidy_Moussa  #HaidyMoussa https
faces,faces(570),570,567,459,0.810,565,0.996,1776.9,0,0,@Shalashtein i was actually so tired i barely saw (your) face !! I'm usually good with faces bas i c
beautiful,beautiful(634),634,625,372,0.595,537,0.859,1661.1,0,0,@gabrielghali Its a beautiful dress
vote,vote(611),611,604,361,0.598,573,0.949,1631.2,0,0,Vote for riri ??
tbworld2,tbworld2016(572),572,559,354,0.633,559,1.000,1582.5,1,0,Folow this star ?? ?https://t.co/snQA5yL1R1          ? @RaphaelJabbour1  #RaphaelJabbour #KaranKundr
that,that(1072),1072,994,172,0.173,252,0.254,1578.9,0,0,That's what happens when i try to have a conversation in arabic https://t.co/95SNdSEW9H
love,love(944),944,878,97,0.110,338,0.385,1334.3,0,0,I love you @DianaHaddad ? . . . . #bama2016platinumedition_dianahaddad https://t.co/630Mk9J6Ye
irwyewz1mg,irwyewz1mg(789),789,776,10,0.013,485,0.625,1055.9,0,0,#الميكروباص_وفولورز_عالاسفلت https://t.co/iRWyeWz1MG Follow https://t.co/OnAqCzObf8
just,just(701),701,689,103,0.149,275,0.399,1050.5,0,0,Just letting you know that @AlBatrick has never been on public transport alone before.  Proof: https
your,your(710),710,641,97,0.151,182,0.284,1025.7,0,0,YOUR EYES ???? #RaphaelJabbour https://t.co/C8iQ6Rygfk
can,can(722),722,700,90,0.129,191,0.273,1006.2,0,0,I'm not yet a father but you can call me daddy.
mabellechedidrushbar,mabellechedidrushbar(918),918,888,30,0.034,37,0.042,999.2,0,0,All don't miss Friday 18 March  concert of @MabelleChedid11 on RushBar at Jounieh ?????? #MabelleChe
all,all(691)|alllll(1),692,667,98,0.147,196,0.294,997.0,0,0,The best selling female artist of all time ?? https://t.co/PCBCrg4A6x
but,but(573),573,554,145,0.262,138,0.249,944.3,0,0,Wanted to tell my best friend something but then i remembered we don't talk anymore?
what,what(635),635,601,89,0.148,166,0.276,910.8,0,0,That's what happens when i try to have a conversation in arabic https://t.co/95SNdSEW9H
like,like(591),591,557,92,0.165,167,0.300,874.8,0,0,@_DLo18 lmfao more like facts!! ?
will,will(477)|willll(1),478,452,134,0.296,160,0.354,846.0,0,0,@avnawards Male Performer of the Year 2016 @MickBluexxx and @SteveHolmesPorn will team up soon @tush
purposetourtolebanon,purposetourtolebanon(692),692,594,35,0.059,106,0.178,835.3,0,0,Please help me trend this  #purposetourtolebanon
good,good(518)|gooood(3),521,499,102,0.204,177,0.355,826.4,0,0,Hold on to every genuine person you find. This generation has people driven by ego money &amp; statu
twitter,twitter(525),525,519,37,0.071,381,0.734,792.6,0,0,https://t.co/RIjn3iCeOL? Follow insta  @RaphaelJabbour1? Follow twitter  #RaphaelJabbour https://t.c
have,have(511),511,483,96,0.199,144,0.298,790.3,0,0,No sun drawn in a child's painting should ever have a frowny face ? https://t.co/aZLhhjJgjS
najwakaram,najwakaram(393),393,379,125,0.330,233,0.615,773.0,0,0,شو بحب لحن هل غنيّة ?? @najwakaram #نجوى_كرم  https://t.co/MyGtZdJ4qC
day,day(510)|day1(1),511,479,68,0.142,213,0.445,769.7,0,0,https://t.co/xG4vqNmOKR.frendvery.happy  .  iwill...smile.to.day.because.my..frendes.happey   #IWill
was,was(444),444,410,104,0.254,142,0.346,746.1,0,0,@manuelferrara Wish I was there :)
happy,happy(453),453,443,73,0.165,236,0.533,723.0,0,0,https://t.co/xG4vqNmOKR.frendvery.happy  .  iwill...smile.to.day.because.my..frendes.happey   #IWill
about,about(401),401,381,73,0.192,147,0.386,632.0,0,0,What do you think about this ballerina sneakers by Adidas !? Yay or nay? ???? #ballerina… https://t.
when,when(411),411,396,68,0.172,135,0.341,622.2,0,0,That's what happens when i try to have a conversation in arabic https://t.co/95SNdSEW9H
time,time(360),360,353,83,0.235,148,0.419,604.8,0,0,The best selling female artist of all time ?? https://t.co/PCBCrg4A6x
they,they(380),380,334,72,0.216,88,0.263,593.9,0,0,#Hezbollah was declared a #terrorist group by the #ArabLeague but they are our #Lebanese brothers an
plz,plz(388),388,388,5,0.013,333,0.858,564.5,0,0,Follow plz ? Twitter  ?  @RaphaelJabbour1  Insta  ?  https://t.co/MD6mIViEka #RaphaelJabbour  #MemeH
now,now(347),347,338,68,0.201,119,0.352,547.7,0,0,And now my baby's dancing but she's dancing with another man.
ana,ana(193),193,184,136,0.739,127,0.690,544.9,0,0,@Sima_Hishi yuuu ? taae ftahile albik ana besmaa
don,don(377),377,360,50,0.139,86,0.239,526.8,0,0,Wanted to tell my best friend something but then i remembered we don't talk anymore?
she,she(345),345,318,43,0.135,139,0.437,513.7,0,0,And now my baby's dancing but she's dancing with another man.
best,best(355),355,340,38,0.112,120,0.353,497.0,0,0,Wanted to tell my best friend something but then i remembered we don't talk anymore?
know,know(321),321,311,54,0.174,74,0.238,470.7,0,0,Just letting you know that @AlBatrick has never been on public transport alone before.  Proof: https
who,who(310),310,289,53,0.183,87,0.301,470.4,0,0,Always be there for the people who matter the most .. ? https://t.co/OwPbBoohRa
top,top(162)|top40(3),165,163,117,0.718,127,0.779,466.2,0,0,بالصورة #عبالي_ودعك  top 22 بعد صدورها لأسابيع عديده على @anghami ?  Proud of you @AdhamNabulsi ? ht
official,official(328),328,326,28,0.086,153,0.469,461.3,0,0,@souka_official  يا روحي جمالها https://t.co/J4s0UfgPr7
syria,syria(260),260,235,53,0.226,148,0.630,459.1,0,0,Israeli / Syrian border ??? #israel #syria @ Israeli / Syrian Border https://t.co/QiTCB5ffkP
