term_id,arabic_script,english_gloss,category,subcategory,token_type,canonical_arabizi,v10_safe_unique_variants_pipe,v10_reliable_alt_review_variants_pipe,v10_context_only_variants_pipe,v10_operational_variants_pipe,v10_component_tokens_pipe,v10_safe_unique_count,v10_reliable_alt_count,v10_context_only_count,v10_total_variant_count,v10_trust_class,v10_reliability_score,v10_merge_target,v10_eval_bucket,v10_required_gates_pipe,v10_required_reviewer_count,v10_min_examples_before_promotion,v10_direct_use_now,v10_normalization_now,v10_oov_suppression_now,v10_routing_now,v10_severity_now,source_basis,source_urls,review_status,reviewer_id,must_not_auto_promote,lineage,notes,v10_policy,created_at_utc,v10_primary_variants_pipe,v10_reliable_alt_variants_pipe,v10_all_variants_pipe
ARZ-V10-00001,غ,gh,internet_notation,ghayn,notation_rule,gh,gh,,gh,gh,,1,0,1,1,A_NOTATION_RULE_AFTER_REVIEW,0.96,arabizi_internet_notation_rules,notation_rule_eval,native_review|validator_pass|decision_logged|context_rule,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,ARABIC_CHAT_ALPHABET|YAMLI|DARWISH_ARABIZI|PROJECT_POLICY,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://www.yamli.com/help/;https://aclanthology.org/W14-3629/;PROJECT_POLICY,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,derived_from_v9_individual_terms_max,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,"Use safe_unique first, reliable_alt only after review, context_only only with context rules. No routing/severity/core promotion directly.",2026-05-20T15:52:08Z,gh,,gh
ARZ-V10-00002,خ,5,internet_notation,kha,notation_rule,5,,,kh,kh,,0,0,1,1,A_NOTATION_RULE_AFTER_REVIEW,0.96,arabizi_internet_notation_rules,notation_rule_eval,native_review|validator_pass|decision_logged|context_rule,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,ARABIC_CHAT_ALPHABET|YAMLI|DARWISH_ARABIZI|PROJECT_POLICY,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://www.yamli.com/help/;https://aclanthology.org/W14-3629/;PROJECT_POLICY,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,derived_from_v9_individual_terms_max,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,"Use safe_unique first, reliable_alt only after review, context_only only with context rules. No routing/severity/core promotion directly.",2026-05-20T15:52:08Z,,,kh
ARZ-V10-00003,ا / long a,a/e/a vowel,internet_notation,letter_or_prefix_rule,notation_rule,a,,,aa,aa,,0,0,1,1,A_NOTATION_RULE_AFTER_REVIEW,0.96,arabizi_internet_notation_rules,notation_rule_eval,native_review|validator_pass|decision_logged|context_rule,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,derived_from_v9_individual_terms_max,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,"Use safe_unique first, reliable_alt only after review, context_only only with context rules. No routing/severity/core promotion directly.",2026-05-20T15:52:08Z,,,aa
ARZ-V10-00004,ة,a/e/eh ending,internet_notation,letter_or_prefix_rule,notation_rule,e,,,eh|ah,eh|ah,,0,0,2,2,A_NOTATION_RULE_AFTER_REVIEW,0.96,arabizi_internet_notation_rules,notation_rule_eval,native_review|validator_pass|decision_logged|context_rule,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,derived_from_v9_individual_terms_max,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,"Use safe_unique first, reliable_alt only after review, context_only only with context rules. No routing/severity/core promotion directly.",2026-05-20T15:52:08Z,,,eh|ah
ARZ-V10-00005,ي / long i,i/ee/y vowel,internet_notation,letter_or_prefix_rule,notation_rule,i,,,ee|ii|ei,ee|ii|ei,,0,0,3,3,A_NOTATION_RULE_AFTER_REVIEW,0.96,arabizi_internet_notation_rules,notation_rule_eval,native_review|validator_pass|decision_logged|context_rule,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,derived_from_v9_individual_terms_max,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,"Use safe_unique first, reliable_alt only after review, context_only only with context rules. No routing/severity/core promotion directly.",2026-05-20T15:52:08Z,,,ee|ii|ei
ARZ-V10-00006,و / long o/u,o/u/w/ou vowel,internet_notation,letter_or_prefix_rule,notation_rule,ou,,,ou|w|oo,ou|w|oo,,0,0,3,3,A_NOTATION_RULE_AFTER_REVIEW,0.96,arabizi_internet_notation_rules,notation_rule_eval,native_review|validator_pass|decision_logged|context_rule,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,derived_from_v9_individual_terms_max,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,"Use safe_unique first, reliable_alt only after review, context_only only with context rules. No routing/severity/core promotion directly.",2026-05-20T15:52:08Z,ou,,ou|w|oo
ARZ-V10-00007,ث,th/s/t,internet_notation,letter_or_prefix_rule,notation_rule,s,,,th,th,,0,0,1,1,A_NOTATION_RULE_AFTER_REVIEW,0.96,arabizi_internet_notation_rules,notation_rule_eval,native_review|validator_pass|decision_logged|context_rule,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,derived_from_v9_individual_terms_max,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,"Use safe_unique first, reliable_alt only after review, context_only only with context rules. No routing/severity/core promotion directly.",2026-05-20T15:52:08Z,,,th
ARZ-V10-00008,ذ,z/dh/d,internet_notation,letter_or_prefix_rule,notation_rule,z,,,dh,dh,,0,0,1,1,A_NOTATION_RULE_AFTER_REVIEW,0.96,arabizi_internet_notation_rules,notation_rule_eval,native_review|validator_pass|decision_logged|context_rule,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,derived_from_v9_individual_terms_max,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,"Use safe_unique first, reliable_alt only after review, context_only only with context rules. No routing/severity/core promotion directly.",2026-05-20T15:52:08Z,,,dh
ARZ-V10-00009,ظ,z/dh/6',internet_notation,letter_or_prefix_rule,notation_rule,z,,,dh,dh,,0,0,1,1,A_NOTATION_RULE_AFTER_REVIEW,0.96,arabizi_internet_notation_rules,notation_rule_eval,native_review|validator_pass|decision_logged|context_rule,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,derived_from_v9_individual_terms_max,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,"Use safe_unique first, reliable_alt only after review, context_only only with context rules. No routing/severity/core promotion directly.",2026-05-20T15:52:08Z,,,dh
ARZ-V10-00010,long vowel,aa,internet_notation,long a / omitted 3 fallback,notation_rule,aa,,,aa,aa,,0,0,1,1,A_NOTATION_RULE_AFTER_REVIEW,0.96,arabizi_internet_notation_rules,notation_rule_eval,native_review|validator_pass|decision_logged|context_rule,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,ARABIC_CHAT_ALPHABET|YAMLI|DARWISH_ARABIZI|PROJECT_POLICY,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://www.yamli.com/help/;https://aclanthology.org/W14-3629/;PROJECT_POLICY,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,derived_from_v9_individual_terms_max,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,"Use safe_unique first, reliable_alt only after review, context_only only with context rules. No routing/severity/core promotion directly.",2026-05-20T15:52:08Z,aa,,aa
ARZ-V10-00011,long vowel,ee,internet_notation,long e/i,notation_rule,ee,,,ee|ii,ee|ii,,0,0,2,2,A_NOTATION_RULE_AFTER_REVIEW,0.96,arabizi_internet_notation_rules,notation_rule_eval,native_review|validator_pass|decision_logged|context_rule,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,ARABIC_CHAT_ALPHABET|YAMLI|DARWISH_ARABIZI|PROJECT_POLICY,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://www.yamli.com/help/;https://aclanthology.org/W14-3629/;PROJECT_POLICY,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,derived_from_v9_individual_terms_max,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,"Use safe_unique first, reliable_alt only after review, context_only only with context rules. No routing/severity/core promotion directly.",2026-05-20T15:52:08Z,ee,,ee|ii
ARZ-V10-00012,long vowel,ou,internet_notation,long o/u,notation_rule,ou,,,ou|oo,ou|oo,,0,0,2,2,A_NOTATION_RULE_AFTER_REVIEW,0.96,arabizi_internet_notation_rules,notation_rule_eval,native_review|validator_pass|decision_logged|context_rule,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,ARABIC_CHAT_ALPHABET|YAMLI|DARWISH_ARABIZI|PROJECT_POLICY,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://www.yamli.com/help/;https://aclanthology.org/W14-3629/;PROJECT_POLICY,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,derived_from_v9_individual_terms_max,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,"Use safe_unique first, reliable_alt only after review, context_only only with context rules. No routing/severity/core promotion directly.",2026-05-20T15:52:08Z,ou,,ou|oo
ARZ-V10-00013,ب,in/with prefix,internet_notation,prefix_rule,notation_rule,b,,,b|bi,b|bi,,0,0,2,2,A_NOTATION_RULE_AFTER_REVIEW,0.96,arabizi_internet_notation_rules,notation_rule_eval,native_review|validator_pass|decision_logged|context_rule,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,derived_from_v9_individual_terms_max,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,"Use safe_unique first, reliable_alt only after review, context_only only with context rules. No routing/severity/core promotion directly.",2026-05-20T15:52:08Z,b,,b|bi
ARZ-V10-00014,ال,definite article,internet_notation,prefix_rule,notation_rule,l,,,l|el|al|il,l|el|al|il,,0,0,4,4,A_NOTATION_RULE_AFTER_REVIEW,0.96,arabizi_internet_notation_rules,notation_rule_eval,native_review|validator_pass|decision_logged|context_rule,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,derived_from_v9_individual_terms_max,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,"Use safe_unique first, reliable_alt only after review, context_only only with context rules. No routing/severity/core promotion directly.",2026-05-20T15:52:08Z,l,,l|el|al|il
ARZ-V10-00015,ل,to/for prefix,internet_notation,prefix_rule,notation_rule,l,,,l|la,l|la,,0,0,2,2,A_NOTATION_RULE_AFTER_REVIEW,0.96,arabizi_internet_notation_rules,notation_rule_eval,native_review|validator_pass|decision_logged|context_rule,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,derived_from_v9_individual_terms_max,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,"Use safe_unique first, reliable_alt only after review, context_only only with context rules. No routing/severity/core promotion directly.",2026-05-20T15:52:08Z,l,,l|la
ARZ-V10-00016,و,and prefix,internet_notation,prefix_rule,notation_rule,w,,,w|wa,w|wa,,0,0,2,2,A_NOTATION_RULE_AFTER_REVIEW,0.96,arabizi_internet_notation_rules,notation_rule_eval,native_review|validator_pass|decision_logged|context_rule,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,derived_from_v9_individual_terms_max,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,"Use safe_unique first, reliable_alt only after review, context_only only with context rules. No routing/severity/core promotion directly.",2026-05-20T15:52:08Z,w,,w|wa
ARZ-V10-00017,ش,sh,internet_notation,shin,notation_rule,sh,sh,,sh|ch,sh|ch,,1,0,2,2,A_NOTATION_RULE_AFTER_REVIEW,0.96,arabizi_internet_notation_rules,notation_rule_eval,native_review|validator_pass|decision_logged|context_rule,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,ARABIC_CHAT_ALPHABET|YAMLI|DARWISH_ARABIZI|PROJECT_POLICY,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://www.yamli.com/help/;https://aclanthology.org/W14-3629/;PROJECT_POLICY,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,derived_from_v9_individual_terms_max,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,"Use safe_unique first, reliable_alt only after review, context_only only with context rules. No routing/severity/core promotion directly.",2026-05-20T15:52:08Z,sh,,sh|ch
ARZ-V10-00018,ما فيي,I cannot,protected_combo,ability_negation,protected_phrase,ma fiye,,,ma fiye|ma fiyye|ma fiyi,ma fiye|ma fiyye|ma fiyi,ma|fiye|fiyye|fiyi,0,0,3,3,C_PROTECTED_PHRASE_CONTEXT_ONLY,0.86,arabizi_protected_combos,phrase_context_eval,native_review|validator_pass|decision_logged|context_rule,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,LEVANTINE_ARABIC|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Levantine_Arabic;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,derived_from_v9_individual_terms_max,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,"Use safe_unique first, reliable_alt only after review, context_only only with context rules. No routing/severity/core promotion directly.",2026-05-20T15:52:08Z,ma fiye,,ma fiye|ma fiyye|ma fiyi
ARZ-V10-00019,على السطح,on roof,protected_combo,building_location,protected_phrase,3al sate7,,,3al sate7|3al sa7et,3al sate7|3al sa7et,3al|sate7|sa7et,0,0,2,2,C_PROTECTED_PHRASE_CONTEXT_ONLY,0.86,arabizi_protected_combos,phrase_context_eval,native_review|validator_pass|decision_logged|context_rule,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,LEVANTINE_ARABIC|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Levantine_Arabic;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,derived_from_v9_individual_terms_max,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,"Use safe_unique first, reliable_alt only after review, context_only only with context rules. No routing/severity/core promotion directly.",2026-05-20T15:52:08Z,3al sate7,,3al sate7|3al sa7et
ARZ-V10-00020,تحت البناية,under building,protected_combo,building_location,protected_phrase,ta7t l bineye,,,ta7t l bineye|taht l bineye,ta7t l bineye|taht l bineye,ta7t|l|bineye|taht,0,0,2,2,C_PROTECTED_PHRASE_CONTEXT_ONLY,0.86,arabizi_protected_combos,phrase_context_eval,native_review|validator_pass|decision_logged|context_rule,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,LEVANTINE_ARABIC|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Levantine_Arabic;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,derived_from_v9_individual_terms_max,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,"Use safe_unique first, reliable_alt only after review, context_only only with context rules. No routing/severity/core promotion directly.",2026-05-20T15:52:08Z,ta7t l bineye,,ta7t l bineye|taht l bineye
