"road_index_id","road_name_or_ref","location_hint","governorate_en","district_en","municipality_or_area","road_class_or_asset_type","owner_entity_id","secondary_entity_id","ownership_signal_type","source_id","source_url","evidence_summary","confidence","verification_status","hitl_required","routing_use","limitations","last_checked","notes"
"RPW-ROI-GUARD-LOCAL-001","local/neighborhood road default","Any resolved municipality","national","all","resolved municipality","local road or neighborhood street","MUN","","default_local_road_guardrail","SRC-MUNI-AUTONOMY-HANDBOOK","https://nahnoo.org/wp-content/uploads/2025/06/Citizen-municipalities-handbook-english-1.pdf","Municipal local-administration context supports keeping ordinary local streets, sidewalks, and neighborhood potholes with the resolved municipality unless national/classified road evidence appears.","medium_high","seed_guardrail","false","Use as the default for local street potholes, sidewalks, paving, debris, and non-emergency neighborhood road defects.","This is not proof that every road inside a municipality is municipal; main roads and ministry/project assets still need evidence.","2026-06-02","Pairs with RPW-BC-LOCAL-ROAD and municipality_service_mappings.csv."
"RPW-ROI-GUARD-NATIONAL-001","classified/national/highway default","Road described as highway, autostrade, international road, national road, classified route, or ministry road","national","all","all","classified or national road","MPWT","MUN_IF_LOCAL_ROAD","default_ministry_road_guardrail","SRC-MPWT-ROADS-BUILDINGS","https://mopw.gov.lb/Legal-Texts/Directorate-General-of-Roads-and-Buildings?lang=en-us","MPWT Directorate General of Roads and Buildings evidence supports ministry routing when the complaint has independent national/classified/highway signals.","high","seed_guardrail","true","Use to route clearly national/classified/highway road complaints to MPWT while asking HITL to confirm ambiguous road class.","Does not provide a complete road geometry layer or a complete official classified-road list.","2026-06-02","Pairs with RPW-BC-NATIONAL-ROAD and RPW-RB-001."
"RPW-ROI-JOUNIEH-CDR-EXPANSION-001","Jounieh road expansion project","Jounieh road expansion project file","Mount Lebanon","Keserwan","Jounieh","road expansion project","CDR","MPWT","project_owner_signal","SRC-NNA-JOUNIEH-CDR-ROAD-EXPANSION","https://www.nna-leb.gov.lb/en/news/159838/mopwt-jounieh-road-expansion-project-pending-at-cdr-ministry-ready-to-fund-2","NNA source_targets describe MPWT clarifying that the Jounieh road expansion project was in the CDR administrative pipeline, with MPWT ready to fund after CDR file completion.","high","source_target_extracted","true","If a complaint explicitly names this Jounieh expansion project or a CDR worksite tied to it, prefer CDR/project-owner review before generic MPWT routing.","Project status was pending in the extracted evidence; not a general Jounieh road-maintenance rule and not a geometry boundary.","2026-06-02","Matches complaint_intelligence source target CIS-131 and CIE-000037."
"RPW-ROI-ZAHLE-DAHR-AL-BAIDAR-001","Dahr al-Baidar road rehabilitation","Dahr al-Baidar road / Bekaa economic artery near Zahle district context","Bekaa","Zahle","Zahle district / Dahr al-Baidar corridor","main road rehabilitation","MPWT_OR_CDR","HITL","acknowledged_main_road_rehabilitation_context","SRC-NNA-ZAHLE-DAHR-BAIDAR-ROAD","https://www.nna-leb.gov.lb/en/news/152274/president-joseph-aoun-meets-mp-daher-and-zahle-district-municipal-heads-stresses-dahr-al-baydar-road-is-a-vital-artery-2","NNA source_targets record a presidential-level statement stressing the need to accelerate Dahr al-Baidar road rehabilitation and calling the road a vital economic artery.","medium","source_target_extracted","true","Use as a main-road rehabilitation context signal; keep MPWT/CDR HITL review until an owner/project source is attached.","Evidence acknowledges urgency but does not itself prove active works, contractor, exact scope, or final owner.","2026-06-02","Matches complaint_intelligence source target CIS-132 and CIE-000038."
"RPW-ROI-BAZOURIYEH-BORJ-001","Bazouriyeh-Borj El Chemali main road","Main road between Bazouriyeh and Borj El Chemali, Tyre district","South","Sour","Bazouriyeh / Borj El Chemali","main road restoration","MPWT","CD_OR_ISF_IF_DANGER","ministry_reopened_road_signal","SRC-NNA-MPWT-BAZOURIYEH-BORJ-ROAD","https://www.nna-leb.gov.lb/en/news/218384/mopwt-restores-full-access-to-bazouriyeh-borj-el-chemali-main-road-after-strike-2","NNA source_targets state MPWT restored full access to the Bazouriyeh-Borj El Chemali main road after strike damage and reopened it to traffic.","high","source_target_extracted","true","Use as MPWT evidence for this named main road restoration; emergency or conflict-damage complaints still require HITL and safety escalation.","Conflict/strike context means this is not a routine road-repair SLA or a general rule for all roads in the area.","2026-06-02","Matches complaint_intelligence source target CIS-116 and CIE-000022."
"RPW-ROI-JBEIL-NAHR-IBRAHIM-001","Jbeil-Nahr Ibrahim coastal road","Western lane of Jbeil-Nahr Ibrahim coastal highway","Mount Lebanon","Jbeil","Jbeil / Nahr Ibrahim","coastal highway paving","MPWT","MUN_IF_LOCAL_ACCESS_ROAD","ministry_supervised_paving_signal","SRC-NNA-MPWT-JBEIL-NAHR-IBRAHIM-PAVING","https://www.nna-leb.gov.lb/en/miscellaneous/822897/mopwt-continues-nighttime-paving-works-on-jbeil-na","NNA source_targets record MPWT nighttime asphalt works on the western lane of the Jbeil-Nahr Ibrahim coastal highway under ministry supervision.","high","source_target_extracted","false","Use as a clean MPWT routing signal for complaints about this named coastal highway segment and ministry-supervised paving works.","Does not cover adjacent municipal streets, private access roads, or unrelated drainage/waste complaints.","2026-06-02","Matches complaint_intelligence source target CIS-150 and CIE-000060."
"RPW-ROI-BEIRUT-AL-RIHAB-DRAINAGE-001","Al-Rihab road rainwater inlets","Al-Rihab area, Beirut","Beirut","Beirut","Beirut Municipality / Al-Rihab","road drainage / rainwater inlets","MUN","MPWT","explicit_municipal_jurisdiction_signal","SRC-NNA-MPWT-BEIRUT-AL-RIHAB-DRAINAGE","https://www.nna-leb.gov.lb/en/miscellaneous/823524/mopwt-night-response-clears-rainwater-flooding-in","NNA source_targets state MPWT cleared flooding in Al-Rihab and that Beirut Municipality had direct jurisdiction over the blocked rainwater inlets.","high","source_target_extracted","false","Use as a boundary example: Beirut municipal jurisdiction remains primary for this local drainage blockage even when MPWT provides support.","Only covers the cited Al-Rihab drainage incident; does not generalize every Beirut stormwater asset.","2026-06-02","Matches complaint_intelligence source target CIS-149 and CIE-000059."
"RPW-ROI-DBAYEH-FLOOD-PREPAREDNESS-001","Dbayeh highway flood-preparedness works","Dbayeh highway flood-prone road/drainage area","Mount Lebanon","Metn","Dbayeh","highway drainage and flood-preparedness works","MPWT","CDR;MUN;CONTRACTOR_HITL","multi_actor_drainage_plan_signal","SRC-NNA-MPWT-DBAYEH-FLOOD-PREP","https://www.nna-leb.gov.lb/en/%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9/811294/rasamny-combating-floods-requires-collective-respo","NNA source_targets describe an MPWT Dbayeh highway flood-preparedness plan involving CDR, ministries, municipality, contractors, drainage cleaning, and pipe replacement.","high","source_target_extracted","true","Use as a high-confidence MPWT entry point for Dbayeh highway flood-preparedness complaints while preserving CDR/municipality/contractor HITL boundaries.","Multi-actor drainage and waste-contractor boundaries are not fully resolved by this article alone.","2026-06-02","Matches complaint_intelligence source target CIS-151 and CIE-000061."
"RPW-ROI-JOUNIEH-FLOOD-MITIGATION-001","Jounieh flood-mitigation works","Jounieh rainwater drainage and sewage-network cleaning/rehabilitation context","Mount Lebanon","Keserwan","Jounieh","road drainage / flood mitigation","MPWT","MUN","ministry_launched_works_signal","SRC-NNA-MPWT-JOUNIEH-FLOOD-MITIGATION","https://nna-leb.gov.lb/en/miscellaneous/793908/ministry-of-public-works-launches-flood-mitigation","NNA source_targets record MPWT launching flood-prevention works in Jounieh, including rainwater drainage and sewage-network cleaning/rehabilitation with local authority coordination.","high","source_target_extracted","true","Use as MPWT evidence for the named flood-mitigation works; keep HITL when complaint wording mixes municipal drainage, sewer, waste, or local-road ownership.","Does not assign all Jounieh flooding or sewer complaints to MPWT automatically.","2026-06-02","Matches complaint_intelligence source target CIS-142."
"RPW-ROI-QAMMOUA-SNOW-001","Qammoua road snow opening","Qammoua road and Qammoua-Hermel segment context","Aakkar;Baalbek-Hermel","Aakkar;Hermel","Qammoua / Qammoua-Hermel","snow road opening / mountain road closure","MPWT","CD_OR_ISF_IF_RESCUE_OR_TRAFFIC_DANGER","ministry_snow_clearance_signal","SRC-NNA-MPWT-QAMMOUA-SNOW","https://nna-leb.gov.lb/ar/news/short/772520","NNA source_targets state MPWT Aakkar center was working to reopen Qammoua road after snow closure, while the Qammoua-Hermel segment remained closed.","high","source_target_extracted","true","Use as MPWT evidence for this mountain-road snow-clearing context; escalate rescue, stranded motorists, or traffic danger to emergency actors.","Weather closure status is time-sensitive; do not treat the 2025 status as current road state.","2026-06-02","Matches complaint_intelligence source target CIS-166 and CIE-000075."
"RPW-ROI-SINELFIL-MIRNA-CHALOUHI-DRAINAGE-001","Mirna Chalouhi / Sin el Fil drainage flooding","Mirna Chalouhi / Sin el Fil drainage channels","Mount Lebanon","Metn","Sin el Fil","road drainage / stormwater channels","MPWT","MUN_OR_CDR_IF_ASSET_OWNER","ministry_drainage_response_signal","SRC-NNA-MPWT-SINELFIL-DRAINAGE","https://www.nna-leb.gov.lb/ar/news/short/763953","NNA source_targets describe MPWT technical teams treating Mirna Chalouhi/Sin el Fil drainage flooding caused by blocked stormwater channels within minutes after minister direction.","high","source_target_extracted","true","Use as MPWT response evidence for this named drainage flooding case while checking whether a municipality, CDR project, or contractor owns the specific asset.","Drainage ownership is often mixed; evidence does not create a general Metn stormwater routing rule.","2026-06-02","Matches complaint_intelligence source target CIS-169 and CIE-000078."
"RPW-ROI-AKKAR-KFAR-TOUN-BRIDGE-001","Kfar Toun-Akroum bridge","Bridge/access road near Kfar Toun-Akroum, Aakkar","Aakkar","Aakkar","Kfar Toun / Akroum","bridge repair / access clearing","MPWT","CD_IF_COLLAPSE_DANGER;ISF_IF_SECURITY_CONTEXT","ministry_bridge_repair_signal","SRC-NNA-MPWT-AKKAR-BRIDGE","https://www.nna-leb.gov.lb/en/politics/735751/hamieh-repairs-underway-on-akkar-bridge-targeted-b","NNA source_targets record MPWT repair and rock-clearing work for an Akkar bridge damaged by strike, with access expected after works.","medium_high","source_target_extracted","true","Use as MPWT evidence for the named bridge repair/access context; collapse danger, strike damage, or public-safety risk should trigger emergency HITL.","Conflict/strike and bridge-safety context means this is not a routine bridge-maintenance SLA.","2026-06-02","Matches complaint_intelligence source target CIS-140."
