word_id,arabic_script,english_gloss,romanized_canonical,variants,tier,category,allowed_uses,blocked_uses,dialect_region,confidence_level,false_friend_risk,usage_notes,source_reference,review_status,created_at
GW0001,أنا,I / me,ana,ana,T3_GENERIC_SUPPORT,pronoun,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0002,نحنا,we / us,ne7na,ne7na;nahna,T3_GENERIC_SUPPORT,pronoun,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0003,إنتَ,you masculine,enta,enta;inta,T3_GENERIC_SUPPORT,pronoun,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0004,إنتِ,you feminine,ente,ente;inti,T3_GENERIC_SUPPORT,pronoun,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0005,هو,he / it,huwwe,huwwe;huwe,T3_GENERIC_SUPPORT,pronoun,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0006,هي,she / it,hiyye,hiyye;hiye,T3_GENERIC_SUPPORT,pronoun,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0007,هنّي,they,henne,henne;hinne,T3_GENERIC_SUPPORT,pronoun,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0008,عندي,I have / at my place,3ande,3ande;3andi,T3_GENERIC_SUPPORT,possessive,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0009,عندنا,we have / at our place,3enna,3enna;3anna,T3_GENERIC_SUPPORT,possessive,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
GW0010,عندن,they have,3endon,3endon,T3_GENERIC_SUPPORT,possessive,normalization_support;stopword_filtering;oov_precision;language_detection_features;stress_test_generation,routing_prediction;severity_decision;issue_type_decision,LB_GENERAL,HIGH,LOW,High-confidence general Lebanese/Levantine Arabizi support term; not an issue label.,reliability_layer_v1_export,PENDING_NATIVE_REVIEW,2026-05-18T16:08:17Z
