"candidate_id","arabic_script","english","sector","issue_type","category","variants","tier_notes","usage_notes","source_type","source_reference","dialect_region","confidence_level","false_friend_risk","risk_level","review_status","reviewer_id","decision","promotion_target","created_at","updated_at"
"ARZ-CAND-0379","جورة","pit / hole — Beiruti variant","ROADS","POTHOLE","noun_infra","jora;joura;joora;jorit;joret;jwara","A/A/B/B/C/C","Entirely different root from حفرة; no ع/ح/خ/ق so no markers needed; Beiruti street speech","BUILD_FULL_LEXICON_SEED","build_full_lexicon_fixed_v2.py","Beirut/Levant","HIGH","false","LOW","PENDING_NATIVE_REVIEW","UNASSIGNED","UNREVIEWED","CORE_VOCAB_REVIEW","2026-05-20T12:01:33Z","2026-05-20T13:13:17Z"
"ARZ-CAND-0380","حفر (plural)","potholes / holes (plural)","ROADS","POTHOLE","noun_infra","7afarat;7ofar;hfar;7ufar;jourat;jowarat","A/B/B/C/A/B","7=ح in plural forms; jourat = Beiruti plural of jora","BUILD_FULL_LEXICON_SEED","build_full_lexicon_fixed_v2.py","Beirut/Levant","HIGH","false","LOW","PENDING_NATIVE_REVIEW","UNASSIGNED","UNREVIEWED","CORE_VOCAB_REVIEW","2026-05-20T12:01:33Z","2026-05-20T13:13:17Z"
"ARZ-CAND-0381","غطاء بئر","manhole cover","ROADS","MISSING_MANHOLE","noun_infra","ghata biar;ghata l biar;ghata l biyar;ghato;ghatit l biar;ghata mafqoud","A/A/A/C/B/A","ghata biar most natural; ghata mafqoud = cover is missing (descriptive)","BUILD_FULL_LEXICON_SEED","build_full_lexicon_fixed_v2.py","Beirut/Levant","HIGH","false","LOW","PENDING_NATIVE_REVIEW","UNASSIGNED","UNREVIEWED","CORE_VOCAB_REVIEW","2026-05-20T12:01:33Z","2026-05-20T13:13:17Z"
"ARZ-CAND-0382","إشارة ضوئية","traffic light","ROADS","ROAD_BLOCKED","noun_infra","feu;l feu;feu rouge;isharet dawiye;trafico;ishara","A/A/A/B/B/B","feu French loanword overwhelmingly dominant in Lebanon; feu rouge = red light","BUILD_FULL_LEXICON_SEED","build_full_lexicon_fixed_v2.py","Beirut/Levant","HIGH","false","LOW","PENDING_NATIVE_REVIEW","UNASSIGNED","UNREVIEWED","CORE_VOCAB_REVIEW","2026-05-20T12:01:33Z","2026-05-20T13:13:17Z"
"ARZ-CAND-0383","لافتة","road sign / billboard sign","ROADS","ALL_SUPPORT","noun_infra","lafta;lafite;lawhat;l lafta;lafta sakat;lifte","A/A/B/A/A/B","lafta most common Lebanese; sakat = fell down; lawhat more MSA","BUILD_FULL_LEXICON_SEED","build_full_lexicon_fixed_v2.py","Beirut/Levant","LOW","false","LOW","PENDING_NATIVE_REVIEW","UNASSIGNED","UNREVIEWED","GENERAL_WORD_BANK_OR_STOPLIST","2026-05-20T12:01:33Z","2026-05-20T13:13:17Z"
"ARZ-CAND-0384","أعمال / شغلة","construction works","ROADS","ROAD_BLOCKED","noun_infra","she3el;shi3el;ashghal;she3el tari2;fi she3el;a3mel tari2","A/A/B/A/A/B","3=ع in she3el and ashghal; she3el most Lebanese; a3mel = works","BUILD_FULL_LEXICON_SEED","build_full_lexicon_fixed_v2.py","Beirut/Levant","LOW","false","LOW","PENDING_NATIVE_REVIEW","UNASSIGNED","UNREVIEWED","CORE_VOCAB_REVIEW","2026-05-20T12:01:33Z","2026-05-20T13:13:17Z"
"ARZ-CAND-0385","جرافة","bulldozer / excavator","ROADS","ROAD_BLOCKED","noun_infra","jrafe;jrafi;7affar;7affare;buldozer;caterpillar","A/B/A/A/B/B","7=ح in 7affar; buldozer/caterpillar English loanwords common in Lebanon","BUILD_FULL_LEXICON_SEED","build_full_lexicon_fixed_v2.py","Beirut/Levant","LOW","false","LOW","PENDING_NATIVE_REVIEW","UNASSIGNED","UNREVIEWED","CORE_VOCAB_REVIEW","2026-05-20T12:01:33Z","2026-05-20T13:13:17Z"
"ARZ-CAND-0386","عمود إنارة","light pole / street lamp pole","ROADS","ALL_SUPPORT","noun_infra","3amoud nour;3amoud ishara;3amoud kahraba;3amoud;poteau;3amoud l share3","A/A/A/A/B/A","3=ع required; poteau French loanword also used","BUILD_FULL_LEXICON_SEED","build_full_lexicon_fixed_v2.py","Beirut/Levant","LOW","false","LOW","PENDING_NATIVE_REVIEW","UNASSIGNED","UNREVIEWED","GENERAL_WORD_BANK_OR_STOPLIST","2026-05-20T12:01:33Z","2026-05-20T13:13:17Z"
"ARZ-CAND-0387","ممر مشاة","pedestrian crossing","ROADS","ALL_SUPPORT","noun_infra","mammar msheh;mammar mshayye;zebra;passage piéton;5outout zebra;mammar","A/A/A/B/B/A","zebra most Beiruti slang for pedestrian crossing (from French/English)","BUILD_FULL_LEXICON_SEED","build_full_lexicon_fixed_v2.py","Beirut/Levant","LOW","false","LOW","PENDING_NATIVE_REVIEW","UNASSIGNED","UNREVIEWED","GENERAL_WORD_BANK_OR_STOPLIST","2026-05-20T12:01:33Z","2026-05-20T13:13:17Z"
"ARZ-CAND-0388","موقف سيارات","parking lot / space","ROADS","ALL_SUPPORT","noun_infra","maw2ef;maw2af;parking;l parking;maw2ef sayyara;parkinge","A/B/A/A/A/B","2=ق in maw2ef; parking English loanword dominant in Lebanese","BUILD_FULL_LEXICON_SEED","build_full_lexicon_fixed_v2.py","Beirut/Levant","LOW","false","LOW","PENDING_NATIVE_REVIEW","UNASSIGNED","UNREVIEWED","GENERAL_WORD_BANK_OR_STOPLIST","2026-05-20T12:01:33Z","2026-05-20T13:13:17Z"
"ARZ-CAND-0389","شجرة ساقطة","fallen tree","ROADS","ROAD_BLOCKED","noun_infra","shajar seket;shajre sak3a;shajar 3al tari2;shajara saktet;shajar nkassar","A/A/A/A/B","3=ع in 3al; seket/saktet = fell; no special markers in shajar","BUILD_FULL_LEXICON_SEED","build_full_lexicon_fixed_v2.py","Beirut/Levant","LOW","false","LOW","PENDING_NATIVE_REVIEW","UNASSIGNED","UNREVIEWED","CORE_VOCAB_REVIEW","2026-05-20T12:01:33Z","2026-05-20T13:13:17Z"
"ARZ-CAND-0390","صخرة / انزلاق تربة","fallen rock / landslide","ROADS","ROAD_BLOCKED","noun_infra","sa5ra saktet;sa5ra 3al tari2;nzela2 turbe;n7iyaz ard;sa5ra nkassar;tasatte7","A/A/B/B/B/C","5=خ in sa5ra; 3=ع in 3al; nzela2 = slide; n7iyaz = subsidence","BUILD_FULL_LEXICON_SEED","build_full_lexicon_fixed_v2.py","Beirut/Levant","HIGH","false","LOW","PENDING_NATIVE_REVIEW","UNASSIGNED","UNREVIEWED","CORE_VOCAB_REVIEW","2026-05-20T12:01:33Z","2026-05-20T13:13:17Z"
