context_id,entity_id,topic,fact,operational_implication,source_ids,confidence,notes
WCTX-001,ALL,national_strategy,"Lebanon's National Water Strategy 2024-2035 identifies four pillars: enhanced water security, improved provision of public services, sustainable utilities, and good governance/leadership.","Use as sector policy context only; do not route citizen field complaints to MEW just because a case concerns national strategy.",SRC-MEW-NWSS-2024-2035;SRC-FAOLEX-NWSS-2024-2035,high,MEW is policy lead; WEs remain first-line operational entities for ordinary complaints.
WCTX-002,ALL,non_revenue_water_target,"The 2024-2035 strategy targets reducing non-revenue water by 25 percentage points from an estimated national average of 50% by 2035.","Leaks and illegal connections are sector-priority issues, but no individual repair SLA is implied.",SRC-FAOLEX-NWSS-2024-2035,high,Useful for prioritization and analytics; not promise-making.
WCTX-003,ALL,digital_transformation,"The 2024-2035 strategy targets full digital transformation of Water Establishments by 2035.","Digital channels may expand over time; keep app/e-service facts date-stamped and source-backed.",SRC-FAOLEX-NWSS-2024-2035,high,Supports periodic refresh of online channel inventory.
WCTX-004,ALL,energy_cost_reduction,"The 2024-2035 strategy targets reducing water-sector energy cost by 30% through efficiency and renewable-energy practices by 2035.","Power-related pumping failures are plausible operational context, but citizen routing remains to the relevant WE unless clear EDL/public-safety evidence exists.",SRC-FAOLEX-NWSS-2024-2035,high,Do not convert water outages into electricity complaints automatically.
WCTX-005,ALL,water_quality_governance,"The 2024-2035 strategy places water quality high in MEW priorities and refers to a national water quality monitoring plan.","Dirty-water complaints should remain WE-primary with HITL/public-health/MOE escalation when contamination scope is broader than a tap/building.",SRC-FAOLEX-NWSS-2024-2035,medium_high,Strategy source is policy-level; not a local incident-intake page.
WCTX-006,BMLWE,greater_beirut_program,"The 2025 World Bank Second Greater Beirut Water Supply Project aims to improve services for 1.8 million people in Greater Beirut and Mount Lebanon and raise dry-season surface water supply share from 24% to 70% on average.","Use for BMLWE strategic service context; do not promise improved service to a specific citizen complaint.",SRC-WB-SGBWSP-2025,high,World Bank institutional source; project benefits are program targets.
WCTX-007,BMLWE,bmlwe_efficiency_measures,"The World Bank states the project supports BMLWE efficiency measures: reducing water losses, digitalizing processes, enhancing billing and collection, and improving operational management.","Use to justify tracking BMLWE loss, billing, and digital-service evidence over time.",SRC-WB-SGBWSP-2025,high,Not a complaint SLA.
WCTX-008,LRA,litani_qaraoun_pollution,"The World Bank Lake Qaraoun project objective is to reduce untreated municipal sewage discharged into the Litani River and improve pollution management around Qaraoun Lake.","River/Litani/Qaraoun pollution complaints need LRA/MOE/HITL boundary handling rather than ordinary household WE routing alone.",SRC-WB-QARAOUN-2016,high,Supports environmental boundary conditions.
WCTX-009,ALL,public_system_constraints,"UNICEF states Lebanon's public water systems have struggled to consistently operate pumps, treat water effectively, or conduct maintenance since the crisis started in 2019.","Keep restoration-time claims conservative; outages may reflect energy, fuel, repair, or treatment constraints.",SRC-UNICEF-WASH-PROGRAMME,high,Institutional context; not entity-specific SLA.
WCTX-010,ALL,private_trucking_dependency,"UNICEF states many households depend on costly and often poor-quality private water trucking because public systems are strained.","Private water-truck complaints should not be routed to WEs unless the complaint concerns public-network failure or official service substitution.",SRC-UNICEF-WASH-PROGRAMME,high,Useful false-positive guardrail.
WCTX-011,ALL,unicef_2024_support,"UNICEF reports 2024 WASH support including over 500 water-system repairs, solarization of 14 water stations, support to 16 wastewater treatment plants, chlorine supplies, lab equipment, and coordination with WEs.","Trusted evidence that WEs rely on partner support during crisis; do not infer official citizen response times.",SRC-UNICEF-WASH-PROGRAMME,high,Keep as sector-resilience context.
WCTX-012,NLWE,cholera_prevention_context,"UNICEF states chlorine support was coordinated with NLWE as part of cholera prevention and response.","Water-quality or disease-risk complaints in NLWE area should carry public-health/HITL sensitivity when symptoms or outbreak language appears.",SRC-UNICEF-WASH-PROGRAMME,medium_high,Operational inference from institutional programme text.
