arabizi_variant,master_normalized,master_arabic,master_english,master_category,master_confidence,master_pos,current_vocab_canonical,current_vocab_arabic,current_vocab_sector,current_vocab_scope,quality_flag,decision,reason,hard_neg_reason
saba7o,saba7o,صباحو,morning,greetings,high,phrase,saba7_morning,صباح,ALL,support_only_not_issue_label,,meaning_conflict,master_arabic='صباحو' vs vocab_arabic='صباح',meaning_conflict_with_vocab
saba7oo,saba7o,صباحو,morning,greetings,high,phrase,saba7_morning,صباح,ALL,support_only_not_issue_label,,meaning_conflict,master_arabic='صباحو' vs vocab_arabic='صباح',meaning_conflict_with_vocab
emten,emta,إمتى,when,questions,high,question_word,amtin_adv,آمتين,,,,meaning_conflict,master_arabic='إمتى' vs vocab_arabic='آمتين',meaning_conflict_with_vocab
hal2a,hala2,هلّق,now,time,high,adverb,halla2_now,هلق,ALL,support_only_not_issue_label,,meaning_conflict,master_arabic='هلّق' vs vocab_arabic='هلق',meaning_conflict_with_vocab
heide,hayde,هيدي,this,daily_phrases,high,pronoun,hayda_dem,هيدا,,,,meaning_conflict,master_arabic='هيدي' vs vocab_arabic='هيدا',meaning_conflict_with_vocab
baddak,baddak,بدك,you want,verbs,high,verb,bade,بدي,,,,meaning_conflict,master_arabic='بدك' vs vocab_arabic='بدي',meaning_conflict_with_vocab
baddik,baddik,بدِك,you want,verbs,high,verb,bade,بدي,,,,meaning_conflict,master_arabic='بدِك' vs vocab_arabic='بدي',meaning_conflict_with_vocab
may,may,مي,water,food,high,noun,may,ماء,WATER,routeable_core_issue_term,,meaning_conflict,master_arabic='مي' vs vocab_arabic='ماء',meaning_conflict_with_vocab|support_word_scoped_routeable_in_vocab
zahe2,zahe2,زهقان,bored / fed up,emotions,high,adjective,zaha2_adj,زهق,,,,meaning_conflict,master_arabic='زهقان' vs vocab_arabic='زهق',meaning_conflict_with_vocab
3ammo,3ammo,عمّو,uncle,family,high,noun,3ammo_noun,عمو,,,,meaning_conflict,master_arabic='عمّو' vs vocab_arabic='عمو',meaning_conflict_with_vocab
3amo,3ammo,عمّو,uncle,family,high,noun,3ammo_noun,عمو,,,,meaning_conflict,master_arabic='عمّو' vs vocab_arabic='عمو',meaning_conflict_with_vocab
3amou,3ammo,عمّو,uncle,family,high,noun,3ammo_noun,عمو,,,,meaning_conflict,master_arabic='عمّو' vs vocab_arabic='عمو',meaning_conflict_with_vocab
bus,bus,باص,bus,transportation,high,noun,otobis,أوتوبيس,ROADS,support_only_not_issue_label,,meaning_conflict,master_arabic='باص' vs vocab_arabic='أوتوبيس',meaning_conflict_with_vocab
dawer,dawer,دوّر,turn / look around,directions,high,verb,dawwar,دوار,ROADS,,,meaning_conflict,master_arabic='دوّر' vs vocab_arabic='دوار',meaning_conflict_with_vocab
mabsoute,mabsoute,مبسوطة,happy (fem),emotions,high,adjective,mabsout_adj,مبسوط,,,,meaning_conflict,master_arabic='مبسوطة' vs vocab_arabic='مبسوط',meaning_conflict_with_vocab
