district_code,name_en,name_ar,governorate_en,governorate_ar,lat,lon,water_authority_abbr,water_authority_en,water_authority_ar,municipality_en,municipality_ar,is_beirut_subdistrict,notes
BEI_HAMRA,Hamra,الحمرا,Beirut,بيروت,33.8897,35.4800,BMLWE,Beirut and Mount Lebanon Water Establishment,مؤسسة مياه بيروت وجبل لبنان,Beirut Municipality,بلدية بيروت,true,""
BEI_ACHRAFIEH,Achrafieh,الأشرفية,Beirut,بيروت,33.8895,35.5090,BMLWE,Beirut and Mount Lebanon Water Establishment,مؤسسة مياه بيروت وجبل لبنان,Beirut Municipality,بلدية بيروت,true,""
BEI_VERDUN,Verdun,فردان,Beirut,بيروت,33.8810,35.4905,BMLWE,Beirut and Mount Lebanon Water Establishment,مؤسسة مياه بيروت وجبل لبنان,Beirut Municipality,بلدية بيروت,true,""
BEI_MAZRAA,Mazraa,المزرعة,Beirut,بيروت,33.8787,35.4945,BMLWE,Beirut and Mount Lebanon Water Establishment,مؤسسة مياه بيروت وجبل لبنان,Beirut Municipality,بلدية بيروت,true,""
BEI_RASBEIRUT,Ras Beirut,رأس بيروت,Beirut,بيروت,33.8946,35.4771,BMLWE,Beirut and Mount Lebanon Water Establishment,مؤسسة مياه بيروت وجبل لبنان,Beirut Municipality,بلدية بيروت,true,""
BEI_BOURJHAMMOUD,Bourj Hammoud,برج حمود,Beirut,بيروت,33.8955,35.5509,BMLWE,Beirut and Mount Lebanon Water Establishment,مؤسسة مياه بيروت وجبل لبنان,Bourj Hammoud Municipality,بلدية برج حمود,true,"Separate municipality from Beirut proper; verify in GPS boundary check"
BEI_GEMMAYZE,Gemmayze,الجميزة,Beirut,بيروت,33.8879,35.5158,BMLWE,Beirut and Mount Lebanon Water Establishment,مؤسسة مياه بيروت وجبل لبنان,Beirut Municipality,بلدية بيروت,true,""
BEI_MARMIKHAEL,Mar Mikhael,مار مخايل,Beirut,بيروت,33.8863,35.5225,BMLWE,Beirut and Mount Lebanon Water Establishment,مؤسسة مياه بيروت وجبل لبنان,Beirut Municipality,بلدية بيروت,true,""
BEI_BASTA,Basta,الباسطة,Beirut,بيروت,33.8761,35.5017,BMLWE,Beirut and Mount Lebanon Water Establishment,مؤسسة مياه بيروت وجبل لبنان,Beirut Municipality,بلدية بيروت,true,""
BEI_RAOUCHE,Raouche,الروشة,Beirut,بيروت,33.8944,35.4700,BMLWE,Beirut and Mount Lebanon Water Establishment,مؤسسة مياه بيروت وجبل لبنان,Beirut Municipality,بلدية بيروت,true,""
BEI_DOWNTOWN,Downtown,وسط المدينة,Beirut,بيروت,33.8888,35.5026,BMLWE,Beirut and Mount Lebanon Water Establishment,مؤسسة مياه بيروت وجبل لبنان,Beirut Municipality,بلدية بيروت,true,"Solidere district; CDR has infrastructure jurisdiction for reconstruction zones"
BEI_TARIKJDIDE,Tarik el-Jdide,طريق الجديدة,Beirut,بيروت,33.8694,35.4949,BMLWE,Beirut and Mount Lebanon Water Establishment,مؤسسة مياه بيروت وجبل لبنان,Beirut Municipality,بلدية بيروت,true,""
BEI_SABRA,Sabra,صبرا,Beirut,بيروت,33.8641,35.5047,BMLWE,Beirut and Mount Lebanon Water Establishment,مؤسسة مياه بيروت وجبل لبنان,Beirut Municipality,بلدية بيروت,true,""
BEI_BIRHASSAN,Bir Hassan,بئر حسن,Beirut,بيروت,33.8555,35.4941,BMLWE,Beirut and Mount Lebanon Water Establishment,مؤسسة مياه بيروت وجبل لبنان,Beirut Municipality,بلدية بيروت,true,""
BEI_SANAYEH,Sanayeh,الصنائع,Beirut,بيروت,33.8839,35.4882,BMLWE,Beirut and Mount Lebanon Water Establishment,مؤسسة مياه بيروت وجبل لبنان,Beirut Municipality,بلدية بيروت,true,""
BEI_CORNICHMAZRAA,Corniche Mazraa,كورنيش المزرعة,Beirut,بيروت,33.8748,35.4971,BMLWE,Beirut and Mount Lebanon Water Establishment,مؤسسة مياه بيروت وجبل لبنان,Beirut Municipality,بلدية بيروت,true,""
BEI_BADARO,Badaro,بدارو,Beirut,بيروت,33.8795,35.5114,BMLWE,Beirut and Mount Lebanon Water Establishment,مؤسسة مياه بيروت وجبل لبنان,Beirut Municipality,بلدية بيروت,true,""
BEI_AINMREISSEH,Ain Mreisseh,عين المريسة,Beirut,بيروت,33.8953,35.4832,BMLWE,Beirut and Mount Lebanon Water Establishment,مؤسسة مياه بيروت وجبل لبنان,Beirut Municipality,بلدية بيروت,true,""
GBT_SINELFIL,Sin el-Fil,سن الفيل,Mount Lebanon,جبل لبنان,33.8886,35.5564,BMLWE,Beirut and Mount Lebanon Water Establishment,مؤسسة مياه بيروت وجبل لبنان,Sin el-Fil Municipality,بلدية سن الفيل,false,""
GBT_DEKWANEH,Dekwaneh,الدكوانة,Mount Lebanon,جبل لبنان,33.8864,35.5653,BMLWE,Beirut and Mount Lebanon Water Establishment,مؤسسة مياه بيروت وجبل لبنان,Dekwaneh Municipality,بلدية الدكوانة,false,""
GBT_DORA,Dora,الدورة,Mount Lebanon,جبل لبنان,33.8961,35.5700,BMLWE,Beirut and Mount Lebanon Water Establishment,مؤسسة مياه بيروت وجبل لبنان,Bourj Hammoud Municipality,بلدية برج حمود,false,"Dora interchange falls under Metn district"
GBT_JDEIDEH,Jdeideh,الجديدة,Mount Lebanon,جبل لبنان,33.8967,35.5800,BMLWE,Beirut and Mount Lebanon Water Establishment,مؤسسة مياه بيروت وجبل لبنان,Jdeideh-Burj Hammoud Municipality,بلدية الجديدة-برج حمود,false,""
GBT_DBAYEH,Dbayeh,ضبيه,Mount Lebanon,جبل لبنان,33.9306,35.5856,BMLWE,Beirut and Mount Lebanon Water Establishment,مؤسسة مياه بيروت وجبل لبنان,Dbayeh Municipality,بلدية ضبيه,false,""
GBT_JOUNIEH,Jounieh,جونيه,Mount Lebanon,جبل لبنان,33.9833,35.6167,BMLWE,Beirut and Mount Lebanon Water Establishment,مؤسسة مياه بيروت وجبل لبنان,Jounieh Municipality,بلدية جونيه,false,""
GBT_JBEIL,Jbeil (Byblos),جبيل,Mount Lebanon,جبل لبنان,34.1239,35.6492,BMLWE,Beirut and Mount Lebanon Water Establishment,مؤسسة مياه بيروت وجبل لبنان,Jbeil Municipality,بلدية جبيل,false,""
GBT_BAABDA,Baabda,بعبدا,Mount Lebanon,جبل لبنان,33.8306,35.5500,BMLWE,Beirut and Mount Lebanon Water Establishment,مؤسسة مياه بيروت وجبل لبنان,Baabda Municipality,بلدية بعبدا,false,"Capital of Baabda district and Mount Lebanon governorate"
GBT_ALEY,Aley,عاليه,Mount Lebanon,جبل لبنان,33.8021,35.5994,BMLWE,Beirut and Mount Lebanon Water Establishment,مؤسسة مياه بيروت وجبل لبنان,Aley Municipality,بلدية عاليه,false,""
GBT_HADATH,Hadath,الحدث,Mount Lebanon,جبل لبنان,33.8500,35.5336,BMLWE,Beirut and Mount Lebanon Water Establishment,مؤسسة مياه بيروت وجبل لبنان,Hadath Municipality,بلدية الحدث,false,""
GBT_CHOUEIFAT,Choueifat,الشويفات,Mount Lebanon,جبل لبنان,33.8181,35.5086,BMLWE,Beirut and Mount Lebanon Water Establishment,مؤسسة مياه بيروت وجبل لبنان,Choueifat Municipality,بلدية الشويفات,false,""
GBT_ZAHLE,Zahleh,زحلة,Bekaa,البقاع,33.8463,35.9030,BWE,Bekaa Water Establishment,مؤسسة مياه البقاع,Zahleh Municipality,بلدية زحلة,false,"Capital of Bekaa governorate; served by BWE"
GBT_CHTAURA,Chtaura,شتورا,Bekaa,البقاع,33.8167,35.8583,BWE,Bekaa Water Establishment,مؤسسة مياه البقاع,Taalabaya-Chtaura Municipality,بلدية تعلبايا-شتورا,false,""
NLB_TRIPOLI,Tripoli,طرابلس,North Lebanon,لبنان الشمالي,34.4381,35.8497,NLWE,North Lebanon Water Establishment,مؤسسة مياه لبنان الشمالي,Tripoli Municipality,بلدية طرابلس,false,"Second largest city in Lebanon; major northern hub"
NLB_BATROUN,Batroun,البترون,North Lebanon,لبنان الشمالي,34.2589,35.6581,NLWE,North Lebanon Water Establishment,مؤسسة مياه لبنان الشمالي,Batroun Municipality,بلدية البترون,false,""
NLB_ZGHARTA,Zgharta,زغرتا,North Lebanon,لبنان الشمالي,34.3952,35.8927,NLWE,North Lebanon Water Establishment,مؤسسة مياه لبنان الشمالي,Zgharta Municipality,بلدية زغرتا,false,""
NLB_KOURA,Koura (Kousba),الكورة,North Lebanon,لبنان الشمالي,34.3080,35.7800,NLWE,North Lebanon Water Establishment,مؤسسة مياه لبنان الشمالي,Kousba Municipality,بلدية كوسبا,false,"Koura district capital area"
