complaint_type_id,category,complaint_type,arabizi_example,arabic_lebanese_example,default_primary_entity_selector,hitl_default,minimum_location_precision,routing_notes,status,last_verified
CT-WASTE-001,waste_sanitation,garbage_not_collected,zbele ma ndafat men l shere3,الزبالة ما تنظفت من الشارع,MUN_DYNAMIC,false,municipality,Municipality default; union/contractor if specific source says so.,seed,2026-05-29
CT-WASTE-002,waste_sanitation,illegal_dumping_public_land,fi ramye zbele 3al raseef,في رمية زبالة عالرصيف,MUN_DYNAMIC,false,municipality,"Municipality/union; if hazardous waste, HITL and MoE/regulator.",seed,2026-05-29
CT-WASTE-003,waste_sanitation,overflowing_bins,l konteiner feyed zbele,الكونتينر فايد زبالة,MUN_DYNAMIC,false,municipality,Local collection/cleanliness issue.,seed,2026-05-29
CT-WASTE-004,waste_sanitation,landfill_or_dump_fire,fi nar b makab zbele,في نار بمكب زبالة,CIVIL_DEFENSE,true,municipality_or_known_site,Emergency first; municipality/union/MoE/CDR context after safety.,seed,2026-05-29
CT-WASTE-005,waste_sanitation,hazardous_or_medical_waste,fi zbele khatira bl tari2,في زبالة خطيرة بالطريق,MUN_DYNAMIC,true,municipality,"HITL because health/environment risk; may involve MoE, municipality, ISF.",seed,2026-05-29
CT-WASTE-006,waste_sanitation,street_sweeping_needed,l shere3 bado tandeef,الشارع بدو تنظيف,MUN_DYNAMIC,false,municipality,Municipal cleanliness/default.,seed,2026-05-29
CT-ROAD-001,roads_public_works,local_road_pothole,fi joure bl tari2 l dekhle,في جورة بالطريق الداخلية,MUN_DYNAMIC,false,municipality,Municipality default when road is clearly local/internal.,seed,2026-05-29
CT-ROAD-002,roads_public_works,classified_or_main_road_damage,fi joure 3al tari2 l 3am,في جورة عالطريق العام,MPWT,true,municipality_district_road_class,"Need road class; if unclear, HITL or dual route.",seed,2026-05-29
CT-ROAD-003,roads_public_works,bridge_damage,l jeser m2ashar aw mdamman,الجسر متضرر,MPWT,true,exact_location,Potential safety/road-class issue; emergency if collapse risk.,seed,2026-05-29
CT-ROAD-004,roads_public_works,sidewalk_damage,l raseef mkassar,الرصيف مكسر,MUN_DYNAMIC,false,municipality,Local municipality default.,seed,2026-05-29
CT-ROAD-005,roads_public_works,road_blocked_by_debris,fi rdem mesakker l tari2,في ردم مسكر الطريق,MUN_DYNAMIC,true,exact_location,Municipality/local works; Civil Defense/ISF if danger or blocked critical road.,seed,2026-05-29
CT-ROAD-006,roads_public_works,snow_or_storm_road_closure,l tari2 msakkra mn l talj,الطريق مسكرة من التلج,MUN_DYNAMIC,true,municipality_district_altitude,Municipality/MPWT/Civil Defense depending road class and emergency.,seed,2026-05-29
CT-ROAD-007,roads_public_works,unsafe_road_sign_or_missing_barrier,ma fi 7ajez 7ad l 7affe,ما في حاجز حد الحافة,MUN_DYNAMIC,true,exact_location,Safety-sensitive; road class determines MUN vs MPWT.,seed,2026-05-29
CT-DRAIN-001,drainage_flooding,blocked_storm_drain_local,l majrour msakkar w l may fayda,المجرور مسكر والمي فايدة,MUN_DYNAMIC,false,municipality,Municipality default for local storm drain.,seed,2026-05-29
CT-DRAIN-002,drainage_flooding,main_road_flooding,l tari2 l 3am ghare2a,الطريق العام غرقانة,MPWT,true,road_class_or_exact_location,MPWT if public/classified road; municipality if local; HITL when ambiguous.,seed,2026-05-29
CT-DRAIN-003,drainage_flooding,rainwater_not_discharging,may l shete ma 3am trou7,مي الشتي ما عم تروح,MUN_DYNAMIC,false,municipality,Municipality/local drainage default.,seed,2026-05-29
CT-DRAIN-004,drainage_flooding,sewage_overflow_public,l majareer fayda bl shere3,المجارير فايدة بالشارع,WATER_ESTABLISHMENT_BY_LOCATION,true,municipality,Could be water establishment/sewerage/municipality; HITL if public health risk.,seed,2026-05-29
CT-WATER-001,water,water_outage_area,ma fi may bl 7ay,ما في مي بالحي,WATER_ESTABLISHMENT_BY_LOCATION,false,municipality,Route by municipality→water establishment map.,seed,2026-05-29
CT-WATER-002,water,dirty_water_from_tap,l may 3am tetla3 weskha mn l 7anafeye,المي عم تطلع وسخة من الحنفية,WATER_ESTABLISHMENT_BY_LOCATION,false,municipality,Water establishment; health warning/HITL if widespread/unsafe.,seed,2026-05-29
CT-WATER-003,water,public_water_pipe_leak,fi shreet may maftou7 bl shere3,في شريط مي مفتوح بالشارع,WATER_ESTABLISHMENT_BY_LOCATION,false,exact_location,Water network leak; municipality can forward but not final resolver.,seed,2026-05-29
CT-WATER-004,water,water_pressure_low,daghet l may ktir wate,ضغط المي كتير واطي,WATER_ESTABLISHMENT_BY_LOCATION,false,municipality,Water establishment.,seed,2026-05-29
CT-WATER-005,water,water_meter_or_bill_issue,fetoura l may ghalta,فاتورة المي غلط,WATER_ESTABLISHMENT_BY_LOCATION,false,subscriber_area,Customer-service issue for relevant WE.,seed,2026-05-29
CT-WATER-006,water,irrigation_water_issue,may l rejeh ma 3am tousal lal arade,مي الري ما عم توصل للأراضي,WATER_ESTABLISHMENT_BY_LOCATION,true,municipality_area,Could be BWE/LRA/irrigation project; HITL until area/project known.,seed,2026-05-29
CT-ELEC-001,electricity,area_power_outage,l kahraba ray7a mn l sob7,الكهربا رايحة من الصبح,EDL,false,municipality,EDL grid default; concession/private generator exceptions.,seed,2026-05-29
CT-ELEC-002,electricity,exposed_electric_wires,shortan l kahraba mkaashfin,شرطان الكهربا مكشفين,EDL,true,exact_location,Danger: route to EDL + emergency/HITL; don't delay on admin ambiguity.,seed,2026-05-29
CT-ELEC-003,electricity,sparking_wire_or_box,sando2 l kahraba 3am yshar2et,صندوق الكهربا عم يشرقط,EDL,true,exact_location,Immediate hazard; EDL + Civil Defense/ISF if danger.,seed,2026-05-29
CT-ELEC-004,electricity,street_light_out,daw l shere3 ma 3am ydawe,ضو الشارع ما عم يضوي,MUN_DYNAMIC,false,municipality_street,"Often municipality/public lighting, but EDL if supply/pole/grid issue.",seed,2026-05-29
CT-ELEC-005,electricity,transformer_fault,l transformer kharben,الترانسفورمر خربان,EDL,true,exact_location,EDL grid equipment; HITL if fire/noise/sparks.,seed,2026-05-29
CT-ELEC-006,electricity,electric_meter_issue,l compteur kharben,الكونتور خربان,EDL,false,subscriber_area,EDL/customer issue unless private generator meter.,seed,2026-05-29
CT-ELEC-007,electricity,private_generator_issue,moteur l eshtirak ma 3am yshaghel,موتور الاشتراك ما عم يشغل,PRIVATE_GENERATOR_OR_MUNICIPALITY_IF_LICENSED,true,neighborhood,Not EDL by default; may be private/local regulatory issue.,seed,2026-05-29
CT-TEL-001,telecom,fixed_internet_outage,l internet 3am y2atte3,الإنترنت عم يقطع,OGERO,false,municipality_or_line,OGERO if fixed line/copper/fiber; mobile operator if cellular.,seed,2026-05-29
CT-TEL-002,telecom,landline_down,l telephone l arde ma 3am yshteghol,التلفون الأرضي ما عم يشتغل,OGERO,false,line_area,OGERO fixed-line default.,seed,2026-05-29
CT-TEL-003,telecom,telecom_cable_cut,cable l internet ma2tou3,كابل الإنترنت مقطوع,OGERO,true,exact_location,OGERO/public telecom infrastructure; HITL if road/electrical hazard.,seed,2026-05-29
CT-TEL-004,telecom,telecom_cabinet_open_or_damaged,kabinet ogero maftou7,كابينة أوجيرو مفتوحة,OGERO,false,exact_location,OGERO infrastructure; safety HITL if exposed electricity/traffic risk.,seed,2026-05-29
CT-TEL-005,telecom,mobile_network_outage,l cellular ma fi signal,السيلولار ما في سيغنال,MOBILE_OPERATOR_OR_TRA,false,municipality,Not OGERO unless fixed-line; need operator or regulator data.,seed,2026-05-29
CT-SAFE-001,public_safety,fire_public_area,fi 7ari2 7ad l byout,في حريق حد البيوت,CIVIL_DEFENSE,true,exact_location,"Emergency; Civil Defense first, municipality/ISF secondary.",seed,2026-05-29
CT-SAFE-002,public_safety,building_collapse_risk,l bina m2ashar w khatar,البنا مقشر وخطر,MUN_DYNAMIC,true,exact_location,Municipality/building safety + Civil Defense if immediate danger; HITL.,seed,2026-05-29
CT-SAFE-003,public_safety,crime_or_threat,fi tahdid aw mochklet amen,في تهديد أو مشكلة أمن,ISF,true,exact_location,ISF/emergency path; do not route to municipality only.,seed,2026-05-29
CT-SAFE-004,public_safety,traffic_accident_or_danger,fi 7adis w tari2 msakkra,في حادث والطريق مسكرة,ISF,true,exact_location,ISF/traffic + Civil Defense/Red Cross if injuries; HITL.,seed,2026-05-29
CT-SAFE-005,public_safety,dangerous_tree_or_pole,3amoud aw shajra 3am te2a3,عمود أو شجرة عم تقع,MUN_DYNAMIC,true,exact_location,Municipality/EDL/MPWT depending object; HITL because danger.,seed,2026-05-29
CT-SAFE-006,public_safety,stray_animals_public_risk,fi kleb sharise bl shere3,في كلاب شرسة بالشارع,MUN_DYNAMIC,true,municipality,Municipality/public safety + animal welfare; HITL for danger.,seed,2026-05-29
CT-MUNI-001,municipal_enforcement,illegal_parking_blocking_access,sayara msakkra l raseef,سيارة مسكرة الرصيف,MUNICIPAL_POLICE_DYNAMIC,false,exact_location,Municipal police/local enforcement; ISF if serious traffic/public-order issue.,seed,2026-05-29
CT-MUNI-002,municipal_enforcement,noise_complaint_local,fi dawshra bel layl,في ضجة بالليل,MUNICIPAL_POLICE_DYNAMIC,true,municipality,Municipal police/ISF boundary; HITL when conflict/threat/private details.,seed,2026-05-29
CT-MUNI-003,municipal_enforcement,public_space_obstruction,fi bsata sakra l tari2,في بسطة سكرا الطريق,MUNICIPAL_POLICE_DYNAMIC,false,municipality,Municipality/municipal police unless threat/traffic hazard.,seed,2026-05-29
CT-MUNI-004,municipal_enforcement,illegal_construction_visible,fi beneye 3am tet3ammar bala rekhsse,في بناية عم تتعمر بلا رخصة,MUN_DYNAMIC,true,parcel_or_municipality,Municipality/Urban Planning/ISF depending evidence; HITL.,seed,2026-05-29
CT-MUNI-005,municipal_enforcement,municipal_permit_or_license,bade es2al 3an rekhsit ma7al,بدي اسأل عن رخصة محل,MUN_DYNAMIC,false,municipality,Municipality service/inquiry.,seed,2026-05-29
CT-ENV-001,environment,air_pollution_smoke,fi dkhan mdaye2 l 7ay,في دخان مضايق الحي,MUN_DYNAMIC,true,exact_location,Municipality first if local source; MoE/HITL if industrial/hazardous.,seed,2026-05-29
CT-ENV-002,environment,industrial_pollution,masna3 3am ykabb wasakh bl wadi,مصنع عم يكب وسخ بالوادي,MOE,true,exact_location,MoE/regulator + municipality; evidence/HITL required.,seed,2026-05-29
CT-ENV-003,environment,river_or_stream_pollution,l nahr mwasakh w ri7to awye,النهر موسخ وريحته قوية,MOE,true,exact_location,MoE/water authority/municipality; HITL for source ambiguity.,seed,2026-05-29
CT-ENV-004,environment,quarry_or_crusher_issue,ksara 3am t2awes aw tghabber,كسارة عم تقوس أو تغبر,MOE_OR_MOEW_OR_LOCAL_AUTHORITY,true,exact_location,Quarries/crushers need regulatory mapping; HITL.,seed,2026-05-29
CT-ADMIN-001,administrative,municipality_not_responding,l baladiye ma 3am tred,البلدية ما عم ترد,MUN_DYNAMIC,false,municipality,Follow local channel first; escalate if repeated/serious.,seed,2026-05-29
CT-ADMIN-002,administrative,public_body_corruption_or_misconduct,fi fasad aw mouzaf ma 3am yse3ed,في فساد أو موظف ما عم يساعد,CENTRAL_INSPECTION,true,entity,Oversight/complaint path; needs careful evidence/privacy.,seed,2026-05-29
CT-ADMIN-003,administrative,service_request_status,bade a3ref wen sar talab l baladiye,بدي أعرف وين صار طلب البلدية,DGLAC_OR_MUN_DYNAMIC,false,form_id_or_municipality,DGLAC only if DGLAC form; otherwise municipality.,seed,2026-05-29
CT-ADMIN-004,administrative,complaint_against_public_administration,bade eshteke 3a edara 3amme,بدي اشتكي عإدارة عامة,CENTRAL_INSPECTION,true,entity,Central Inspection oversight path.,seed,2026-05-29
CT-PROJ-001,public_projects,active_public_works_complaint,l werche taraket l tari2 mkassar,الورشة تركت الطريق مكسر,MUN_DYNAMIC,true,project_location,MUN/MPWT/CDR/contractor depending project owner; HITL until source identifies project.,seed,2026-05-29
CT-PROJ-002,public_projects,cdr_project_complaint,mashrou3 cdr 3am y2azze l manta2a,مشروع مجلس الإنماء عم يأذي المنطقة,CDR,true,project_name_location,Only route to CDR if project is verified as CDR-related.,seed,2026-05-29
CT-PROJ-003,public_projects,roadwork_no_safety_barrier,l werche bala 7awajez,الورشة بلا حواجز,MUN_DYNAMIC,true,exact_location,Safety issue; owner depends on road/project; HITL.,seed,2026-05-29
CT-AMBIG-001,ambiguous,complaint_missing_location,fi may fayda bas ma 2al wen,في مي فايدة بس ما قال وين,HITL_LOCATION_REQUIRED,true,location_required,Cannot route safely without municipality/exact location.,seed,2026-05-29
CT-AMBIG-002,ambiguous,complaint_missing_domain,fi meshkle bl manta2a,في مشكلة بالمنطقة,HITL_CLARIFICATION_REQUIRED,true,location_and_domain,Need complaint type and location.,seed,2026-05-29
CT-TEL-006,telecom,connectivity_issue,l internet 3anna 3am yit2atte3 kello,الانترنت عنا عم ينقطع كل شوي,OGERO,true,municipality,General Ogero connectivity failure; HITL default until TELECOM sector is fully implemented.,seed,2026-05-29
CT-TEL-007,telecom,line_fault,l khat 3anna ma 3am yeshtaghel men ems,الخط عنا ما عم يشتغل من امبارح,OGERO,true,municipality,Fixed-line fault (DSL/VDSL/copper); route to Ogero repair team.,seed,2026-05-29
CT-TEL-008,telecom,service_unresponsive,Ogero ma 3ambtredd 3al talabat,أوجيرو ما عم ترد على الطلبات,OGERO,true,municipality,Ogero service desk unresponsive; HITL for escalation tracking.,seed,2026-05-29
CT-TEL-009,telecom,infrastructure_damage,l kabel taba3 Ogero mla3wi w mdammar,الكابل تبع أوجيرو ملاعوي ومدمر,OGERO,true,street,"Physical damage to Ogero infrastructure (cable, pole, cabinet); field repair needed.",seed,2026-05-29
CT-TEL-010,telecom,mobile_billing_or_regulatory_complaint,"Alfa rakkabtli fattoura ghalt, shakkait w ma hajou","ألفا ركبتلي فاتورة غلط، شكيت وما حلوا",TRA,false,none,"Escalated mobile operator complaint (billing dispute, unlawful disconnect, roaming overcharge). Route to TRA after operator fails to resolve. Use MOBILE_OP/operator first; TRA is the escalation regulator.",seed,2026-05-30
