municipality_id,municipality_key,name_en,name_ar,governorate_en,district_en,dglac_found,dglac_detail_status,official_website_status,complaint_form_status,municipal_app_status,official_social_status,news_trace_status,civic_tracker_status,public_forum_status,batch_status,priority_hint,next_search_queries,notes,rank,batch_id,batch_priority,priority_score,research_tier,recommended_next_action,reason_codes,dglac_form_available,dglac_website_found,dglac_email_found,official_search_queries,social_search_queries,news_search_queries
43597,beirut,,بيروت,Beirut,Beirut,yes,fetched,not_found,not_found,unknown,unknown,unknown,unknown,unknown,unbatched,needs_scoring,"""بيروت"" municipality Lebanon complaint | ""بيروت"" municipality Lebanon official website | ""بيروت"" municipality Lebanon Facebook | ""بيروت"" بلدية شكوى | ""بيروت"" بلدية فيسبوك",Official DGLAC detail fetched.,1,MUN-BATCH-001,P0,213,T1_seed_p0,run_full_source_matrix,seed_batch_p0;no_dglac_form;no_dglac_website;no_dglac_email;missing_english_name;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,no,no,no,"""بيروت"" municipality Lebanon official website | ""بيروت"" municipality complaint form | ""بيروت"" بلدية شكوى | ""بيروت"" بلدية الموقع الرسمي","site:facebook.com ""بيروت"" municipality | site:facebook.com ""بيروت"" بلدية | site:instagram.com ""بيروت"" municipality | site:x.com ""بيروت"" municipality","""بيروت"" municipality repair Lebanon | ""بيروت"" بلدية اصلاح | NNA ""بيروت"" municipality | ""بيروت"" water electricity waste road Lebanon"
64560,zahle,Zahlé,زحلة,Beqaa,Zahle,yes,fetched,not_found,not_found,unknown,unknown,unknown,unknown,unknown,unbatched,needs_scoring,"""Zahlé"" municipality Lebanon complaint | ""Zahlé"" municipality Lebanon official website | ""Zahlé"" municipality Lebanon Facebook | ""زحلة"" بلدية شكوى | ""زحلة"" بلدية فيسبوك",Official DGLAC detail fetched.,2,MUN-BATCH-001,P0,207,T1_seed_p0,run_full_source_matrix,seed_batch_p0;no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,no,no,no,"""Zahlé"" municipality Lebanon official website | ""Zahlé"" municipality complaint form | ""زحلة"" بلدية شكوى | ""زحلة"" بلدية الموقع الرسمي","site:facebook.com ""Zahlé"" municipality | site:facebook.com ""زحلة"" بلدية | site:instagram.com ""Zahlé"" municipality | site:x.com ""Zahlé"" municipality","""Zahlé"" municipality repair Lebanon | ""زحلة"" بلدية اصلاح | NNA ""Zahlé"" municipality | ""Zahlé"" water electricity waste road Lebanon"
59187,saida,Sidon,صيدا,South,Saida,yes,fetched,not_found,not_found,unknown,unknown,unknown,unknown,unknown,unbatched,needs_scoring,"""Sidon"" municipality Lebanon complaint | ""Sidon"" municipality Lebanon official website | ""Sidon"" municipality Lebanon Facebook | ""صيدا"" بلدية شكوى | ""صيدا"" بلدية فيسبوك",Official DGLAC detail fetched.,3,MUN-BATCH-001,P0,207,T1_seed_p0,run_full_source_matrix,seed_batch_p0;no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,no,no,no,"""Sidon"" municipality Lebanon official website | ""Sidon"" municipality complaint form | ""صيدا"" بلدية شكوى | ""صيدا"" بلدية الموقع الرسمي","site:facebook.com ""Sidon"" municipality | site:facebook.com ""صيدا"" بلدية | site:instagram.com ""Sidon"" municipality | site:x.com ""Sidon"" municipality","""Sidon"" municipality repair Lebanon | ""صيدا"" بلدية اصلاح | NNA ""Sidon"" municipality | ""Sidon"" water electricity waste road Lebanon"
51603,jounieh,Jounieh,جونيه,Mount Lebanon,Kesrouane,yes,fetched,not_found,needs_review,unknown,unknown,unknown,unknown,unknown,seed_batch,P0/P1_seed,"""Jounieh"" municipality Lebanon complaint | ""Jounieh"" municipality Lebanon official website | ""Jounieh"" municipality Lebanon Facebook | ""جونيه"" بلدية شكوى | ""جونيه"" بلدية فيسبوك",Official DGLAC detail fetched. Generic DGLAC municipality-form link present; not a verified local portal.,4,MUN-BATCH-001,P0,190,T1_seed_p0,run_full_source_matrix,seed_batch_p0;dglac_form_present_verify_workflow;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,yes,no,no,"""Jounieh"" municipality Lebanon official website | ""Jounieh"" municipality complaint form | ""جونيه"" بلدية شكوى | ""جونيه"" بلدية الموقع الرسمي","site:facebook.com ""Jounieh"" municipality | site:facebook.com ""جونيه"" بلدية | site:instagram.com ""Jounieh"" municipality | site:x.com ""Jounieh"" municipality","""Jounieh"" municipality repair Lebanon | ""جونيه"" بلدية اصلاح | NNA ""Jounieh"" municipality | ""Jounieh"" water electricity waste road Lebanon"
52449,tripoli,Tripoli,طرابلس,North,Tripoli,yes,fetched,not_found,needs_review,unknown,unknown,unknown,unknown,unknown,seed_batch,P0/P1_seed,"""Tripoli"" municipality Lebanon complaint | ""Tripoli"" municipality Lebanon official website | ""Tripoli"" municipality Lebanon Facebook | ""طرابلس"" بلدية شكوى | ""طرابلس"" بلدية فيسبوك",Official DGLAC detail fetched. Generic DGLAC municipality-form link present; not a verified local portal.,5,MUN-BATCH-001,P0,190,T1_seed_p0,run_full_source_matrix,seed_batch_p0;dglac_form_present_verify_workflow;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,yes,no,no,"""Tripoli"" municipality Lebanon official website | ""Tripoli"" municipality complaint form | ""طرابلس"" بلدية شكوى | ""طرابلس"" بلدية الموقع الرسمي","site:facebook.com ""Tripoli"" municipality | site:facebook.com ""طرابلس"" بلدية | site:instagram.com ""Tripoli"" municipality | site:x.com ""Tripoli"" municipality","""Tripoli"" municipality repair Lebanon | ""طرابلس"" بلدية اصلاح | NNA ""Tripoli"" municipality | ""Tripoli"" water electricity waste road Lebanon"
53499,halba,Halba,حلبا,Aakkar,Aakkar,yes,fetched,not_found,not_found,unknown,unknown,unknown,unknown,unknown,seed_batch,P0/P1_seed,"""Halba"" municipality Lebanon complaint | ""Halba"" municipality Lebanon official website | ""Halba"" municipality Lebanon Facebook | ""حلبا"" بلدية شكوى | ""حلبا"" بلدية فيسبوك",Official DGLAC detail fetched.,6,MUN-BATCH-003,P1,182,T1_seed_planned,run_full_source_matrix,seed_batch_p1;no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,no,no,no,"""Halba"" municipality Lebanon official website | ""Halba"" municipality complaint form | ""حلبا"" بلدية شكوى | ""حلبا"" بلدية الموقع الرسمي","site:facebook.com ""Halba"" municipality | site:facebook.com ""حلبا"" بلدية | site:instagram.com ""Halba"" municipality | site:x.com ""Halba"" municipality","""Halba"" municipality repair Lebanon | ""حلبا"" بلدية اصلاح | NNA ""Halba"" municipality | ""Halba"" water electricity waste road Lebanon"
58089,baalbek,Baalbek,بعلبك,Baalbek-Hermel,Baalbek,yes,fetched,not_found,not_found,unknown,unknown,unknown,unknown,unknown,seed_batch,P0/P1_seed,"""Baalbek"" municipality Lebanon complaint | ""Baalbek"" municipality Lebanon official website | ""Baalbek"" municipality Lebanon Facebook | ""بعلبك"" بلدية شكوى | ""بعلبك"" بلدية فيسبوك",Official DGLAC detail fetched.,7,MUN-BATCH-004,P1,182,T1_seed_planned,run_full_source_matrix,seed_batch_p1;no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,no,no,no,"""Baalbek"" municipality Lebanon official website | ""Baalbek"" municipality complaint form | ""بعلبك"" بلدية شكوى | ""بعلبك"" بلدية الموقع الرسمي","site:facebook.com ""Baalbek"" municipality | site:facebook.com ""بعلبك"" بلدية | site:instagram.com ""Baalbek"" municipality | site:x.com ""Baalbek"" municipality","""Baalbek"" municipality repair Lebanon | ""بعلبك"" بلدية اصلاح | NNA ""Baalbek"" municipality | ""Baalbek"" water electricity waste road Lebanon"
50442,bourj_hammoud,Bourj Hammoud,برج حمود,Mount Lebanon,Matn,yes,fetched,not_found,not_found,unknown,unknown,unknown,unknown,unknown,seed_batch,P0/P1_seed,"""Bourj Hammoud"" municipality Lebanon complaint | ""Bourj Hammoud"" municipality Lebanon official website | ""Bourj Hammoud"" municipality Lebanon Facebook | ""برج حمود"" بلدية شكوى | ""برج حمود"" بلدية فيسبوك",Official DGLAC detail fetched.,8,MUN-BATCH-002,P1,182,T1_seed_planned,run_full_source_matrix,seed_batch_p1;no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,no,no,no,"""Bourj Hammoud"" municipality Lebanon official website | ""Bourj Hammoud"" municipality complaint form | ""برج حمود"" بلدية شكوى | ""برج حمود"" بلدية الموقع الرسمي","site:facebook.com ""Bourj Hammoud"" municipality | site:facebook.com ""برج حمود"" بلدية | site:instagram.com ""Bourj Hammoud"" municipality | site:x.com ""Bourj Hammoud"" municipality","""Bourj Hammoud"" municipality repair Lebanon | ""برج حمود"" بلدية اصلاح | NNA ""Bourj Hammoud"" municipality | ""Bourj Hammoud"" water electricity waste road Lebanon"
50649,dbayeh,Dbayeh-Zouk El Khrab-Haret Blat-Aoukar,الضبيه-ذوق الخراب-حارة البلانة-عوكر,Mount Lebanon,Matn,yes,fetched,not_found,not_found,unknown,unknown,unknown,unknown,unknown,unbatched,needs_scoring,"""Dbayeh-Zouk El Khrab-Haret Blat-Aoukar"" municipality Lebanon complaint | ""Dbayeh-Zouk El Khrab-Haret Blat-Aoukar"" municipality Lebanon official website | ""Dbayeh-Zouk El Khrab-Haret Blat-Aoukar"" municipality Lebanon Facebook | ""الضبيه-ذوق الخراب-حارة البلانة-عوكر"" بلدية شكوى | ""الضبيه-ذوق الخراب-حارة البلانة-عوكر"" بلدية فيسبوك",Official DGLAC detail fetched.,9,MUN-BATCH-002,P1,182,T1_seed_planned,run_full_source_matrix,seed_batch_p1;no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,no,no,no,"""Dbayeh-Zouk El Khrab-Haret Blat-Aoukar"" municipality Lebanon official website | ""Dbayeh-Zouk El Khrab-Haret Blat-Aoukar"" municipality complaint form | ""الضبيه-ذوق الخراب-حارة البلانة-عوكر"" بلدية شكوى | ""الضبيه-ذوق الخراب-حارة البلانة-عوكر"" بلدية الموقع الرسمي","site:facebook.com ""Dbayeh-Zouk El Khrab-Haret Blat-Aoukar"" municipality | site:facebook.com ""الضبيه-ذوق الخراب-حارة البلانة-عوكر"" بلدية | site:instagram.com ""Dbayeh-Zouk El Khrab-Haret Blat-Aoukar"" municipality | site:x.com ""Dbayeh-Zouk El Khrab-Haret Blat-Aoukar"" municipality","""Dbayeh-Zouk El Khrab-Haret Blat-Aoukar"" municipality repair Lebanon | ""الضبيه-ذوق الخراب-حارة البلانة-عوكر"" بلدية اصلاح | NNA ""Dbayeh-Zouk El Khrab-Haret Blat-Aoukar"" municipality | ""Dbayeh-Zouk El Khrab-Haret Blat-Aoukar"" water electricity waste road Lebanon"
50559,dekwaneh,Dekwaneh,الدكوانة,Mount Lebanon,Matn,yes,fetched,not_found,not_found,unknown,unknown,unknown,unknown,unknown,seed_batch,P0/P1_seed,"""Dekwaneh"" municipality Lebanon complaint | ""Dekwaneh"" municipality Lebanon official website | ""Dekwaneh"" municipality Lebanon Facebook | ""الدكوانة"" بلدية شكوى | ""الدكوانة"" بلدية فيسبوك",Official DGLAC detail fetched.,10,MUN-BATCH-002,P1,182,T1_seed_planned,run_full_source_matrix,seed_batch_p1;no_dglac_form;no_dglac_website;no_dglac_email;official_social_status_unknown;news_trace_status_unknown;civic_tracker_status_unknown;public_forum_status_unknown,no,no,no,"""Dekwaneh"" municipality Lebanon official website | ""Dekwaneh"" municipality complaint form | ""الدكوانة"" بلدية شكوى | ""الدكوانة"" بلدية الموقع الرسمي","site:facebook.com ""Dekwaneh"" municipality | site:facebook.com ""الدكوانة"" بلدية | site:instagram.com ""Dekwaneh"" municipality | site:x.com ""Dekwaneh"" municipality","""Dekwaneh"" municipality repair Lebanon | ""الدكوانة"" بلدية اصلاح | NNA ""Dekwaneh"" municipality | ""Dekwaneh"" water electricity waste road Lebanon"
