external_candidate_id,surface_form,normalized_form,source_ids,region,observed_count_total,document_count_total,rbz_identification_count,rbz_senzi_ai_count,rbz_senzi_sa_count,kaggle_raidy_count,rbz_senzi_lexicon_count,rbz_senzi_large_count,rbz_thesis_translation_count,arabizi_signal_score,suggested_layer,suggested_category,confidence_level,risk_level,false_friend_risk,allowed_uses,blocked_uses,review_status,reviewer_id,decision,must_not_auto_promote,notes,created_at
EXT-LB-OOV-0001,helo,helo,KAGGLE_RAIDY_CC0_2020|RBZ_LEB_AI_2016|RBZ_SENZI_AI_2019|RBZ_SENZI_LARGE_2020|RBZ_SENZI_LEXICON_2019|RBZ_SENZI_SA_2019,LB_PRIORITY,249,240,1,9,11,226,1,1,0,1,GENERAL_WORD_REVIEW,frequent_lebanese_support,MEDIUM,LOW,false,oov_review|normalization_candidate_review|stress_test_generation,auto_promotion|direct_routing|severity_assignment|production_vocab_without_native_review,PENDING_NATIVE_REVIEW,UNASSIGNED,UNREVIEWED,true,Derived from external Lebanese Arabizi sources; raw source text not copied. Review before moving to support layers.,2026-05-21T17:20:19Z
EXT-LB-OOV-0002,allah,allah,KAGGLE_RAIDY_CC0_2020|RBZ_LEB_AI_2016|RBZ_SENZI_AI_2019|RBZ_SENZI_SA_2019,LB_PRIORITY,205,200,19,69,63,54,0,0,0,1,GENERAL_WORD_REVIEW,frequent_lebanese_support,MEDIUM,LOW,false,oov_review|normalization_candidate_review|stress_test_generation,auto_promotion|direct_routing|severity_assignment|production_vocab_without_native_review,PENDING_NATIVE_REVIEW,UNASSIGNED,UNREVIEWED,true,Derived from external Lebanese Arabizi sources; raw source text not copied. Review before moving to support layers.,2026-05-21T17:20:19Z
EXT-LB-OOV-0003,z3elet,z3elet,KAGGLE_RAIDY_CC0_2020|RBZ_LEB_AI_2016|RBZ_SENZI_AI_2019|RBZ_SENZI_LARGE_2020|RBZ_SENZI_LEXICON_2019|RBZ_SENZI_SA_2019,LB_PRIORITY,118,118,1,1,1,111,1,3,0,4,SURFACE_FORM_REVIEW,digit_variant,MEDIUM,LOW,false,oov_review|normalization_candidate_review|stress_test_generation,auto_promotion|direct_routing|severity_assignment|production_vocab_without_native_review,PENDING_NATIVE_REVIEW,UNASSIGNED,UNREVIEWED,true,Derived from external Lebanese Arabizi sources; raw source text not copied. Review before moving to support layers.,2026-05-21T17:20:19Z
EXT-LB-OOV-0004,leh,leh,KAGGLE_RAIDY_CC0_2020|RBZ_LEB_AI_2016|RBZ_SENZI_AI_2019|RBZ_SENZI_SA_2019|RBZ_THESIS_TRANSLITERATION_2020,LB_PRIORITY,111,104,2,42,27,39,0,0,1,1,GENERAL_WORD_REVIEW,frequent_lebanese_support,MEDIUM,LOW,true,oov_review|normalization_candidate_review|stress_test_generation,auto_promotion|direct_routing|severity_assignment|production_vocab_without_native_review,PENDING_NATIVE_REVIEW,UNASSIGNED,UNREVIEWED,true,Derived from external Lebanese Arabizi sources; raw source text not copied. Review before moving to support layers.,2026-05-21T17:20:19Z
EXT-LB-OOV-0005,3m,3m,KAGGLE_RAIDY_CC0_2020|RBZ_LEB_AI_2016|RBZ_SENZI_AI_2019|RBZ_SENZI_SA_2019|RBZ_THESIS_TRANSLITERATION_2020,LB_PRIORITY,100,93,3,27,12,57,0,0,1,4,SURFACE_FORM_REVIEW,digit_variant,MEDIUM,LOW,true,oov_review|normalization_candidate_review|stress_test_generation,auto_promotion|direct_routing|severity_assignment|production_vocab_without_native_review,PENDING_NATIVE_REVIEW,UNASSIGNED,UNREVIEWED,true,Derived from external Lebanese Arabizi sources; raw source text not copied. Review before moving to support layers.,2026-05-21T17:20:19Z
EXT-LB-OOV-0006,aam,aam,KAGGLE_RAIDY_CC0_2020|RBZ_SENZI_AI_2019|RBZ_SENZI_SA_2019,LB_PRIORITY,99,91,0,22,13,64,0,0,0,2,GENERAL_WORD_REVIEW,frequent_lebanese_support,MEDIUM,LOW,true,oov_review|normalization_candidate_review|stress_test_generation,auto_promotion|direct_routing|severity_assignment|production_vocab_without_native_review,PENDING_NATIVE_REVIEW,UNASSIGNED,UNREVIEWED,true,Derived from external Lebanese Arabizi sources; raw source text not copied. Review before moving to support layers.,2026-05-21T17:20:19Z
EXT-LB-OOV-0007,alla,alla,KAGGLE_RAIDY_CC0_2020|RBZ_LEB_AI_2016|RBZ_SENZI_AI_2019|RBZ_SENZI_SA_2019,LB_PRIORITY,92,91,9,29,29,25,0,0,0,1,GENERAL_WORD_REVIEW,frequent_lebanese_support,MEDIUM,LOW,false,oov_review|normalization_candidate_review|stress_test_generation,auto_promotion|direct_routing|severity_assignment|production_vocab_without_native_review,PENDING_NATIVE_REVIEW,UNASSIGNED,UNREVIEWED,true,Derived from external Lebanese Arabizi sources; raw source text not copied. Review before moving to support layers.,2026-05-21T17:20:19Z
EXT-LB-OOV-0008,la2,la2,KAGGLE_RAIDY_CC0_2020|RBZ_LEB_AI_2016|RBZ_SENZI_AI_2019|RBZ_SENZI_LARGE_2020|RBZ_SENZI_SA_2019,LB_PRIORITY,92,87,9,18,16,46,0,3,0,4,SURFACE_FORM_REVIEW,digit_variant,MEDIUM,LOW,true,oov_review|normalization_candidate_review|stress_test_generation,auto_promotion|direct_routing|severity_assignment|production_vocab_without_native_review,PENDING_NATIVE_REVIEW,UNASSIGNED,UNREVIEWED,true,Derived from external Lebanese Arabizi sources; raw source text not copied. Review before moving to support layers.,2026-05-21T17:20:19Z
EXT-LB-OOV-0009,3alam,3alam,KAGGLE_RAIDY_CC0_2020|RBZ_LEB_AI_2016|RBZ_SENZI_AI_2019|RBZ_SENZI_LARGE_2020|RBZ_SENZI_SA_2019|RBZ_THESIS_TRANSLITERATION_2020,LB_PRIORITY,88,79,2,24,22,37,0,2,1,4,SURFACE_FORM_REVIEW,digit_variant,MEDIUM,LOW,false,oov_review|normalization_candidate_review|stress_test_generation,auto_promotion|direct_routing|severity_assignment|production_vocab_without_native_review,PENDING_NATIVE_REVIEW,UNASSIGNED,UNREVIEWED,true,Derived from external Lebanese Arabizi sources; raw source text not copied. Review before moving to support layers.,2026-05-21T17:20:19Z
EXT-LB-OOV-0010,khalas,khalas,KAGGLE_RAIDY_CC0_2020|RBZ_LEB_AI_2016|RBZ_SENZI_AI_2019|RBZ_SENZI_SA_2019,LB_PRIORITY,79,77,5,28,18,28,0,0,0,2,GENERAL_WORD_REVIEW,frequent_lebanese_support,MEDIUM,LOW,false,oov_review|normalization_candidate_review|stress_test_generation,auto_promotion|direct_routing|severity_assignment|production_vocab_without_native_review,PENDING_NATIVE_REVIEW,UNASSIGNED,UNREVIEWED,true,Derived from external Lebanese Arabizi sources; raw source text not copied. Review before moving to support layers.,2026-05-21T17:20:19Z
