combo_id,arabic_phrase,romanized_canonical,english_gloss,component_tokens,combined_sector,combined_issue_type,combined_severity_hint,override_type,override_reason,false_friend_risk,confidence_level,source_reference,review_status,reviewer_id,created_at,must_not_auto_promote
PC-0001,ما فيي,ma fiye,I cannot,ma;fiye,OTHER,ability_negation,LOW,NEGATION_COMBO,Negation+noun — split tokens lose negation and produce false positive,false,MEDIUM,candidate_bank:ARZ-CAND-1268,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0002,على السطح,3al sate7,on roof,3al;sate7,ALL,location_context,LOW,LOCATION_COMBO,Location phrase — split tokens produce false issue detection,false,MEDIUM,candidate_bank:ARZ-CAND-1269,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0003,تحت البناية,ta7t l bineye,under building,ta7t;l;bineye,ALL,location_context,LOW,LOCATION_COMBO,Location phrase — split tokens produce false issue detection,false,MEDIUM,candidate_bank:ARZ-CAND-1270,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0004,بعدها موجودة,ba3da mawjoude,still exists feminine,ba3da;mawjoude,ALL,complaint_status,MEDIUM,STATUS_PHRASE,Status description — verb+state combo loses meaning when split,false,MEDIUM,candidate_bank:ARZ-CAND-1271,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0005,بعدو موجود,ba3do mawjoud,still exists masculine,ba3do;mawjoud,ALL,complaint_status,MEDIUM,STATUS_PHRASE,Status description — verb+state combo loses meaning when split,false,MEDIUM,candidate_bank:ARZ-CAND-1272,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0006,نفس المشكلة,nafs l mashkle,same problem,nafs;l;mashkle,ALL,duplicate_signal,MEDIUM,COMPOUND_NOUN,Two-token compound — each token alone is ambiguous or misleading,false,MEDIUM,candidate_bank:ARZ-CAND-1273,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0007,رجعت المشكلة,rje3et l mashkle,problem came back,rje3et;l;mashkle,ALL,duplicate_signal,MEDIUM,STATUS_PHRASE,Status description — verb+state combo loses meaning when split,false,MEDIUM,candidate_bank:ARZ-CAND-1274,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0008,صارلها,sar la,it has been feminine,sar;la,ALL,duration_context,MEDIUM,TEMPORAL_COMBO,Temporal anchor — split tokens lose the time reference entirely,false,MEDIUM,candidate_bank:ARZ-CAND-1275,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0009,صارلو,sar lo,it has been,sar;lo,ALL,duration_context,MEDIUM,TEMPORAL_COMBO,Temporal anchor — split tokens lose the time reference entirely,false,MEDIUM,candidate_bank:ARZ-CAND-1276,APPROVED,SYSTEM-V12,2026-05-20,false
PC-0010,ضو طافي,daw tefi,light off,daw;tefi,ELECTRICITY,STREETLIGHT_OUT,MEDIUM,COMPOUND_NOUN,Two-token compound — each token alone is ambiguous or misleading,false,MEDIUM,candidate_bank:ARZ-CAND-1277,APPROVED,SYSTEM-V12,2026-05-20,false
