change_id,batch_id,date,action,term,sector,issue_type,old_value,new_value,reason,reviewer_id,decision,created_at
CHG-0001,BATCH-001,2026-05-18,REMOVE,miye*,WATER,water_cut,all miye-prefixed tokens,"(removed — use may equivalents)",WRONG_FORM: miye is not standard Lebanese Arabizi for water,system,APPROVED,2026-05-18T00:00:00Z
CHG-0002,BATCH-001,2026-05-18,REMOVE,mat3a*,ELECTRICITY,power_outage,kahraba mat3a / kahrabe mat3a / kahraba mat3a men yom,"(removed — use 2at3a equivalents)",WRONG_FORM: mat3a is not a Lebanese Arabic word; correct form is 2at3a,system,APPROVED,2026-05-18T00:00:00Z
CHG-0003,BATCH-001,2026-05-18,REMOVE,tire2*,ROADS,road_damage / pothole / road_blocked,tire2 ta3eb / tire2 nkassar / tire2 ma2tou3 / tire2 ta3eb men l 7ufra,"(removed — tari2 already in vocab)",WRONG_FORM: tire2 does not exist; correct form is tari2,system,APPROVED,2026-05-18T00:00:00Z
CHG-0004,BATCH-001,2026-05-18,REMOVE,khafer*,WASTE,garbage_not_collected / overflowing_bin,ri7a khafer men l zbele / khafer men l zbele / ri7a khafer w zibele mfarrishe,"(removed — see CHG-0008 for replacements)",NON_WORD: khafer does not exist in Lebanese Arabic,system,APPROVED,2026-05-18T00:00:00Z
CHG-0005,BATCH-001,2026-05-18,REMOVE,3ain*,WATER,no_supply,3ain jfefit / 3ain msedoude / 3ain l 2arye jefit,"(removed — see CHG-0009 for replacements)",FALSE_FRIEND: 3ain (eye) vs 3ain (spring) ambiguous; nab3/beer may preferred for Lebanese municipal context,system,APPROVED,2026-05-18T00:00:00Z
CHG-0006,BATCH-001,2026-05-18,ADD,shar2ata,ELECTRICITY,exposed_wire,"","shar2ata; fi 5atar shar2ata; silk kahraba w fi shar2ata",CORRECTION: Lebanese colloquial for electric shock; replaces gap left by removing standalone sa32 from keywords,system,APPROVED,2026-05-18T00:00:00Z
CHG-0007,BATCH-001,2026-05-18,ADD,kahraba 2at3a,ELECTRICITY,power_outage,"","kahraba 2at3a; kahraba 2at3a men yom; kahraba lissa 2at3a; kahrabe 2at3a",CORRECTION: correct adjective form 2at3a replaces wrong form mat3a,system,APPROVED,2026-05-18T00:00:00Z
CHG-0008,BATCH-001,2026-05-18,ADD,ri7a besh3a,WASTE,garbage_not_collected / overflowing_bin / dirty_water,"","ri7a besh3a men l zbele; ri7a bish3a men l nfayat; ri7a mish taybe; ri7a besh3a w zibele mfarrishe",CORRECTION: correct bad-smell forms replacing khafer (CHG-0004),system,APPROVED,2026-05-18T00:00:00Z
CHG-0009,BATCH-001,2026-05-18,ADD,nab3 / beer may,WATER,no_supply,"","nab3 jefef; nab3 meksouf; nab3 msedoud; beer may jfef; beer may meksouf",CORRECTION: correct Lebanese terms for water spring/well replacing 3ain (CHG-0005),system,APPROVED,2026-05-18T00:00:00Z
CHG-0010,BATCH-001,2026-05-18,ADD,may 2at3a,WATER,water_cut,"","may 2at3a; may mkat3a; lissa ma rja3et l may; lissa 2at3a l may",CORRECTION: may-based 2at3a forms replacing miye-based forms (CHG-0001),system,APPROVED,2026-05-18T00:00:00Z
CHG-0011,BATCH-001,2026-05-18,UPDATE,mayye,ALL,ALL,status: (unspecified),status: CANDIDATE_ONLY — Beqaa/South Lebanon regional variant only,DEPRECATION: mayye is not Beirut standard; downgraded from seed to candidate-only,system,APPROVED,2026-05-18T00:00:00Z
CHG-0012,BATCH-001,2026-05-18,METADATA,term_metadata,ALL,ALL,"entries: miye / mat3a / khafer / 3ain","entries removed; replaced by: shar2ata / nab3 / ri7a_besh3a / beer_may / 2at3a",CORRECTION: wrong entries removed from term_metadata; correct entries added,system,APPROVED,2026-05-18T00:00:00Z
