task_id,entity_id,missing_item,target_url_or_query,priority,status,last_checked,notes
WATER-RB-001,BMLWE,ticket_form_fields_and_reference_number,https://ebml.gov.lb/user_ticket.php?lang=en,medium,blocked_account_required,2026-05-31,Browser review redirects unauthenticated users to MY EBML login with notice that login is required. Ticket fields and reference-number behavior remain non-public unless an account is available.
WATER-RB-002,BMLWE,mobile_app_store_links_and_app_ticket_flow,EBML mobile app official app stores,medium,partial,2026-05-31,Google Play and Apple App Store listings captured account bill payment alert ticketing and location features. In-app ticket fields/reference-number behavior still need device/browser verification.
WATER-RB-003,BMLWE,direct_department_phone_numbers,https://ebml.gov.lb/contactus.php?lang=en,medium,open,2026-05-31,Official page lists department addresses but not direct branch phones.
WATER-RB-004,NLWE,official_Aakkar_governorate_scope_statement,site:eeln.gov.lb Akkar Halba Kobayat North Lebanon Water Establishment,high,open,2026-05-31,Official branch list includes Halba and Kobayat while about page says North Lebanon Governorate. Need explicit official service-area statement if available.
WATER-RB-005,NLWE,complaint_ticket_or_reference_policy,https://eeln.gov.lb/en/customer-services/,medium,open,2026-05-31,Complaint fields and 1712 are official. Public ticket number policy was not published.
WATER-RB-006,SLWE,official_email_and_headquarters_address,https://www.slwe.gov.lb/contact.php?lang=ar,medium,partial,2026-05-31,Official e-payment page exposed info@slwe.gov.lb and 1785. Headquarters address still not verified from official page.
WATER-RB-007,SLWE,transactions_and_instructions_requirements,https://www.slwe.gov.lb/listing.php?pcat=customer-service&cat=guidlines&lang=ar,low,mostly_resolved,2026-05-31,Individual official pages for drinking-water subscription cancellation transfer quantity adjustment and arrears installment were extracted into required_fields.csv. Remaining work is only deeper PDF/form-file capture if needed.
WATER-RB-008,SLWE,bill_inquiry_embedded_form_fields,https://slwe.gov.lb/payapi/enter_customer_no.php,medium,partial,2026-05-31,Official e-payment entry fields captured customer_no and service_center. Legacy bill inquiry page still needs visual/browser review if separate.
WATER-RB-009,BWE,e_services_page_functions,https://bwe.gov.lb/en/home/,medium,blocked_tls,2026-05-31,OMT payment availability captured from partner page. Static fetch and browser HTTPS both hit TLS protocol errors; HTTP returns 404 for tested paths. Keep previously registered official facts but retry with a browser/network that accepts the site TLS.
WATER-RB-010,BWE,repair_maintenance_water_testing_required_fields,https://bwe.gov.lb/en/customer-services/,medium,blocked_tls,2026-05-31,Official fact is registered from prior verified page text but current static/browser checks hit TLS protocol errors. Required fields remain not published in the captured content.
WATER-RB-011,LRA,project_specific_irrigation_maps_and_municipality_overlaps,https://www.litani.gov.lb/en-us/geomap,medium,partial,2026-05-31,LRA project pages now add Qasimiya/Ras Al Ain Channel 800 and Channel 900 boundary rows. Municipality-level polygon/list extraction from maps remains open before any automatic LRA geofencing.
WATER-RB-012,MEW,water_establishment_oversight_directorate_parse_and_contact,https://www.energyandwater.gov.lb/ar/contact,medium,partial,2026-05-31,MEW contact claims DG water/electricity water bodies and well-license tracking pages were added. Operational escalation rules still need policy review.
WATER-RB-013,ALL,official_repair_or_restoration_SLA,official water establishment repair response time Lebanon,high,open,2026-05-31,No official generic outage repair SLA found for any WE. Keep do-not-promise policy until source-backed.
WATER-RB-014,ALL,outage_notice_pages_or_official_social_feeds,official water establishment outage notices Lebanon,medium,open,2026-05-31,Could improve real-time routing and citizen messaging but requires freshness and source-handling policy.
