channel_id,municipality_id,municipality_match_key,name_ar,name_en,governorate_en,district_en,entity_level,channel_type,channel_value,channel_url,source_id,source_name,source_url,evidence_snippet,confidence,verification_status,last_checked,notes
CH-ZAHLE-WEB-001,JOIN_REQUIRED,Zahle|Zahlé|زحلة,زحلة,Zahle,Beqaa,Zahle,municipality,official_website,Municipality of Zahle website,https://zahle.gov.lb/,SRC-ZAHLE-HOME,Municipality of Zahle,https://zahle.gov.lb/,"Official site with Report an Issue, We Listen, e-services and police hotline.",high,verified_official,2026-05-29,
CH-ZAHLE-COMPLAINT-001,JOIN_REQUIRED,Zahle|Zahlé|زحلة,زحلة,Zahle,Beqaa,Zahle,municipality,complaint_form,Report an Issue,https://zahle.gov.lb/report-an-issue/,SRC-ZAHLE-REPORT,Municipality of Zahle Report an Issue,https://zahle.gov.lb/report-an-issue/,Form collects complaint type/location/description/photo and assigns to appropriate department.,high,verified_official,2026-05-29,
CH-ZAHLE-SUGGEST-001,JOIN_REQUIRED,Zahle|Zahlé|زحلة,زحلة,Zahle,Beqaa,Zahle,municipality,suggestion_form,We Listen,https://zahle.gov.lb/we-listen/,SRC-ZAHLE-HOME,Municipality of Zahle,https://zahle.gov.lb/,Home menu exposes We Listen under Get Involved; suggestion workflow previously verified.,high,verified_official,2026-05-29,
CH-ZAHLE-PHONE-001,JOIN_REQUIRED,Zahle|Zahlé|زحلة,زحلة,Zahle,Beqaa,Zahle,municipality,official_phone,+961 08 800 252 / 08 800 252,https://zahle.gov.lb/,SRC-ZAHLE-HOME,Municipality of Zahle,https://zahle.gov.lb/,Home page shows Police Hotline +961 08 800 252.,high,verified_official,2026-05-29,"Use as municipal police/contact hotline, not national emergency."
CH-ZAHLE-FB-001,JOIN_REQUIRED,Zahle|Zahlé|زحلة,زحلة,Zahle,Beqaa,Zahle,municipality,official_facebook,Facebook link on official website,https://www.facebook.com/,SRC-ZAHLE-HOME,Municipality of Zahle,https://zahle.gov.lb/,Official website header links to Facebook.,medium_high,verified_official,2026-05-29,Exact social URL should be resolved in browser.
CH-ZAHLE-IG-001,JOIN_REQUIRED,Zahle|Zahlé|زحلة,زحلة,Zahle,Beqaa,Zahle,municipality,official_instagram,Instagram link on official website,https://www.instagram.com/,SRC-ZAHLE-HOME,Municipality of Zahle,https://zahle.gov.lb/,Official website header links to Instagram.,medium_high,verified_official,2026-05-29,Exact social URL should be resolved in browser.
CH-TRIPOLI-WEB-001,JOIN_REQUIRED,Tripoli|طرابلس,طرابلس,Tripoli,North,Tripoli,municipality,official_website,Tripoli Municipality website,https://tripoli.gov.lb/,SRC-TRIPOLI-COMPLAINT,Tripoli Municipality,https://tripoli.gov.lb/,"Official municipal site footer and navigation include complaint, objection, council, budget.",high,verified_official,2026-05-29,
CH-TRIPOLI-COMPLAINT-001,JOIN_REQUIRED,Tripoli|طرابلس,طرابلس,Tripoli,North,Tripoli,municipality,complaint_form,تقديم شكوى,https://tripoli.gov.lb/%D8%AA%D9%82%D8%AF%D9%8A%D9%85-%D8%B4%D9%83%D9%88%D9%89,SRC-TRIPOLI-COMPLAINT,Tripoli Municipality complaint form,https://tripoli.gov.lb/%D8%AA%D9%82%D8%AF%D9%8A%D9%85-%D8%B4%D9%83%D9%88%D9%89,Public complaints accepted online; fields include name/email/phone/address/text/photo.,high,verified_official,2026-05-29,
CH-TRIPOLI-TRACK-001,JOIN_REQUIRED,Tripoli|طرابلس,طرابلس,Tripoli,North,Tripoli,municipality,complaint_tracking,استعلام عن شكوى,https://tripoli.gov.lb/chakwa,SRC-TRIPOLI-COMPLAINT,Tripoli Municipality complaint form,https://tripoli.gov.lb/%D8%AA%D9%82%D8%AF%D9%8A%D9%85-%D8%B4%D9%83%D9%88%D9%89,Complaint page navigation includes inquiry about complaint.,medium_high,verified_official,2026-05-29,
CH-TRIPOLI-OBJECTION-001,JOIN_REQUIRED,Tripoli|طرابلس,طرابلس,Tripoli,North,Tripoli,municipality,objection_form,اعتراض على البلدية,https://tripoli.gov.lb/%D8%A7%D8%B9%D8%AA%D8%B1%D8%A7%D8%B6-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%A8%D9%84%D8%AF%D9%8A%D8%A9,SRC-TRIPOLI-OBJECTION,Tripoli Municipality objection form,https://tripoli.gov.lb/%D8%A7%D8%B9%D8%AA%D8%B1%D8%A7%D8%B6-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%A8%D9%84%D8%AF%D9%8A%D8%A9,"Reasons include objection to municipal work, transaction, or employee conduct.",high,verified_official,2026-05-29,
CH-TRIPOLI-WA-CRACKED-001,JOIN_REQUIRED,Tripoli|طرابلس,طرابلس,Tripoli,North,Tripoli,municipality,issue_specific_whatsapp,71897079 for cracked-building reports,https://tripoli.gov.lb/archives/1859,SRC-TRIPOLI-HOTLINE-CRACKED-BUILDINGS,Tripoli municipal police notice,https://tripoli.gov.lb/archives/1859,Notice provides WhatsApp for reports about cracked buildings after tremors.,high,verified_official,2026-05-29,Issue-specific hazard channel; do not treat as general complaint hotline.
