source_id,title,publisher,source_type,url,reliability_tier,primary_use,notes,scheme_note
SRC-DGLAC-MUNI-DIR,DGLAC Municipalities Directory,"General Directorate of Local Administrations and Councils, Ministry of Interior and Municipalities",official_directory,https://www.dglac.gov.lb/en/municipalities,T0_official,"Municipality/gov/district registry, municipal details, possible form/status evidence","Use as census/discovery index, not enough alone to prove per-municipality workflow.",SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-DGLAC-HOME,DGLAC Home / departments / municipal directory,DGLAC,official_portal,https://www.dglac.gov.lb/en/web/guest/home,T0_official,"DGLAC role, municipal directory, transactions and departments.",Useful for DGLAC/DGLAC-form handling.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-MOIM-ABOUT,Ministry of Interior and Municipalities About Us,MOIM,official_portal,https://moim.gov.lb/en/about-us/,T0_official,"MOIM role overseeing municipalities, municipal unions, village councils, local governance.",Use for ministry-level governance context.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-MOIM-HOME,Ministry of Interior and Municipalities Home,MOIM,official_portal,https://moim.gov.lb/en/,T0_official,MOIM public order/internal security/local authority supervision summary.,Use as general ministry role source.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-OGERO-MISSION,Meet Ogero,OGERO,official_portal,https://ogero.gov.lb/meet.php,T0_official,Telecom/IT infrastructure responsibility and OGERO mission.,Use for fixed telecom/internet infrastructure routing.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-EDL-MISSION,EDL Mission,Electricité du Liban,official_portal,https://www.edl.gov.lb/page.php?lang=en&pid=3,T0_official,EDL generation/transmission/distribution mission.,Use for electricity-grid routing.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-EDL-RESPONSIBILITY,EDL establishment and responsibilities,Electricité du Liban,official_portal,https://www.edl.gov.lb/page.php?lang=en&pid=30,T0_official,"EDL responsibility for generation, transmission, distribution of electrical energy in Lebanon.",Use for grid responsibility evidence.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-MPWT-ROADS-BUILDINGS,Directorate General of Roads and Buildings,Ministry of Public Works and Transport,official_portal,https://mopw.gov.lb/Legal-Texts/Directorate-General-of-Roads-and-Buildings?lang=en-us,T0_official,MPWT road/building directorate evidence; needs extra road-class evidence for routing.,Use for national/classified road issues and public works; do not use for all local road defects blindly.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-MPWT-HOME,Ministry of Public Works and Transport,MPWT,official_portal,https://mopw.gov.lb/?lang=en-us,T0_official,Ministry portal and legal-text navigation.,Low-detail source but official.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-ISF-STRATEGIC,ISF Strategic Plan,Internal Security Forces,official_portal,https://isf.gov.lb/strategic-plan/,T0_official,"Safety, stability, security, counter-terrorism, crime-fighting mission.","Use for public security, crime, threat, order, traffic-law/security contexts.",SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-ISF-UNITS,ISF Our Units,Internal Security Forces,official_portal,https://isf.gov.lb/our-units/,T0_official,Units including general reserve and judicial police; order/security context.,Use for routing boundary between municipal police vs ISF.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
SRC-ISF-CONTACT,ISF Contact Us,Internal Security Forces,official_contact,https://isf.gov.lb/contact-us/,T0_official,ISF headquarters address phone emergency number official email and station-directory page.,Use for ISF official headquarters contact and email; emergencies still use 112 and safety matters remain HITL.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources (SRC-001…SRC-041+). Do not merge IDs.
