task_id,municipality_id_if_known,municipality_name_ar,municipality_name_en,governorate,district,target_url_or_query,reason,status,priority,last_checked,notes
BK001,JOIN_REQUIRED,بلدية بيروت,Beirut,Beirut,Beirut,official Beirut municipality complaint/contact workflow,No verified official complaint channel found in this pass,open,high,2026-05-30,Search official domain + governor/municipality surfaces
BK002,JOIN_REQUIRED,بلدية صيدا,Saida,South,Saida,official Saida municipality complaint workflow,No verified official complaint channel found in this pass,open,high,2026-05-30,Search municipality site + local official pages
BK003,JOIN_REQUIRED,بلدية صور,Tyre,South,Tyre,official Tyre municipality / union complaint workflow,No verified official complaint channel found in this pass,open,high,2026-05-30,Search municipality site + Tyre union
BK004,JOIN_REQUIRED,بلدية بعلبك,Baalbek,Baalbek-Hermel,Baalbek,official Baalbek municipality complaint workflow,No verified official complaint channel found in this pass,open,high,2026-05-30,High-priority city
BK005,JOIN_REQUIRED,بلدية جبيل,Byblos,Mount Lebanon,Byblos,https://jbail-byblos.gov.lb/,Official domain currently serves default forum,manual_review,high,2026-05-30,Do not trust current content
BK006,JOIN_REQUIRED,بلدية جونيه,Jounieh,Mount Lebanon,Keserwan,https://www.jounieh.gov.lb/,Official domain returned 502,manual_review,high,2026-05-30,Retry manually / confirm alternate official channel
BK007,JOIN_REQUIRED,بلدية بشري,Bcharri,North,Bcharre,https://www.bcharri.gov.lb/,Official domain returned 503,manual_review,high,2026-05-30,Retry manually / confirm alternate official channel
BK008,JOIN_REQUIRED,بلدية المختارة,Moukhtara,Mount Lebanon,Chouf,https://moukhtara.gov.lb/,Bot verification at root,manual_review,high,2026-05-30,Manual browser needed
BK009,JOIN_REQUIRED,بلدية عاليه,Aley,Mount Lebanon,Aley,https://aley.gov.lb/ar/complaints,Official complaint page is bot-protected,manual_review,high,2026-05-30,Need fields screenshot and live-submit validation
BK010,JOIN_REQUIRED,بلدية نابيه,Nabay,Mount Lebanon,Matn,https://nabay.gov.lb/send-complaint-ar/,Official complaint link exists; target 406,manual_review,high,2026-05-30,Confirm if geoblock/bot issue
BK011,JOIN_REQUIRED,بلدية البداوي,El-Beddawi,North,Tripoli,https://el-beddawi.gov.lb/send-complaint-ar/,Official complaint link exists; target 406,manual_review,high,2026-05-30,Confirm if geoblock/bot issue
BK012,JOIN_REQUIRED,بلدية النبطية,Nabatieh,Nabatiyeh,Nabatiyeh,Search deeper within official site for complaint or hotline,Only generic contact found,open,medium,2026-05-30,Site is live and should be mined deeper
BK013,JOIN_REQUIRED,بلدية ذوق مكايل,Zouk Mikael,Mount Lebanon,Keserwan,https://zoukmikaelmunicipality.microsoftcrmportals.com/CitizenSignIn,E-services/app present; complaint use not verified,manual_review,medium,2026-05-30,May require account
BK014,JOIN_REQUIRED,بلدية زغرتا-اهدن,Zgharta-Ehden,North,Zgharta,official Zgharta-Ehden site/contact workflow,No verified official complaint channel found in this pass,open,high,2026-05-30,Priority city
BK015,JOIN_REQUIRED,بلدية البترون,Batroun,North,Batroun,official Batroun site/contact workflow,No working official workflow verified in this pass,open,high,2026-05-30,Archived official site noted in external references
BK016,JOIN_REQUIRED,بلدية جزين,Jezzine,South,Jezzine,official Jezzine site/contact workflow,No verified official complaint channel found in this pass,open,medium,2026-05-30,Priority district center
BK017,JOIN_REQUIRED,بلدية الهرمل,Hermel,Baalbek-Hermel,Hermel,official Hermel site/contact workflow,No verified official complaint channel found in this pass,open,medium,2026-05-30,Priority district center
BK018,JOIN_REQUIRED,بلدية راشيا,Rashaya,Bekaa,Rachaya,official Rashaya site/contact workflow,No verified official complaint channel found in this pass,open,medium,2026-05-30,Priority district center
BK019,JOIN_REQUIRED,بلدية جب جنين,Joub Jannine,Bekaa,Western Bekaa,official Joub Jannine site/contact workflow,No verified official complaint channel found in this pass,open,medium,2026-05-30,Priority district center
BK020,JOIN_REQUIRED,بلدية الدبية,Debbiyeh,Mount Lebanon,Chouf,official Debbiyeh site/contact workflow,No verified official complaint channel found in this pass,open,medium,2026-05-30,Priority list request
BK021,JOIN_REQUIRED,بلدية طبرجا-كفرياسين,Tabarja-Kfaryassine,Mount Lebanon,Keserwan,official Tabarja-Kfaryassine site/contact workflow,No verified official complaint channel found in this pass,open,medium,2026-05-30,Priority list request
BK022,JOIN_REQUIRED,بلدية ترشيش,Tarchich,Mount Lebanon,Matn,official Tarchich site/contact workflow,No verified official complaint channel found in this pass,open,medium,2026-05-30,Priority list request
BK023,JOIN_REQUIRED,بلديات اتحاد الفيحاء,Al Fayhaa Union members,North,Tripoli,Map union fallback to member municipalities in routing layer,Union workflow exists and names members,open,high,2026-05-30,Important for Tripoli/Mina/Qalamoun/Beddawi fallback
BK024,JOIN_REQUIRED,اتحادات البلديات,Federations Registry,National,National,https://www.dglac.gov.lb/web/guest/municipal-federations,DGLAC federations path unreliable in this pass,manual_review,high,2026-05-30,Needed for broader union mapping
