id,arabizi_variant,normalized_arabizi,arabic_lebanese,english_meaning,category,part_of_speech,form_type,confidence,quality_flag,complaint_use,candidate_sector,candidate_issue,signal_strength,context_rule,hard_negative_hint,already_in_vocab,notes
378,may,may,مي,water,food,noun,base_word,high,,classification_context_guard,,,review,,CONTEXT_GUARD:WATER:generic water; route only with outage/leak/flood context,TRUE,Lebanese word for water
379,mayy,may,مي,water,food,noun,base_word,high,,classification_context_guard,,,review,,CONTEXT_GUARD:WATER:generic water; route only with outage/leak/flood context,FALSE,Lebanese word for water
380,maye,may,مي,water,food,noun,base_word,high,,classification_context_guard,,,review,,CONTEXT_GUARD:WATER:generic water; route only with outage/leak/flood context,FALSE,Lebanese word for water
381,mayei,may,مي,water,food,noun,base_word,high,,classification_context_guard,,,review,,CONTEXT_GUARD:WATER:generic water; route only with outage/leak/flood context,FALSE,Lebanese word for water
382,mai,may,مي,water,food,noun,base_word,high,,classification_context_guard,,,review,,CONTEXT_GUARD:WATER:generic water; route only with outage/leak/flood context,FALSE,Lebanese word for water
852,taxi,taxi,تاكسي,taxi,transportation,noun,base_word,high,,classification_context_guard,ROADS,,context_support,mobility/road context; not issue-specific,"CONTEXT_GUARD:ROADS:transportation object, not automatically road blockage",TRUE,borrowed word common in Lebanese
853,taksi,taxi,تاكسي,taxi,transportation,noun,base_word,high,,classification_context_guard,ROADS,,context_support,mobility/road context; not issue-specific,"CONTEXT_GUARD:ROADS:transportation object, not automatically road blockage",FALSE,borrowed word common in Lebanese
854,taksee,taxi,تاكسي,taxi,transportation,noun,base_word,high,,classification_context_guard,ROADS,,context_support,mobility/road context; not issue-specific,"CONTEXT_GUARD:ROADS:transportation object, not automatically road blockage",FALSE,borrowed word common in Lebanese
855,taxe,taxi,تاكسي,taxi,transportation,noun,base_word,high,,classification_context_guard,ROADS,,context_support,mobility/road context; not issue-specific,"CONTEXT_GUARD:ROADS:transportation object, not automatically road blockage",FALSE,borrowed word common in Lebanese
856,taxi service,taxi,تاكسي,taxi,transportation,noun,base_word,high,,classification_context_guard,ROADS,,context_support,mobility/road context; not issue-specific,"CONTEXT_GUARD:ROADS:transportation object, not automatically road blockage",FALSE,borrowed word common in Lebanese
857,bus,bus,باص,bus,transportation,noun,base_word,high,,classification_context_guard,ROADS,,context_support,mobility/road context; not issue-specific,"CONTEXT_GUARD:ROADS:transportation object, not automatically road blockage",TRUE,public transport word
858,busss,bus,باص,bus,transportation,noun,base_word,high,triple_repeat,hold_quality_review,ROADS,,context_support,mobility/road context; not issue-specific,"CONTEXT_GUARD:ROADS:transportation object, not automatically road blockage",FALSE,public transport word
859,buss,bus,باص,bus,transportation,noun,base_word,high,,classification_context_guard,ROADS,,context_support,mobility/road context; not issue-specific,"CONTEXT_GUARD:ROADS:transportation object, not automatically road blockage",FALSE,public transport word
1372,sou2,sou2,سوق,drive,transportation,verb,base_word,high,,classification_context_guard,ROADS,,context_support,mobility/road context; not issue-specific,"CONTEXT_GUARD:ROADS:market/drive ambiguity, not automatically road issue",FALSE,imperative
1373,soo2,sou2,سوق,drive,transportation,verb,base_word,high,,classification_context_guard,ROADS,,context_support,mobility/road context; not issue-specific,"CONTEXT_GUARD:ROADS:market/drive ambiguity, not automatically road issue",FALSE,imperative
1374,su2,sou2,سوق,drive,transportation,verb,base_word,high,,classification_context_guard,ROADS,,context_support,mobility/road context; not issue-specific,"CONTEXT_GUARD:ROADS:market/drive ambiguity, not automatically road issue",FALSE,imperative
1375,sawwe2,sou2,سوق,drive,transportation,verb,base_word,high,,classification_context_guard,ROADS,,context_support,mobility/road context; not issue-specific,"CONTEXT_GUARD:ROADS:market/drive ambiguity, not automatically road issue",FALSE,imperative
1376,sou2 shway,sou2,سوق,drive,transportation,verb,base_word,high,,classification_context_guard,ROADS,,context_support,mobility/road context; not issue-specific,"CONTEXT_GUARD:ROADS:market/drive ambiguity, not automatically road issue",FALSE,imperative
1436,kahraba,kahraba,كهربا,electricity,phone_internet,noun,base_word,high,,classification_context_guard,OTHER,,context_support,connectivity/electricity support; classify only with explicit civic issue,CONTEXT_GUARD:ELECTRICITY:generic electricity; route only with outage/wire/light/voltage context,TRUE,Lebanese electricity context
1437,kahraba2,kahraba,كهربا,electricity,phone_internet,noun,base_word,high,,classification_context_guard,OTHER,,context_support,connectivity/electricity support; classify only with explicit civic issue,CONTEXT_GUARD:ELECTRICITY:generic electricity; route only with outage/wire/light/voltage context,FALSE,Lebanese electricity context
1438,kahrabe,kahraba,كهربا,electricity,phone_internet,noun,base_word,high,,classification_context_guard,OTHER,,context_support,connectivity/electricity support; classify only with explicit civic issue,CONTEXT_GUARD:ELECTRICITY:generic electricity; route only with outage/wire/light/voltage context,TRUE,Lebanese electricity context
1439,kaherba,kahraba,كهربا,electricity,phone_internet,noun,base_word,high,,classification_context_guard,OTHER,,context_support,connectivity/electricity support; classify only with explicit civic issue,CONTEXT_GUARD:ELECTRICITY:generic electricity; route only with outage/wire/light/voltage context,FALSE,Lebanese electricity context
1440,khraba,kahraba,كهربا,electricity,phone_internet,noun,base_word,high,,classification_context_guard,OTHER,,context_support,connectivity/electricity support; classify only with explicit civic issue,CONTEXT_GUARD:ELECTRICITY:generic electricity; route only with outage/wire/light/voltage context,FALSE,Lebanese electricity context
1441,moteur,moteur,موتور,generator / motor,phone_internet,noun,base_word,high,,classification_context_guard,ELECTRICITY,power_outage,context_required,matched_patterns:moteur|motor,CONTEXT_GUARD:ELECTRICITY:generator/motor; route only with electricity complaint context,TRUE,common in Lebanon for private generator
1442,motor,moteur,موتور,generator / motor,phone_internet,noun,base_word,high,,classification_context_guard,ELECTRICITY,power_outage,context_required,matched_patterns:moteur|motor,CONTEXT_GUARD:ELECTRICITY:generator/motor; route only with electricity complaint context,TRUE,common in Lebanon for private generator
1443,moteir,moteur,موتور,generator / motor,phone_internet,noun,base_word,high,,classification_context_guard,ELECTRICITY,power_outage,context_required,matched_patterns:moteur|motor,CONTEXT_GUARD:ELECTRICITY:generator/motor; route only with electricity complaint context,FALSE,common in Lebanon for private generator
1444,moteur l day3a,moteur,موتور,generator / motor,phone_internet,noun,base_word,high,,classification_context_guard,ELECTRICITY,power_outage,strong_phrase,matched_patterns:moteur|motor,CONTEXT_GUARD:ELECTRICITY:generator/motor; route only with electricity complaint context,FALSE,common in Lebanon for private generator
1445,motor l beit,moteur,موتور,generator / motor,phone_internet,noun,base_word,high,,classification_context_guard,ELECTRICITY,power_outage,strong_phrase,matched_patterns:moteur|motor,CONTEXT_GUARD:ELECTRICITY:generator/motor; route only with electricity complaint context,FALSE,common in Lebanon for private generator
2088,matar,matar,مطار,airport,transportation,noun,base_word,high,,classification_context_guard,ROADS,,context_support,mobility/road context; not issue-specific,CONTEXT_GUARD:FLOODING:rain/airport ambiguity; classify only from surrounding context,FALSE,travel location
2089,l matar,matar,مطار,airport,transportation,noun,base_word,high,,classification_context_guard,ROADS,,context_support,mobility/road context; not issue-specific,CONTEXT_GUARD:FLOODING:rain/airport ambiguity; classify only from surrounding context,FALSE,travel location
