workflow_id,complaint_type_id,complaint_type,intake_stage,triage_stage,referral_stage,field_remediation_stage,closure_criteria,official_sla_policy,deadline_policy,source_ids,confidence,status,last_verified
WF-001,CT-WASTE-001,garbage_not_collected,"Citizen reports location, photo, waste type and whether collection is overdue or illegal dumping.","Municipality confirms if routine collection, illegal dumping, hazardous waste, or landfill/dump incident.",If routine/local: municipal sanitation team or contracted collector. If shared service: union/contractor. If hazardous/fire: Civil Defense/MoE/ISF as appropriate.,"Team removes waste, clears bins, or secures site; emergency responders handle fire/danger first.","Close only when removal/fire control/site cleanup is evidenced by official update, photo, or verified follow-up.",No generic SLA. Store official SLA only if local source says it.,Use observed_resolution_time_days from incident evidence; otherwise return no deadline.,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_workflow,2026-05-29
WF-002,CT-WASTE-002,illegal_dumping_public_land,"Citizen reports location, photo, waste type and whether collection is overdue or illegal dumping.","Municipality confirms if routine collection, illegal dumping, hazardous waste, or landfill/dump incident.",If routine/local: municipal sanitation team or contracted collector. If shared service: union/contractor. If hazardous/fire: Civil Defense/MoE/ISF as appropriate.,"Team removes waste, clears bins, or secures site; emergency responders handle fire/danger first.","Close only when removal/fire control/site cleanup is evidenced by official update, photo, or verified follow-up.",No generic SLA. Store official SLA only if local source says it.,Use observed_resolution_time_days from incident evidence; otherwise return no deadline.,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_workflow,2026-05-29
WF-003,CT-WASTE-003,overflowing_bins,"Citizen reports location, photo, waste type and whether collection is overdue or illegal dumping.","Municipality confirms if routine collection, illegal dumping, hazardous waste, or landfill/dump incident.",If routine/local: municipal sanitation team or contracted collector. If shared service: union/contractor. If hazardous/fire: Civil Defense/MoE/ISF as appropriate.,"Team removes waste, clears bins, or secures site; emergency responders handle fire/danger first.","Close only when removal/fire control/site cleanup is evidenced by official update, photo, or verified follow-up.",No generic SLA. Store official SLA only if local source says it.,Use observed_resolution_time_days from incident evidence; otherwise return no deadline.,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_workflow,2026-05-29
WF-004,CT-WASTE-004,landfill_or_dump_fire,"Citizen reports location, photo, waste type and whether collection is overdue or illegal dumping.","Municipality confirms if routine collection, illegal dumping, hazardous waste, or landfill/dump incident.",If routine/local: municipal sanitation team or contracted collector. If shared service: union/contractor. If hazardous/fire: Civil Defense/MoE/ISF as appropriate.,"Team removes waste, clears bins, or secures site; emergency responders handle fire/danger first.","Close only when removal/fire control/site cleanup is evidenced by official update, photo, or verified follow-up.",No generic SLA. Store official SLA only if local source says it.,Use observed_resolution_time_days from incident evidence; otherwise return no deadline.,SRC-CIVILDEF-UNDP-2026,medium,seed_workflow,2026-05-29
WF-005,CT-WASTE-005,hazardous_or_medical_waste,"Citizen reports location, photo, waste type and whether collection is overdue or illegal dumping.","Municipality confirms if routine collection, illegal dumping, hazardous waste, or landfill/dump incident.",If routine/local: municipal sanitation team or contracted collector. If shared service: union/contractor. If hazardous/fire: Civil Defense/MoE/ISF as appropriate.,"Team removes waste, clears bins, or secures site; emergency responders handle fire/danger first.","Close only when removal/fire control/site cleanup is evidenced by official update, photo, or verified follow-up.",No generic SLA. Store official SLA only if local source says it.,Use observed_resolution_time_days from incident evidence; otherwise return no deadline.,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_workflow,2026-05-29
WF-006,CT-WASTE-006,street_sweeping_needed,"Citizen reports location, photo, waste type and whether collection is overdue or illegal dumping.","Municipality confirms if routine collection, illegal dumping, hazardous waste, or landfill/dump incident.",If routine/local: municipal sanitation team or contracted collector. If shared service: union/contractor. If hazardous/fire: Civil Defense/MoE/ISF as appropriate.,"Team removes waste, clears bins, or secures site; emergency responders handle fire/danger first.","Close only when removal/fire control/site cleanup is evidenced by official update, photo, or verified follow-up.",No generic SLA. Store official SLA only if local source says it.,Use observed_resolution_time_days from incident evidence; otherwise return no deadline.,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_workflow,2026-05-29
WF-007,CT-ROAD-001,local_road_pothole,"Capture exact road name/segment, local vs main road clue, photos, danger level, blockage.","Classify road as local municipal, intermunicipal, classified/main/MPWT, bridge, or active project.",Municipality for local road/sidewalk; MPWT for classified/main road/bridge; CDR/contractor only if project source proves it.,"Inspection, temporary safety marking/barriers, patching/repair, contractor assignment if needed.","Close when repaired, barriered, or formally referred with evidence and owner identified.",No default SLA.,Never invent repair deadline; report stage and evidence.,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_workflow,2026-05-29
WF-008,CT-ROAD-002,classified_or_main_road_damage,"Capture exact road name/segment, local vs main road clue, photos, danger level, blockage.","Classify road as local municipal, intermunicipal, classified/main/MPWT, bridge, or active project.",Municipality for local road/sidewalk; MPWT for classified/main road/bridge; CDR/contractor only if project source proves it.,"Inspection, temporary safety marking/barriers, patching/repair, contractor assignment if needed.","Close when repaired, barriered, or formally referred with evidence and owner identified.",No default SLA.,Never invent repair deadline; report stage and evidence.,SRC-MPWT-ROADS-BUILDINGS;SRC-MPWT-HOME,medium,seed_workflow,2026-05-29
WF-009,CT-ROAD-003,bridge_damage,"Capture exact road name/segment, local vs main road clue, photos, danger level, blockage.","Classify road as local municipal, intermunicipal, classified/main/MPWT, bridge, or active project.",Municipality for local road/sidewalk; MPWT for classified/main road/bridge; CDR/contractor only if project source proves it.,"Inspection, temporary safety marking/barriers, patching/repair, contractor assignment if needed.","Close when repaired, barriered, or formally referred with evidence and owner identified.",No default SLA.,Never invent repair deadline; report stage and evidence.,SRC-MPWT-ROADS-BUILDINGS;SRC-MPWT-HOME,medium,seed_workflow,2026-05-29
WF-010,CT-ROAD-004,sidewalk_damage,"Capture exact road name/segment, local vs main road clue, photos, danger level, blockage.","Classify road as local municipal, intermunicipal, classified/main/MPWT, bridge, or active project.",Municipality for local road/sidewalk; MPWT for classified/main road/bridge; CDR/contractor only if project source proves it.,"Inspection, temporary safety marking/barriers, patching/repair, contractor assignment if needed.","Close when repaired, barriered, or formally referred with evidence and owner identified.",No default SLA.,Never invent repair deadline; report stage and evidence.,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,medium,seed_workflow,2026-05-29
