﻿variant_id,candidate_id,variant,normalized_variant,arabic_normalization,sector,issue_type,category,tier,trust_status,review_priority,reason,review_status,reviewer_id,decision,second_reviewer_required,production_use_now
BFL-CAND-0004-V01,BFL-CAND-0004,tari2,tari2,طريق,ROADS,ALL_SUPPORT,noun_infra,A,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0004-V02,BFL-CAND-0004,tare2,tare2,طريق,ROADS,ALL_SUPPORT,noun_infra,A,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0004-V03,BFL-CAND-0004,tari',tari,طريق,ROADS,ALL_SUPPORT,noun_infra,B,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0004-V04,BFL-CAND-0004,triq,triq,طريق,ROADS,ALL_SUPPORT,noun_infra,B,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0004-V05,BFL-CAND-0004,tare',tare,طريق,ROADS,ALL_SUPPORT,noun_infra,C,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0004-V06,BFL-CAND-0004,tari22,tari22,طريق,ROADS,ALL_SUPPORT,noun_infra,C,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0005-V01,BFL-CAND-0005,share3,share3,شارع,ROADS,ALL_SUPPORT,noun_infra,A,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0005-V02,BFL-CAND-0005,shar3,shar3,شارع,ROADS,ALL_SUPPORT,noun_infra,A,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0005-V03,BFL-CAND-0005,shara3,shara3,شارع,ROADS,ALL_SUPPORT,noun_infra,B,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0005-V04,BFL-CAND-0005,shari3,shari3,شارع,ROADS,ALL_SUPPORT,noun_infra,B,SUPPORT_ONLY_REVIEW,P3_GENERAL_SUPPORT,Support/context term only; not an issue label. Ambiguity is acceptable only as general support after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
