condition_id,trigger,default_entity,secondary_entity,hitl_required,decision_rule,examples,source_ids,confidence,notes
WATER-LOC-MISSING,water_or_sewage_complaint_without_municipality_or_gps,HITL,WATER_ESTABLISHMENT_BY_LOCATION,true,Ask for municipality and neighborhood before selecting BMLWE NLWE SLWE or BWE.,user says water is cut in my area but gives no location,SRC-BMLWE-ABOUT;SRC-BWE-ABOUT;SRC-NLWE-ABOUT;SRC-SLWE-ABOUT,high,Water establishment routing is location-dependent and runtime municipality map is required.
WATER-PRIVATE-PLUMBING,issue_inside_private_building_tank_pump_or_apartment,PRIVATE_PROPERTY_OR_BUILDING_MANAGEMENT,WATER_ESTABLISHMENT_IF_PUBLIC_METER_OR_NETWORK_EVIDENCE,false,Do not route to WE unless complaint identifies public meter public source public pipe or shared network issue.,apartment leak; rooftop tank; private pump; internal pipes,SRC-BMLWE-ABOUT;SRC-BWE-ABOUT;SRC-NLWE-ABOUT;SRC-SLWE-ABOUT,medium_high,Official mandates cover public water services and networks not internal private plumbing.
WATER-PUBLIC-PIPE-ROAD-DAMAGE,public_water_pipe_leak_causes_road_damage,WATER_ESTABLISHMENT_BY_LOCATION,MUN_OR_MPWT_BY_ROAD_CLASS,true,Route pipe repair to WE and public-space restoration to municipality or MPWT depending road class.,burst pipe undermining road; water leak creating pothole,SRC-BMLWE-ABOUT;SRC-BWE-ABOUT;SRC-MPWT-ROADS-BUILDINGS,medium,Use HITL when road class is unknown or safety risk exists.
WATER-STORM-DRAIN-VS-SEWER,street_flood_or_manhole_overflow_with_unclear_asset_owner,HITL,MUN_OR_MPWT_OR_WATER_ESTABLISHMENT,true,Classify storm drain local road drainage sewer overflow and emergency flooding before routing.,rainwater pooling; manhole overflow; sewage smell in street,SRC-BMLWE-ABOUT;SRC-BWE-ABOUT;SRC-NLWE-ABOUT;SRC-SLWE-ABOUT,medium,WE only when evidence points to wastewater sewer or water network.
WATER-SEWAGE-HOME-EMERGENCY,sewage_or_flood_entering_home_or_life_safety_risk,CIVIL_DEFENSE,WATER_ESTABLISHMENT_BY_LOCATION;MUN_OR_MPWT,true,Emergency response first then technical follow-up with infrastructure owner.,sewage entering home; flood trapped people; collapse risk,SRC-CD-HOTLINE;SRC-SLWE-CUSTOMER-SERVICE;SRC-BWE-CUSTOMER-SERVICE,medium_high,Use emergency entity first where rescue or immediate danger exists.
WATER-DIRTY-MULTI-HOME,dirty_water_affecting_multiple_homes_or_public_source,WATER_ESTABLISHMENT_BY_LOCATION,MOE_OR_LRA_IF_ENVIRONMENTAL_SOURCE_OR_PUBLIC_HEALTH_ESCALATION,true,Route to WE and add public-health or environmental escalation when source suggests contamination beyond network.,brown tap water in neighborhood; river pollution near source,SRC-BMLWE-ABOUT;SRC-BWE-WATER-QUALITY;SRC-LRA-BASIN;SRC-LRA-WATER-QUALITY;SRC-LRA-POLLUTION-CHALLENGES,medium_high,BWE and EBML official pages support quality-monitoring role. Environmental or Litani-basin source pollution needs HITL.
WATER-PUMP-ELECTRICITY,pumping_or_supply_failure_blamed_on_power_or_fuel,WATER_ESTABLISHMENT_BY_LOCATION,EDL_OR_MEW_CONTEXT_CONDITIONAL,false,Keep WE as citizen-facing water service route unless complaint is purely electricity grid fault.,water pumps not running because power outage,SRC-BMLWE-ABOUT;SRC-MEW-DGI,medium,Do not send water outage directly to EDL unless the citizen reports only an electrical grid issue.
WATER-IRRIGATION-LITANI,irrigation_complaint_in_litani_qasimiya_or_ras_al_ain_context,HITL,LRA_OR_WATER_ESTABLISHMENT_BY_LOCATION,true,Confirm asset owner before routing. LRA may be primary for Litani-related irrigation assets.,blocked irrigation canal; Qasimiya canal issue; Ras Al Ain irrigation,SRC-SLWE-ABOUT;SRC-LRA-ORGANIGRAM;SRC-LRA-BASIN;SRC-LRA-CONTACT;SRC-LRA-GEOMAP;SRC-LRA-PROJECTS,high,SLWE official overview explicitly notes irrigation exception assigned to LRA under Article 7. LRA contact page confirms Qasimiya and Ras Al Ain office contacts.
WATER-BWE-IRRIGATION-GENERAL,irrigation_water_issue_in_bekaa_or_baalbek_hermel,BWE,LRA_IF_LITANI_ASSET_OR_COLLECTIVE_NETWORK_AMBIGUOUS,true,Use BWE when the issue is within BWE ordinary service scope and no LRA asset evidence exists.,farm irrigation subscription; Bekaa irrigation water complaint,SRC-BWE-ABOUT;SRC-LRA-BASIN,medium_high,BWE official mandate includes irrigation but LRA basin projects require boundary check.
WATER-BWE-SUDDEN-CUTOFF,sudden_water_cutoff_due_to_failure_pollution_or_emergency_repair,BWE,,false,Do not promise prior notice or restoration time. Explain official no-prior-notice categories if relevant.,sudden network failure; local pollution; emergency repair,SRC-BWE-FAQ,high,BWE FAQ lists no-prior-notice cutoff cases.
WATER-BWE-PLANNED-CUTOFF,planned_works_cleaning_maintenance_rationing_or_connection_repair,BWE,,false,Prior notice may apply but no generic restoration SLA is published.,planned maintenance; line cleaning; rationing program,SRC-BWE-FAQ,high,BWE FAQ lists prior-notice cutoff categories.
WATER-MEW-ESCALATION,policy_question_or_unresolved_field_complaint_after_we_attempt,MEW,WATER_ESTABLISHMENT_BY_LOCATION,false,Use MEW only for policy oversight or escalation after the regional WE is identified.,complaint about WE non-response; water-sector policy question,SRC-MEW-DGI;SRC-MOEW-DGO;SRC-MEW-CONTACT;SRC-MEW-CLAIMS;SRC-MEW-DG-WATER-ELECTRICITY,medium_high,MEW supervises sector but is not first-line field dispatch for ordinary complaints. Claims form is ministry-level oversight not emergency intake.
WATER-PRIVATE-WELL-LICENSE,private_well_license_status_or_groundwater_permit_question,MEW,HITL,true,Route public network water complaints to WE but regulatory well-license tracking to MEW workflow.,private well license; groundwater well permit; license request tracking,SRC-MEW-WELL-LICENSE-TRACKING;SRC-MEW-DG-WATER-ELECTRICITY;SRC-LRA-BASIN,high,MEW has an official groundwater well license tracking page. Keep HITL if complaint is about illegal extraction pollution or basin impacts.
