﻿variant_id,candidate_id,variant,normalized_variant,arabic_normalization,sector,issue_type,category,tier,trust_status,review_priority,reason,review_status,reviewer_id,decision,second_reviewer_required,production_use_now
BFL-CAND-0001-V01,BFL-CAND-0001,7ofra,7ofra,حفرة,ROADS,POTHOLE,noun_infra,A,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,A-tier low-risk non-support variant; still requires native review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0001-V02,BFL-CAND-0001,7afra,7afra,حفرة,ROADS,POTHOLE,noun_infra,A,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,A-tier low-risk non-support variant; still requires native review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0002-V01,BFL-CAND-0002,jora,jora,جورة,ROADS,POTHOLE,noun_infra,A,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,A-tier low-risk non-support variant; still requires native review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0002-V02,BFL-CAND-0002,joura,joura,جورة,ROADS,POTHOLE,noun_infra,A,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,A-tier low-risk non-support variant; still requires native review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0003-V01,BFL-CAND-0003,7afarat,7afarat,حفرات,ROADS,POTHOLE,noun_infra,A,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,A-tier low-risk non-support variant; still requires native review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0003-V05,BFL-CAND-0003,jourat,jourat,حفرات,ROADS,POTHOLE,noun_infra,A,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,A-tier low-risk non-support variant; still requires native review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0009-V01,BFL-CAND-0009,rasif,rasif,رصيف,ROADS,BROKEN_SIDEWALK,noun_infra,A,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,A-tier low-risk non-support variant; still requires native review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0009-V02,BFL-CAND-0009,rasife,rasife,رصيف,ROADS,BROKEN_SIDEWALK,noun_infra,A,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,A-tier low-risk non-support variant; still requires native review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0010-V01,BFL-CAND-0010,bardore,bardore,بردورة,ROADS,BROKEN_SIDEWALK,noun_infra,A,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,A-tier low-risk non-support variant; still requires native review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0010-V02,BFL-CAND-0010,bardoura,bardoura,بردورة,ROADS,BROKEN_SIDEWALK,noun_infra,A,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,A-tier low-risk non-support variant; still requires native review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0010-V04,BFL-CAND-0010,l bardore,l bardore,بردورة,ROADS,BROKEN_SIDEWALK,noun_infra,A,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,A-tier low-risk non-support variant; still requires native review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0011-V01,BFL-CAND-0011,balat,balat,بلاط,ROADS,BROKEN_SIDEWALK,noun_infra,A,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,A-tier low-risk non-support variant; still requires native review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0012-V01,BFL-CAND-0012,ghata biar,ghata biar,غطاء بئر,ROADS,MISSING_MANHOLE,noun_infra,A,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,A-tier low-risk non-support variant; still requires native review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0012-V02,BFL-CAND-0012,ghata l biar,ghata l biar,غطاء بئر,ROADS,MISSING_MANHOLE,noun_infra,A,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,A-tier low-risk non-support variant; still requires native review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0012-V03,BFL-CAND-0012,ghata l biyar,ghata l biyar,غطاء بئر,ROADS,MISSING_MANHOLE,noun_infra,A,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,A-tier low-risk non-support variant; still requires native review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0012-V06,BFL-CAND-0012,ghata mafqoud,ghata mafqoud,غطاء بئر,ROADS,MISSING_MANHOLE,noun_infra,A,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,A-tier low-risk non-support variant; still requires native review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0013-V01,BFL-CAND-0013,biar,biar,بئر / بيار,ROADS,MISSING_MANHOLE,noun_infra,A,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,A-tier low-risk non-support variant; still requires native review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0013-V02,BFL-CAND-0013,biyar,biyar,بئر / بيار,ROADS,MISSING_MANHOLE,noun_infra,A,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,A-tier low-risk non-support variant; still requires native review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0014-V01,BFL-CAND-0014,matab,matab,مطب,ROADS,ROAD_DAMAGE,noun_infra,A,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,A-tier low-risk non-support variant; still requires native review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0014-V02,BFL-CAND-0014,matabb,matabb,مطب,ROADS,ROAD_DAMAGE,noun_infra,A,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,A-tier low-risk non-support variant; still requires native review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0014-V04,BFL-CAND-0014,l matab,l matab,مطب,ROADS,ROAD_DAMAGE,noun_infra,A,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,A-tier low-risk non-support variant; still requires native review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0014-V06,BFL-CAND-0014,l matabeat,l matabeat,مطب,ROADS,ROAD_DAMAGE,noun_infra,A,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,A-tier low-risk non-support variant; still requires native review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0015-V01,BFL-CAND-0015,kaser sur3a,kaser sur3a,كاسر سرعة,ROADS,ROAD_DAMAGE,noun_infra,A,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,A-tier low-risk non-support variant; still requires native review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0016-V01,BFL-CAND-0016,jisr,jisr,جسر / كوبري,ROADS,ROAD_COLLAPSE,noun_infra,A,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,A-tier low-risk non-support variant; still requires native review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0016-V02,BFL-CAND-0016,koubri,koubri,جسر / كوبري,ROADS,ROAD_COLLAPSE,noun_infra,A,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,A-tier low-risk non-support variant; still requires native review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0016-V03,BFL-CAND-0016,kobri,kobri,جسر / كوبري,ROADS,ROAD_COLLAPSE,noun_infra,A,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,A-tier low-risk non-support variant; still requires native review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0016-V05,BFL-CAND-0016,l jisr,l jisr,جسر / كوبري,ROADS,ROAD_COLLAPSE,noun_infra,A,A_TIER_READY_FOR_NATIVE_REVIEW,P2_CORE_REVIEW_READY,A-tier low-risk non-support variant; still requires native review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
