requirement_id,entity_id,workflow_type,required_field_or_document,required_for,source_ids,confidence,notes
BMLWE-FAULT-REQ-LOCATION,BMLWE,fault_or_leak_report,exact_location_or_department_area,faults_and_leaks,SRC-BMLWE-FAQ;SRC-BMLWE-CONTACT,medium,FAQ confirms fault reporting channels but not exact required fields. Location is operationally required for routing.
BMLWE-FORM-DOC-SUBSCRIPTION-RECEIPT,BMLWE,forms_catalog,copy_of_subscription_receipt,service_request_forms,SRC-BMLWE-FORMS,medium,Official forms page lists document cards but static text does not preserve exact form-to-document binding.
BMLWE-FORM-DOC-STAMPS,BMLWE,forms_catalog,stamps,service_request_forms,SRC-BMLWE-FORMS,medium,Official forms page lists stamps for multiple form-document cards.
BMLWE-FORM-DOC-ID,BMLWE,forms_catalog,copy_of_id,service_request_forms,SRC-BMLWE-FORMS,medium,Official forms page lists copy of ID for multiple form-document cards.
BMLWE-FORM-DOC-TITLE-LEASE,BMLWE,forms_catalog,title_or_lease_deed,service_request_forms,SRC-BMLWE-FORMS,medium,Official forms page lists title or lease deed in form-document cards.
BMLWE-FORM-DOC-ELECTRICITY,BMLWE,forms_catalog,electricity_receipt_or_subscription_receipt,service_request_forms,SRC-BMLWE-FORMS,medium,Official forms page lists electricity receipt or electricity subscription receipt in form-document cards.
BMLWE-FORM-DOC-DETECTION-FEE,BMLWE,forms_catalog,detection_fee,service_request_forms,SRC-BMLWE-FORMS,medium,Official forms page lists detection fee in one form-document card.
BMLWE-FORM-DOC-RENT-CONTRACT,BMLWE,forms_catalog,copy_of_rent_contract,service_request_forms,SRC-BMLWE-FORMS,medium,Official forms page lists rent contract in one form-document card.
BMLWE-FORM-DOC-SALE-CONTRACT,BMLWE,forms_catalog,sale_contract_or_sale_contract_ratified_by_notary,transfer_or_subscription_related_requests,SRC-BMLWE-FORMS,medium,Official forms page lists sale contract requirements but static text does not preserve exact card binding.
BMLWE-FORM-DOC-MUNICIPAL-LEASE,BMLWE,forms_catalog,lease_contract_ratified_by_municipality,lessee_change_or_subscription_related_requests,SRC-BMLWE-FORMS,medium,Official forms page lists municipality-ratified lease contract for some requests.
BMLWE-FORM-DOC-MUKHTAR,BMLWE,forms_catalog,attestation_of_domiciliation_from_locality_mayor,transfer_related_requests,SRC-BMLWE-FORMS,medium,Official forms page lists a locality mayor attestation in one form-document card.
BMLWE-FORM-DOC-HEIRS,BMLWE,forms_catalog,cession_of_remaining_heirs_rights_if_transfer_to_heir,transfer_to_heir,SRC-BMLWE-FORMS,medium,Official forms page lists heir-right cession for transfer to one heir.
BMLWE-FORM-DOC-CONSTRUCTION-PERMIT,BMLWE,forms_catalog,construction_permit_cover,new_building_or_temporary_subscription,SRC-BMLWE-FORMS,medium,Official forms page lists construction permit cover in new-building related requests.
BMLWE-FORM-DOC-WORKS-PERMIT,BMLWE,forms_catalog,works_permit_or_work_completion_attestation,new_building_or_temporary_subscription,SRC-BMLWE-FORMS,medium,Official forms page lists works permit or work-completion attestation.
BMLWE-FORM-DOC-SITE-MAP,BMLWE,forms_catalog,site_map_500_1,new_building_or_not_connected_to_network_request,SRC-BMLWE-FORMS,medium,Official forms page lists site map 500/1 in one form-document card.
NLWE-COMPLAINT-SUBSCRIBER-NAME,NLWE,complaint,subscriber_name,private_or_general_complaint,SRC-NLWE-CUSTOMER-SERVICE,high,Official customer-service page lists this field for complaints.
NLWE-COMPLAINT-SUBSCRIPTION-NUMBER,NLWE,complaint,subscription_number,private_or_general_complaint,SRC-NLWE-CUSTOMER-SERVICE,high,Official customer-service page lists this field for complaints.
NLWE-COMPLAINT-PROBLEM,NLWE,complaint,problem_description,private_or_general_complaint,SRC-NLWE-CUSTOMER-SERVICE,high,Official customer-service page lists this field for complaints.
NLWE-COMPLAINT-ADDRESS,NLWE,complaint,address,private_or_general_complaint,SRC-NLWE-CUSTOMER-SERVICE,high,Official customer-service page lists this field for complaints.
NLWE-CONTACT-NAME,NLWE,contact_form,name,general_message,SRC-NLWE-CONTACT,high,Official contact page exposes this form field.
NLWE-CONTACT-EMAIL,NLWE,contact_form,email,general_message,SRC-NLWE-CONTACT,high,Official contact page exposes this form field.
NLWE-CONTACT-PHONE,NLWE,contact_form,phone,general_message,SRC-NLWE-CONTACT,high,Official contact page exposes this form field.
NLWE-CONTACT-MESSAGE,NLWE,contact_form,message,general_message,SRC-NLWE-CONTACT,high,Official contact page exposes this form field.
