source_term_id,arabic_script,english_gloss,category,subcategory,canonical_arabizi,safe_unique_variants_pipe,reliable_alt_review_variants_pipe,context_only_variants_pipe,operational_variants_pipe,review_status,must_not_auto_promote,destination_asset,notes
ARZ-V10-00428,الأشرفية,Achrafieh,place_name_support,lebanon_place,achrafieh,,,achrafieh|ashrafieh,achrafieh|ashrafieh,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00429,عاليه,Aley,place_name_support,lebanon_place,aley,,,aley|3aley,aley|3aley,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00430,بعبدا,Baabda,place_name_support,lebanon_place,baabda,,,baabda|ba3abda,baabda|ba3abda,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00431,بعلبك,Baalbek,place_name_support,lebanon_place,baalbek,,,baalbek|baalbak,baalbek|baalbak,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00432,بدارو,Badaro,place_name_support,lebanon_place,badaro,,,badaro,badaro,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00433,بيروت,Beirut,place_name_support,lebanon_place,beirut,,,beirut|bayrut,beirut|bayrut,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00434,البقاع,Bekaa,place_name_support,lebanon_place,bekaa,,,bekaa|beqaa,bekaa|beqaa,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00435,برج حمود,Bourj Hammoud,place_name_support,lebanon_place,bourj hammoud,,,bourj hammoud|burj hamoud|borj hammod|burj hamod,bourj hammoud|burj hamoud|borj hammod|burj hamod,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00436,الشوف,Chouf,place_name_support,lebanon_place,chouf,,,chouf|shouf|chof|shof,chouf|shouf|chof|shof,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00437,الضاحية,Dahiyeh,place_name_support,lebanon_place,dahiye,,,dahiye|da7ye,dahiye|da7ye,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00438,الدكوانة,Dekwaneh,place_name_support,lebanon_place,dekwaneh,,,dekwaneh|dekwene,dekwaneh|dekwene,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00439,فرن الشباك,Furn El Chebbak,place_name_support,lebanon_place,furn el chebbak,,,furn el chebbak|forn el chebbak,furn el chebbak|forn el chebbak,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00440,الجميزة,Gemmayzeh,place_name_support,lebanon_place,gemmayze,,,gemmayze|jemmayze,gemmayze|jemmayze,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00441,الحمرا,Hamra,place_name_support,lebanon_place,hamra,,,hamra,hamra,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00442,الحازمية,Hazmieh,place_name_support,lebanon_place,hazmieh,,,hazmieh,hazmieh,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00443,جبيل,Byblos/Jbeil,place_name_support,lebanon_place,jbeil,,,jbeil|byblos,jbeil|byblos,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00444,الجنوب,South,place_name_support,lebanon_place,jnoub,,,jnoub|janoub|jnob|janob,jnoub|janoub|jnob|janob,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00445,جونية,Jounieh,place_name_support,lebanon_place,jounieh,,,jounieh|jouniye|jonieh|joniye,jounieh|jouniye|jonieh|joniye,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00446,كسروان,Keserwan,place_name_support,lebanon_place,keserwan,,,keserwan|kesserwen,keserwan|kesserwen,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00447,مار مخايل,Mar Mikhael,place_name_support,lebanon_place,mar mikhael,,,mar mikhael|mar mkhayel|mar mi5ael|mar m5ayel,mar mikhael|mar mkhayel|mar mi5ael|mar m5ayel,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00448,المتن,Metn,place_name_support,lebanon_place,metn,,,metn|el metn,metn|el metn,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00449,النبطية,Nabatieh,place_name_support,lebanon_place,nabatieh,,,nabatieh|nabatiye,nabatieh|nabatiye,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00450,رأس بيروت,Ras Beirut,place_name_support,lebanon_place,ras beirut,,,ras beirut,ras beirut,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00451,صيدا,Saida/Sidon,place_name_support,lebanon_place,saida,,,saida|sayda,saida|sayda,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00452,الشمال,North,place_name_support,lebanon_place,shmel,,,shmel|shmal,shmel|shmal,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00453,سن الفيل,Sin El Fil,place_name_support,lebanon_place,sin el fil,,,sin el fil,sin el fil,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00454,صور,Tyre/Sour,place_name_support,lebanon_place,sour,,,sour|tyre|sor,sour|tyre|sor,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00455,طريق الجديدة,Tariq El Jdideh,place_name_support,lebanon_place,tari2 jdide,,,tari2 jdide|tarik jdide,tari2 jdide|tarik jdide,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00456,طرابلس,Tripoli,place_name_support,lebanon_place,tripoli,,,tripoli|trablos,tripoli|trablos,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00457,زحلة,Zahle,place_name_support,lebanon_place,zahle,,,zahle|zahleh,zahle|zahleh,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00458,كهرباء لبنان,EDL / Electricité du Liban,agency_support,electricity,edl,,,edl|electricite du liban,edl|electricite du liban,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00459,ألفا,Alfa,agency_support,telecom,alfa,,,alfa,alfa,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00460,أوجيرو,Ogero,agency_support,telecom,ogero,,,ogero,ogero,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-00461,تاتش,Touch,agency_support,telecom,touch,,,touch,touch,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-01229,طيب,okay/then,filler,discourse,tayeb,,,tayeb|tayib,tayeb|tayib,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-01230,يعني,meaning/like,filler,discourse,ya3ne,,,ya3ne|yane,ya3ne|yane,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-01231,عنجد,seriously,filler,emphasis,3anjad,,,3anjad|3an jad,3anjad|3an jad,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-01232,كتير,very,filler,emphasis,ktir,,,ktir|kteer,ktir|kteer,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-01233,مرحبا,hello,filler,greeting,mar7aba,,,mar7aba|marhaba,mar7aba|marhaba,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-01234,لو سمحت,please,filler,politeness,law sama7et,,,law sama7et,law sama7et,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-01235,بليز,please,filler,politeness,please,,,please|plz|pls,please|plz|pls,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-01236,رجاءً,please,filler,politeness,raja2an,,,raja2an,raja2an,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-01237,رجاء,please,filler,politeness,raja2an,,,raja2an,raja2an,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-01238,شكراً,thanks,filler,politeness,shukran,,,shukran|merci|thanks,shukran|merci|thanks,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-01239,يعطيكن العافية,thank you/greeting,filler,politeness,ya3tikon l 3afye,,,ya3tikon l 3afye,ya3tikon l 3afye,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-01240,الله يخليكن,please / may God keep you,filler,request_softener,allah ykhalikon,,,allah ykhalikon|allah y5allikon|allah y5alikon|allah ykhallikon,allah ykhalikon|allah y5allikon|allah y5alikon|allah ykhallikon,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-01241,كرمال,for the sake of,filler,request_softener,kermel,,,kermel,kermel,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-01242,يا ريت,hopefully/please,filler,request_softener,yaret,,,yaret|ya reit,yaret|ya reit,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-01243,بسرعة,quickly,filler,urgency,bsor3a,,,bsor3a|bser3a,bsor3a|bser3a,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
ARZ-V10-01244,هلأ,now,filler,urgency,halla2,,,halla2|hala2,halla2|hala2,PENDING_NATIVE_REVIEW,TRUE,arabizi_stoplist_or_support_bank,Export to stoplist/support bank; suppress OOV only after review.
