vocab_key,sector,label,arabizi_form,normalised,status,arabic_pattern
kahrabe,ELECTRICITY,electricity/kahraba,kahraba,kahraba,ALREADY_COVERED,كهرب
3atal,ELECTRICITY,breakdown/fault,3otil,3otil,NEW,"عطل,خلل"
tarik,ROADS,road/tariq,ltary2,ltary2,NEW,"طريق,طرق"
tarik,ROADS,street/share3,share3,share3,NEW,شارع
zeft,ROADS,asphalt/tar,zeft,zeft,ALREADY_COVERED,"زفت,قير"
mayye,WATER,water,miah,miah,NEW,"مياه,ماء,مي "
zibele,WASTE,garbage/waste,elzbeli,elzbeli,NEW,"زبال,نفايات,قمامة"
zibele,WASTE,garbage/waste,nifayat,nifayat,NEW,"زبال,نفايات,قمامة"
zibele,WASTE,garbage/waste,zabali,zabali,NEW,"زبال,نفايات,قمامة"
zibele,WASTE,garbage/waste,zbele,zbele,ALREADY_COVERED,"زبال,نفايات,قمامة"
zibele,WASTE,garbage/waste,zbeleh,zbeleh,NEW,"زبال,نفايات,قمامة"
zibele,WASTE,garbage/waste,zbely,zbely,NEW,"زبال,نفايات,قمامة"
zibele,WASTE,garbage/waste,zubala,zubala,NEW,"زبال,نفايات,قمامة"
nar,SAFETY,fire,7re2o,7re2o,NEW,"حريق,حرق"
