﻿variant_id,candidate_id,variant,normalized_variant,arabic_normalization,sector,issue_type,category,tier,trust_status,review_priority,reason,review_status,reviewer_id,decision,second_reviewer_required,production_use_now
BFL-CAND-0001-V03,BFL-CAND-0001,hofra,hofra,حفرة,ROADS,POTHOLE,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0001-V04,BFL-CAND-0001,7ofrit,7ofrit,حفرة,ROADS,POTHOLE,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0002-V03,BFL-CAND-0002,joora,joora,جورة,ROADS,POTHOLE,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0002-V04,BFL-CAND-0002,jorit,jorit,جورة,ROADS,POTHOLE,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0003-V02,BFL-CAND-0003,7ofar,7ofar,حفرات,ROADS,POTHOLE,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0003-V03,BFL-CAND-0003,hfar,hfar,حفرات,ROADS,POTHOLE,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0003-V06,BFL-CAND-0003,jowarat,jowarat,حفرات,ROADS,POTHOLE,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0009-V03,BFL-CAND-0009,rsayef,rsayef,رصيف,ROADS,BROKEN_SIDEWALK,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0009-V04,BFL-CAND-0009,rsayfet,rsayfet,رصيف,ROADS,BROKEN_SIDEWALK,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0010-V03,BFL-CAND-0010,bardour,bardour,بردورة,ROADS,BROKEN_SIDEWALK,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0010-V06,BFL-CAND-0010,bordure,bordure,بردورة,ROADS,BROKEN_SIDEWALK,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0011-V02,BFL-CAND-0011,blat,blat,بلاط,ROADS,BROKEN_SIDEWALK,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0011-V03,BFL-CAND-0011,balet,balet,بلاط,ROADS,BROKEN_SIDEWALK,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0012-V05,BFL-CAND-0012,ghatit l biar,ghatit l biar,غطاء بئر,ROADS,MISSING_MANHOLE,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0013-V03,BFL-CAND-0013,bi2ar,bi2ar,بئر / بيار,ROADS,MISSING_MANHOLE,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0013-V06,BFL-CAND-0013,byarat,byarat,بئر / بيار,ROADS,MISSING_MANHOLE,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0014-V03,BFL-CAND-0014,mtab,mtab,مطب,ROADS,ROAD_DAMAGE,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0014-V05,BFL-CAND-0014,matabeat,matabeat,مطب,ROADS,ROAD_DAMAGE,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0015-V02,BFL-CAND-0015,kasret sur3a,kasret sur3a,كاسر سرعة,ROADS,ROAD_DAMAGE,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0016-V04,BFL-CAND-0016,jesr,jesr,جسر / كوبري,ROADS,ROAD_COLLAPSE,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0017-V02,BFL-CAND-0017,nafa2a,nafa2a,نفق,ROADS,ROAD_BLOCKED,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0017-V03,BFL-CAND-0017,nafeq,nafeq,نفق,ROADS,ROAD_BLOCKED,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0017-V06,BFL-CAND-0017,nafeq ta7t l ard,nafeq ta7t l ard,نفق,ROADS,ROAD_BLOCKED,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0018-V02,BFL-CAND-0018,7awajez,7awajez,حاجز,ROADS,ROAD_BLOCKED,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0018-V03,BFL-CAND-0018,7ajiz,7ajiz,حاجز,ROADS,ROAD_BLOCKED,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0018-V05,BFL-CAND-0018,7ajez kharsoune,7ajez kharsoune,حاجز,ROADS,ROAD_BLOCKED,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0018-V06,BFL-CAND-0018,barricade,barricade,حاجز,ROADS,ROAD_BLOCKED,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0021-V04,BFL-CAND-0021,isharet dawiye,isharet dawiye,إشارة ضوئية,ROADS,ROAD_BLOCKED,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0021-V05,BFL-CAND-0021,trafico,trafico,إشارة ضوئية,ROADS,ROAD_BLOCKED,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0021-V06,BFL-CAND-0021,ishara,ishara,إشارة ضوئية,ROADS,ROAD_BLOCKED,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0023-V02,BFL-CAND-0023,t7wile,t7wile,تحويلة,ROADS,ROAD_BLOCKED,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0024-V02,BFL-CAND-0024,z7me,z7me,زحمة,ROADS,ROAD_BLOCKED,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0025-V03,BFL-CAND-0025,ashghal,ashghal,أعمال,ROADS,ROAD_BLOCKED,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0025-V06,BFL-CAND-0025,a3mel tari2,a3mel tari2,أعمال,ROADS,ROAD_BLOCKED,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
BFL-CAND-0026-V04,BFL-CAND-0026,5nde2,5nde2,حفر / خندق,ROADS,ROAD_BLOCKED,noun_infra,B,B_TIER_VARIANT_REVIEW,P2_VARIANT_REVIEW,B-tier alternate spelling; variant lookup only after review.,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,FALSE,FALSE
