ff_id,variant,normalized_variant,competing_lemmas,resolution_policy,risk_level,examples_positive,examples_negative,dialect_region,sector,issue_type,category,variant_tier,confidence_level,false_friend_risk,external_resource_ids,review_status,reviewer_id,decision,promotion_target,must_not_auto_promote,created_at_utc,updated_at_utc,notes
FF0001,h,h,ه;ح,FALLBACK_ONLY,HIGH,halla2 = هلأ; hon = هون,ta7t should not become taht automatically,LB_GENERAL,ALL_SUPPORT,ALL_SUPPORT,false_friend,REVIEW_ONLY,HIGH,HIGH,RES_WIKI_CHAT;RES_YAMLI;RES_DARWISH2014,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_MORE_EVIDENCE,MODEL_ONLY,TRUE,2026-05-18T16:08:17Z,2026-05-18T16:08:17Z,Plain h is ambiguous.
FF0002,aa,aa,long vowel;possible omitted 3 context,FUZZY_FALLBACK_ONLY,HIGH,baad may match ba3d only with context,aa must not globally map to ع,LB_GENERAL,ALL_SUPPORT,ALL_SUPPORT,false_friend,REVIEW_ONLY,HIGH,HIGH,RES_WIKI_CHAT;RES_YAMLI;RES_DARWISH2014,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_MORE_EVIDENCE,MODEL_ONLY,TRUE,2026-05-18T16:08:17Z,2026-05-18T16:08:17Z,Vowel-only fallback.
FF0003,ee,ee,long vowel,VOWEL_NORMALIZATION_ONLY,HIGH,kteer/mnee7,ee must not globally map to ع,LB_GENERAL,ALL_SUPPORT,ALL_SUPPORT,false_friend,REVIEW_ONLY,HIGH,HIGH,RES_WIKI_CHAT;RES_YAMLI;RES_DARWISH2014,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_MORE_EVIDENCE,MODEL_ONLY,TRUE,2026-05-18T16:08:17Z,2026-05-18T16:08:17Z,Vowel-only fallback.
FF0004,ma fi,ma fi,there is no / unavailable,DO_NOT_COLLAPSE_WITH_MA_FIYE,HIGH,ma fi may = no water,ma fiye = I cannot,LB_GENERAL,ALL_SUPPORT,ALL_SUPPORT,false_friend,REVIEW_ONLY,HIGH,HIGH,RES_WIKI_CHAT;RES_YAMLI;RES_DARWISH2014,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_MORE_EVIDENCE,MODEL_ONLY,TRUE,2026-05-18T16:08:17Z,2026-05-18T16:08:17Z,Critical semantic difference.
FF0005,ma fiye,ma fiye,I cannot,DO_NOT_COLLAPSE_WITH_MA_FI,HIGH,ma fiye fout = I cannot enter,ma fi may = no water,LB_GENERAL,ALL_SUPPORT,ALL_SUPPORT,false_friend,REVIEW_ONLY,HIGH,HIGH,RES_WIKI_CHAT;RES_YAMLI;RES_DARWISH2014,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_MORE_EVIDENCE,MODEL_ONLY,TRUE,2026-05-18T16:08:17Z,2026-05-18T16:08:17Z,Critical semantic difference.
FF0006,min,min,from;who depending context,CONTEXT_REQUIRED,MEDIUM,min emes = since yesterday,meen/min as who,LB_GENERAL,ALL_SUPPORT,ALL_SUPPORT,false_friend,REVIEW_ONLY,HIGH,MEDIUM,RES_WIKI_CHAT;RES_YAMLI;RES_DARWISH2014,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_MORE_EVIDENCE,MODEL_ONLY,TRUE,2026-05-18T16:08:17Z,2026-05-18T16:08:17Z,Do not treat as exact stopword blindly.
FF0007,2,2,hamza;Lebanese qaf context,CONTEXT_REQUIRED,MEDIUM,2ata3 = cut,formal q may need q,LB_GENERAL,ALL_SUPPORT,ALL_SUPPORT,false_friend,REVIEW_ONLY,HIGH,MEDIUM,RES_WIKI_CHAT;RES_YAMLI;RES_DARWISH2014,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_MORE_EVIDENCE,MODEL_ONLY,TRUE,2026-05-18T16:08:17Z,2026-05-18T16:08:17Z,Digit 2 has multiple roles.
FF0008,8,8,qaf;ghayn depending convention,REVIEW_ONLY,HIGH,rare user convention,do not use as direct غ in CedarFix,LB_GENERAL,ALL_SUPPORT,ALL_SUPPORT,false_friend,REVIEW_ONLY,HIGH,HIGH,RES_WIKI_CHAT;RES_YAMLI;RES_DARWISH2014,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_MORE_EVIDENCE,MODEL_ONLY,TRUE,2026-05-18T16:08:17Z,2026-05-18T16:08:17Z,Ambiguous regional convention.
FF0009,9,9,sad;qaf depending convention,REVIEW_ONLY,HIGH,Arabic chat convention sometimes,do not direct-normalize,LB_GENERAL,ALL_SUPPORT,ALL_SUPPORT,false_friend,REVIEW_ONLY,HIGH,HIGH,RES_WIKI_CHAT;RES_YAMLI;RES_DARWISH2014,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_MORE_EVIDENCE,MODEL_ONLY,TRUE,2026-05-18T16:08:17Z,2026-05-18T16:08:17Z,Ambiguous regional convention.
FF0010,jora,jora,pothole;hole;could be place/name fragment,VARIANT_ONLY_UNTIL_REVIEW,MEDIUM,jora on street,unknown proper noun context,LB_GENERAL,ALL_SUPPORT,ALL_SUPPORT,false_friend,REVIEW_ONLY,HIGH,MEDIUM,RES_WIKI_CHAT;RES_YAMLI;RES_DARWISH2014,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_MORE_EVIDENCE,MODEL_ONLY,TRUE,2026-05-18T16:08:17Z,2026-05-18T16:08:17Z,Local high-value but context-sensitive.
FF0011,CD,cd,Civil Defense;compact disc;other acronym,SUPPORT_ONLY,HIGH,CD in safety report,CD as irrelevant acronym,LB_GENERAL,ALL_SUPPORT,ALL_SUPPORT,false_friend,REVIEW_ONLY,HIGH,HIGH,RES_WIKI_CHAT;RES_YAMLI;RES_DARWISH2014,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_MORE_EVIDENCE,MODEL_ONLY,TRUE,2026-05-18T16:08:17Z,2026-05-18T16:08:17Z,Institution/acronym ambiguity.
FF0012,BWA,bwa,Beirut Water Authority;other acronym,SUPPORT_ONLY,MEDIUM,BWA water complaint,unrelated acronym,LB_GENERAL,ALL_SUPPORT,ALL_SUPPORT,false_friend,REVIEW_ONLY,HIGH,MEDIUM,RES_WIKI_CHAT;RES_YAMLI;RES_DARWISH2014,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_MORE_EVIDENCE,MODEL_ONLY,TRUE,2026-05-18T16:08:17Z,2026-05-18T16:08:17Z,Agency token not issue label.
