﻿rewrite_id,bad_variant,bad_normalized,replacement_variant,replacement_normalized,candidate_id,sector,issue_type,reason,review_status
RW-0001,hufra,hufra,7ofra,7ofra,BFL-CAND-0001,ROADS,POTHOLE,REJECT_NOISY_WRONG_MARKER: keep 7ofra/7afra as core and hofra only as fallback.,PENDING_NATIVE_REVIEW
RW-0002,hufra,hufra,7afra,7afra,BFL-CAND-0001,ROADS,POTHOLE,REJECT_NOISY_WRONG_MARKER: keep 7ofra/7afra as core and hofra only as fallback.,PENDING_NATIVE_REVIEW
RW-0003,hufra,hufra,hofra,hofra,BFL-CAND-0001,ROADS,POTHOLE,REJECT_NOISY_WRONG_MARKER: keep 7ofra/7afra as core and hofra only as fallback.,PENDING_NATIVE_REVIEW
RW-0004,walid,walid,moualled,moualled,BFL-CAND-0101,ELECTRICITY,ALL_SUPPORT,REJECT_FALSE_FRIEND: person-name confusion with generator; use moualled/moualid/mwalled/generator.,PENDING_NATIVE_REVIEW
RW-0005,walid,walid,moualid,moualid,BFL-CAND-0101,ELECTRICITY,ALL_SUPPORT,REJECT_FALSE_FRIEND: person-name confusion with generator; use moualled/moualid/mwalled/generator.,PENDING_NATIVE_REVIEW
RW-0006,walid,walid,mwalled,mwalled,BFL-CAND-0101,ELECTRICITY,ALL_SUPPORT,REJECT_FALSE_FRIEND: person-name confusion with generator; use moualled/moualid/mwalled/generator.,PENDING_NATIVE_REVIEW
RW-0007,walid,walid,generator,generator,BFL-CAND-0101,ELECTRICITY,ALL_SUPPORT,REJECT_FALSE_FRIEND: person-name confusion with generator; use moualled/moualid/mwalled/generator.,PENDING_NATIVE_REVIEW
RW-0008,amper l walid,amper l walid,amper l moualled,amper l moualled,BFL-CAND-0107,ELECTRICITY,ALL_SUPPORT,REJECT_FALSE_FRIEND: person-name confusion with generator.,PENDING_NATIVE_REVIEW
RW-0009,amper l walid,amper l walid,amper l moualid,amper l moualid,BFL-CAND-0107,ELECTRICITY,ALL_SUPPORT,REJECT_FALSE_FRIEND: person-name confusion with generator.,PENDING_NATIVE_REVIEW
RW-0010,amper l walid,amper l walid,amper generator,amper generator,BFL-CAND-0107,ELECTRICITY,ALL_SUPPORT,REJECT_FALSE_FRIEND: person-name confusion with generator.,PENDING_NATIVE_REVIEW
RW-0011,7ada 2anje7,7ada 2anje7,7ada mjrou7,7ada mjrou7,BFL-CAND-0186,SAFETY,INJURY,REWRITE_SEMANTIC: not reliable for injured person; use 7ada mjrou7 / 7ada msab.,PENDING_NATIVE_REVIEW
