surface_id,surface_form,normalized_surface,canonical_form,source_layer,source_id,source_field,sector,issue_type,category,variant_rule,confidence_level,false_friend_risk,risk_level,allowed_uses,blocked_uses,review_status,reviewer_id,must_not_auto_promote,source_reference,created_at
ASF-00001,miye,miye,miye,stoplist,miye,term,ALL,STOPLIST,stoplist,BASE_SOURCE_FORM,HIGH,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,correct_arabizi_vocabulary.py v1.5.1,2026-05-21T00:00:00Z
ASF-00002,l miye,l miye,miye,stoplist,miye,term,ALL,STOPLIST,stoplist,ADD_L_ARTICLE,MEDIUM,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,correct_arabizi_vocabulary.py v1.5.1,2026-05-21T00:00:00Z
ASF-00003,el miye,el miye,miye,stoplist,miye,term,ALL,STOPLIST,stoplist,ADD_EL_ARTICLE,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,correct_arabizi_vocabulary.py v1.5.1,2026-05-21T00:00:00Z
ASF-00004,meeye,meeye,miye,stoplist,miye,term,ALL,STOPLIST,stoplist,I_TO_EE,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,correct_arabizi_vocabulary.py v1.5.1,2026-05-21T00:00:00Z
ASF-00005,mat3a,mat3a,mat3a,stoplist,mat3a,term,ALL,STOPLIST,stoplist,BASE_SOURCE_FORM,HIGH,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,correct_arabizi_vocabulary.py v1.5.1,2026-05-21T00:00:00Z
ASF-00006,l mat3a,l mat3a,mat3a,stoplist,mat3a,term,ALL,STOPLIST,stoplist,ADD_L_ARTICLE,MEDIUM,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,correct_arabizi_vocabulary.py v1.5.1,2026-05-21T00:00:00Z
ASF-00007,el mat3a,el mat3a,mat3a,stoplist,mat3a,term,ALL,STOPLIST,stoplist,ADD_EL_ARTICLE,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,correct_arabizi_vocabulary.py v1.5.1,2026-05-21T00:00:00Z
ASF-00008,tire2,tire2,tire2,stoplist,tire2,term,ALL,STOPLIST,stoplist,BASE_SOURCE_FORM,HIGH,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,correct_arabizi_vocabulary.py v1.5.1,2026-05-21T00:00:00Z
ASF-00009,l tire2,l tire2,tire2,stoplist,tire2,term,ALL,STOPLIST,stoplist,ADD_L_ARTICLE,MEDIUM,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,correct_arabizi_vocabulary.py v1.5.1,2026-05-21T00:00:00Z
ASF-00010,el tire2,el tire2,tire2,stoplist,tire2,term,ALL,STOPLIST,stoplist,ADD_EL_ARTICLE,LOW,true,LOW,stoplist_filtering|oov_suppression,routing|severity_assignment|sector_classification|issue_type_decision|core_vocab_promotion,REVIEW_ONLY_GENERATED,SYSTEM-V15,true,correct_arabizi_vocabulary.py v1.5.1,2026-05-21T00:00:00Z
