bc_id,complaint_signal,condition_description,primary_entity,co_entity,override_entity,hitl_required,hitl_reason,routing_note
BC-001,streetlight_out,Streetlight is out on a public street,MUN,,,false,,"Municipal streetlights are a municipality responsibility. If the wire is visibly sparking or dangerous, escalate to BC-002."
BC-002,sparking_wire_or_electrical_hazard,Exposed/sparking electrical wire — immediate public danger,EDL,CD,,true,Immediate physical danger. CD dispatched for scene safety; EDL for grid isolation.,Always co-route EDL + Civil Defense. Do not treat as routine outage.
BC-003,electricity_fault_zahle_district,Electricity fault in Zahle city or Zahle district (Bekaa),EDZ,,EDL,true,EDZ concession area — EDL is NOT responsible. HITL to confirm Zahle district vs rest of Bekaa.,"GPS must confirm Zahle district. If unconfirmed, HITL."
BC-004,electricity_fault_private_generator,"Electricity issue appears to be from a private generator (moualid), not grid",PRIVATE,,EDL,true,Private generator faults are not EDL responsibility. Cannot auto-route.,HITL always for electricity — agent must confirm EDL grid vs private generator before routing.
BC-005,road_damage_unknown_class,Road damage reported but road class (local vs national) is unclear,HITL,,,true,Local road → MUN; classified/national road → MPWT. Cannot distinguish without GPS or road name confirmation.,If road is clearly inside a residential area/neighborhood → MUN. If it is a named national highway or bridge → MPWT.
BC-006,road_damage_local_street,Pothole or damage on a local/internal/residential street,MUN,,,false,,Local roads and sidewalks are a municipal responsibility.
BC-007,road_damage_national_road_or_bridge,Damage on a classified national road or bridge,MPWT,,,false,,Classified/national roads and bridges belong to MPWT. Active CDR project sites → CDR.
BC-008,waste_hazardous_or_chemical,"Waste is hazardous, chemical, medical, or burning",MOE,MUN,,true,Hazardous materials require MOE. Civil Defense if fire/immediate danger. MUN as co-entity for local clearing.,Routine waste → MUN only. Add CD if fire present.
BC-009,flooding_emergency,Active flooding causing immediate danger or requiring rescue,CD,MUN,,false,,CD dispatched first for emergency rescue. MUN follows for drainage repair. CDR for national drainage infrastructure failure.
BC-010,fire_with_possible_crime,Fire incident that may involve arson or criminal activity,CD,ISF,,true,Criminal dimension requires ISF. CD handles fire suppression. Cannot auto-route ISF.,Always HITL when ISF is co-entity. Human confirms criminal relevance before ISF is notified.
BC-011,water_complaint_unknown_governorate,Water complaint with no confirmed governorate,HITL,,,true,Water authority is determined by governorate (BMLWE/NLWE/SLWE/BWE). Cannot route without location.,Resolve governorate via GPS or citizen input before routing to water establishment.
BC-012,fixed_internet_vs_mobile,Internet outage — unclear if fixed-line (OGERO) or mobile data (Alfa/Touch),OGERO,,,true,OGERO handles fixed-line only. Mobile data issues → Alfa/Touch (not a public entity in CedarFix scope). HITL to confirm.,"If citizen says 'DSL', 'ADSL', 'landline', 'fiber' → OGERO. If 'mobile data', '4G', 'cellular' → out of scope."
