_id,userInputs,userID,sessionID,stationID,spaceID,siteID,clusterID,connectionTime,disconnectTime,kWhDelivered,doneChargingTime,timezone
606cfd0cf9af8b03f4edb505,"[{'userID': 11866, 'milesRequested': 100, 'WhPerMile': 424, 'minutesAvailable': 288, 'modifiedAt': 'Sun, 21 Mar 2021 20:43:05 GMT', 'paymentRequired': True, 'requestedDeparture': 'Mon, 22 Mar 2021 01:31:06 GMT', 'kWhRequested': 42.4}]",000011866,2_39_81_4550_2021-03-21 20:41:44.337676,2-39-81-4550,11900388,0002,0039,"Sun, 21 Mar 2021 20:43:06 GMT","Sun, 21 Mar 2021 20:48:58 GMT",3.308,,America/Los_Angeles
606cfd0cf9af8b03f4edb506,"[{'userID': 11866, 'milesRequested': 100, 'WhPerMile': 434, 'minutesAvailable': 288, 'modifiedAt': 'Sun, 21 Mar 2021 20:50:34 GMT', 'paymentRequired': True, 'requestedDeparture': 'Mon, 22 Mar 2021 01:38:35 GMT', 'kWhRequested': 43.4}]",000011866,2_39_81_4550_2021-03-21 20:49:17.763160,2-39-81-4550,11900388,0002,0039,"Sun, 21 Mar 2021 20:50:35 GMT","Mon, 22 Mar 2021 05:01:19 GMT",26.037,,America/Los_Angeles
606cfd0cf9af8b03f4edb507,"[{'userID': 11514, 'milesRequested': 70, 'WhPerMile': 310, 'minutesAvailable': 721, 'modifiedAt': 'Sun, 21 Mar 2021 22:36:49 GMT', 'paymentRequired': True, 'requestedDeparture': 'Mon, 22 Mar 2021 10:37:50 GMT', 'kWhRequested': 21.7}]",000011514,2_39_129_17_2021-03-21 22:36:34.309350,2-39-129-17,CA-307,0002,0039,"Sun, 21 Mar 2021 22:36:50 GMT","Mon, 22 Mar 2021 02:35:18 GMT",7.788,"Sun, 21 Mar 2021 23:48:00 GMT",America/Los_Angeles
606cfd0cf9af8b03f4edb508,"[{'userID': 1082, 'milesRequested': 20, 'WhPerMile': 290, 'minutesAvailable': 120, 'modifiedAt': 'Mon, 22 Mar 2021 00:59:02 GMT', 'paymentRequired': True, 'requestedDeparture': 'Mon, 22 Mar 2021 02:59:02 GMT', 'kWhRequested': 5.8}]",000001082,2_39_78_365_2021-03-22 00:58:36.477680,2-39-78-365,CA-321,0002,0039,"Mon, 22 Mar 2021 00:59:02 GMT","Mon, 22 Mar 2021 02:05:29 GMT",2.264,"Mon, 22 Mar 2021 02:05:25 GMT",America/Los_Angeles
606cfd0cf9af8b03f4edb509,,,2_39_95_27_2021-03-22 02:46:27.084739,2-39-95-27,CA-319,0002,0039,"Mon, 22 Mar 2021 02:46:27 GMT","Mon, 22 Mar 2021 04:17:53 GMT",0.825,"Mon, 22 Mar 2021 03:16:39 GMT",America/Los_Angeles
606cfd0cf9af8b03f4edb50a,"[{'userID': 10176, 'milesRequested': 100, 'WhPerMile': 360, 'minutesAvailable': 480, 'modifiedAt': 'Mon, 22 Mar 2021 05:02:00 GMT', 'paymentRequired': True, 'requestedDeparture': 'Mon, 22 Mar 2021 13:02:01 GMT', 'kWhRequested': 36.0}]",000010176,2_39_81_4550_2021-03-22 05:01:36.407954,2-39-81-4550,11900388,0002,0039,"Mon, 22 Mar 2021 05:02:01 GMT","Mon, 22 Mar 2021 06:09:42 GMT",49.559,,America/Los_Angeles
606e4e8df9af8b060ecb672f,"[{'userID': 3123, 'milesRequested': 10, 'WhPerMile': 350, 'minutesAvailable': 120, 'modifiedAt': 'Mon, 22 Mar 2021 17:25:57 GMT', 'paymentRequired': True, 'requestedDeparture': 'Mon, 22 Mar 2021 19:25:57 GMT', 'kWhRequested': 3.5}]",000003123,2_39_129_17_2021-03-22 17:25:50.675248,2-39-129-17,CA-307,0002,0039,"Mon, 22 Mar 2021 17:25:57 GMT","Mon, 22 Mar 2021 18:34:16 GMT",3.532,"Mon, 22 Mar 2021 17:58:16 GMT",America/Los_Angeles
606e4e8df9af8b060ecb6730,"[{'userID': 9048, 'milesRequested': 30, 'WhPerMile': 450, 'minutesAvailable': 180, 'modifiedAt': 'Mon, 22 Mar 2021 17:35:07 GMT', 'paymentRequired': True, 'requestedDeparture': 'Mon, 22 Mar 2021 20:35:07 GMT', 'kWhRequested': 13.5}]",000009048,2_39_79_379_2021-03-22 17:34:58.440290,2-39-79-379,CA-327,0002,0039,"Mon, 22 Mar 2021 17:35:07 GMT","Tue, 23 Mar 2021 01:25:03 GMT",9.739,"Mon, 22 Mar 2021 20:19:22 GMT",America/Los_Angeles
606e4e8df9af8b060ecb6731,"[{'userID': 5594, 'milesRequested': 10, 'WhPerMile': 350, 'minutesAvailable': 120, 'modifiedAt': 'Mon, 22 Mar 2021 18:09:38 GMT', 'paymentRequired': True, 'requestedDeparture': 'Mon, 22 Mar 2021 20:09:38 GMT', 'kWhRequested': 3.5}]",000005594,2_39_131_30_2021-03-22 18:09:25.869165,2-39-131-30,CA-305,0002,0039,"Mon, 22 Mar 2021 18:09:38 GMT","Tue, 23 Mar 2021 01:35:48 GMT",3.521,"Mon, 22 Mar 2021 23:37:38 GMT",America/Los_Angeles
606e4e8df9af8b060ecb6732,"[{'userID': 838, 'milesRequested': 100, 'WhPerMile': 286, 'minutesAvailable': 480, 'modifiedAt': 'Mon, 22 Mar 2021 19:09:52 GMT', 'paymentRequired': True, 'requestedDeparture': 'Tue, 23 Mar 2021 03:09:28 GMT', 'kWhRequested': 28.6}, {'userID': 838, 'milesRequested': 300, 'WhPerMile': 286, 'minutesAvailable': 618, 'modifiedAt': 'Mon, 22 Mar 2021 19:10:08 GMT', 'paymentRequired': True, 'requestedDeparture': 'Tue, 23 Mar 2021 05:27:28 GMT', 'kWhRequested': 85.8}]",000000838,2_39_91_437_2021-03-22 19:09:28.426959,2-39-91-437,CA-317,0002,0039,"Mon, 22 Mar 2021 19:09:28 GMT","Tue, 23 Mar 2021 02:13:22 GMT",14.342,"Mon, 22 Mar 2021 21:19:07 GMT",America/Los_Angeles
