registry_id,municipality_id,source_basis,name_en,name_ar,governorate_en,district_en,water_establishment_id,water_establishment_name,water_confidence,water_notes,electricity_entity_id,electricity_entity_name,electricity_confidence,electricity_notes,fixed_telecom_entity_id,fixed_telecom_entity_name,telecom_notes,local_road_entity_id,national_road_entity_id,road_notes,last_built
MUN-DGLAC-63052,63052,dglac_official_directory,,حوبش,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54435,54435,dglac_official_directory,Ad Daghlah,الدغلة,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-53868,53868,dglac_official_directory,Aidmoon-Shekhlar,عيدمون-شيخلار,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54111,54111,dglac_official_directory,Ain Yaaqub,عين يعقوب,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54057,54057,dglac_official_directory,Ain al-Dhahab,عين الذهب,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54084,54084,dglac_official_directory,Ain al-Zayt,عين الزيت,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-53841,53841,dglac_official_directory,Akkar el-Atiqa,عكار العتيقة,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54381,54381,dglac_official_directory,Akroum,اكروم,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54471,54471,dglac_official_directory,Al Aamair w Rajm Issa,العماير ورجم عيسى,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-53832,53832,dglac_official_directory,Al Aboudiyeh,العبودية,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54039,54039,dglac_official_directory,Al Awainat,العوينات,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-53580,53580,dglac_official_directory,Al Bireh,البيره,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-53517,53517,dglac_official_directory,Al Burj,البرج,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54507,54507,dglac_official_directory,Al Farid,الفرض,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-53670,53670,dglac_official_directory,Al Hakour,الحاكور,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-54552,54552,dglac_official_directory,Al Hishah,الهيشة,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-63305,63305,dglac_official_directory,Al Hissa,الحيصا,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
MUN-DGLAC-53679,53679,dglac_official_directory,Al Hmayra,الحميرة,Aakkar,Aakkar,NLWE,North Lebanon Water Establishment,medium_high,Mapped by governorate from entity_service_area_mapping.,EDL,Electricité du Liban,medium,EDL national grid default. HITL always required (private generator ambiguity).,OGERO,OGERO,OGERO for fixed DSL/landline/cabinet. Mobile → MOBILE_OP/HITL.,MUN,MPWT,Local/internal streets → MUN. National/classified/highways → MPWT. Road class unknown → HITL.,2026-05-29
