condition_id,trigger,default_entity,secondary_entity,hitl_required,decision_rule,examples,source_ids,confidence,notes
PSE-BC-FIRE,fire_explosion_gas_or_active_rescue,CD,ISF,true,Civil Defense first for fire explosion gas rescue and active life-safety danger; ISF if security or traffic control is needed.,fire near houses; gas leak; person trapped,SRC-CD-HOTLINE;SRC-CIVILDEF-UNDP-2026;SRC-ISF-STRATEGIC,high,Do not wait for municipality ownership before emergency response.
PSE-BC-CRIME,crime_threat_weapon_or_public_order,ISF,CD_IF_RESCUE_OR_FIRE,true,ISF first for threat weapon assault theft shooting or public order; Civil Defense only if rescue/fire/medical hazard is present.,armed threat; shooting; assault,SRC-ISF-STRATEGIC;SRC-ISF-UNITS;SRC-ISF-FAQ,high,Keep HITL for safety and privacy.
PSE-BC-TRAFFIC-ACCIDENT,traffic_accident_or_blocked_road_with_safety_issue,ISF,CD_IF_INJURY_OR_RESCUE,true,ISF handles traffic/security control; Civil Defense if trapped injured or rescue needed.,accident blocking road; crash with injured person,SRC-ISF-STRATEGIC;SRC-CD-HOTLINE,high,Infrastructure repair follows after emergency triage.
PSE-BC-BUILDING-RISK,building_crack_structural_risk_without_active_collapse,MUN,CD_IF_IMMEDIATE_DANGER,true,Municipality/building safety review unless collapse is active or people are trapped.,building crack; unsafe balcony; structural risk,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-CD-HOTLINE,medium_high,Active collapse becomes Civil Defense first.
PSE-BC-TREE-POLE,dangerous_tree_or_pole,MUN,EDL_OR_MPWT_OR_CD_BY_ASSET,true,Route local tree/pole hazards to municipality but verify whether electrical grid road asset or active rescue danger changes the path.,dangerous tree; pole falling; tree on road,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-EDL-RESPONSIBILITY;SRC-MPWT-ROADS-BUILDINGS;SRC-CD-HOTLINE,medium_high,Asset ownership is ambiguous by default.
PSE-BC-STRAY-ANIMALS,stray_or_aggressive_animals_public_risk,MUN,MUNICIPAL_POLICE_OR_ISF_IF_ATTACKING,true,Route routine public animal risk to municipality/local enforcement; escalate if active attack or injuries.,stray dogs; aggressive dog near school,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ISF-STRATEGIC,medium,Local handling varies and remains HITL.
PSE-BC-LOCAL-ENFORCEMENT,parking_noise_or_public_space_obstruction,MUNICIPAL_POLICE,ISF_IF_THREAT_OR_MAJOR_TRAFFIC,false,Use municipal police/local enforcement for minor parking noise and obstruction where no serious threat exists.,illegal parking; loud music; vendor blocking sidewalk,SRC-ISF-UNITS;SRC-MUNI-AUTONOMY-HANDBOOK,medium,Threat violence or major traffic danger moves toward ISF/HITL.
PSE-BC-ILLEGAL-CONSTRUCTION,visible_unlicensed_construction_or_permit_violation,MUN,URBAN_PLANNING_OR_ISF_IF_ACTIVE_DANGER,true,Use municipality first for visible unlicensed construction and permit issues; keep HITL for parcel evidence and danger.,building without permit; illegal construction,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-MOIM-ABOUT,medium,Urban planning or security escalation may be needed but is not auto-resolved here.
PSE-BC-CENTRAL-INSPECTION,corruption_misconduct_or_complaint_against_public_administration,CENTRAL_INSPECTION,ISF_IF_CRIMINAL_THREAT;MOIM_IF_MUNICIPAL_GOVERNANCE,true,Route oversight complaints to Central Inspection and keep HITL for evidence privacy and criminal-boundary review.,bribe request; complaint against public administration,SRC-CIB-MANDATE;SRC-CIB-ROLE;SRC-CIB-COMPLAINT,high,Not a field-service route.
PSE-BC-DGLAC,local_administration_form_or_registration_tracking,DGLAC,MUN,true,Use DGLAC only for DGLAC/local-administration registration or form tracking; otherwise municipality remains first.,DGLAC registration number; municipality form tracking,SRC-DGLAC-HOME;SRC-DGLAC-FAQ;SRC-DGLAC-CONTACT,high,Reference number is important.
