research_rank,priority_score,municipality_id,name_en,name_ar,governorate_en,district_en,coverage_status,verified_channel_types,registry_website,registry_phone,townhall_website,townhall_email,townhall_phone,official_website_status,complaint_form_status,next_action
1,213,43597,Beirut,بيروت,Beirut,Beirut,needs_official_channel_discovery,official_facebook,,,,,(01)986001   (01)987979,found_t1_discovery,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
2,207,64560,Zahlé,زحلة,Beqaa,Zahle,has_verified_contact_and_complaint_channel,complaint_form;official_facebook;official_instagram;official_phone;official_website;suggestion_form,,,,,,found_t1_discovery,not_found,verify freshness and join municipality_id to official channel rows
3,207,59187,Sidon,صيدا,South,Saida,needs_official_channel_discovery,,,,,,+9617720060,found_t1_discovery,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
4,190,51603,Jounieh,جونيه,Mount Lebanon,Kesrouane,has_verified_contact_missing_complaint_channel,official_facebook;official_instagram;official_phone;official_website,,,http://www.jounieh.gov.lb/,,+961 9 913 000,found_t1_discovery,needs_review,search official complaint form or workflow; keep contact as verified fallback
5,190,52449,Tripoli,طرابلس,North,Tripoli,has_verified_contact_and_complaint_channel,complaint_form;complaint_tracking;issue_specific_whatsapp;objection_form;official_website,,,,,(06)431001/9,found_t1_discovery,needs_review,verify freshness and join municipality_id to official channel rows
6,182,53499,Halba,حلبا,Aakkar,Aakkar,needs_official_channel_discovery,,,,,,+9616690025,found_t1_discovery,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
7,182,58089,Baalbek,بعلبك,Baalbek-Hermel,Baalbek,has_verified_contact_missing_complaint_channel,contact_form;official_website,,,https://baalbeck-municipality.org/,,+9618370214,found_t1_discovery,not_found,search official complaint form or workflow; keep contact as verified fallback
8,182,50442,Bourj Hammoud,برج حمود,Mount Lebanon,Matn,has_verified_contact_and_complaint_channel,complaint_form;official_address;official_email;official_fax;official_phone;official_website,,,,,(01)262806    (01)256404,found_t1_discovery,not_found,verify freshness and join municipality_id to official channel rows
9,182,50649,Dbayeh-Zouk El Khrab-Haret Blat-Aoukar,الضبيه-ذوق الخراب-حارة البلانة-عوكر,Mount Lebanon,Matn,needs_official_channel_discovery,,,,,,+961 4 543 502;+961 4 541 301,not_found,not_found,"discover official website/contact/form from DGLAC, gov.lb domains, and municipality pages"
10,182,50559,Dekwaneh,الدكوانة,Mount Lebanon,Matn,has_verified_contact_and_complaint_channel,complaint_form;municipal_phone_policy;official_address;official_email;official_phone;official_website;service_scope,,,,,,found_t1_discovery,not_found,verify freshness and join municipality_id to official channel rows
