review_id,source,arabizi_variant,normalized_arabizi,arabic_lebanese,english_meaning,category,complaint_use,candidate_sector,candidate_issue,decision,reason,suggested_action,preferred_rewrite
CFR-00001,master_signal_lexicon,hon,hon,هون,here,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00002,master_signal_lexicon,hone,hon,هون,here,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00003,master_signal_lexicon,hawn,hon,هون,here,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00004,master_signal_lexicon,houn,hon,هون,here,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00005,master_signal_lexicon,hoon,hon,هون,here,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00006,master_signal_lexicon,hounik,hounik,هونيك,there,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00007,master_signal_lexicon,honik,hounik,هونيك,there,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00008,master_signal_lexicon,hounike,hounik,هونيك,there,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00009,master_signal_lexicon,hunik,hounik,هونيك,there,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00010,master_signal_lexicon,honeek,hounik,هونيك,there,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00011,master_signal_lexicon,fo2,fo2,فوق,up / above,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00012,master_signal_lexicon,foq,fo2,فوق,up / above,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00013,master_signal_lexicon,faw2,fo2,فوق,up / above,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00014,master_signal_lexicon,fou2,fo2,فوق,up / above,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00015,master_signal_lexicon,ta7t,ta7t,تحت,down / under,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00016,master_signal_lexicon,taht,ta7t,تحت,down / under,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00017,master_signal_lexicon,ta7et,ta7t,تحت,down / under,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00018,master_signal_lexicon,tahet,ta7t,تحت,down / under,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
CFR-00019,master_signal_lexicon,ta7ta,ta7ta,تحتها,under it/her,directions,classification_context_support,ROADS,,REVIEW_CONTEXT_ONLY,"sector hint exists but no issue; useful for understanding, unsafe for generation",Map to a scenario/issue before generation.,
