pattern_id,entity_scope,complaint_pattern,reported_location_or_scope,reported_timeframe,reported_impact,routing_takeaway,eval_or_hitl_tags,source_ids,confidence,privacy_notes
WIRL-001,ALL,insufficient_public_WE_delivery,National household survey by governorate,2024,"Survey respondents cited insufficient household water delivery with high shares in North Beqaa Baalbek-Hermel and Beirut.","Generate outage and low-supply evals that ask for municipality and distinguish public WE network from private source.","water_outage;low_pressure;missing_location;no_sla",SRC-LEBRELIEF-WE-BARRIERS-2024,medium_high,Aggregated survey only; no names or account details.
WIRL-002,ALL,no_WE_water_received_last_month,National household survey,2024,"35% of surveyed households reported not receiving water from the WE network in the prior month.","Model should accept long-duration public-network outage complaints and avoid promising restoration times.","water_outage;long_duration;no_sla;ask_location",SRC-LEBRELIEF-WE-BARRIERS-2024,medium_high,Aggregated survey only.
WIRL-003,NLWE,north_and_akkar_no_recent_network_water,Akkar and North Lebanon,2024,"Survey reports most households in Akkar and North did not receive WE network water in the last month.","Route public-network complaints to NLWE after municipality confirmation; keep private wells and trucked water separate.","water_outage;NLWE;municipality_required",SRC-LEBRELIEF-WE-BARRIERS-2024,medium_high,Aggregated survey only.
WIRL-004,NLWE,north_poor_water_quality_and_low_trust,North Lebanon and Tripoli focus-group context,2024,"Survey and focus-group evidence reports very poor perceived WE water quality and unanswered maintenance calls in the North.","For NLWE dirty-water cases collect subscriber number address photos/smell/color and give phone plus walk-in fallback without promising callback.","dirty_water;water_quality;NLWE;channel_failure;walk_in_fallback",SRC-LEBRELIEF-WE-BARRIERS-2024,medium_high,Aggregated and anonymized focus-group evidence.
WIRL-005,BWE,east_zahle_low_supply_and_private_tanks,East Zahle and Beqaa,2024,"Focus-group evidence says East Zahle supply is low and some residents use neighboring village networks or buy private tanks.","For BWE cases ask if property is connected to public network and whether complaint concerns public supply or private tanker/source.","water_outage;BWE;private_tanker_boundary;network_connection_check",SRC-LEBRELIEF-WE-BARRIERS-2024,medium_high,Aggregated focus-group evidence only.
WIRL-006,BMLWE,beirut_mount_lebanon_tanker_dependence,Beirut and nearby Mount Lebanon,2025 drought season,"Residents and delivery drivers reported early and heavy private water-truck demand during tightening restrictions and low rainfall.","Public-network outage remains BMLWE by location; private truck pricing or delivery dispute is not a WE repair complaint.","water_outage;BMLWE;private_tanker_boundary;drought_context",SRC-LORIENT-BEIRUT-WATER-TRUCKS-2025;SRC-THISISBEIRUT-WATER-SHORTAGES-2025,medium,Media reports; no individual PII stored.
WIRL-007,BMLWE,power_linked_public_water_cutoff,Metn Tallet el-Khayat Bourj Abi Haidar Bourj Hammoud and BMLWE pump stations,January 2023,"BMLWE-area water cutoffs were linked to electricity shortages affecting Mechref Naameh Damour Jeita and Dbayeh pumping stations.","Route as BMLWE public water outage while noting power dependency; do not auto-route to EDL unless the user reports a separate electricity fault.","water_outage;BMLWE;pump_electricity_dependency;secondary_EDL_context",SRC-LORIENT-BMLWE-CUTOFF-2023,medium,Public media report.
WIRL-008,SLWE,saida_south_water_cut_due_power,Saida and surroundings,January 2023,"South Lebanon water board described multi-day shortages due to public electricity stoppage affecting production wells and distribution stations.","Route to SLWE by location and include conservation/low-confidence timing language; no official repair SLA.","water_outage;SLWE;pump_electricity_dependency;no_sla",SRC-LORIENT-BMLWE-CUTOFF-2023,medium,Public media report.
WIRL-009,SLWE,tyre_repeated_cutoffs_due_power,Tyre/Sour and suburbs,July 2024,"SLWE said repeated Tyre-area water interruptions were due to public electricity interruption and that its facilities were otherwise operational when power was available.","Route as SLWE public water outage with electricity-dependency context; avoid blaming private plumbing unless building-only evidence exists.","water_outage;SLWE;Tyre;electricity_dependency",SRC-IMLEBANON-SLWE-TYRE-CUTOFF-2024,medium,Public Arabic media report.
WIRL-010,SLWE,sour_conflict_damage_supply_restoration,Sour/Tyre and surrounding areas,December 2024,"SLWE announced restoration after maintenance connected Bass station to distribution networks and repaired damage from an airstrike.","Conflict-damage outages require SLWE plus HITL/emergency sensitivity; repairs may involve municipalities or ICRC but citizen routing remains SLWE for network supply.","water_outage;SLWE;conflict_damage;emergency_context;infrastructure_repair",SRC-LORIENT-SLWE-SOUR-RESUMES-2024,medium,Public media report; no victim identities retained.
WIRL-011,NLWE,tripoli_cholera_private_well_boundary,Bab al-Tabbaneh Tripoli,October 2022,"Cholera traces were reported in Tripoli sources and NLWE said the source was a private well not monitored by the government and not its public network.","Dirty-water or disease complaints need source ownership check; private well contamination is public-health/HITL and not ordinary NLWE network repair.","dirty_water;cholera;private_well_boundary;public_health_HITL;NLWE",SRC-LORIENT-TRIPOLI-CHOLERA-2022,medium,Public incident report; no individual names stored.
WIRL-012,BMLWE,salty_or_discolored_private_well_water,Greater Beirut and nearby areas,2025 drought season,"Residents and suppliers reported dried wells and salty or discolored water amid drought and overuse.","Ask whether dirty/salty water comes from public network private well tanker or building tank before routing; public network goes BMLWE and private source goes HITL/public health or private provider boundary.","dirty_water;saltwater;private_well_boundary;BMLWE;source_clarification",SRC-THISISBEIRUT-WATER-SHORTAGES-2025,medium,Public media report.
WIRL-013,BWE,public_main_leak_affecting_building,Zahle area example,2021,"UNICEF story describes a leaking main supply sending water into property foundations before repair and connection work.","Public main leaks damaging property route to BWE with evidence photos and exact location; private building damage is secondary follow-up.","public_pipe_leak;BWE;property_damage;photos_required",SRC-UNICEF-WE-EMPOWERED-2021,medium_high,Institutional story; no resident identity stored.
