"report_id","cluster_id","language","raw_text","normalized_text","normalization_applied","district_code","lat","lon","sector","issue_type","severity","route_entity","priority_label","priority_reason","hitl_required","public_safety","image_label","image_consistent","duplicate_role","hard_negative_for_cluster_id","created_at_offset_minutes","labeler_id","reviewer_id","review_status","notes"
"RPT-B001-001","CLU-B001-001","en","Large pothole on Hamra Street near Virgin Megastore. Cars swerving dangerously to avoid it. Has been there for over 2 weeks.","Large pothole on Hamra Street near Virgin Megastore. Cars swerving dangerously to avoid it. Has been there for over 2 weeks.","false","BEI_HAMRA","33.889700","35.480000","ROADS","POTHOLE","MEDIUM","MUN","3","MEDIUM pothole cluster; non-public-safety municipal road issue","false","false","NONE","N/A","ORIGINAL","","0","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed"
"RPT-B001-002","CLU-B001-001","ar","في شارع الحمرا حفرة كبيرة جداً قرب فيرجن ميغاستور، السيارات تنحرف يميناً وشمالاً لتجنبها","في شارع الحمرا حفرة كبيرة جداً قرب فيرجن ميغاستور، السيارات تنحرف يميناً وشمالاً لتجنبها","false","BEI_HAMRA","33.889900","35.480300","ROADS","POTHOLE","MEDIUM","MUN","3","MEDIUM pothole cluster; non-public-safety municipal road issue","false","false","NONE","N/A","DUPLICATE","","25","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed"
"RPT-B001-003","CLU-B001-001","arabizi","3al share3 l 7amra fi hofra kbire jemb l virgin, l seyyarat 3am tin7arif. men 2sbou3een w la 7ada 3amel shi","في شارع الحمرا في حفرة كبيرة بجانب الفيرجن، السيارات عم تنحرف. من أسبوعين وما حدا عمل شي","true","BEI_HAMRA","33.889500","35.479700","ROADS","POTHOLE","MEDIUM","MUN","3","MEDIUM pothole cluster; non-public-safety municipal road issue","false","false","NONE","N/A","DUPLICATE","","55","TEAM-01","CODEX-A2","APPROVED","A2 technical review: Arabizi normalization, label, route, and duplicate role approved; hofra retained as known low-confidence 7ofra variant"
"RPT-B001-004","CLU-B001-001","fr","Grande cavité dans la rue Hamra près du Virgin Megastore. Les voitures zigzaguent pour l'éviter, c'est vraiment dangereux.","Grande cavité dans la rue Hamra près du Virgin Megastore. Les voitures zigzaguent pour l'éviter, c'est vraiment dangereux.","false","BEI_HAMRA","33.890150","35.480450","ROADS","POTHOLE","MEDIUM","MUN","3","MEDIUM pothole cluster; non-public-safety municipal road issue","false","false","NONE","N/A","DUPLICATE","","90","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed"
"RPT-B001-005","CLU-B001-002","ar","مياه مقطوعة في الأشرفية منذ ثلاثة أيام، الأهالي يعانون خاصة كبار السن والأطفال","مياه مقطوعة في الأشرفية منذ ثلاثة أيام، الأهالي يعانون خاصة كبار السن والأطفال","false","BEI_ACHRAFIEH","33.889500","35.509000","WATER","WATER_CUT","HIGH","BMLWE","2","HIGH water-cut cluster; priority propagated to RELATED low-pressure report","false","false","NONE","N/A","ORIGINAL","","0","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed"
"RPT-B001-006","CLU-B001-002","arabizi","men 3 iyem may 2ata3et bi l ashrafieh, BMLWE ma 3am trud 3al talafonat w ma fi may","منذ 3 أيام المياه مقطوعة في الأشرفية، مياه بيروت لا ترد على المكالمات وما في مي","true","BEI_ACHRAFIEH","33.889300","35.509300","WATER","WATER_CUT","HIGH","BMLWE","2","HIGH water-cut cluster; priority propagated to RELATED low-pressure report","false","false","NONE","N/A","DUPLICATE","","40","TEAM-01","CODEX-A2","APPROVED","A2 technical review: water-cut semantics and BMLWE route approved"
"RPT-B001-007","CLU-B001-002","en","No water supply in Achrafieh for 3 days now. BMLWE not responding to calls. Elderly residents severely impacted.","No water supply in Achrafieh for 3 days now. BMLWE not responding to calls. Elderly residents severely impacted.","false","BEI_ACHRAFIEH","33.889700","35.508700","WATER","WATER_CUT","HIGH","BMLWE","2","HIGH water-cut cluster; priority propagated to RELATED low-pressure report","false","false","NONE","N/A","DUPLICATE","","110","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed"
"RPT-B001-008","CLU-B001-002","ar","ضغط المياه منخفض جداً في شارع الجميزة، ربما بسبب الانقطاع في الأشرفية المجاورة","ضغط المياه منخفض جداً في شارع الجميزة، ربما بسبب الانقطاع في الأشرفية المجاورة","false","BEI_GEMMAYZE","33.890650","35.510050","WATER","LOW_PRESSURE","MEDIUM","BMLWE","2","HIGH water-cut cluster; priority propagated to RELATED low-pressure report","false","false","NONE","N/A","RELATED","","200","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","RELATED — low pressure in adjacent district; likely caused by C002 water cut"
"RPT-B001-009","CLU-B001-003","ar","سلك كهربائي مكشوف على الأرض في شارع أرمينيا في برج حمود، خطر صعق على المشاة والأطفال","سلك كهربائي مكشوف على الأرض في شارع أرمينيا في برج حمود، خطر صعق على المشاة والأطفال","false","BEI_BOURJHAMMOUD","33.895500","35.550900","ELECTRICITY","EXPOSED_WIRE","CRITICAL","EDL","1","CRITICAL exposed-wire cluster; electricity sector forces HITL","true","true","NONE","N/A","ORIGINAL","","0","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed; HITL=true per sector policy"
"RPT-B001-010","CLU-B001-003","en","Exposed live wire lying on the ground on Armenia Street in Bourj Hammoud. Pedestrians walking very close. Urgent safety hazard.","Exposed live wire lying on the ground on Armenia Street in Bourj Hammoud. Pedestrians walking very close. Urgent safety hazard.","false","BEI_BOURJHAMMOUD","33.895850","35.550550","ELECTRICITY","EXPOSED_WIRE","CRITICAL","EDL","1","CRITICAL exposed-wire cluster; electricity sector forces HITL","true","true","NONE","N/A","DUPLICATE","","12","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed"
"RPT-B001-011","CLU-B001-003","arabizi","bi share3 armenia bi borj 7ammoud, fi silk kahraba mekshouf 3al ard, 5atar sa32 3ala nass 3am yemshi","في شارع أرمينيا في برج حمود في سلك كهربائي مكشوف على الأرض، خطر صعق على الناس المارة","true","BEI_BOURJHAMMOUD","33.895150","35.551250","ELECTRICITY","EXPOSED_WIRE","CRITICAL","EDL","1","CRITICAL exposed-wire cluster; electricity sector forces HITL","true","true","NONE","N/A","DUPLICATE","","28","TEAM-01","CODEX-A2","APPROVED","A2 technical review: critical exposed-wire semantics, HITL policy, and normalization approved"
"RPT-B001-012","","fr","La rue Mars dans Bourj Hammoud a plusieurs lampadaires en panne depuis dimanche soir. Le secteur est mal éclairé la nuit.","La rue Mars dans Bourj Hammoud a plusieurs lampadaires en panne depuis dimanche soir. Le secteur est mal éclairé la nuit.","false","BEI_BOURJHAMMOUD","33.897000","35.552500","ELECTRICITY","STREET_LIGHT","MEDIUM","EDL","3","MEDIUM street-light hard negative for exposed-wire cluster","true","false","NONE","N/A","NOISE","CLU-B001-003","0","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Hard negative for CLU-B001-003; same area but different issue type and location (street light vs exposed wire)"
"RPT-B001-013","CLU-B001-004","fr","Les poubelles du quartier Verdun n'ont pas été collectées depuis 3 jours. Les bacs commencent à déborder.","Les poubelles du quartier Verdun n'ont pas été collectées depuis 3 jours. Les bacs commencent à déborder.","false","BEI_VERDUN","33.881000","35.490500","WASTE","GARBAGE_NOT_COLLECTED","MEDIUM","MUN","3","MEDIUM garbage non-collection cluster","false","false","NONE","N/A","ORIGINAL","","0","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed"
"RPT-B001-014","CLU-B001-004","ar","النفايات في حي فردان لم تُجمع منذ ثلاثة أيام، الأكياس ممتلئة وتنبعث منها روائح كريهة","النفايات في حي فردان لم تُجمع منذ ثلاثة أيام، الأكياس ممتلئة وتنبعث منها روائح كريهة","false","BEI_VERDUN","33.881200","35.490800","WASTE","GARBAGE_NOT_COLLECTED","MEDIUM","MUN","3","MEDIUM garbage non-collection cluster","false","false","NONE","N/A","DUPLICATE","","35","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed"
"RPT-B001-015","CLU-B001-004","arabizi","zbele bi verdun ma jmaou men 3 iyem, l 2lebe 3am tita3abba w fi ri7a mish mnee7a","النفايات في فردان لم يجمعوها من 3 أيام، الحاويات عم تتعبى وفي ريحة مش منيحة","true","BEI_VERDUN","33.880800","35.490200","WASTE","GARBAGE_NOT_COLLECTED","MEDIUM","MUN","3","MEDIUM garbage non-collection cluster","false","false","NONE","N/A","DUPLICATE","","70","TEAM-01","CODEX-A2","APPROVED","A2 technical review: garbage non-collection semantics and tita3abba normalization approved"
"RPT-B001-016","CLU-B001-004","en","Garbage not collected in Verdun neighborhood for 3 days. Bins overflowing and beginning to smell. No service yet.","Garbage not collected in Verdun neighborhood for 3 days. Bins overflowing and beginning to smell. No service yet.","false","BEI_VERDUN","33.881450","35.490950","WASTE","GARBAGE_NOT_COLLECTED","MEDIUM","MUN","3","MEDIUM garbage non-collection cluster","false","false","NONE","N/A","DUPLICATE","","130","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed"
"RPT-B001-017","CLU-B001-005","en","Major road collapse on Raouche Corniche near Pigeon Rocks. Large section of pavement has sunk. Partially blocking traffic.","Major road collapse on Raouche Corniche near Pigeon Rocks. Large section of pavement has sunk. Partially blocking traffic.","false","BEI_RAOUCHE","33.894400","35.470000","ROADS","ROAD_COLLAPSE","CRITICAL","CDR","1","CRITICAL public-safety road-collapse cluster; emergency review required","true","true","NONE","N/A","ORIGINAL","","0","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed; CDR for primary/national road"
"RPT-B001-018","CLU-B001-005","ar","انهيار في طريق الروشة الكورنيش بجانب صخرة الروشة، قسم كبير من الرصيف انهار ويعيق حركة السير","انهيار في طريق الروشة الكورنيش بجانب صخرة الروشة، قسم كبير من الرصيف انهار ويعيق حركة السير","false","BEI_RAOUCHE","33.894750","35.469650","ROADS","ROAD_COLLAPSE","CRITICAL","CDR","1","CRITICAL public-safety road-collapse cluster; emergency review required","true","true","NONE","N/A","DUPLICATE","","20","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed"
"RPT-B001-019","CLU-B001-005","arabizi","tari2 l roushe la 7add l sa5ra nkassar w fi 7afra 3ameqe, yejib yi2flo tari2 ma fi aman","طريق الروشة عند الصخرة انكسر وفي حفرة عميقة، يجب إغلاق الطريق ما في أمان","true","BEI_RAOUCHE","33.894050","35.470350","ROADS","ROAD_COLLAPSE","CRITICAL","CDR","1","CRITICAL public-safety road-collapse cluster; emergency review required","true","true","NONE","N/A","DUPLICATE","","45","TEAM-01","CODEX-A2","APPROVED","A2 technical review: road-collapse/public-safety semantics and CDR route approved"
"RPT-B001-020","CLU-B001-005","fr","Effondrement de la chaussée sur la Corniche Raouche près des Rochers des Pigeons. La route est partiellement bloquée.","Effondrement de la chaussée sur la Corniche Raouche près des Rochers des Pigeons. La route est partiellement bloquée.","false","BEI_RAOUCHE","33.894850","35.470450","ROADS","ROAD_COLLAPSE","CRITICAL","CDR","1","CRITICAL public-safety road-collapse cluster; emergency review required","true","true","NONE","N/A","DUPLICATE","","80","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed"
"RPT-B001-021","CLU-B001-005","ar","الطريق المؤدي إلى الروشة مقطوع بسبب الانهيار، حركة السير محولة والوضع يزداد سوءاً","الطريق المؤدي إلى الروشة مقطوع بسبب الانهيار، حركة السير محولة والوضع يزداد سوءاً","false","BEI_RAOUCHE","33.895650","35.471450","ROADS","ROAD_BLOCKED","HIGH","MUN","1","CRITICAL public-safety road-collapse cluster; emergency review required","true","false","NONE","N/A","RELATED","","150","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","RELATED — road closure downstream from C005 collapse; different issue_type from cluster canonical"
"RPT-B001-022","CLU-B001-006","ar","صرف صحي يفيض على الرصيف في شارع بلس في رأس بيروت، مياه سوداء تسيل والرائحة خانقة","صرف صحي يفيض على الرصيف في شارع بلس في رأس بيروت، مياه سوداء تسيل والرائحة خانقة","false","BEI_RASBEIRUT","33.894600","35.477100","WATER","SEWAGE_OVERFLOW","CRITICAL","BMLWE","1","CRITICAL public-health sewage-overflow cluster; emergency review required","true","true","NONE","N/A","ORIGINAL","","0","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed"
"RPT-B001-023","CLU-B001-006","en","Sewage overflow on Bliss Street in Ras Beirut. Black water flowing on the pavement near AUB campus. Extremely unhygienic and dangerous.","Sewage overflow on Bliss Street in Ras Beirut. Black water flowing on the pavement near AUB campus. Extremely unhygienic and dangerous.","false","BEI_RASBEIRUT","33.894950","35.476750","WATER","SEWAGE_OVERFLOW","CRITICAL","BMLWE","1","CRITICAL public-health sewage-overflow cluster; emergency review required","true","true","NONE","N/A","DUPLICATE","","18","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed"
"RPT-B001-024","CLU-B001-006","arabizi","sarif sa77i 3am yetfa2ar bi share3 bliss rass beirut, may sawda 3al rasif w ri7a ma btit7ammal","صرف صحي عم يتفجر في شارع بليس رأس بيروت، مي سوداء على الرصيف وريحة ما بتتحمل","true","BEI_RASBEIRUT","33.894250","35.477450","WATER","SEWAGE_OVERFLOW","CRITICAL","BMLWE","1","CRITICAL public-health sewage-overflow cluster; emergency review required","true","true","NONE","N/A","DUPLICATE","","35","TEAM-01","CODEX-A2","APPROVED","A2 technical review: sewage-overflow/public-health semantics and BMLWE route approved"
"RPT-B001-025","CLU-B001-006","fr","Débordement des égouts rue Bliss à Ras Beyrouth. Eau noire sur le trottoir, odeur nauséabonde, risque sanitaire élevé.","Débordement des égouts rue Bliss à Ras Beyrouth. Eau noire sur le trottoir, odeur nauséabonde, risque sanitaire élevé.","false","BEI_RASBEIRUT","33.895050","35.477550","WATER","SEWAGE_OVERFLOW","CRITICAL","BMLWE","1","CRITICAL public-health sewage-overflow cluster; emergency review required","true","true","NONE","N/A","DUPLICATE","","60","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed"
"RPT-B001-026","CLU-B001-007","ar","الجميزة تغرق بعد هذا المطر، الطريق الرئيسي مغمور بالمياه وسيارات عالقة في المياه","الجميزة تغرق بعد هذا المطر، الطريق الرئيسي مغمور بالمياه وسيارات عالقة في المياه","false","BEI_GEMMAYZE","33.887900","35.515800","FLOODING","ROAD_FLOODED","HIGH","CD","2","HIGH active-flooding cluster routed to Civil Defense","false","true","NONE","N/A","ORIGINAL","","0","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed; CD for active flooding"
"RPT-B001-027","CLU-B001-007","en","Gemmayze main street completely flooded knee-deep after heavy rain. Several cars stuck. Drainage has completely failed.","Gemmayze main street completely flooded knee-deep after heavy rain. Several cars stuck. Drainage has completely failed.","false","BEI_GEMMAYZE","33.888250","35.515450","FLOODING","ROAD_FLOODED","HIGH","CD","2","HIGH active-flooding cluster routed to Civil Defense","false","true","NONE","N/A","DUPLICATE","","15","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed"
"RPT-B001-028","CLU-B001-007","arabizi","l jemmayzeh 3am tetfa2ar ba3d l matar, tari2 ghare2 w fi seyyarat ma 2adroo t3dde","الجميزة عم تتفجر بعد المطر، الطريق غارق وفي سيارات ما قدرت تعدي","true","BEI_GEMMAYZE","33.887550","35.516150","FLOODING","ROAD_FLOODED","HIGH","CD","2","HIGH active-flooding cluster routed to Civil Defense","false","true","NONE","N/A","DUPLICATE","","30","TEAM-01","CODEX-A2","APPROVED","A2 technical review: normalized ghare2 to غارق for clearer Arabic fidelity; active-flooding route approved"
"RPT-B001-029","CLU-B001-007","fr","La rue principale de Gemmayze est inondée après la pluie. L'eau monte jusqu'aux genoux et plusieurs voitures sont bloquées.","La rue principale de Gemmayze est inondée après la pluie. L'eau monte jusqu'aux genoux et plusieurs voitures sont bloquées.","false","BEI_GEMMAYZE","33.888350","35.516250","FLOODING","ROAD_FLOODED","HIGH","CD","2","HIGH active-flooding cluster routed to Civil Defense","false","true","NONE","N/A","DUPLICATE","","50","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed"
"RPT-B001-030","CLU-B001-008","ar","مبنى قديم في مار مخايل به تشققات خطيرة في الجدران الحاملة والسقف، السكان خائفون من الانهيار ويطلبون التقييم العاجل","مبنى قديم في مار مخايل به تشققات خطيرة في الجدران الحاملة والسقف، السكان خائفون من الانهيار ويطلبون التقييم العاجل","false","BEI_MARMIKHAEL","33.886300","35.522500","SAFETY","STRUCTURAL_COLLAPSE","HIGH","CD","1","HIGH structural-collapse-risk cluster; safety sector forces HITL","true","true","NONE","N/A","ORIGINAL","","0","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed; CD for structural hazard; HITL=true per SAFETY sector policy"
"RPT-B001-031","CLU-B001-008","en","Old building in Mar Mikhael has severe structural cracks in load-bearing walls and ceiling. Residents fear imminent collapse. Urgent.","Old building in Mar Mikhael has severe structural cracks in load-bearing walls and ceiling. Residents fear imminent collapse. Urgent.","false","BEI_MARMIKHAEL","33.886650","35.522150","SAFETY","STRUCTURAL_COLLAPSE","HIGH","CD","1","HIGH structural-collapse-risk cluster; safety sector forces HITL","true","true","NONE","N/A","DUPLICATE","","22","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed"
"RPT-B001-032","CLU-B001-008","arabizi","bnayi 2adim bi mar mikhael 3endo tashaddo2at bi l 7eet w l sa2f, l sakinin khayfin w biddon 7ada yji yshuf","مبنى قديم في مار مخايل عنده تشققات في الحيط والسقف، الساكنين خايفين وبدهم حدا يجي يشوف","true","BEI_MARMIKHAEL","33.885950","35.522850","SAFETY","STRUCTURAL_COLLAPSE","HIGH","CD","1","HIGH structural-collapse-risk cluster; safety sector forces HITL","true","true","NONE","N/A","DUPLICATE","","45","TEAM-01","CODEX-A2","APPROVED","A2 technical review: structural-risk semantics, HITL policy, and CD route approved"
"RPT-B001-033","CLU-B001-008","fr","Immeuble ancien à Mar Mikhaël avec des fissures importantes dans les murs porteurs. Les résidents demandent une évaluation structurelle urgente.","Immeuble ancien à Mar Mikhaël avec des fissures importantes dans les murs porteurs. Les résidents demandent une évaluation structurelle urgente.","false","BEI_MARMIKHAEL","33.886750","35.522950","SAFETY","STRUCTURAL_COLLAPSE","HIGH","CD","1","HIGH structural-collapse-risk cluster; safety sector forces HITL","true","true","NONE","N/A","DUPLICATE","","90","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed"
"RPT-B001-034","CLU-B001-009","ar","كهرباء مقطوعة كلياً في حي المزرعة منذ الساعة العاشرة ليلاً ولا أثر لكهرباء لبنان حتى الآن","كهرباء مقطوعة كلياً في حي المزرعة منذ الساعة العاشرة ليلاً ولا أثر لكهرباء لبنان حتى الآن","false","BEI_MAZRAA","33.878700","35.494500","ELECTRICITY","POWER_OUTAGE","HIGH","EDL","2","HIGH power-outage cluster; electricity sector forces HITL","true","false","NONE","N/A","ORIGINAL","","0","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed; HITL=true per ELECTRICITY sector policy"
"RPT-B001-035","CLU-B001-009","arabizi","kahraba 2at3a bil mazra3a men l leil w la halla2, EDL ma fi, l awlad ma 2adrou ynamet","الكهرباء قاطعة في المزرعة من الليل ولهلق، EDL ما في، الأولاد ما قدروا يناموا","true","BEI_MAZRAA","33.879050","35.494150","ELECTRICITY","POWER_OUTAGE","HIGH","EDL","2","HIGH power-outage cluster; electricity sector forces HITL","true","false","NONE","N/A","DUPLICATE","","35","TEAM-01","CODEX-A2","APPROVED","A2 technical review: lightly normalized Arabic spacing/articles; power-outage semantics and HITL policy approved"
"RPT-B001-036","CLU-B001-009","fr","Coupure totale d'électricité dans le quartier Mazraa depuis 22h00. EDL ne répond pas. Résidents dans le noir total depuis des heures.","Coupure totale d'électricité dans le quartier Mazraa depuis 22h00. EDL ne répond pas. Résidents dans le noir total depuis des heures.","false","BEI_MAZRAA","33.878350","35.494850","ELECTRICITY","POWER_OUTAGE","HIGH","EDL","2","HIGH power-outage cluster; electricity sector forces HITL","true","false","NONE","N/A","DUPLICATE","","80","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed"
"RPT-B001-037","CLU-B001-009","en","Complete power outage in Mazraa district since 10pm. EDL completely unreachable. No generator service available in this area either.","Complete power outage in Mazraa district since 10pm. EDL completely unreachable. No generator service available in this area either.","false","BEI_MAZRAA","33.879150","35.494950","ELECTRICITY","POWER_OUTAGE","HIGH","EDL","2","HIGH power-outage cluster; electricity sector forces HITL","true","false","NONE","N/A","DUPLICATE","","130","TEAM-01","UNASSIGNED","PENDING_SECOND_REVIEW","Batch 001 seed"
