term_id,arabic_script,english_gloss,category,subcategory,token_type,canonical_arabizi,v9_entry_granularity,v9_standalone_individual_term,v9_component_tokens_pipe,v9_safe_individual_variants_pipe,v9_context_or_phrase_variants_pipe,v9_operational_variants_pipe,v9_operational_variant_count,v9_positive_context_pipe,v9_negative_context_pipe,v9_merge_target,v9_eval_bucket,v9_required_reviewer_count,v9_min_examples_before_promotion,v9_native_review_required,v9_second_review_required,v9_direct_use_now,v9_core_promotion_now,v9_notes,v8_safe_unique_variants_pipe,v8_context_only_variants_pipe,v8_all_operational_variants_pipe,v8_safe_unique_count,v8_context_only_count,v8_reliability_score,v8_trust_class,v8_operational_use,v8_direct_match_allowed_now,v8_normalization_allowed_now,v8_oov_suppression_allowed_now,v8_routing_allowed_now,v8_severity_allowed_now,v8_required_positive_context_pipe,v8_blocking_negative_context_pipe,v8_min_evidence_examples_before_promotion,v8_required_reviewer_count,v8_required_gates_pipe,v8_merge_target,v8_oov_action,v8_eval_required,v8_eval_bucket,source_basis,source_urls,review_status,reviewer_id,second_reviewer_required,must_not_auto_promote,lineage,v8_policy_note,created_at_utc
ARZ-V9-00001,غ,gh,internet_notation,ghayn,notation_rule,gh,notation_rule,FALSE,,,gh,gh,1,token_contains_arabizi_marker,blind_global_replacement,arabizi_internet_notation_rules,notation_rule_eval,2,2,TRUE,TRUE,FALSE,FALSE,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,,gh,gh,0,1,0.81,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|YAMLI|DARWISH_ARABIZI|PROJECT_POLICY,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://www.yamli.com/help/;https://aclanthology.org/W14-3629/;PROJECT_POLICY,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V9-00002,خ,5,internet_notation,kha,notation_rule,5,notation_rule,FALSE,,,kh,kh,1,token_contains_arabizi_marker,blind_global_replacement,arabizi_internet_notation_rules,notation_rule_eval,2,2,TRUE,TRUE,FALSE,FALSE,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,,kh,kh,0,1,0.81,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|YAMLI|DARWISH_ARABIZI|PROJECT_POLICY,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://www.yamli.com/help/;https://aclanthology.org/W14-3629/;PROJECT_POLICY,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V9-00003,ا / long a,a/e/a vowel,internet_notation,letter_or_prefix_rule,notation_rule,a,notation_rule,FALSE,,,aa,aa,1,token_contains_arabizi_marker,blind_global_replacement,arabizi_internet_notation_rules,notation_rule_eval,2,2,TRUE,TRUE,FALSE,FALSE,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,,aa,aa,0,1,0.65,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V9-00004,ة,a/e/eh ending,internet_notation,letter_or_prefix_rule,notation_rule,e,notation_rule,FALSE,,,eh|ah,eh|ah,2,token_contains_arabizi_marker,blind_global_replacement,arabizi_internet_notation_rules,notation_rule_eval,2,2,TRUE,TRUE,FALSE,FALSE,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,,eh|ah,eh|ah,0,2,0.65,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V9-00005,ي / long i,i/ee/y vowel,internet_notation,letter_or_prefix_rule,notation_rule,i,notation_rule,FALSE,,,ee|ii|ei,ee|ii|ei,3,token_contains_arabizi_marker,blind_global_replacement,arabizi_internet_notation_rules,notation_rule_eval,2,2,TRUE,TRUE,FALSE,FALSE,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,,ee|ii|ei,ee|ii|ei,0,3,0.65,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V9-00006,و / long o/u,o/u/w/ou vowel,internet_notation,letter_or_prefix_rule,notation_rule,ou,notation_rule,FALSE,,,ou|w|oo,ou|w|oo,3,token_contains_arabizi_marker,blind_global_replacement,arabizi_internet_notation_rules,notation_rule_eval,2,2,TRUE,TRUE,FALSE,FALSE,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,,ou|w|oo,ou|w|oo,0,3,0.65,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V9-00007,ث,th/s/t,internet_notation,letter_or_prefix_rule,notation_rule,s,notation_rule,FALSE,,,th,th,1,token_contains_arabizi_marker,blind_global_replacement,arabizi_internet_notation_rules,notation_rule_eval,2,2,TRUE,TRUE,FALSE,FALSE,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,,th,th,0,1,0.81,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V9-00008,ذ,z/dh/d,internet_notation,letter_or_prefix_rule,notation_rule,z,notation_rule,FALSE,,,dh,dh,1,token_contains_arabizi_marker,blind_global_replacement,arabizi_internet_notation_rules,notation_rule_eval,2,2,TRUE,TRUE,FALSE,FALSE,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,,dh,dh,0,1,0.65,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V9-00009,ظ,z/dh/6',internet_notation,letter_or_prefix_rule,notation_rule,z,notation_rule,FALSE,,,dh,dh,1,token_contains_arabizi_marker,blind_global_replacement,arabizi_internet_notation_rules,notation_rule_eval,2,2,TRUE,TRUE,FALSE,FALSE,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,,dh,dh,0,1,0.65,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|LEVANTINE_ARABIC|DARWISH_ARABIZI|PROJECT_REVIEW,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://en.wikipedia.org/wiki/Levantine_Arabic;https://aclanthology.org/W14-3629/;local:requires Lebanese native review before trusted use,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
ARZ-V9-00010,long vowel,aa,internet_notation,long a / omitted 3 fallback,notation_rule,aa,notation_rule,FALSE,,,aa,aa,1,token_contains_arabizi_marker,blind_global_replacement,arabizi_internet_notation_rules,notation_rule_eval,2,2,TRUE,TRUE,FALSE,FALSE,v9 keeps broad coverage but prioritizes individual standalone terms; protected phrases are preserved only as context features.,,aa,aa,0,1,0.65,C_CONTEXT_ONLY,context_only_feature,FALSE,FALSE,FALSE,FALSE,FALSE,token_contains_arabizi_marker,blind_global_replacement,3,2,native_review|validator_pass|decision_logged|second_reviewer|context_rule,arabizi_internet_notation_rules,use_for_language_normalization_after_review,TRUE,ambiguous_context_eval,ARABIC_CHAT_ALPHABET|YAMLI|DARWISH_ARABIZI|PROJECT_POLICY,https://en.wikipedia.org/wiki/Arabic_chat_alphabet;https://www.yamli.com/help/;https://aclanthology.org/W14-3629/;PROJECT_POLICY,PENDING_NATIVE_REVIEW,UNASSIGNED,TRUE,TRUE,derived_from_v7_reliability_locked,v8 splits variants into safe-unique vs context-only and keeps all production permissions false until review/eval gates pass.,2026-05-20T14:08:40Z
