mapping_id,service_family,location_condition,municipality_registry_join_key,entity_id,entity_name,routing_use,confidence,source_ids,notes
SAM-WATER-001,water_establishment,governorate in Beirut or Mount Lebanon,governorate,BMLWE,Beirut and Mount Lebanon Water Establishment,water_outage;dirty_water;public_water_leak;meter_or_bill;public_network_wastewater_if_applicable,medium_high,SRC-BMLWE-ABOUT,Needs municipality-level validation and edge cases.
SAM-WATER-002,water_establishment,governorate in North or Aakkar,governorate,NLWE,North Lebanon Water Establishment,water_outage;dirty_water;public_water_leak;meter_or_bill;sewage_services,medium,SRC-NLWE-HOME;SRC-NLWE-OMT,Need official service-area boundary source; OMT page supports North subscribers.
SAM-WATER-003,water_establishment,governorate in South or Nabatieh,governorate,SLWE,South Lebanon Water Establishment,water_outage;dirty_water;public_water_leak;meter_or_bill;sewage_services,medium_high,SRC-SLWE-HOME;SRC-SLWE-OMT,OMT page supports South and Nabatieh subscriber service evidence.
SAM-WATER-004,water_establishment,governorate in Bekaa or Baalbek-Hermel,governorate,BWE,Bekaa Water Establishment,water_outage;dirty_water;public_water_leak;meter_or_bill;wastewater;irrigation_water,high,SRC-BWE-ABOUT;SRC-BWE-HOME,BWE official page states Bekaa and Baalbek-Hermel scope.
SAM-ELEC-001,electricity_grid,default Lebanon grid-side electricity issue,any,EDL,Electricité du Liban,electricity_outage;power_line;transformer;meter_grid_issue,high,SRC-EDL-MISSION;SRC-EDL-RESPONSIBILITY,"Add concession/private-generator exceptions as overrides, not by default."
SAM-TEL-001,fixed_telecom,fixed internet/landline/OGERO cabinet/cable,any,OGERO,OGERO,fixed_internet;landline;telecom_cabinet;public_fixed_telecom_cable,high,SRC-OGERO-MISSION,Do not use for mobile/cellular issues unless fixed infrastructure is involved.
SAM-ROAD-001,roads,road is local/internal/sidewalk and inside municipality,municipality,MUN_DYNAMIC,Relevant Municipality,local_road_pothole;sidewalk_damage;local_drain;public_space,medium,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,Needs local/source verification for each strategic municipality.
SAM-ROAD-002,roads,road is main/classified/highway/bridge or source names MPWT,road_class_or_exact_location,MPWT,Ministry of Public Works and Transport,classified_road_damage;bridge_damage;main_road_flooding;large_public_works,medium_high,SRC-MPWT-ROADS-BUILDINGS;SRC-MPWT-HOME,Requires road-class dataset to avoid false positives.
SAM-SEC-001,public_security,crime/threat/security/serious traffic/public order,exact_location,ISF,Internal Security Forces,crime;threat;public_order;traffic_security,high,SRC-ISF-STRATEGIC;SRC-ISF-UNITS,Do not route serious security to municipal police only.
SAM-EMER-001,emergency_response,fire/rescue/collapse/flood danger/active public hazard,exact_location,CIVIL_DEFENSE,Lebanese Civil Defense,fire;rescue;collapse_risk;emergency_public_danger,medium_high,SRC-CIVILDEF-UNDP-2026,Emergency pathway; official emergency call/channel data should be verified before deployment.
SAM-ELEC-002,electricity_grid,location is Zahle city or Zahle district (Bekaa) — EDZ concession area exception,district,EDZ,Electricité de Zahle (EDZ),area_power_outage;exposed_electric_wires;transformer_fault,medium,SRC-EDL-RESPONSIBILITY,EDZ holds a concession for the Zahle area. EDL is NOT the correct entity for Zahle electricity complaints. HITL required until GPS/address confirms Zahle district.
