term_id,canonical_arabizi,variants,arabic_lebanese,english_meaning,language_role,sector_hint,issue_hint,asset_type,source,confidence,complaint_use,context_required,negative_constraints,example_contexts,review_status
CFL-00001,7ot 3al nar,7ot 3al nar; 7ot aal nar; hot 3al nar; hot aal nar,حط عالنار,put it on the stove,context_guard,,,,context_guard_lexicon,high,classification_context_guard,TRUE,CONTEXT_GUARD:SAFETY:stove/idiom fire word; safety only with hazard context,,evidence_only
CFL-00002,fi may,fii may; fi may,في المي؟,is the water there?,context_guard,,,,context_guard_lexicon,high,classification_context_guard,TRUE,CONTEXT_GUARD:WATER:question/availability phrase; route only with outage/leak/flood context,,evidence_only
CFL-00003,may,mai; may; maye; mayei; mayy,مي,water,context_guard,,,,context_guard_lexicon,high,classification_context_guard,TRUE,CONTEXT_GUARD:WATER:generic water; route only with outage/leak/flood context,,evidence_only
CFL-00004,nater 3a nar,nater 3a nar; nater 3a nar,ناطر ع نار,waiting anxiously,context_guard,,,,context_guard_lexicon,high,classification_context_guard,TRUE,CONTEXT_GUARD:SAFETY:stove/idiom fire word; safety only with hazard context,,evidence_only
CFL-00005,3am natrin l flight,3am natrin l flight; 3m natrin l flight,عم ناطرين الفلايت,we are waiting for the flight,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00006,3ande boarding pass,3ande boarding pass; 3ndi boarding pass,عندي بوردينغ باس,I have a boarding pass,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00007,3ande extra luggage,3ande extra luggage; 3ndi extra luggage,عندي إكسترا لاغج,I have extra luggage,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00008,3ande taxi men l airport,3ande taxi men l airport; 3ande taxi men l airport,عندي تاكسي من المطار,I have a taxi from the airport,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00009,3ande visa appointment,3ande visa appointment; 3ndi visa appointment,عندي موعد فيزا,I have a visa appointment,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00010,7a teb3at taxi 3al matar,7a teb3at taxi 3al matar; ra7 teb3at taxi 3al matar,رح تبعت تاكسي عالمطار؟,will you send a taxi to the airport?,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00011,adde taxi mn l matar,adde taxi mn l matar; addeish taxi mn l matar; adeysh taksi men l matar,قديش تاكسي من المطار؟,how much is a taxi from the airport?,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00012,addesh l taxi mn l matar,addesh l taxi mn l matar; addesh l taxi mn l matar,قديش التاكسي من المطار؟,how much is the taxi from the airport?,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00013,ana barra l arrivals,ana bara el arrivals; ana barra l arrivals,أنا برّا الأرايفلز,I am outside arrivals,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00014,ana barra l matar,ana bara l matar; ana barra l matar; ene barra l matar,أنا برا المطار,I am outside the airport,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00015,ayya gate,ayya gate; ayya ghate,أي غيت؟,which gate?,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00016,ba3atle boarding pass,b3atle boarding pass; ba3atle boarding pass,بعتلي البوردينغ باس,send me the boarding pass,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00017,ba3edne bel matar,ba3edne bel matar; ba3edne bel matar,بعدني بالمطار,I am still at the airport,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00018,baddi taxi 3al airport,baddi taxi 3al airport; baddi taxi 3al airport,بدي تاكسي عالمطار,I need a taxi to the airport,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00019,baddi taxi mn l matar,badde taxi men el matar; badde taxi mn l matar; baddi taksi men l matar; baddi taxi mn l matar; bde taxi men el matar; bde taxi mn l matar,بدي تاكسي من المطار,I want a taxi from the airport,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00020,emta btousal,emta btousal; imta btousal,إمتى بتوصل؟,when do you land/arrive?,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00021,emta btousale,emta btousale; imta btousale,إمتى بتوصلي؟,when do you land/arrive?,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00022,emta l flight,emta l flight; imta l flight,إمتى الفلايت؟,when is the flight?,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00023,fi extra weight 3al shanta,fe extra weight 3al shanta; fi extra weight 3al shanta,في إكسترا ويت عالشنطة,there is extra weight on the suitcase,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00024,fi taxi mn l matar,fe taxi mn el matar; fi taxi mn l matar,في تاكسي من المطار؟,is there a taxi from the airport?,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00025,khodne mn l matar,khodne mn l matar; khodne mn l matar,خدني من المطار,pick me up from the airport,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00026,l boarding ballash,l boarding balesh; l boarding ballash,البوردينغ بلّش,boarding started,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00027,l flight 3al sobo7,l flight 3al sobo7; l flight aal sobo7,الفلايت عالصبح,the flight is in the morning,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00028,l flight bel layl,l flight bel layl; l flight bil leil,الفلايت بالليل,the flight is at night,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00029,l flight cancel,l flight cancel; l flight cancel,الفلايت تكنسل,the flight got cancelled,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00030,l flight cancelled,l flayt cancelled; l flight cancelled,الفلايت cancelled,the flight was canceled,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00031,l flight emta,l flight emta; l flight imta,الفلايت إمتى؟,when is the flight,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00032,l flight t2ajjal,l flight t2ajjal; l flight ta2ajjal,الفلايت تأجّل,the flight got postponed,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00033,l flight t2ajjal la bokra,el flight t2ajjal la bukra; l flight t2ajjal la bokra,الفلايت تأجل لبكرا,the flight was postponed to tomorrow,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00034,l flight t2akhar,l flayt t2akhar; l flight t2akhar; l flight ta2akhar,الفلايت تأخّر,the flight got delayed,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00035,l gate tghayyar,el gate tghayar; l gate tghayyar,الغيت تغيّر,the gate changed,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00036,l luggage t2akhar,l laggage t2akhar; l luggage t2akhar,اللاغج تأخّر,the luggage got delayed,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00037,l passport ma3ak,l passport ma3ak; l passport ma3ak,الباسبور معك؟,do you have the passport with you?,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00038,l passport ma3e,l passport ma3e; l passport ma3i,الباسبور معي,the passport is with me,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00039,l shanta over weight,el shanta overweight; l shanta over weight,الشنطة أوفر ويت,the suitcase is overweight,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
CFL-00040,l shanta te2ile ktir,el shanta t2ile kteer; l shanta te2ile ktir,الشنطة تقيلة كتير,the suitcase is very heavy,hard_negative,,,,hard_negative_lexicon,high,hard_negative,TRUE,"HARD_NEGATIVE:FLOODING:airport/travel term, not rain",,evidence_only
