finding_id,task_id,source_id,scope,candidate_url,title,published_at_or_period,sector,entity_hint,decision,promoted_target_id,promoted_event_id,notes
SIF-001,CIS-SCALE-001,SRC-040,Beirut,https://www.nna-leb.gov.lb/en/miscellaneous/823524/mopwt-night-response-clears-rainwater-flooding-in,MoPWT night response clears rainwater flooding in Al-Rihab within 30 minutes,2025-11-15,roads,MUN;MPWT,promoted,CIS-149,CIE-000059,"Strong explicit jurisdiction note: Beirut Municipality primary, MPWT support."
SIF-002,CIS-SCALE-001,SRC-040,Beirut,https://www.nna-leb.gov.lb/en/miscellaneous/630095/environment-minister-launches-clean-your-country-c,Environment Minister launches Clean Your Country campaign in collaboration with municipalities,2023-07-30,waste,MOE;MUN,candidate_only,,,"Useful process/context source but campaign-level, not a complaint/resolution event."
SIF-003,CIS-SCALE-002,SRC-040,Mount Lebanon,https://www.nna-leb.gov.lb/en/miscellaneous/822897/mopwt-continues-nighttime-paving-works-on-jbeil-na,MoPWT Continues Nighttime Paving Works on Jbeil-Nahr Ibrahim Coastal Road,2025-11-12,roads,MPWT,promoted,CIS-150,CIE-000060,Clean ministry-led road maintenance event.
SIF-004,CIS-SCALE-002,SRC-040,Mount Lebanon,https://www.nna-leb.gov.lb/en/%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9/811294/rasamny-combating-floods-requires-collective-respo,"Rasamny: Combating Floods Requires Collective Responsibility, Not Finger-Pointing",2025-09-24,roads,MPWT;MUN;CDR,promoted,CIS-151,CIE-000061,Promoted with HITL because actors and responsibility boundaries overlap.
SIF-005,CIS-SCALE-003,SRC-040,Aakkar,https://www.nna-leb.gov.lb/en/politics/735751/hamieh-repairs-underway-on-akkar-bridge-targeted-b,Hamieh: repairs underway on Akkar bridge targeted by strike,2024-11-03,roads,MPWT,already_promoted,CIS-140,CIE-000050,Covered in batch 9; no duplicate added.
SIF-006,CIS-SCALE-003,SRC-040,Aakkar,https://www.nna-leb.gov.lb/en/%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9/820132/norwegian-ambassador-and-fao-representative-in-leb,FAO project in Akkar supporting irrigation rehabilitation and waste management,2025-10-31,water,HITL,candidate_only,,,"Good project/context source, but no canonical local public entity owner yet."
SIF-007,CIS-SCALE-004,SRC-040,North,https://www.nna-leb.gov.lb/ar/initiatives/682404/%D9%85%D9%86%D8%B3%D9%82%D9%8A%D8%A9-%D8%A7%D9%84%D8%A8%D8%AA%D8%B1%D9%88%D9%86-%D9%81%D9%8A-%D8%A7%D9%84%D9%82%D9%88%D8%A7%D8%AA-%D8%A7%D9%84%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9-%D8%AA%D8%B5%D9%84%D8%AD-%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA-%D8%A3%D9%88%D8%AC,Batroun local actor repairs OGERO vehicles,2024-03-21,telecom,OGERO,promoted,CIS-152,CIE-000062,"Promoted as routing guard: complaint remains OGERO, support actor is not destination."
SIF-008,CIS-SCALE-004,SRC-040,North,https://www.nna-leb.gov.lb/ar/%D8%A5%D9%82%D8%AA%D8%B5%D8%A7%D8%AF/567316?ocid=Nabd_App,Kousba-Abu Ali hydropower station restarted,2022-10-03,water,NLWE;EDL,promoted,CIS-153,CIE-000063,Promoted as cross-utility dependency for North water routing.
SIF-009,CIS-SCALE-005,SRC-040,South,https://www.nna-leb.gov.lb/en/%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9/814825/aoun-briefed-on-water-sector-repairs-meets-newly-a,Aoun briefed on South Lebanon Water Establishment repairs,2025-10-09,water,SLWE,already_promoted,CIS-133,CIE-000039,Covered in batch 7; no duplicate added.
SIF-010,CIS-SCALE-006,SRC-040,Nabatiye,https://www.nna-leb.gov.lb/en/miscellaneous/668047/edl-continues-repairing-power-line-in-coordination,"EDL continues repairing power line in coordination with Army, UNIFIL in Hula",2024-01-08,electricity,EDL,promoted,CIS-155,CIE-000065,Clean conflict-zone utility repair event.
SIF-011,CIS-SCALE-007,SRC-040,Beqaa,https://www.nna-leb.gov.lb/en/%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9/778652/pm-nawaf-salam-visits-zahle-serail-within-his-cent,PM Nawaf Salam visits Zahle Serail within his Central Bekaa tour,2025-05-08,roads,CDR;MPWT,candidate_only,,,Dahr al-Baidar/Arab Highway context overlaps CIE-000038; not enough new lifecycle evidence.
SIF-012,CIS-SCALE-008,SRC-040,Baalbek-Hermel,https://www.nna-leb.gov.lb/en/%D9%85%D8%AA%D9%81%D8%B1%D9%82%D8%A7%D8%AA/768231/civil-defense-tremendous-efforts-to-control-hermel,Civil Defense: tremendous efforts to control Hermel fire,2025-03-25,safety,CD,promoted,CIS-154,CIE-000064,Promoted as Baalbek-Hermel emergency routing event with PII redaction.
SIF-013,CIS-SCALE-008,SRC-040,Baalbek-Hermel,https://www.nna-leb.gov.lb/en/politics/708569/fayad-visits-baalbek-hermel-discusses-sewage-water,"Fayad visits Baalbek-Hermel, discusses sewage, water, and electricity issues",2024-07,water,MEW;EDL;BWE,candidate_only,,,"Useful issue inventory, but not a concrete complaint/resolution event."
SIF-014,CIS-SCALE-009,SRC-041,Tripoli,https://today.lorientlejour.com/article/1465013/cleaning-campaign-launched-in-abou-ali-river-stream-in-tripoli.html,Cleaning campaign launched in Abu Ali River stream in Tripoli,2025-06-16,waste,MUN;MEW,already_promoted,CIS-113,CIE-000019,Same 2025 Abu Ali river cleanup already normalized from NNA; L'Orient corroborates but no duplicate added.
SIF-015,CIS-SCALE-009,SRC-041,Tripoli,https://today.lorientlejour.com/article/1490526/tripoli-launches-major-clean-up-campaign.html,Tripoli launches major clean-up campaign,2026-01-06,public_space,MUN,promoted,CIS-157,CIE-000067,Distinct 2026 cleanup and public-space enforcement event.
SIF-016,CIS-SCALE-009,SRC-041,Tripoli district,https://today.lorientlejour.com/article/1494389/qalamoun-municipality-asks-residential-complex-residents-to-evacuate-building.html,Qalamoun municipality asks residential complex residents to evacuate building,2026-02-09,safety,MUN;CD,candidate_only,,,Strong T2/T3 safety lead but outside P0 city proper; leave for follow-up batch.
SIF-017,CIS-SCALE-009,SRC-041,Jounieh,https://today.lorientlejour.com/article/1351134/jounieh-roads-flood-after-waste-blocks-drains.html,"Jounieh roads flood, waste blocks drains",2023-10-02,roads,MUN;MPWT,already_promoted,CIS-143,CIE-000053,Already normalized in batch 9.
SIF-018,CIS-SCALE-009,SRC-041,Jounieh,https://today.lorientlejour.com/article/1476616/jounieh-highway-expansion-back-on-track-locals-cautiously-optimistic.html,Jounieh highway expansion back on track,2025-09-09,roads,CDR;MPWT,candidate_only,,,Useful follow-up to CIE-000037 but not promoted to avoid muddying the CDR/MPWT project timeline without official source reconciliation.
SIF-019,CIS-SCALE-009,SRC-041,Saida,https://today.lorientlejour.com/article/1416837/saidas-waste-treatment-company-promises-to-treat-piled-up-trash-within-3-months.html,Saida waste treatment company promises to treat piled-up trash within 3 months,2024-06-10,waste,MUN;MOE,already_promoted,CIS-144,CIE-000054,Already normalized in batch 9.
SIF-020,CIS-SCALE-009,SRC-041,Saida,https://today.lorientlejour.com/article/1321253/garbage-once-again-piles-up-in-saida.html,Garbage once again piles up in Saida,2022-12-12,waste,MUN,promoted,CIS-158,CIE-000068,Promoted for collection-contractor disruption and municipal public-health boundary.
SIF-021,CIS-SCALE-009,SRC-041,Saida,https://today.lorientlejour.com/article/1338196/smoke-covers-saida-after-fire-breaks-out-in-landfill.html,Smoke covers Saida after fire breaks out in landfill,2023-05-22,safety,CD;MUN;MOE,promoted,CIS-159,CIE-000069,Promoted as emergency fire-response case with waste/environment secondary context.
SIF-022,CIS-SCALE-009,SRC-041,Beirut,https://today.lorientlejour.com/article/1297278/trash-collection-in-beirut-resumes-after-scavengers-banned-from-jdeideh-landfill.html,Trash collection in Beirut and Metn resumes,2022-04-20,waste,MUN;CDR;MOE,already_promoted,CIS-147,CIE-000057,Already normalized in batch 9.
SIF-023,CIS-SCALE-009,SRC-041,Beirut,https://today.lorientlejour.com/article/1341131/water-supply-in-metn-achrafieh-and-bourj-abi-haidar-temporarily-restored.html,"Water supply in Metn, Achrafieh and Bourj Abi Haidar temporarily restored",2023-06-20,water,BMLWE;EDL,promoted,CIS-156,CIE-000066,Promoted as Beirut/Mount Lebanon water-power dependency case.
SIF-024,CIS-SCALE-009,SRC-041,Zahle,https://today.lorientlejour.com/article/1420377/zahle-becomes-first-lebanese-city-to-launch-trial-hybrid-city-buses.html,Zahle becomes first Lebanese city to launch trial hybrid city buses,2024-07-19,transport,MUN;CDR,candidate_only,,,"Useful municipal transport/process source, but not a complaint or resolution event."
SIF-025,CIS-SCALE-009,SRC-041,Zahle/Bekaa,https://today.lorientlejour.com/article/1264636/no-power-means-no-water-authorities-warn-of-an-impending-crisis.html,No power means no water: Authorities warn of an impending crisis,2021-06-09,water,BWE;BMLWE;SLWE;EDL,promoted,CIS-160,CIE-000070,Promoted for BWE/Zahle-Bekaa depth and water/electricity dependency.
