patch_id,bank_candidate_id,bank_arabic_script,bank_english,bank_sector,bank_issue_type,bank_category,current_bank_variants_semicolon,v10_term_id,v10_new_variants_pipe,v10_safe_unique_variants_pipe,v10_reliable_alt_review_variants_pipe,v10_context_only_variants_pipe,proposed_action,do_not_create_new_row,review_status,required_reviewer_count,notes
PATCH-V10-1-0001,ARZ-CAND-0385,جرافة,bulldozer / excavator,ROADS,ROAD_BLOCKED,noun_infra,jrafe;jrafi;7affar;7affare;buldozer;caterpillar,ARZ-V10-00950,jarrafe|bulldozer,jarrafe|bulldozer,,,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0002,ARZ-CAND-0002,حفرة,pothole,ROADS,POTHOLE,noun_damage,7ufra;7ofra;7afra;bir,ARZ-V10-00960,jora|joura,,,jora|joura|7ofra|7afra,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0003,ARZ-CAND-0135,بردورة,curb,ROADS,BROKEN_SIDEWALK,noun_infra,bardore;bardoura;bardour;l bardore,ARZ-V10-00970,bordure|bardora,bordure|bardoura,bardora,,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0004,ARZ-CAND-0011,حاجز,barrier,ROADS,ROAD_BLOCKED,noun_infra,7ajez;7ajez 3al tari2;7ajez meksour,ARZ-V10-00971,hajez,hajez,,7ajez,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0005,ARZ-CAND-0013,رصيف,sidewalk,ROADS,ROAD_DAMAGE,noun_infra,rasif;rasif meksour;rasif kharban;troar,ARZ-V10-00974,rseef|rsif,rasif|rseef,rsif,,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0006,ARZ-CAND-0007,إشارة,traffic light,ROADS,TRAFFIC_SIGNAL,noun_infra,ishara;2isharit l siyyara;daw 2a7mar;daw kharban,ARZ-V10-00979,eshara,,,ishara|eshara,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0007,ARZ-CAND-0139,مطب,speed bump,ROADS,ROAD_DAMAGE,noun_infra,matabb;matab ktir;l matab;matabeat;mtab,ARZ-V10-00980,matab|mtabb,,,matab|mtabb,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0008,ARZ-CAND-0019,حادث,accident,ROADS,SAFETY,noun_event,7adis;7adis 3al tari2;3ada 7adis,ARZ-V10-00982,hadis|accident,7adis|hadis,accident,,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0009,ARZ-CAND-0146,زحمة,traffic jam,ROADS,ROAD_BLOCKED,noun_infra,za7me;z7me;za7meh;za7me ktir;za7mit seer,ARZ-V10-00989,zahme,za7me|zahme,,,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0010,ARZ-CAND-0139,مطب,speed bump,ROADS,ROAD_DAMAGE,noun_infra,matabb;matab ktir;l matab;matabeat;mtab,ARZ-V10-00990,mattab|matab|mtabb,mattab,,matab|mtabb,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0011,ARZ-CAND-0634,حفريات,excavation,ROADS,works,infra_roads,7afriyat;hafriyat,ARZ-V10-00993,7afriyet,7afriyet,,7afriyat,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0012,ARZ-CAND-0006,ورشة,construction site,ROADS,ROAD_BLOCKED,noun_infra,warche;mashrou3;2abiyed;hayye,ARZ-V10-00998,warshe,,,warshe,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0013,ARZ-CAND-0051,بالوعة,drain,WASTE,BLOCKED_DRAIN,noun_infra,balo3a;bala2a;balou3a;balo3a msedoude,ARZ-V10-01003,ballou3a|ballo3a,,,ballou3a|ballo3a|balou3a|balo3a,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0014,ARZ-CAND-0071,مزراب,downpipe,FLOODING,BLOCKED_DRAIN,noun_infra,mezrab;mezrab msedoud;mezrab kharban,ARZ-V10-01004,mizrab|mezreb,,,mizrab|mezreb,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0015,ARZ-CAND-0498,غرق,drowning,SAFETY,INJURY,noun_infra,ghara2;ghre2;7ada 3am yigh2ra2;7ada ghire2;7adese ghara2,ARZ-V10-01007,ghare2,ghara2,,ghare2,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0016,ARZ-CAND-0064,سيل,stream/torrent,FLOODING,ALL,noun_event,sayel;seyoul;wadi;sayel kbir;may 3am tsayel l share3,ARZ-V10-01008,seyl|sayl,,,seyl|sayl,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0017,ARZ-CAND-0070,طوفان,overflow,FLOODING,BLOCKED_DRAIN,noun_event,toufan;toufan fi l mantiqa;may faret;faret 3inna,ARZ-V10-01009,tofan,tofan,,toufan,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0018,ARZ-CAND-0161,سخان,water heater,WATER,ALL,noun_infra,sa55an;sa5an;l sa55an;sa55an l may;chauffe-eau,ARZ-V10-01010,sakhkhan,sakhkhan|chauffe eau,sa55an,,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0019,ARZ-CAND-0025,أنبوب,pipe,WATER,PIPE_LEAK,noun_infra,anboub;anboub meksour;anboub kharban;anboub sarrab;masouri,ARZ-V10-01016,anboob|anbob,anboob,,anboub|anbob,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0020,ARZ-CAND-0022,ضغط,pressure,WATER,LOW_PRESSURE,noun_infra,daght;daght l may;daght khafif;ma fi daght,ARZ-V10-01018,daghet,,,daghet|daght,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0021,ARZ-CAND-0157,مضخة,pump,WATER,ALL,noun_infra,madde;maddit l may;pompe;pompit;moteur;motor,ARZ-V10-01019,pump,madde,,pompe|pump,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0022,ARZ-CAND-0034,مجرور,sewer,WATER,SEWAGE_OVERFLOW,noun_infra,majrour;majrour msedoud;majrour kharban;4a77ouri,ARZ-V10-01025,major|majror|majour,,,major|majror|majour|majrour,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0023,ARZ-CAND-0034,مجرور,sewer,WATER,SEWAGE_OVERFLOW,noun_infra,majrour;majrour msedoud;majrour kharban;4a77ouri,ARZ-V10-01026,majror|major|majour,,,majror|major|majrour|majour,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0024,ARZ-CAND-0026,نبع,spring/source,WATER,NO_SUPPLY,noun_infra,nab3;nab3 jefef;nab3 meksouf;nab3 msedoud;beer may;beer may jfef,ARZ-V10-01029,nabe3,nabe3,,,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0025,ARZ-CAND-0202,بركة,pool / puddle,FLOODING,STANDING_WATER,noun_infra,birket may;borket may,ARZ-V10-01030,berke|birke,,,berke|birke,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0026,ARZ-CAND-0024,خزان,tank,WATER,NO_SUPPLY,noun_infra,5azzan;5azzan fadi;5azzan meksour;2azzan,ARZ-V10-01032,khazzan,5azzan|khazzan,,,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0027,ARZ-CAND-0654,بئر,well,WATER,source,infra_water,bir;beer,ARZ-V10-01039,bi2r,bi2r,,bir|beer,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0029,ARZ-CAND-0061,فيضان,flood,FLOODING,ALL,noun_event,fayadan;fayden;ghare2;ghare2an;tabba3,ARZ-V10-01050,faydan,fayadan|faydan,,,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0033,ARZ-CAND-0068,عاصفة,storm,FLOODING,ALL,noun_event,3asife;3asife kbire;matar ghzir;shita ghzir,ARZ-V10-01057,3asfe,3asfe|3asife,,,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0034,ARZ-CAND-0706,حيوان,animal,WASTE,animal,infra_waste,7ayawen,ARZ-V10-01125,hayawen,hayawen,,7ayawen,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0035,ARZ-CAND-0709,نافق,dead animal,WASTE,animal,infra_waste,nafe2,ARZ-V10-01128,meyyet,meyyet,,nafe2,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0036,ARZ-CAND-0053,حرق,burning,WASTE,BURNING_WASTE,noun_event,7ari2a;7are2;3am y7re2u;zbele m7rou2a;nar fi zbele,ARZ-V10-01134,7ar2,7ar2,,7are2,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
PATCH-V10-1-0037,ARZ-CAND-0714,مستوعب,container,WASTE,bin,infra_waste,mestaw3ab;misto3ab,ARZ-V10-01141,mesto3ab,mesto3ab,,,REVIEW_AND_APPEND_SAFE_VARIANTS_ONLY,TRUE,PENDING_NATIVE_REVIEW,1,"Existing candidate-bank concept; v10 contributes variant/governance enrichment, not a new row."
