﻿candidate_id,source_file,source_row_number,arabic_script,english,sector,issue_type,category,normalization,variant_1,variant_2,variant_3,variant_4,variant_5,variant_6,tiers,usage_note,review_priority,support_only,high_risk_second_review_required,allowed_uses,blocked_uses,promotion_target,review_status,reviewer_id,decision,must_not_auto_promote,quality_flags,created_at_utc,updated_at_utc,v2_candidate_status,v2_candidate_priority,v2_total_variants,v2_a_tier_ready_count,v2_b_tier_review_count,v2_high_risk_count,v2_quarantined_count,v2_recommended_first_action,v2_must_not_auto_promote
BFL-CAND-0001,build_full_lexicon.py,1,حفرة,pothole / hole in road,ROADS,POTHOLE,noun_infra,حفرة,7ofra,7afra,hofra,7ofrit,7afrit,hufra,A/A/B/B/C/C,7=ح always; hofra plain-h widely accepted; hufra C-tier (wrong char but seen); 7ofrit/7afrit diminutives,P0_FIX_BEFORE_IMPORT,FALSE,FALSE,oov_candidate_generation;stress_test_generation;normalization_support_after_review;variant_lookup_after_review,automatic_routing;automatic_severity_decision;automatic_core_promotion;oov_suppression_without_review,REJECT_OR_REWRITE,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_MORE_EVIDENCE,TRUE,C_TIER_VARIANTS_PRESENT;FORBIDDEN_OR_REWRITE_VARIANT;LOANWORD_CODESWITCH_REVIEW,2026-05-20T12:01:33Z,2026-05-20T12:01:33Z,NEEDS_REWRITE_BEFORE_IMPORT,P0,6,2,2,0,2,FIX_OR_REJECT_P0_VARIANTS,TRUE
BFL-CAND-0002,build_full_lexicon.py,2,جورة,pit / hole — Beiruti variant,ROADS,POTHOLE,noun_infra,جورة,jora,joura,joora,jorit,joret,jwara,A/A/B/B/C/C,Entirely different root from حفرة; no ع/ح/خ/ق so no markers needed; Beiruti street speech,P2_VARIANT_RELIABILITY_REVIEW,FALSE,FALSE,oov_candidate_generation;stress_test_generation;normalization_support_after_review;variant_lookup_after_review,automatic_routing;automatic_severity_decision;automatic_core_promotion;oov_suppression_without_review,CORE_VOCAB_REVIEW,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_MORE_EVIDENCE,TRUE,C_TIER_VARIANTS_PRESENT,2026-05-20T12:01:33Z,2026-05-20T12:01:33Z,NEEDS_REWRITE_BEFORE_IMPORT,P0,6,2,2,0,2,FIX_OR_REJECT_P0_VARIANTS,TRUE
BFL-CAND-0003,build_full_lexicon.py,3,حفر (plural),potholes / holes (plural),ROADS,POTHOLE,noun_infra,حفرات,7afarat,7ofar,hfar,7ufar,jourat,jowarat,A/B/B/C/A/B,7=ح in plural forms; jourat = Beiruti plural of jora,P2_VARIANT_RELIABILITY_REVIEW,FALSE,FALSE,oov_candidate_generation;stress_test_generation;normalization_support_after_review;variant_lookup_after_review,automatic_routing;automatic_severity_decision;automatic_core_promotion;oov_suppression_without_review,CORE_VOCAB_REVIEW,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_MORE_EVIDENCE,TRUE,C_TIER_VARIANTS_PRESENT,2026-05-20T12:01:33Z,2026-05-20T12:01:33Z,NEEDS_REWRITE_BEFORE_IMPORT,P0,6,2,3,0,1,FIX_OR_REJECT_P0_VARIANTS,TRUE
BFL-CAND-0004,build_full_lexicon.py,4,طريق,road,ROADS,ALL_SUPPORT,noun_infra,طريق,tari2,tare2,tari',triq,tare',tari22,A/A/B/B/C/C,tari2 overwhelmingly most common; triq North Lebanon variant; 2=ق,P3_SUPPORT_ONLY,TRUE,FALSE,oov_candidate_generation;stress_test_generation;normalization_support_after_review;variant_lookup_after_review,automatic_routing;automatic_severity_decision;automatic_core_promotion;oov_suppression_without_review,GENERAL_WORD_BANK_OR_STOPLIST,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_MORE_EVIDENCE,TRUE,C_TIER_VARIANTS_PRESENT;SUPPORT_ONLY_CONTEXT_NOT_ISSUE_LABEL,2026-05-20T12:01:33Z,2026-05-20T12:01:33Z,GENERAL_SUPPORT_BATCH,P3,6,0,0,0,0,REVIEW_AS_GENERAL_SUPPORT_NOT_ROUTING,TRUE
BFL-CAND-0005,build_full_lexicon.py,5,شارع,street,ROADS,ALL_SUPPORT,noun_infra,شارع,share3,shar3,shara3,shari3,sheri3,share33,A/A/B/B/C/C,3=ع required; share3 standard; shari3/sheri3 more MSA-influenced,P3_SUPPORT_ONLY,TRUE,FALSE,oov_candidate_generation;stress_test_generation;normalization_support_after_review;variant_lookup_after_review,automatic_routing;automatic_severity_decision;automatic_core_promotion;oov_suppression_without_review,GENERAL_WORD_BANK_OR_STOPLIST,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_MORE_EVIDENCE,TRUE,C_TIER_VARIANTS_PRESENT;SUPPORT_ONLY_CONTEXT_NOT_ISSUE_LABEL,2026-05-20T12:01:33Z,2026-05-20T12:01:33Z,GENERAL_SUPPORT_BATCH,P3,6,0,0,0,0,REVIEW_AS_GENERAL_SUPPORT_NOT_ROUTING,TRUE
BFL-CAND-0006,build_full_lexicon.py,6,طريق سريع,highway / motorway,ROADS,ALL_SUPPORT,noun_infra,طريق سريع / أوتوستراد,otostrad,l otostrad,autostrad,tari2 sari3,autoroute,l fouye,A/A/B/B/B/B,otostrad (Italian loanword) most common; l fouye colloquial for highway; autoroute French,P3_SUPPORT_ONLY,TRUE,FALSE,oov_candidate_generation;stress_test_generation;normalization_support_after_review;variant_lookup_after_review,automatic_routing;automatic_severity_decision;automatic_core_promotion;oov_suppression_without_review,GENERAL_WORD_BANK_OR_STOPLIST,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_MORE_EVIDENCE,TRUE,LOANWORD_CODESWITCH_REVIEW;SUPPORT_ONLY_CONTEXT_NOT_ISSUE_LABEL,2026-05-20T12:01:33Z,2026-05-20T12:01:33Z,GENERAL_SUPPORT_BATCH,P3,6,0,0,0,0,REVIEW_AS_GENERAL_SUPPORT_NOT_ROUTING,TRUE
BFL-CAND-0007,build_full_lexicon.py,7,دوار,roundabout,ROADS,ALL_SUPPORT,noun_infra,دوار,dawwar,dawar,dawer,dawwara,l dawwar,dawwer,A/A/B/C/A/C,dawwar most natural; no special markers in this root,P3_SUPPORT_ONLY,TRUE,FALSE,oov_candidate_generation;stress_test_generation;normalization_support_after_review;variant_lookup_after_review,automatic_routing;automatic_severity_decision;automatic_core_promotion;oov_suppression_without_review,GENERAL_WORD_BANK_OR_STOPLIST,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_MORE_EVIDENCE,TRUE,C_TIER_VARIANTS_PRESENT;SUPPORT_ONLY_CONTEXT_NOT_ISSUE_LABEL,2026-05-20T12:01:33Z,2026-05-20T12:01:33Z,GENERAL_SUPPORT_BATCH,P3,6,0,0,0,0,REVIEW_AS_GENERAL_SUPPORT_NOT_ROUTING,TRUE
BFL-CAND-0008,build_full_lexicon.py,8,منعطف,bend / curve in road,ROADS,ALL_SUPPORT,noun_infra,منعطف,mona3taf,mna3taf,man3ataf,3al mna3taf,mon3ataf,3al mona3taf,A/B/C/A/C/A,3=ع required; mona3taf most natural,P3_SUPPORT_ONLY,TRUE,FALSE,oov_candidate_generation;stress_test_generation;normalization_support_after_review;variant_lookup_after_review,automatic_routing;automatic_severity_decision;automatic_core_promotion;oov_suppression_without_review,GENERAL_WORD_BANK_OR_STOPLIST,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_MORE_EVIDENCE,TRUE,C_TIER_VARIANTS_PRESENT;SUPPORT_ONLY_CONTEXT_NOT_ISSUE_LABEL,2026-05-20T12:01:33Z,2026-05-20T12:01:33Z,GENERAL_SUPPORT_BATCH,P3,6,0,0,0,0,REVIEW_AS_GENERAL_SUPPORT_NOT_ROUTING,TRUE
BFL-CAND-0009,build_full_lexicon.py,9,رصيف,sidewalk / pavement,ROADS,BROKEN_SIDEWALK,noun_infra,رصيف,rasif,rasife,rsayef,rsayfet,rssif,rseef,A/A/B/B/C/C,rsayef natural plural; rsayfet construct-state plural,P2_VARIANT_RELIABILITY_REVIEW,FALSE,FALSE,oov_candidate_generation;stress_test_generation;normalization_support_after_review;variant_lookup_after_review,automatic_routing;automatic_severity_decision;automatic_core_promotion;oov_suppression_without_review,CORE_VOCAB_REVIEW,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_MORE_EVIDENCE,TRUE,C_TIER_VARIANTS_PRESENT,2026-05-20T12:01:33Z,2026-05-20T12:01:33Z,NEEDS_REWRITE_BEFORE_IMPORT,P0,6,2,2,0,2,FIX_OR_REJECT_P0_VARIANTS,TRUE
BFL-CAND-0010,build_full_lexicon.py,10,بردورة,curb,ROADS,BROKEN_SIDEWALK,noun_infra,بردورة,bardore,bardoura,bardour,l bardore,burdure,bordure,A/A/B/A/C/B,French loanword (bordure); bardore most natural Lebanese pronunciation,P2_VARIANT_RELIABILITY_REVIEW,FALSE,FALSE,oov_candidate_generation;stress_test_generation;normalization_support_after_review;variant_lookup_after_review,automatic_routing;automatic_severity_decision;automatic_core_promotion;oov_suppression_without_review,CORE_VOCAB_REVIEW,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_MORE_EVIDENCE,TRUE,C_TIER_VARIANTS_PRESENT;LOANWORD_CODESWITCH_REVIEW,2026-05-20T12:01:33Z,2026-05-20T12:01:33Z,NEEDS_REWRITE_BEFORE_IMPORT,P0,6,3,2,0,1,FIX_OR_REJECT_P0_VARIANTS,TRUE
BFL-CAND-0011,build_full_lexicon.py,11,بلاط,paving tiles / floor tiles,ROADS,BROKEN_SIDEWALK,noun_infra,بلاط,balat,blat,balet,balata,blayt,balt,A/B/B/C/C/C,balat most common; balata = one tile; no Arabizi markers in this root,P2_VARIANT_RELIABILITY_REVIEW,FALSE,FALSE,oov_candidate_generation;stress_test_generation;normalization_support_after_review;variant_lookup_after_review,automatic_routing;automatic_severity_decision;automatic_core_promotion;oov_suppression_without_review,CORE_VOCAB_REVIEW,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_MORE_EVIDENCE,TRUE,C_TIER_VARIANTS_PRESENT,2026-05-20T12:01:33Z,2026-05-20T12:01:33Z,NEEDS_REWRITE_BEFORE_IMPORT,P0,6,1,2,0,3,FIX_OR_REJECT_P0_VARIANTS,TRUE
BFL-CAND-0012,build_full_lexicon.py,12,غطاء بئر,manhole cover,ROADS,MISSING_MANHOLE,noun_infra,غطاء بئر,ghata biar,ghata l biar,ghata l biyar,ghato,ghatit l biar,ghata mafqoud,A/A/A/C/B/A,ghata biar most natural; ghata mafqoud = cover is missing (descriptive),P2_VARIANT_RELIABILITY_REVIEW,FALSE,FALSE,oov_candidate_generation;stress_test_generation;normalization_support_after_review;variant_lookup_after_review,automatic_routing;automatic_severity_decision;automatic_core_promotion;oov_suppression_without_review,CORE_VOCAB_REVIEW,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_MORE_EVIDENCE,TRUE,C_TIER_VARIANTS_PRESENT,2026-05-20T12:01:33Z,2026-05-20T12:01:33Z,NEEDS_REWRITE_BEFORE_IMPORT,P0,6,4,1,0,1,FIX_OR_REJECT_P0_VARIANTS,TRUE
BFL-CAND-0013,build_full_lexicon.py,13,بئر / بيار,manhole / well,ROADS,MISSING_MANHOLE,noun_infra,بئر / بيار,biar,biyar,bi2ar,biyara,byar,byarat,A/A/B/B/C/B,2=ق in bi2ar; biar most Lebanese; byarat = manholes plural,P2_VARIANT_RELIABILITY_REVIEW,FALSE,FALSE,oov_candidate_generation;stress_test_generation;normalization_support_after_review;variant_lookup_after_review,automatic_routing;automatic_severity_decision;automatic_core_promotion;oov_suppression_without_review,CORE_VOCAB_REVIEW,PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_MORE_EVIDENCE,TRUE,C_TIER_VARIANTS_PRESENT,2026-05-20T12:01:33Z,2026-05-20T12:01:33Z,NEEDS_REWRITE_BEFORE_IMPORT,P0,6,2,2,0,2,FIX_OR_REJECT_P0_VARIANTS,TRUE
