source_id,source_name,source_url,source_family,can_prove,cannot_prove
SRC001,DGLAC Municipalities Directory,https://www.dglac.gov.lb/en/municipalities,dglac,"official registry identity, municipality existence, address/email/website fields, national directory coverage",that a municipality actually runs an online complaint workflow
SRC002,Tripoli Municipality official site,https://tripoli.gov.lb/,official_municipality_site,"official identity, official contact data, official complaint forms, official tracking pages, exact fields/categories when public",cross-municipality coverage beyond that municipality
SRC003,Tripoli Municipality complaint form,https://tripoli.gov.lb/%D8%AA%D9%82%D8%AF%D9%8A%D9%85-%D8%B4%D9%83%D9%88%D9%89,official_municipality_site,"official identity, official contact data, official complaint forms, official tracking pages, exact fields/categories when public",cross-municipality coverage beyond that municipality
SRC004,Tripoli Municipality complaint tracking,https://tripoli.gov.lb/chakwa,official_municipality_site,"official identity, official contact data, official complaint forms, official tracking pages, exact fields/categories when public",cross-municipality coverage beyond that municipality
SRC005,Tripoli Municipality objection form,https://tripoli.gov.lb/%D8%A7%D8%B9%D8%AA%D8%B1%D8%A7%D8%B6-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%A8%D9%84%D8%AF%D9%8A%D8%A9,official_municipality_site,"official identity, official contact data, official complaint forms, official tracking pages, exact fields/categories when public",cross-municipality coverage beyond that municipality
SRC006,Zahlé Municipality report-issue page,https://zahle.gov.lb/report-an-issue/,official_municipality_site,"official identity, official contact data, official complaint forms, official tracking pages, exact fields/categories when public",cross-municipality coverage beyond that municipality
SRC007,Ras El-Matn complaints page,https://raselmatn.gov.lb/Complaints,official_municipality_site,"official identity, official contact data, official complaint forms, official tracking pages, exact fields/categories when public",cross-municipality coverage beyond that municipality
SRC008,Aley Municipality official site,https://aley.gov.lb/,official_municipality_site,"official identity, official contact data, official complaint forms, official tracking pages, exact fields/categories when public",cross-municipality coverage beyond that municipality
SRC009,Aley Municipality complaints page,https://aley.gov.lb/ar/complaints,official_municipality_site,"official identity, official contact data, official complaint forms, official tracking pages, exact fields/categories when public",cross-municipality coverage beyond that municipality
SRC010,Nabay Municipality official site,https://nabay.gov.lb/,official_municipality_site,"official identity, official contact data, official complaint forms, official tracking pages, exact fields/categories when public",cross-municipality coverage beyond that municipality
SRC011,El-Beddawi Municipality official site,https://el-beddawi.gov.lb/,official_municipality_site,"official identity, official contact data, official complaint forms, official tracking pages, exact fields/categories when public",cross-municipality coverage beyond that municipality
SRC012,Nabatieh Municipality official site,https://nabatieh.gov.lb/,official_municipality_site,"official identity, official contact data, official complaint forms, official tracking pages, exact fields/categories when public",cross-municipality coverage beyond that municipality
SRC013,Zouk Mikael Municipality official site,https://zoukmikael.gov.lb/,official_municipality_site,"official identity, official contact data, official complaint forms, official tracking pages, exact fields/categories when public",cross-municipality coverage beyond that municipality
SRC014,Jbail-Byblos Municipality domain,https://jbail-byblos.gov.lb/,official_municipality_site,"official identity, official contact data, official complaint forms, official tracking pages, exact fields/categories when public",cross-municipality coverage beyond that municipality
SRC015,Jounieh Municipality domain,https://www.jounieh.gov.lb/,official_municipality_site,"official identity, official contact data, official complaint forms, official tracking pages, exact fields/categories when public",cross-municipality coverage beyond that municipality
SRC016,Bcharri Municipality domain,https://www.bcharri.gov.lb/,official_municipality_site,"official identity, official contact data, official complaint forms, official tracking pages, exact fields/categories when public",cross-municipality coverage beyond that municipality
