﻿review_item_id,item_type,candidate_id,variant_id,arabic_script,english,variant,normalization,sector,issue_type,category,priority,question_for_reviewer,suggested_decision_options,reviewer_id,review_status,second_reviewer_required,notes
RV-00001,variant,BFL-CAND-0001,BFL-CAND-0001-V01,حفرة,pothole / hole in road,7ofra,حفرة,ROADS,POTHOLE,noun_infra,P2_CORE_REVIEW_READY,Approve as core/variant candidate?,APPROVE_CORE|APPROVE_VARIANT_ONLY|KEEP_MODEL_ONLY|REJECT,UNASSIGNED,PENDING_NATIVE_REVIEW,FALSE,A-tier low-risk non-support variant; still requires native review.
RV-00002,variant,BFL-CAND-0001,BFL-CAND-0001-V02,حفرة,pothole / hole in road,7afra,حفرة,ROADS,POTHOLE,noun_infra,P2_CORE_REVIEW_READY,Approve as core/variant candidate?,APPROVE_CORE|APPROVE_VARIANT_ONLY|KEEP_MODEL_ONLY|REJECT,UNASSIGNED,PENDING_NATIVE_REVIEW,FALSE,A-tier low-risk non-support variant; still requires native review.
RV-00003,variant,BFL-CAND-0001,BFL-CAND-0001-V05,حفرة,pothole / hole in road,7afrit,حفرة,ROADS,POTHOLE,noun_infra,P0_AMBIGUITY_REVIEW,Reject/rewrite?,REJECT_FALSE_FRIEND|REWRITE_VARIANT|KEEP_STRESS_TEST_ONLY,UNASSIGNED,PENDING_NATIVE_REVIEW,TRUE,Ambiguous variant (SAME_SECTOR_MULTI_ISSUE); block direct matching.
RV-00004,variant,BFL-CAND-0001,BFL-CAND-0001-V06,حفرة,pothole / hole in road,hufra,حفرة,ROADS,POTHOLE,noun_infra,P0_REWRITE_OR_REJECT,Reject/rewrite?,REJECT_FALSE_FRIEND|REWRITE_VARIANT|KEEP_STRESS_TEST_ONLY,UNASSIGNED,PENDING_NATIVE_REVIEW,TRUE,REJECT_NOISY_WRONG_MARKER: keep 7ofra/7afra as core and hofra only as fallback.
RV-00005,variant,BFL-CAND-0002,BFL-CAND-0002-V01,جورة,pit / hole — Beiruti variant,jora,جورة,ROADS,POTHOLE,noun_infra,P2_CORE_REVIEW_READY,Approve as core/variant candidate?,APPROVE_CORE|APPROVE_VARIANT_ONLY|KEEP_MODEL_ONLY|REJECT,UNASSIGNED,PENDING_NATIVE_REVIEW,FALSE,A-tier low-risk non-support variant; still requires native review.
RV-00006,variant,BFL-CAND-0002,BFL-CAND-0002-V02,جورة,pit / hole — Beiruti variant,joura,جورة,ROADS,POTHOLE,noun_infra,P2_CORE_REVIEW_READY,Approve as core/variant candidate?,APPROVE_CORE|APPROVE_VARIANT_ONLY|KEEP_MODEL_ONLY|REJECT,UNASSIGNED,PENDING_NATIVE_REVIEW,FALSE,A-tier low-risk non-support variant; still requires native review.
RV-00007,variant,BFL-CAND-0002,BFL-CAND-0002-V05,جورة,pit / hole — Beiruti variant,joret,جورة,ROADS,POTHOLE,noun_infra,P0_AMBIGUITY_REVIEW,Reject/rewrite?,REJECT_FALSE_FRIEND|REWRITE_VARIANT|KEEP_STRESS_TEST_ONLY,UNASSIGNED,PENDING_NATIVE_REVIEW,TRUE,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.
RV-00008,variant,BFL-CAND-0002,BFL-CAND-0002-V06,جورة,pit / hole — Beiruti variant,jwara,جورة,ROADS,POTHOLE,noun_infra,P0_AMBIGUITY_REVIEW,Reject/rewrite?,REJECT_FALSE_FRIEND|REWRITE_VARIANT|KEEP_STRESS_TEST_ONLY,UNASSIGNED,PENDING_NATIVE_REVIEW,TRUE,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.
RV-00009,variant,BFL-CAND-0003,BFL-CAND-0003-V01,حفر (plural),potholes / holes (plural),7afarat,حفرات,ROADS,POTHOLE,noun_infra,P2_CORE_REVIEW_READY,Approve as core/variant candidate?,APPROVE_CORE|APPROVE_VARIANT_ONLY|KEEP_MODEL_ONLY|REJECT,UNASSIGNED,PENDING_NATIVE_REVIEW,FALSE,A-tier low-risk non-support variant; still requires native review.
RV-00010,variant,BFL-CAND-0003,BFL-CAND-0003-V04,حفر (plural),potholes / holes (plural),7ufar,حفرات,ROADS,POTHOLE,noun_infra,P0_AMBIGUITY_REVIEW,Reject/rewrite?,REJECT_FALSE_FRIEND|REWRITE_VARIANT|KEEP_STRESS_TEST_ONLY,UNASSIGNED,PENDING_NATIVE_REVIEW,TRUE,Ambiguous variant (BLOCKED_PENDING_REVIEW); block direct matching.
