global_row,source_file,line_number,uuid,split,style_type,audit_status,flag_count,flags,current_label,current_sector,current_issue,metadata_label,suggested_label,suggested_sector,suggested_issue,top_sector,top_sector_score,top_issue,top_issue_score,needs_human_review,confidence,is_municipal_complaint,source_arabizi,assistant_json,evidence_terms,matched_terms,notes
496,cidarfix_v29_batch8_train_v14_enriched.jsonl,496,c40ea6b7-94cc-4cae-bf8d-379cd2fd43a6,train,real_world_hard_negative,REVIEW,1,POLITICAL_MIXED_INFRA,OTHER/political_statement,OTHER,political_statement,OTHER/political_statement,,,,ELECTRICITY,18,ELECTRICITY/partial_phase_outage,6,False,high,False,leha shefnekon bwizaret l kahraba leh ma shefna mi2ati mnu mn kl l siyesiyin aw kif leh hl za3rane mabsutin e7tilel nshalla bteklu atel la tfarmu,"{""confidence"": ""high"", ""evidence_terms"": [""kahraba""], ""is_municipal_complaint"": false, ""issue_type"": ""political_statement"", ""issues"": [{""issue_type"": ""political_statement"", ""label"": ""OTHER/political_statement"", ""sector"": ""OTHER""}], ""label"": ""OTHER/political_statement"", ""needs_human_review"": false, ""sector"": ""OTHER""}","[""kahraba""]",kahraba,political framing present but actionable infrastructure signal detected — label determined by complaint content
1162,cidarfix_v29_batch8_train_v14_enriched.jsonl,1162,5072c1cc-dcb3-48d7-818a-4034f93bacae,train,real_world_hard_negative,REVIEW,1,POLITICAL_MIXED_INFRA,OTHER/not_municipal,OTHER,not_municipal,OTHER/not_municipal,,,,ELECTRICITY,18,ELECTRICITY/partial_phase_outage,6,False,medium,False,kel el khabrie yewa2fo mafia 2as7ab el motor ma3 mafia cherket el kahraba w tezbat el kahraba 3ana be lebnen,"{""confidence"": ""medium"", ""evidence_terms"": [""kahraba"", ""motor""], ""is_municipal_complaint"": false, ""issue_type"": ""not_municipal"", ""issues"": [{""issue_type"": ""not_municipal"", ""label"": ""OTHER/not_municipal"", ""sector"": ""OTHER""}], ""label"": ""OTHER/not_municipal"", ""needs_human_review"": false, ""sector"": ""OTHER""}","[""kahraba"", ""motor""]",kahraba,political framing present but actionable infrastructure signal detected — label determined by complaint content
1540,cidarfix_v29_batch8_train_v14_enriched.jsonl,1540,1064231b-24bd-4e8c-9718-8776b4fc44f8,train,real_world_hard_negative,REVIEW,1,POLITICAL_MIXED_INFRA,OTHER/not_municipal,OTHER,not_municipal,OTHER/not_municipal,,,,ELECTRICITY,18,ELECTRICITY/partial_phase_outage,6,False,medium,False,3anjad bye bye wattan ento kharabto hal balad nchala tedfa3o kahraba 10 marat wetmouto men jou3 eza ra7 dalkon ghechem hal ad,"{""confidence"": ""medium"", ""evidence_terms"": [""kahraba""], ""is_municipal_complaint"": false, ""issue_type"": ""not_municipal"", ""issues"": [{""issue_type"": ""not_municipal"", ""label"": ""OTHER/not_municipal"", ""sector"": ""OTHER""}], ""label"": ""OTHER/not_municipal"", ""needs_human_review"": false, ""sector"": ""OTHER""}","[""kahraba""]",kahraba,political framing present but actionable infrastructure signal detected — label determined by complaint content
1737,cidarfix_v29_batch8_train_v14_enriched.jsonl,1737,50566c46-265d-46ba-8b09-238f2e823190,train,real_world,REVIEW,1,POLITICAL_MIXED_INFRA,OTHER/political_statement,OTHER,political_statement,OTHER/political_statement,,,,ELECTRICITY,18,ELECTRICITY/partial_phase_outage,6,False,high,False,ya jame3a ana ra2ye bikafe hezeb 3am y2adem dam w chohada w yehme hal balad men israel w da3ech w nosra w 5ale 8ayro yale e3din bel solta hene y2amno kahraba w may mech kel chi badna nzeto 3al hezeb,"{""confidence"": ""high"", ""evidence_terms"": [""kahraba"", ""may""], ""is_municipal_complaint"": false, ""issue_type"": ""political_statement"", ""issues"": [{""issue_type"": ""political_statement"", ""label"": ""OTHER/political_statement"", ""sector"": ""OTHER""}], ""label"": ""OTHER/political_statement"", ""needs_human_review"": false, ""sector"": ""OTHER""}","[""kahraba"", ""may""]",kahraba,political framing present but actionable infrastructure signal detected — label determined by complaint content
2665,cidarfix_v29_batch8_train_v14_enriched.jsonl,2665,73a1e8f7-4978-4e9a-b4ab-f7c6d99df9f9,train,real_world,REVIEW,1,POLITICAL_MIXED_INFRA,OTHER/not_municipal,OTHER,not_municipal,OTHER/not_municipal,,,,ELECTRICITY,18,ELECTRICITY/partial_phase_outage,6,False,high,False,khalle ykoun chi wa7ad m3attar fa2ir 3ley fatouret kahraba aw telefone b 20000 lira bye2ta3oulo ichtirako bas 7iten l amwel bye3fouwon mech ray7a 2ella 3al cha3b l fa2ir ma3 hal mas2oulin l re3tir tosba7o 3ala watan,"{""confidence"": ""high"", ""evidence_terms"": [""kahraba""], ""is_municipal_complaint"": false, ""issue_type"": ""not_municipal"", ""issues"": [{""issue_type"": ""not_municipal"", ""label"": ""OTHER/not_municipal"", ""sector"": ""OTHER""}], ""label"": ""OTHER/not_municipal"", ""needs_human_review"": false, ""sector"": ""OTHER""}","[""kahraba""]",kahraba,political framing present but actionable infrastructure signal detected — label determined by complaint content
8472,cidarfix_v29_batch8_train_v14_enriched.jsonl,8472,6ec5f626-777c-4bfd-ac9c-ea19fec8ddfc,train,real_world,REVIEW,1,POLITICAL_MIXED_INFRA,OTHER/not_municipal,OTHER,not_municipal,OTHER/not_municipal,,,,ELECTRICITY,18,ELECTRICITY/partial_phase_outage,6,False,high,False,ehhhhh heik ma fi chak kel l wizaret l itisalet waw wel kahraba 3am na3ti l dewal l moujewira sorna shou badik bil 7ake ahhh ya habile,"{""confidence"": ""high"", ""evidence_terms"": [""kahraba""], ""is_municipal_complaint"": false, ""issue_type"": ""not_municipal"", ""issues"": [{""issue_type"": ""not_municipal"", ""label"": ""OTHER/not_municipal"", ""sector"": ""OTHER""}], ""label"": ""OTHER/not_municipal"", ""needs_human_review"": false, ""sector"": ""OTHER""}","[""kahraba""]",kahraba,political framing present but actionable infrastructure signal detected — label determined by complaint content
10775,cidarfix_v29_batch8_train_v14_enriched.jsonl,10775,6b451918-65c7-4aa2-a771-394bc4583ee7,train,real_world,BLOCK,2,POLITICAL_MIXED_INFRA|POTENTIAL_MUNICIPAL_RESCUE,OTHER/not_municipal,OTHER,not_municipal,OTHER/not_municipal,ELECTRICITY/power_outage,ELECTRICITY,power_outage,ELECTRICITY,30,ELECTRICITY/power_outage,18,False,high,False,ba3rif eno we deserve it ba3rif eno mberi7 kenet 3am 2ul la ahle eno bede sefir w erfen 7ayete b hal balad ba3rif eno ma fi kahraba wala may wala daman wala mouwasalet wala che8el,"{""confidence"": ""high"", ""evidence_terms"": [""kahraba"", ""may""], ""is_municipal_complaint"": false, ""issue_type"": ""not_municipal"", ""issues"": [{""issue_type"": ""not_municipal"", ""label"": ""OTHER/not_municipal"", ""sector"": ""OTHER""}], ""label"": ""OTHER/not_municipal"", ""needs_human_review"": false, ""sector"": ""OTHER""}","[""kahraba"", ""may""]",kahraba; ma fi kahraba,political framing present but actionable infrastructure signal detected — label determined by complaint content
14570,cidarfix_v29_batch8_train_v14_enriched.jsonl,14570,b426f1e9-d519-4a14-9a52-b6f8a9c4712f,train,real_world_hard_negative,BLOCK,2,POLITICAL_MIXED_INFRA|POTENTIAL_MUNICIPAL_RESCUE,OTHER/not_municipal,OTHER,not_municipal,OTHER/not_municipal,ELECTRICITY/power_outage,ELECTRICITY,power_outage,ELECTRICITY,30,ELECTRICITY/power_outage,18,False,high,False,aret 7aki la anno el mafia rekbi bayn el mas2oulin wel baladiyyet w as7ab el moteret akid ma fi kahraba 24 24 bala ma ne7lam balad te3tir,"{""confidence"": ""high"", ""evidence_terms"": [""kahraba""], ""is_municipal_complaint"": false, ""issue_type"": ""not_municipal"", ""issues"": [{""issue_type"": ""not_municipal"", ""label"": ""OTHER/not_municipal"", ""sector"": ""OTHER""}], ""label"": ""OTHER/not_municipal"", ""needs_human_review"": false, ""sector"": ""OTHER""}","[""kahraba""]",kahraba; ma fi kahraba,political framing present but actionable infrastructure signal detected — label determined by complaint content
18731,cidarfix_v29_batch8_train_v14_enriched.jsonl,18731,a1d84165-5123-4754-87f1-13d3d7b8eb99,train,real_world,REVIEW,1,POLITICAL_MIXED_INFRA,OTHER/not_municipal,OTHER,not_municipal,OTHER/not_municipal,,,,ELECTRICITY,18,TELECOM/landline_dead,6,False,high,False,wlik ya chabeib ya lebnenyeh ma titkhana2o ma3 ba3d kirmeil za3im w siyeiseh hala2 bikouno aw 3al telephone aw 3abyit3acho sawa bil ac li zbeileh akalitna w motor ra7 yto2 w bala kahraba w hinneh bil cravate wake up pp,"{""confidence"": ""high"", ""evidence_terms"": [""kahraba"", ""motor""], ""is_municipal_complaint"": false, ""issue_type"": ""not_municipal"", ""issues"": [{""issue_type"": ""not_municipal"", ""label"": ""OTHER/not_municipal"", ""sector"": ""OTHER""}], ""label"": ""OTHER/not_municipal"", ""needs_human_review"": false, ""sector"": ""OTHER""}","[""kahraba"", ""motor""]",kahraba; telephone,political framing present but actionable infrastructure signal detected — label determined by complaint content
19382,cidarfix_v29_batch8_train_v14_enriched.jsonl,19382,1c1215b9-c796-47c5-a7b7-552239441dc2,train,real_world,REVIEW,2,PROFANITY_IN_COMPLAINT|POLITICAL_MIXED_INFRA,OTHER/political_statement,OTHER,political_statement,OTHER/political_statement,,,,ELECTRICITY,18,ELECTRICITY/partial_phase_outage,6,False,high,False,bass lfekra lwa7ad law adam 3ayelto kella wana 3eyich bl 5ara wbala kahraba wlak 7ata lhawa naza3ou fa chou lnafe3 wbe3tezir mennak bass eza za3im adam ebno fi 3iyal ktiirr metit wness ktir stach hadit feda lwatan w waynene hala2,"{""confidence"": ""high"", ""evidence_terms"": [""kahraba""], ""is_municipal_complaint"": false, ""issue_type"": ""political_statement"", ""issues"": [{""issue_type"": ""political_statement"", ""label"": ""OTHER/political_statement"", ""sector"": ""OTHER""}], ""label"": ""OTHER/political_statement"", ""needs_human_review"": false, ""sector"": ""OTHER""}","[""kahraba""]",kahraba,"bad/offensive language present — treat as tone/noise, not routing evidence; political framing present but actionable infrastructure signal detected — label determined by complaint content"
