candidate_id,arabic_script,english,sector,issue_type,category,variants,tier_notes,usage_notes,source_type,source_reference,dialect_region,confidence_level,false_friend_risk,risk_level,review_status,reviewer_id,decision,promotion_target,created_at,updated_at,cleanup_version,cleanup_reason,cleanup_at_utc
ARZ-CAND-0028,ريحة ماء,water smell,WATER,DIRTY_WATER,noun_quality,ri7a besh3a;ri7a bish3a;ri7a mish taybe;ri7a msh mni7a;ri7a zeft,A/A/B/B/C,ri7a besh3a = foul smell; CORRECT form,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,support_category:noun_quality,2026-05-21T14:37:40Z
ARZ-CAND-0029,لون غريب,strange colour,WATER,DIRTY_WATER,noun_quality,lawn ghareeb;may sawda;may sfara;may 7amra,A/B/B/C,lawn ghareeb = strange colour; may sawda = black water,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,support_category:noun_quality,2026-05-21T14:37:40Z
ARZ-CAND-0030,عكارة,turbidity,WATER,DIRTY_WATER,noun_quality,3okre;3akre;may 3akre;may wa5r,A/B/B/C,3okre/3akre = murky; may wa5r = dirty water,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,support_category:noun_quality,2026-05-21T14:37:40Z
ARZ-CAND-0057,تلوث,pollution,WASTE,ALL,noun_quality,talawwout;talawwot;mlayyis;wa5r,A/A/B/C,talawwout standard; mlayyis = polluted,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,HIGH,false,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,support_category:noun_quality,2026-05-21T14:37:40Z
ARZ-CAND-0091,منطقة,area,ALL,ALL,noun_location,mantiqa;hay;2azze;7ay,A/B/B/B,mantiqa generic; 2azze = neighbourhood,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,non_domain_sector:ALL,2026-05-21T14:37:40Z
ARZ-CAND-0092,شارع,street,ALL,ALL,noun_location,share3;tari2;darb;sekke;3al share3,A/B/C/D/A,share3 = street; tari2 = road,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,true,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,non_domain_sector:ALL,2026-05-21T14:37:40Z
ARZ-CAND-0093,مبنى,building,ALL,ALL,noun_location,binaye;mabna;3imara;apartment;flat,A/B/C/D/D,binaye standard,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,HIGH,false,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,non_domain_sector:ALL,2026-05-21T14:37:40Z
ARZ-CAND-0094,بلدية,municipality,ALL,ALL,noun_entity,baladiye;municipality;mou7afaza,A/A/B,baladiye = municipality,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,non_domain_sector:ALL,2026-05-21T14:37:40Z
ARZ-CAND-0096,جانب,beside/side,ALL,ALL,noun_location,janb;janbiyye;3al ymin;3al shmal;had,A/B/B/B/C,,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,non_domain_sector:ALL,2026-05-21T14:37:40Z
ARZ-CAND-0097,أمام,in front of,ALL,ALL,noun_location,2oddm;2odam;3al mfara2,A/A/B,2oddm standard,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,HIGH,false,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,non_domain_sector:ALL,2026-05-21T14:37:40Z
ARZ-CAND-0098,خلف,behind,ALL,ALL,noun_location,5alf;wara;5alf l binaye,A/B/B,,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,non_domain_sector:ALL,2026-05-21T14:37:40Z
ARZ-CAND-0099,من,since (duration),ALL,ALL,connector_time,men;mn;men 2sbou3;men yom;men emes;men sa3a,A/A/A/B/A/B,men = from/since,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,non_domain_sector:ALL,2026-05-21T14:37:40Z
ARZ-CAND-0100,لسا,still/yet,ALL,ALL,connector_time,lissa;lsa;la2et;lissa ma rja3,A/A/B/B,lissa = still (ongoing); lissa ma rja3 = still not returned,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,non_domain_sector:ALL,2026-05-21T14:37:40Z
ARZ-CAND-0101,من امبارح,since yesterday,ALL,ALL,connector_time,men emes;men imbarir7;men embers,A/B/C,,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,non_domain_sector:ALL,2026-05-21T14:37:40Z
ARZ-CAND-0102,اليوم,today,ALL,ALL,connector_time,lyom;al youm;lyawm;2alyom,A/A/B/B,,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,non_domain_sector:ALL,2026-05-21T14:37:40Z
ARZ-CAND-0103,من أسبوع,since a week,ALL,ALL,connector_time,men 2sbou3;men 2esbou3;men sebu3,A/A/B,,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,non_domain_sector:ALL,2026-05-21T14:37:40Z
ARZ-CAND-0104,مدة,duration,ALL,ALL,connector_time,modde;moddet;mudda;men fatra;men fatrit,A/A/B/C/C,modde = period/duration,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,non_domain_sector:ALL,2026-05-21T14:37:40Z
ARZ-CAND-0105,دائم,always/permanent,ALL,ALL,adj_quality,dayem;dayeman;kell yom;3ala toul,A/A/B/B,dayem = constant; kell yom = every day,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,non_domain_sector:ALL,2026-05-21T14:37:40Z
ARZ-CAND-0106,الليل,at night,ALL,ALL,connector_time,bil lel;bil layl;bil lel ma fi;nhar w lel,A/A/B/B,,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,non_domain_sector:ALL,2026-05-21T14:37:40Z
ARZ-CAND-0107,طارئ,emergency,ALL,ALL,adj_risk,tari2 3ajel;3ajele;istiijal;3ajel,A/B/B/C,3ajel = urgent,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,non_domain_sector:ALL,2026-05-21T14:37:40Z
ARZ-CAND-0108,كبير,big/large,ALL,ALL,adj_severity,kbir;kbire;kbiri;3azim;3azhim,A/A/B/C/C,kbir standard,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,HIGH,false,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,non_domain_sector:ALL,2026-05-21T14:37:40Z
ARZ-CAND-0109,صغير,small,ALL,ALL,adj_severity,zghir;zghire;s3ir;bsit;baset,A/A/B/C/C,zghir most common,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,HIGH,false,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,non_domain_sector:ALL,2026-05-21T14:37:40Z
ARZ-CAND-0110,كتير,very/a lot,ALL,ALL,adv_severity,ktir;ketir;kter;ktire,A/B/B/B,ktir standard Beirut,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,HIGH,false,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,non_domain_sector:ALL,2026-05-21T14:37:40Z
ARZ-CAND-0111,شديد,severe,ALL,ALL,adj_severity,shdid;shadid;3inja;2awi,A/A/B/B,,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,non_domain_sector:ALL,2026-05-21T14:37:40Z
ARZ-CAND-0112,خطير,dangerous,ALL,ALL,adj_risk,5atir;khater;5ater;5tire;mkhater,A/A/B/B/C,,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,non_domain_sector:ALL,2026-05-21T14:37:40Z
ARZ-CAND-0113,مزعج,annoying,ALL,ALL,adj_quality,mez3ij;mez3eje;2az3aj;zha3a2,A/A/B/C,,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,non_domain_sector:ALL,2026-05-21T14:37:40Z
ARZ-CAND-0114,أضرار,damages,ALL,ALL,noun_event,drar;adrar;5saret;5sara,A/A/B/B,drar standard,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,HIGH,false,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,non_domain_sector:ALL,2026-05-21T14:37:40Z
ARZ-CAND-0115,بلا حل,no solution,ALL,ALL,adj_quality,bla 7al;ma fi 7al;7al msh mawjoud,A/B/C,,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,non_domain_sector:ALL,2026-05-21T14:37:40Z
ARZ-CAND-0116,في مشكلة,there is a problem,ALL,ALL,complaint_starter,fi mshkle;fi mushkle;3endi mshkle;3am yser mshkle,A/A/B/B,,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,non_domain_sector:ALL,2026-05-21T14:37:40Z
ARZ-CAND-0117,بدي أبلغ,I want to report,ALL,ALL,complaint_starter,bade abelligh;badi 2ableg;bde 2ablo;bde ablagh,A/B/B/C,,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,non_domain_sector:ALL,2026-05-21T14:37:40Z
ARZ-CAND-0118,من فترة,for a while,ALL,ALL,complaint_starter,men fatra;men ftre;men fatra tawile,A/A/B,,PASTED_NATIVE_SEED,raw_pasted_expanded_rows.md,Beirut/Levant,MEDIUM,false,LOW,PENDING,UNASSIGNED,UNREVIEWED,,2026-05-18T13:11:00Z,2026-05-18T13:11:00Z,v13.1-candidate-bank-domain-cleanup,non_domain_sector:ALL,2026-05-21T14:37:40Z
