﻿variant_id,candidate_id,variant,normalized_variant,arabic_normalization,sector,issue_type,category,tier,trust_status,review_priority,reason,review_status,reviewer_id,decision,second_reviewer_required,production_use_now
BFL-CAND-0098-V01,BFL-CAND-0098,kahraba,kahraba,كهرباء,ELECTRICITY,ALL_SUPPORT,noun_infra,A,SECOND_REVIEW_REQUIRED_HIGH_RISK,P1_HITL_SAFETY_GRID_FLOOD,"High-risk sector/issue; keep HITL-only until second review. Ambiguity, if any, must be resolved inside second review.",PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,TRUE,FALSE
BFL-CAND-0098-V02,BFL-CAND-0098,kahrabe,kahrabe,كهرباء,ELECTRICITY,ALL_SUPPORT,noun_infra,A,SECOND_REVIEW_REQUIRED_HIGH_RISK,P1_HITL_SAFETY_GRID_FLOOD,"High-risk sector/issue; keep HITL-only until second review. Ambiguity, if any, must be resolved inside second review.",PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,TRUE,FALSE
BFL-CAND-0098-V03,BFL-CAND-0098,kehraba,kehraba,كهرباء,ELECTRICITY,ALL_SUPPORT,noun_infra,B,SECOND_REVIEW_REQUIRED_HIGH_RISK,P1_HITL_SAFETY_GRID_FLOOD,"High-risk sector/issue; keep HITL-only until second review. Ambiguity, if any, must be resolved inside second review.",PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,TRUE,FALSE
BFL-CAND-0098-V04,BFL-CAND-0098,kahraba2,kahraba2,كهرباء,ELECTRICITY,ALL_SUPPORT,noun_infra,C,SECOND_REVIEW_REQUIRED_HIGH_RISK,P1_HITL_SAFETY_GRID_FLOOD,"High-risk sector/issue; keep HITL-only until second review. Ambiguity, if any, must be resolved inside second review.",PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,TRUE,FALSE
BFL-CAND-0098-V05,BFL-CAND-0098,khrba,khrba,كهرباء,ELECTRICITY,ALL_SUPPORT,noun_infra,C,SECOND_REVIEW_REQUIRED_HIGH_RISK,P1_HITL_SAFETY_GRID_FLOOD,"High-risk sector/issue; keep HITL-only until second review. Ambiguity, if any, must be resolved inside second review.",PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,TRUE,FALSE
BFL-CAND-0098-V06,BFL-CAND-0098,l kahraba,l kahraba,كهرباء,ELECTRICITY,ALL_SUPPORT,noun_infra,A,SECOND_REVIEW_REQUIRED_HIGH_RISK,P1_HITL_SAFETY_GRID_FLOOD,"High-risk sector/issue; keep HITL-only until second review. Ambiguity, if any, must be resolved inside second review.",PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,TRUE,FALSE
BFL-CAND-0099-V01,BFL-CAND-0099,silk kahraba,silk kahraba,سلك / حبل كهربائي,ELECTRICITY,EXPOSED_WIRE,noun_infra,A,SECOND_REVIEW_REQUIRED_HIGH_RISK,P1_HITL_SAFETY_GRID_FLOOD,"High-risk sector/issue; keep HITL-only until second review. Ambiguity, if any, must be resolved inside second review.",PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,TRUE,FALSE
BFL-CAND-0099-V02,BFL-CAND-0099,7abal kahraba,7abal kahraba,سلك / حبل كهربائي,ELECTRICITY,EXPOSED_WIRE,noun_infra,A,SECOND_REVIEW_REQUIRED_HIGH_RISK,P1_HITL_SAFETY_GRID_FLOOD,"High-risk sector/issue; keep HITL-only until second review. Ambiguity, if any, must be resolved inside second review.",PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,TRUE,FALSE
BFL-CAND-0099-V03,BFL-CAND-0099,silk,silk,سلك / حبل كهربائي,ELECTRICITY,EXPOSED_WIRE,noun_infra,A,SECOND_REVIEW_REQUIRED_HIGH_RISK,P1_HITL_SAFETY_GRID_FLOOD,"High-risk sector/issue; keep HITL-only until second review. Ambiguity, if any, must be resolved inside second review.",PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,TRUE,FALSE
BFL-CAND-0099-V04,BFL-CAND-0099,7abal,7abal,سلك / حبل كهربائي,ELECTRICITY,EXPOSED_WIRE,noun_infra,A,SECOND_REVIEW_REQUIRED_HIGH_RISK,P1_HITL_SAFETY_GRID_FLOOD,"High-risk sector/issue; keep HITL-only until second review. Ambiguity, if any, must be resolved inside second review.",PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,TRUE,FALSE
BFL-CAND-0099-V05,BFL-CAND-0099,selk,selk,سلك / حبل كهربائي,ELECTRICITY,EXPOSED_WIRE,noun_infra,B,SECOND_REVIEW_REQUIRED_HIGH_RISK,P1_HITL_SAFETY_GRID_FLOOD,"High-risk sector/issue; keep HITL-only until second review. Ambiguity, if any, must be resolved inside second review.",PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,TRUE,FALSE
BFL-CAND-0099-V06,BFL-CAND-0099,7bal,7bal,سلك / حبل كهربائي,ELECTRICITY,EXPOSED_WIRE,noun_infra,B,SECOND_REVIEW_REQUIRED_HIGH_RISK,P1_HITL_SAFETY_GRID_FLOOD,"High-risk sector/issue; keep HITL-only until second review. Ambiguity, if any, must be resolved inside second review.",PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,TRUE,FALSE
BFL-CAND-0100-V01,BFL-CAND-0100,muhawwel,muhawwel,محول,ELECTRICITY,TRANSFORMER_FAULT,noun_infra,A,SECOND_REVIEW_REQUIRED_HIGH_RISK,P1_HITL_SAFETY_GRID_FLOOD,"High-risk sector/issue; keep HITL-only until second review. Ambiguity, if any, must be resolved inside second review.",PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,TRUE,FALSE
BFL-CAND-0100-V02,BFL-CAND-0100,m7awwel,m7awwel,محول,ELECTRICITY,TRANSFORMER_FAULT,noun_infra,A,SECOND_REVIEW_REQUIRED_HIGH_RISK,P1_HITL_SAFETY_GRID_FLOOD,"High-risk sector/issue; keep HITL-only until second review. Ambiguity, if any, must be resolved inside second review.",PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,TRUE,FALSE
BFL-CAND-0100-V03,BFL-CAND-0100,mohawwel,mohawwel,محول,ELECTRICITY,TRANSFORMER_FAULT,noun_infra,B,SECOND_REVIEW_REQUIRED_HIGH_RISK,P1_HITL_SAFETY_GRID_FLOOD,"High-risk sector/issue; keep HITL-only until second review. Ambiguity, if any, must be resolved inside second review.",PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,TRUE,FALSE
BFL-CAND-0100-V04,BFL-CAND-0100,mu7awwel,mu7awwel,محول,ELECTRICITY,TRANSFORMER_FAULT,noun_infra,B,SECOND_REVIEW_REQUIRED_HIGH_RISK,P1_HITL_SAFETY_GRID_FLOOD,"High-risk sector/issue; keep HITL-only until second review. Ambiguity, if any, must be resolved inside second review.",PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,TRUE,FALSE
BFL-CAND-0100-V05,BFL-CAND-0100,l muhawwel,l muhawwel,محول,ELECTRICITY,TRANSFORMER_FAULT,noun_infra,A,SECOND_REVIEW_REQUIRED_HIGH_RISK,P1_HITL_SAFETY_GRID_FLOOD,"High-risk sector/issue; keep HITL-only until second review. Ambiguity, if any, must be resolved inside second review.",PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,TRUE,FALSE
BFL-CAND-0100-V06,BFL-CAND-0100,sandou2 kahraba,sandou2 kahraba,محول,ELECTRICITY,TRANSFORMER_FAULT,noun_infra,B,SECOND_REVIEW_REQUIRED_HIGH_RISK,P1_HITL_SAFETY_GRID_FLOOD,"High-risk sector/issue; keep HITL-only until second review. Ambiguity, if any, must be resolved inside second review.",PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,TRUE,FALSE
BFL-CAND-0101-V01,BFL-CAND-0101,moualid,moualid,مولد كهربائي,ELECTRICITY,ALL_SUPPORT,noun_infra,A,SECOND_REVIEW_REQUIRED_HIGH_RISK,P1_HITL_SAFETY_GRID_FLOOD,"High-risk sector/issue; keep HITL-only until second review. Ambiguity, if any, must be resolved inside second review.",PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,TRUE,FALSE
BFL-CAND-0101-V02,BFL-CAND-0101,moulid,moulid,مولد كهربائي,ELECTRICITY,ALL_SUPPORT,noun_infra,B,SECOND_REVIEW_REQUIRED_HIGH_RISK,P1_HITL_SAFETY_GRID_FLOOD,"High-risk sector/issue; keep HITL-only until second review. Ambiguity, if any, must be resolved inside second review.",PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,TRUE,FALSE
BFL-CAND-0101-V04,BFL-CAND-0101,l moualid,l moualid,مولد كهربائي,ELECTRICITY,ALL_SUPPORT,noun_infra,A,SECOND_REVIEW_REQUIRED_HIGH_RISK,P1_HITL_SAFETY_GRID_FLOOD,"High-risk sector/issue; keep HITL-only until second review. Ambiguity, if any, must be resolved inside second review.",PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,TRUE,FALSE
BFL-CAND-0101-V05,BFL-CAND-0101,generator,generator,مولد كهربائي,ELECTRICITY,ALL_SUPPORT,noun_infra,B,SECOND_REVIEW_REQUIRED_HIGH_RISK,P1_HITL_SAFETY_GRID_FLOOD,"High-risk sector/issue; keep HITL-only until second review. Ambiguity, if any, must be resolved inside second review.",PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,TRUE,FALSE
BFL-CAND-0101-V06,BFL-CAND-0101,generateur,generateur,مولد كهربائي,ELECTRICITY,ALL_SUPPORT,noun_infra,B,SECOND_REVIEW_REQUIRED_HIGH_RISK,P1_HITL_SAFETY_GRID_FLOOD,"High-risk sector/issue; keep HITL-only until second review. Ambiguity, if any, must be resolved inside second review.",PENDING_NATIVE_REVIEW,UNASSIGNED,NEEDS_REVIEW,TRUE,FALSE
