sla_id,entity_id,complaint_type,official_sla,contact_response_time,restoration_time_policy,emergency_policy,source_ids,confidence,notes
SLA-BMLWE-FAULTS,BMLWE,faults_or_leaks,not_published,not_published,do_not_promise_restoration_time,call_emergency_services_first_if_life_safety,SRC-BMLWE-FAQ;SRC-BMLWE-CONTACT,high,Official FAQ confirms reporting channels but does not publish repair or restoration SLA.
SLA-BMLWE-FORMS,BMLWE,service_request_forms,not_published,not_published,not_applicable,not_for_emergencies,SRC-BMLWE-FORMS;SRC-BMLWE-FAQ,medium_high,Forms and document requirements are public but processing times are not published in fetched pages.
SLA-NLWE-CONTACT,NLWE,general_message,not_published,within_24h_for_contact_messages,not_applicable,not_for_emergencies,SRC-NLWE-CONTACT,high,Official contact page says messages are answered within 24 hours. Treat as contact response only.
SLA-NLWE-COMPLAINT,NLWE,private_or_general_complaint,not_published,not_published,do_not_promise_restoration_time,call_emergency_services_first_if_life_safety,SRC-NLWE-CUSTOMER-SERVICE,high,Official customer-service page confirms complaint intake fields and 1712 but no repair SLA.
SLA-SLWE-FAULT,SLWE,faults_or_problems,not_published,not_published,do_not_promise_restoration_time,call_emergency_services_first_if_life_safety,SRC-SLWE-CUSTOMER-SERVICE;SRC-SLWE-CONTACT,high,Official customer-service page says to report immediately to 1785 but gives no resolution SLA.
SLA-BWE-INVOICE,BWE,invoice_inquiry,not_published,not_published,not_applicable,not_for_emergencies,SRC-BWE-CUSTOMER-SERVICE,high,Official customer-service page gives 1781 for invoice inquiries but no response time.
SLA-BWE-REPAIR,BWE,repair_maintenance_water_testing,not_published,not_published,do_not_promise_restoration_time,call_emergency_services_first_if_life_safety,SRC-BWE-CUSTOMER-SERVICE;SRC-BWE-WATER-QUALITY,high,Official pages identify offices and water-quality operations but no repair or testing turnaround SLA.
SLA-BWE-SUDDEN-CUTOFF,BWE,sudden_cutoff,not_published,not_published,no_prior_notice_for_sudden_failure_pollution_or_emergency_repair,call_emergency_services_first_if_life_safety,SRC-BWE-FAQ,high,Official FAQ lists no-prior-notice cases but not restoration deadlines.
SLA-BWE-PLANNED-CUTOFF,BWE,planned_cutoff,not_published,prior_notice_category_only,no_generic_restoration_time,call_emergency_services_first_if_life_safety,SRC-BWE-FAQ,high,Official FAQ lists prior-notice cases such as works cleaning maintenance rationing and connection repair.
SLA-MEW-ESCALATION,MEW,water_policy_or_escalation,not_published,not_published,not_field_dispatch,emergency_services_first_then_WE_followup,SRC-MEW-DGI;SRC-MOEW-DGO,medium,MEW is sector oversight and policy context rather than first-line restoration channel.
SLA-MEW-CLAIMS,MEW,ministry_claim_or_oversight_complaint,not_published,not_published,not_field_dispatch,emergency_services_first_then_WE_followup,SRC-MEW-CLAIMS;SRC-MEW-CONTACT,medium_high,Official MEW forms expose claims and contact fields but no response or resolution SLA.
SLA-SLWE-EPAYMENT,SLWE,bill_payment_or_visit_registration,not_published,not_published,not_applicable,not_for_emergencies,SRC-SLWE-EPAYMENT;SRC-SLWE-VISIT-REGISTER,high,Official SLWE pages expose e-payment and visit-registration fields but no response-time SLA.
SLA-LRA-CONTACT,LRA,irrigation_or_basin_boundary_contact,not_published,not_published,not_field_dispatch_for_household_water,emergency_services_first_then_LRA_or_WE_followup,SRC-LRA-CONTACT,high,Official LRA contact form and offices are published but no complaint response SLA is published.
