source_id,source_name,url,region,license,access_requirement,allowed_uses,blocked_uses,raw_import_allowed,local_status,local_path,citation_required,notes,verified_by,verified_at
RBZ_LEB_AI_2016,Project RBZ Arabizi Identification in Twitter Data - Lebanon subset,https://tahatobaili.github.io/project-rbz/,Lebanon,Non-commercial research use only; citation required per included Disclaimer.txt,Public ZIP download,oov_mining|language_id_eval|noncommercial_research|citation_required,commercial_use|auto_promotion|raw_publication_without_review|production_routing_without_native_review,LIMITED_NONCOMMERCIAL,DOWNLOADED_AND_EXTRACTED,data/external_sources/project_rbz/arabizi_identification,Tobaili 2016 Arabizi identification in Twitter data,Only Arabizi-positive Lebanon rows mined; raw text not copied into trusted vocab.,Codex,2026-05-21T17:20:16Z
RBZ_SENZI_AI_2019,Project RBZ SenZi Arabizi/Not-Arabizi dataset,https://tahatobaili.github.io/project-rbz/,Lebanon / Lebanese Arabizi project,Non-commercial research use only; citation required per included Disclaimer.txt,Public ZIP download,oov_mining|language_id_eval|noncommercial_research|citation_required,commercial_use|auto_promotion|raw_publication_without_review|production_routing_without_native_review,LIMITED_NONCOMMERCIAL,PARTIAL_ARCHIVE_EXTRACTED_CORE_FILES,data/external_sources/project_rbz/extracted_partial_senzi/SenZi/Datasets/AI_dataset_4.4K-tweets_balanced.csv,Tobaili et al. 2019 SenZi,"Archive central directory is corrupt from interrupted download, but core CSV and disclaimer extracted.",Codex,2026-05-21T17:20:16Z
RBZ_SENZI_SA_2019,Project RBZ SenZi sentiment dataset,https://tahatobaili.github.io/project-rbz/,Lebanon / Lebanese Arabizi project,Non-commercial research use only; citation required per included Disclaimer.txt,Public ZIP download,oov_mining|sentiment_support_eval|noncommercial_research|citation_required,commercial_use|auto_promotion|raw_publication_without_review|production_routing_without_native_review,LIMITED_NONCOMMERCIAL,PARTIAL_ARCHIVE_EXTRACTED_CORE_FILES,data/external_sources/project_rbz/extracted_partial_senzi/SenZi/Datasets/SA_dataset_1.6K-tweets_balanced.csv,Tobaili et al. 2019 SenZi,Mined for OOV support terms only; no raw text moved into trusted vocab.,Codex,2026-05-21T17:20:16Z
KAGGLE_RAIDY_CC0_2020,Maria J. M. Raidy Lebanese Arabizi sentiment tweets,https://www.kaggle.com/datasets/mariajmraidy/datasets-for-sentiment-analysis-of-arabizi/data,Lebanon,CC0 Public Domain according to Kaggle dataset metadata,Public Kaggle API download,oov_mining|evaluation_candidate_generation|noncommercial_or_commercial_if_cc0|citation_recommended,auto_promotion|production_routing_without_native_review|raw_sensitive_text_in_demo,YES_CC0_WITH_SENSITIVITY_REVIEW,DOWNLOADED_AND_EXTRACTED,data/external_sources/kaggle_raidy_arabizi/extracted/unbalanced-sentiment-arabizi-ds.csv,Dataset citation recommended; raw text is CC0 but sensitive social content should be filtered.,Explicit Lebanese Arabizi tweets with geotagging in Lebanon per Kaggle card.,Codex,2026-05-21T17:20:16Z
RBZ_SENZI_LEXICON_2019,Project RBZ SenZi original and expanded Arabizi sentiment lexicons,https://tahatobaili.github.io/project-rbz/,Lebanon / Lebanese Arabizi project,Non-commercial research use only; citation required per included Disclaimer.txt,Manual public ZIP download,oov_mining|sentiment_support_eval|surface_form_review|noncommercial_research|citation_required,commercial_use|auto_promotion|raw_publication_without_review|direct_routing,LIMITED_NONCOMMERCIAL,MANUAL_DROP_AVAILABLE,data/external_sources/manual_drop/senzi.zip,Tobaili et al. 2019 SenZi,Lexicon tokens mined as review-only surface forms; not used as issue labels.,Codex,2026-05-21T17:20:16Z
RBZ_SENZI_LARGE_2020,Project RBZ SenZi-Large lexical induction resources,https://tahatobaili.github.io/project-rbz/,Lebanon / Lebanese Arabizi project,Non-commercial research use only; citation required per included Disclaimer.txt,Manual public ZIP download,oov_mining|surface_form_review|stress_test_generation|noncommercial_research|citation_required,commercial_use|auto_promotion|raw_publication_without_review|direct_routing,LIMITED_NONCOMMERCIAL,MANUAL_DROP_AVAILABLE,data/external_sources/manual_drop/senzi-large.zip,Tobaili et al. 2019 SenZi; Tobaili 2020 lexical induction,Induced forms are noisy and must stay review-only.,Codex,2026-05-21T17:20:16Z
RBZ_THESIS_TRANSLITERATION_2020,Project RBZ thesis translation matrices and negation/stopword support lists,https://tahatobaili.github.io/project-rbz/,Lebanon / Lebanese Arabizi project,Non-commercial research use only; citation required per included Disclaimer.txt,Manual public ZIP download,transliteration_review|negation_support_review|oov_mining|noncommercial_research|citation_required,commercial_use|auto_promotion|raw_publication_without_review|direct_routing,LIMITED_NONCOMMERCIAL,MANUAL_DROP_AVAILABLE,data/external_sources/manual_drop/thesis.zip,Tobaili 2020 PhD thesis,"Translation matrix terms are useful for normalization review, not direct routing.",Codex,2026-05-21T17:20:16Z
ALADDINBENCH_GATED,AladdinBench Arabizi messages,https://huggingface.co/datasets/palmaoui/AladdinBench,Lebanon/Egypt/Algeria,Gated; terms must be accepted before use,Hugging Face gated access request,future_eval_reference_after_access,import_before_access|auto_promotion,NO_ACCESS_YET,NOT_DOWNLOADED_GATED,,Follow dataset card after access.,High-value future Lebanese subset if accessible.,Codex,2026-05-21T17:20:16Z
QADI_LB_TWEET_IDS,QADI Lebanon tweet ID subset,https://github.com/qcri/QADI,Lebanon,Tweet IDs only; Twitter/X terms and hydration constraints apply,Hydration required; raw text not distributed,future_dialect_id_eval_if_hydrated_legally,raw_import_without_hydration_compliance|auto_promotion,NO_RAW_TEXT,NOT_DOWNLOADED,,QADI paper/repo citation required if used.,Lebanon-labeled but not Arabizi-specific.,Codex,2026-05-21T17:20:16Z
SHAMI_LEBANESE_APACHE_2018,Shami Dialect Corpus Lebanese subset,https://github.com/GU-CLASP/shami-corpus,Lebanon / Levant,Apache-2.0,Public GitHub repository,arabic_script_lebanese_eval|dialect_grounding|non_routing_reference,arabizi_claims|auto_promotion|auto_promotion_to_arabizi_vocab,YES_APACHE2_WITH_CITATION,NOT_DOWNLOADED,,Qwaider et al. 2018 Shami corpus,"Arabic-script Lebanese subset; useful for Lebanese dialect grounding, not Arabizi surface expansion.",Codex,2026-05-21T17:20:16Z
