requirement_id,entity_id,workflow_type,required_field_or_document,required_for,source_ids,confidence,notes
TEL-REQ-OGERO-LINE,OGERO,fixed_fault_report,line_or_account_number,fixed_internet_landline_or_line_fault,SRC-OGERO-CONTACT;SRC-OGERO-FAQ,medium_high,Line or account details are operationally needed for fixed-service troubleshooting even when public form field list is not fully captured.
TEL-REQ-OGERO-LOCATION,OGERO,infrastructure_damage_report,exact_location_or_landmark,public_cable_cabinet_or_pole_damage,SRC-OGERO-MISSION;SRC-OGERO-CONTACT,medium_high,Exact location is required for field repair dispatch.
TEL-REQ-OGERO-CONTACT,OGERO,fixed_fault_report,callback_phone_or_email,customer_followup,SRC-OGERO-CONTACT,high,Ogero contact channels need a way to follow up.
TEL-REQ-OGERO-DESCRIPTION,OGERO,fixed_fault_report,fault_description_and_start_time,fixed_internet_landline_or_cable_fault,SRC-OGERO-FAQ,medium,Fault details help separate line outage slow internet cabinet cable and CPE issues.
TEL-REQ-TRA-PROVIDER,TRA,consumer_escalation,provider_name,mobile_or_fixed_regulatory_complaint,SRC-TRA-COMPLAINT;SRC-TRA-CONSUMER-COMPLAINTS,high,TRA escalation depends on provider identity.
TEL-REQ-TRA-PRIOR-ATTEMPT,TRA,consumer_escalation,prior_provider_attempt_or_deadline_failure,provider_nonresponse_unsatisfactory_resolution_or_20_day_escalation,SRC-TRA-COMPLAINT;SRC-TRA-CONSUMER-COMPLAINTS,high,TRA complaint flow is provider-first and supports escalation when the provider path fails or reaches the captured timing threshold.
TEL-REQ-TRA-EVIDENCE,TRA,consumer_escalation,bill_or_service_evidence,billing_quality_of_service_or_disconnection_dispute,SRC-TRA-COMPLAINT;SRC-TRA-CONSUMER-COMPLAINTS;SRC-TRA-MANDATE,medium_high,Attach billing or service evidence when available.
TEL-REQ-HITL-CPE,HITL,boundary_review,confirm_private_device_router_vs_public_line,private_router_wifi_or_device_issue,SRC-OGERO-MISSION,medium,Reviewer should ask if other devices/neighbor lines are affected and whether Ogero line is down.
TEL-REQ-MOBILE-OPERATOR,MOBILE_OPERATOR,mobile_operator_support,operator_name,mobile_network_service_or_billing_complaint,SRC-ALFA-SUPPORT-FAQ;SRC-TOUCH-CONTACT-FORM;SRC-TRA-CONSUMER-COMPLAINTS,high,Alfa versus Touch must be identified before operator-first routing.
TEL-REQ-MOBILE-LOCATION,MOBILE_OPERATOR,mobile_network_issue,affected_location_or_area,mobile_signal_coverage_or_data_quality_issue,SRC-ALFA-SUPPORT-FAQ;SRC-TOUCH-CONTACT-FORM,medium_high,Network and coverage complaints need affected area or landmark for operator triage.
TEL-REQ-MOBILE-CONTEXT,MOBILE_OPERATOR,mobile_support,subscriber_or_account_context_if_available_and_issue_summary,operator_followup_and_possible_TRA_escalation,SRC-ALFA-SUPPORT-FAQ;SRC-TOUCH-CONTACT-FORM;SRC-TRA-CONSUMER-COMPLAINTS,medium,Do not collect private subscriber identifiers in research examples. Ask the user directly only inside the live complaint flow if needed.
