review_item_id,v10_term_id,arabic_script,english_gloss,category,subcategory,canonical_arabizi,operational_variants_pipe,matched_bank_candidate_ids,bank_match_type,required_reviewer_count,review_status,allowed_before_approval,post_approval_default_use,required_gates,notes
HITL-V10-1-0001,ARZ-V10-01062,بطارية,battery,infra_electricity,backup_power,battery,battery|batariye,ARZ-CAND-0046,bank_arabic_script_match,2,PENDING_SECOND_REVIEW,none,HITL/context signal only; not direct routing or severity,native_review|second_reviewer|validator_pass|taxonomy_alignment|hitl_gate,High-risk trust class must not be absorbed automatically.
HITL-V10-1-0002,ARZ-V10-01063,انفرتر,inverter,infra_electricity,backup_power,inverter,inverter|invertor,ARZ-CAND-0670,bank_arabic_script_match,2,PENDING_SECOND_REVIEW,none,HITL/context signal only; not direct routing or severity,native_review|second_reviewer|validator_pass|taxonomy_alignment|hitl_gate,High-risk trust class must not be absorbed automatically.
HITL-V10-1-0003,ARZ-V10-01064,يو بي اس,UPS,infra_electricity,backup_power,ups,ups|you bi es|yo bi es,ARZ-CAND-0671,bank_arabic_script_match,2,PENDING_SECOND_REVIEW,none,HITL/context signal only; not direct routing or severity,native_review|second_reviewer|validator_pass|taxonomy_alignment|hitl_gate,High-risk trust class must not be absorbed automatically.
HITL-V10-1-0004,ARZ-V10-01065,يوبياس,UPS,infra_electricity,backup_power,ups,ups,ARZ-CAND-0766,bank_arabic_script_match,2,PENDING_SECOND_REVIEW,none,HITL/context signal only; not direct routing or severity,native_review|second_reviewer|validator_pass|taxonomy_alignment|hitl_gate,High-risk trust class must not be absorbed automatically.
HITL-V10-1-0005,ARZ-V10-01066,قاطع,breaker/switch,infra_electricity,breaker,2ate3,2ate3|qate3,ARZ-CAND-0672,bank_arabic_script_match,2,PENDING_SECOND_REVIEW,none,HITL/context signal only; not direct routing or severity,native_review|second_reviewer|validator_pass|taxonomy_alignment|hitl_gate,High-risk trust class must not be absorbed automatically.
HITL-V10-1-0006,ARZ-V10-01067,ديجونكتور,circuit breaker,infra_electricity,breaker,disjoncteur,disjoncteur|disjonkter,ARZ-CAND-0673,bank_arabic_script_match,2,PENDING_SECOND_REVIEW,none,HITL/context signal only; not direct routing or severity,native_review|second_reviewer|validator_pass|taxonomy_alignment|hitl_gate,High-risk trust class must not be absorbed automatically.
HITL-V10-1-0007,ARZ-V10-01068,فيوز,fuse,infra_electricity,breaker,fuse,fuse|fyuz,ARZ-CAND-0042,bank_arabic_script_match,2,PENDING_SECOND_REVIEW,none,HITL/context signal only; not direct routing or severity,native_review|second_reviewer|validator_pass|taxonomy_alignment|hitl_gate,High-risk trust class must not be absorbed automatically.
HITL-V10-1-0008,ARZ-V10-01069,أمبير,ampere,infra_electricity,electric_unit,amper,amper|ampere,ARZ-CAND-0175,bank_arabic_script_match,2,PENDING_SECOND_REVIEW,none,HITL/context signal only; not direct routing or severity,native_review|second_reviewer|validator_pass|taxonomy_alignment|hitl_gate,High-risk trust class must not be absorbed automatically.
HITL-V10-1-0009,ARZ-V10-01070,طاقة,energy,infra_electricity,energy,ta2a,ta2a|taqa,ARZ-CAND-0674,bank_arabic_script_match,2,PENDING_SECOND_REVIEW,none,HITL/context signal only; not direct routing or severity,native_review|second_reviewer|validator_pass|taxonomy_alignment|hitl_gate,High-risk trust class must not be absorbed automatically.
HITL-V10-1-0010,ARZ-V10-01071,مازوت,diesel,infra_electricity,fuel,mazout,mazout|mazot,ARZ-CAND-0675,bank_arabic_script_match,2,PENDING_SECOND_REVIEW,none,HITL/context signal only; not direct routing or severity,native_review|second_reviewer|validator_pass|taxonomy_alignment|hitl_gate,High-risk trust class must not be absorbed automatically.
