scenario_id,sector,issue_type,scenario_name,asset_types,failure_modes,causes,states,impacts,location_patterns,time_expressions,urgency_expressions,agency_candidates,responsible_party_hints,hitl_triggers,hard_negative_near_misses,required_evidence,forbidden_combinations,dialect_notes,example_complaints,coverage_status
CFS-0001,ELECTRICITY,power_outage,neighborhood blackout,kahraba; daw; grid,2at3a; ma fi kahraba; l daw ra7,unknown; citizen-observed failure,l 7ay kello bala daw; ma 3am terja3,elevator stuck; fridges ruined; people in dark,bel 7ay; bi l bineye; 7ad l madrase,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,EDL; UNKNOWN,EDL grid; private moteur unclear,EDL vs private generator ambiguity,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,ma fi kahraba bel 7ay men embare7; l daw 2ate3 3anna w ma 7ada radd; kel l bineye bala kahraba men tlet iyem,strong
CFS-0002,ELECTRICITY,power_outage,building-only outage,bineye; tableau; fuse; cable,2ate3 bas bel bineye; fuse darb; tableau 7ere2,unknown; citizen-observed failure,part of building dark; neighbors have power,residents stuck; elevator stopped,bi bineyetna; 3al madkhal; bel parking,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,EDL; MUN; UNKNOWN,building wiring; EDL feeder,private building panel vs public supply,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,l bineye 3anna bala kahraba bas l share3 fi daw; tableau l bineye shaklo darb; l ascenseur wa2ef la2an ma fi kahraba,seed
CFS-0003,ELECTRICITY,voltage_fluctuation,unstable voltage damaging appliances,kahraba; voltage; daw,tazabzob; 3am t2atte3; daw byerja3 w byerou7,unknown; citizen-observed failure,daw 3am y2alleb; voltage tali3 nezil,appliances burning; unsafe for residents,bel 7ay; 3al khat; bi l bineye,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,EDL; UNKNOWN,EDL feeder; local distributor,private generator voltage vs EDL voltage,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,l kahraba 3am t2atte3 w l barad 7ere2; fi tazabzob bel daw kel leil; l voltage 3am yotla3 w yenzal 3anna,seed
CFS-0004,ELECTRICITY,street_light,street light out at night,lampe; daw share3; 3amoud nour,ma byish3al; kharbene; mtfiye,unknown; citizen-observed failure,share3 mdallam; no lighting at night,pedestrians unsafe; theft risk; cars cannot see,3al share3; 2oddem l madrase; 7ad l baladiye,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; EDL,municipal lighting; EDL pole,streetlight ownership unclear,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,lampe l share3 mtfiye men tlet iyem; l tari2 mdallme 2oddem l madrase; daw l share3 ma 3am yish3al bel leil,strong
CFS-0005,ELECTRICITY,street_light,dangerous dark intersection,intersection; lampe; ishara; daw share3,nour mtfi; visibility low,unknown; citizen-observed failure,dark crossing; cars fast,crash risk; children crossing,3al mafra2; 2oddem l jam3iye; 7ad l school,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,MUN; EDL; ISF,municipality; traffic safety,lighting vs traffic signal vs road safety,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,l mafra2 mdallam w l sayarat ma btshouf; fi lampe kharbene 3al ishara; badna daw 3al mafra2 la2anno khatir,seed
CFS-0006,ELECTRICITY,exposed_wire,live wire hanging on street,wire; silk kahraba; cable; 3amoud,mekshouf; nazil; 3al ard; madloul,unknown; citizen-observed failure,after storm; pole damaged,electrocution risk; blocks sidewalk,3al rasif; 3al tari2; 2oddem l bineye,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,EDL; MUN; CD,EDL network; municipal safety,always safety and entity confirmation,private-only issue; unrelated app/file/password/order context,GPS; image; immediate safety flag,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fi silk kahraba nazil 3al rasif; 7abal kahraba mekshouf 2oddem l bineye; wire 3al ard w fi khatar sa32,strong
CFS-0007,ELECTRICITY,exposed_wire,wire touching balcony or building,wire; balcony; bineye; cable,2arib 3al balcon; mda7dal; mekshouf,unknown; citizen-observed failure,old wire; bad pole alignment,risk to residents; children can touch,3al balcon; 7ad l shebbek; fo2 l madkhal,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,EDL; CD; UNKNOWN,EDL; private building cable,public line vs private wire,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,wire kahraba 2arib 3al balcon ktir; silk mekshouf 7ad l shebbek; l 7abal 3am yedrob bel bineye ma byin7amal,seed
CFS-0008,ELECTRICITY,transformer_fault,sparking transformer,transformateur; m7awwel; box kahraba,3am ysharre2; byotla3 sparks; sot infijar,unknown; citizen-observed failure,overloaded; rain; old equipment,fire risk; neighborhood outage,3al zawye; 7ad l bineye; 2oddem l dekken,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,EDL; CD,EDL transformer,urgent safety review,private-only issue; unrelated app/file/password/order context,GPS; image/video; time; active sparks flag,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,l transformateur 3am ysharre2; fi sparks men m7awwel l kahraba; seme3na sot men l transformateur w l daw ra7,strong
CFS-0009,ELECTRICITY,transformer_fault,transformer oil/smell/overheating,transformateur; m7awwel; oil,ri7a 7ari2; 3am yefour; 3am yshammet,unknown; citizen-observed failure,heat; overload; old transformer,fire risk; smoke; outage likely,bel 7ay; 3al 3amoud; 7ad l parking,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,EDL; CD,public agency depends on asset and location,active hazard; confirm EDL asset,private-only issue; unrelated app/file/password/order context,GPS; image; time observed,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,fi ri7a 7ari2 men l transformateur; l m7awwel 3am yefour w l daw 3am y2atte3; transformateur bel 7ay 3am yeskhon ktir,seed
CFS-0010,ELECTRICITY,fallen_pole,fallen electricity pole,3amoud kahraba; pole; cable,we2e3; mayyel; mkassar,unknown; citizen-observed failure,storm; accident; old pole,road hazard; wires down; outage,3al tari2; 7ad l madrase; 2oddem l bineye,men embare7; men tlet iyem; kel yom,3ajil; khatir; ma byin7amal,EDL; MUN; CD,public agency depends on asset and location,safety; road obstruction; owner unclear,private-only issue; unrelated app/file/password/order context,GPS; image; road blocked flag,private-only issue without public asset; unrelated app/file/password context,Lebanese Arabizi; short citizen-style wording,3amoud kahraba we2e3 3al tari2; l 3amoud mayyel w fi wires nazlin; 3amoud mkassar 7ad l madrase khatir,strong
