source_id,title,publisher,source_type,url,reliability_tier,primary_use,notes,scheme_note
SRC-DGLAC-MUNI-DIR,DGLAC Municipalities Directory,"General Directorate of Local Administrations and Councils, Ministry of Interior and Municipalities",official_directory,https://www.dglac.gov.lb/en/municipalities,T0_official,"Municipality/gov/district registry, municipal details, possible form/status evidence","Use as census/discovery index, not enough alone to prove per-municipality workflow.",SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources. Do not merge IDs.
SRC-MOIM-ABOUT,Ministry of Interior and Municipalities About Us,MOIM,official_portal,https://moim.gov.lb/en/about-us/,T0_official,"MOIM role overseeing municipalities, municipal unions, village councils, local governance.",Use for ministry-level governance context.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources. Do not merge IDs.
SRC-MOIM-HOME,Ministry of Interior and Municipalities Home,MOIM,official_portal,https://moim.gov.lb/en/,T0_official,MOIM public order/internal security/local authority supervision summary.,Use as general ministry role source.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources. Do not merge IDs.
SRC-MOIM-CONTACT,MOIM contact footer and complaints room,Ministry of Interior and Municipalities,official_contact,https://moim.gov.lb/%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D8%A7%D8%AA-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82%D9%8A%D8%A9-%D9%84%D9%85%D9%86%D8%B5%D8%A9-%D8%A7%D9%84%D8%A8%D9%84%D8%AF%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%B4%D8%AA/,T0_official,MOIM footer phone numbers address and complaints-room number.,Use for MOIM non-emergency contact only.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources. Do not merge IDs.
SRC-MUNI-AUTONOMY-HANDBOOK,Citizen and Municipality Handbook,Nahnoo,civil_society_handbook,https://nahnoo.org/wp-content/uploads/2025/06/Citizen-municipalities-handbook-english-1.pdf,T1_secondary,Municipality legal personality/autonomous local administration under central supervision.,Secondary explanatory source; cite official law when possible.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources. Do not merge IDs.
SRC-ARAB-REFORM-MUNI-2025,Empowering Lebanon's Municipalities Amid Crisis,Arab Reform Initiative,policy_analysis,https://www.arab-reform.net/publication/empowering-lebanons-municipalities-amid-crisis/,T1_policy,Municipal Act broad public-interest mandate and centralization constraints.,Good for context; production facts still need official/local evidence.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources. Do not merge IDs.
SRC-AUB-WASTE-GUIDE,Guide to Municipal Solid Waste Management,AUB Nature Conservation Center / partners,sector_guide,https://www.aub.edu.lb/natureconservation/Documents/guide_to_municipal_solid_waste_management.pdf,T1_academic,Municipal responsibility for waste collection under MoIM tutelage; ambiguity around treatment/disposal.,Use as secondary rule; confirm local contractor/union arrangements case-by-case.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources. Do not merge IDs.
SRC-MOE-SWM-POLICY,Policy Summary on Integrated Solid Waste Management,Ministry of Environment,official_policy,https://www.moe.gov.lb/getattachment/cca17155-ac13-4cf3-83c1-6c5baee40df4/Policy-Summary-for-Jan-2018.aspx,T0_official,"Municipalities/unions continuing awareness, sorting, recycling roles and service continuity under central arrangements.","Use for solid-waste policy context, not daily routing alone.",SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources. Do not merge IDs.
SRC-MOE-MANDATE,Ministry of Environment website,Ministry of Environment,official_portal,https://www.moe.gov.lb/,T0_official,Ministry of Environment official portal for environmental complaints and sector information.,Use for environmental regulator context.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources. Do not merge IDs.
SRC-MOE-CONTACT,MOE Contact Us,Ministry of Environment,official_contact,https://moe.gov.lb/contact-us.aspx?lang=en-us,T0_official,MOE address phone short code fax email and online contact form.,Use for environmental complaint channel and contact fields.,SRC-ENTITY-DESCRIPTOR scheme. Separate from legacy SRC-NNN complaint-intelligence sources. Do not merge IDs.
