entity_id,entity_name_en,entity_name_ar,entity_type,parent_body,geographic_scope,routing_role,responsibilities_summary,complaint_domains,default_use_in_routing,source_ids,confidence,last_verified,production_status,canonical_id_in_routing,conflict_note,emergency_hotline,non_emergency_phone,complaint_form_url,hq_address,special_channels,not_responsible_for,official_email,complaint_channel_types,ticket_reference_policy
EDL,Électricité du Liban,كهرباء لبنان,public_utility,MEW,national_except_zahle_EDZ_concession,electricity_grid_operator,"Operates and maintains the national electricity grid: generation, transmission, distribution. Handles grid-side outages, power line faults, transformer failures, meter issues, and public lighting on EDL-owned infrastructure.",electricity_outage;power_line_fault;transformer_fault;meter_bill;sparking_wire_grid_side;public_lighting_grid,Route grid-side electricity faults here. HITL required to confirm EDL vs private generator. Exception: Zahle district → EDZ not EDL.,SRC-EDL-MISSION;SRC-EDL-RESPONSIBILITY,high,2026-05-30,seed_verified,EDL,"Zahle district exception: EDZ concession, not EDL. See SAM-ELEC-002.",1444,1444,https://edl.gov.lb/,"Corniche du Fleuve, Beirut",emergency_faults=1444;customer_service=1444;outage_report=edl.gov.lb,private_generator_faults;internal_building_wiring;zahle_district(use_EDZ);mobile_network_infrastructure,not_published_in_verified_source,phone;online;walk_in,unknown;request_reference_if_reported_by_phone_or_online
MUN,Lebanese Municipalities,البلديات اللبنانية,local_government,MOIM,per_municipality_boundary,primary_local_service_resolver,"Municipalities handle local roads, sidewalks, street cleaning, solid waste collection, public parks, local drainage, building permits, and general civic services within their administrative boundaries.",garbage_not_collected;illegal_dumping;overflowing_bins;local_road_pothole;sidewalk_damage;local_drainage;public_space;street_cleaning;noise_complaint;stray_animals,Default resolver for local civic complaints within a municipality boundary. Use municipality_official_channels.csv for per-municipality contact. Route to municipal union if a shared service is verified.,SRC-MUNI-AUTONOMY-HANDBOOK;SRC-ARAB-REFORM-MUNI-2025,high,2026-05-30,seed_verified,MUN,MUN is dynamic — resolved to a specific municipality via GPS/address. See national_municipality_registry.csv.,varies_by_municipality,varies_by_municipality,see_municipality_official_channels.csv,varies_by_municipality,direct_municipality_channels=see_municipality_official_channels;report_via_app=Baladiyati_or_local_app;local_office=walk_in,national_roads(MPWT);national_electricity_grid(EDL);water_infrastructure(water_establishments);mobile_internet;criminal_matters(ISF);CDR_project_sites,varies_by_municipality,varies_by_municipality;phone;online;walk_in;app_when_verified,varies_by_municipality;verified_for_tripoli_and_zahle_only
MPWT,Ministry of Public Works and Transport,وزارة الأشغال العامة والنقل,ministry,,national,national_roads_and_transport_operator,"Responsible for classified/national roads, bridges, highway maintenance, snow clearance on national routes, large public works, and transport regulation. Maintains regional offices with road units that handle citizen road complaints.",classified_road_damage;national_highway_pothole;bridge_damage;bridge_structural_risk;road_barrier_missing;traffic_sign_missing_national;snow_clearance_national_road;road_blocked_national;landslide_on_classified_road;unsafe_highway_work_zone;public_works_permit;transport_regulation;port_oversight;airport_oversight,"Route complaints on classified/national roads or bridges. If road class is ambiguous (local vs national), send to HITL. CDR handles active construction sites only.",SRC-MPWT-ROADS-BUILDINGS;SRC-MPWT-HOME;SRC-MPWT-CONTACT;SRC-MPWT-ADMIN-COMPLAINTS,medium_high,2026-05-30,verified_contact_non_emergency,MPWT,,not_applicable_non_emergency_ministry;use_112_or_125_if_immediate_danger,+961-5-459980;complaints_section=+961-5-459680,https://mopw.gov.lb/%D8%A7%D8%AA%D8%B5%D9%84-%D8%A8%D9%86%D8%A7?lang=en-us,"Hazmieh/Baabda area, Mount Lebanon",contact_form=mopw.gov.lb;administrative_complaints_section=+961-5-459680,local_municipal_roads(MUN);active_CDR_project_sites(CDR);water_infrastructure;electricity_infrastructure,mail@ministry.gov.lb,online;phone;walk_in,not_published_on_verified_source
CDR,Council for Development and Reconstruction,مجلس الإنماء والإعمار,public_institution,Presidency of the Council of Ministers,national_project_sites,reconstruction_and_infrastructure_project_owner,"Plans, finances, and supervises major national development and reconstruction projects. Acts as project owner for capital infrastructure (roads, water, buildings). NOT a day-to-day field service entity — escalation/project complaints only.",active_CDR_project_defect;infrastructure_project_complaint;reconstruction_zone_issue;project_worksite_hazard;CDR_contractor_violation;public_works_quality_complaint;CDR_funded_road_complaint;post_war_reconstruction_issue,"Use only when complaint explicitly references an active CDR project site or reconstruction zone. Escalation entity for large infrastructure, not routine service.",SRC-CDR-HOME;SRC-CDR-CONTACT,medium,2026-05-30,verified_contact_project_owner,CDR,"CDR is a project owner, not a complaint resolver. Only use when GPS matches a known active CDR project.",not_applicable_project_owner;use_112_or_125_if_immediate_danger,+961-1-980096,https://cdr.gov.lb/en-US/Contact-Us.aspx,"Tallet Al Serail - Riad El Solh, Beirut",contact_form=cdr.gov.lb;phone=+961-1-980096;fax=+961-1-981252/+961-1-981253/+961-1-981381,routine_road_maintenance(MPWT);day_to_day_municipal_services(MUN);non_project_infrastructure;private_works,infocenter@cdr.gov.lb,online;phone;mail;walk_in,not_published_on_general_contact_form;project_GRMs_may_log_complaints
BMLWE,Beirut and Mount Lebanon Water Establishment,مؤسسة مياه بيروت وجبل لبنان,public_utility,MEW,beirut_and_mount_lebanon_governorates,regional_water_operator,"Beirut and Mount Lebanon Water Establishment. Manages potable water supply, billing, and pipe network for Beirut city and Mount Lebanon governorate. Handles water outages, pipe leaks, dirty water, billing disputes, and new connection requests in its service area.",water_outage;dirty_water;pipe_leak_public;water_pressure_low;meter_billing_dispute;new_water_connection;water_contamination;irrigation_water_issue;sewage_overflow_linked_to_water_network,Route water complaints from Beirut or Mount Lebanon governorate here. Confirm governorate via GPS.,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,medium_high,2026-05-30,verified_contact,BMLWE,,1713,1713;+961-1-386760/+961-1-386761/+961-1-386762,https://ebml.gov.lb/contactus.php?lang=en,"Beirut - Badaro - Sami Soloh Street, EBML Building",hotline=1713;ticketing_system=website_or_app;department_offices=contact_page,electricity(EDL);road_damage(MUN_MPWT);private_building_plumbing;rainfall_flooding(CD_MUN),info@ebml.gov.lb,phone;online;app;walk_in,ticketing_system_available_on_website_or_app
NLWE,North Lebanon Water Establishment,مؤسسة مياه لبنان الشمالي,public_utility,MEW,north_lebanon_and_akkar_governorates,regional_water_operator,"North Lebanon Water Establishment. Manages potable water supply, customer complaints, service requests, billing/payment, and branch follow-up for North Lebanon and Akkar runtime scope.",water_outage;dirty_water;pipe_leak_public;water_pressure_low;meter_billing_dispute;new_water_connection;water_contamination;sewage_services;service_request,Route water complaints from North Lebanon or Aakkar governorate here after municipality/GPS confirmation.,SRC-NLWE-ABOUT;SRC-NLWE-CONTACT;SRC-NLWE-CUSTOMER-SERVICE;SRC-NLWE-SERVICE-REQUESTS;SRC-NLWE-ESERVICES;SRC-NLWE-OMT,medium_high,2026-05-31,verified_contact,NLWE,,not_published_on_verified_source;use_1712_for_complaints,1712;+961-6-430075,https://eeln.gov.lb/en/contact/,"Tripoli - Salahuddine Kabbara Street, Dam w Farz",complaint_phone=1712;main_office=06-430075;contact_form=eeln.gov.lb;branches=Tripoli_Kobayat_Halba_Menieh_Dinniyeh_Batroun_Koura_Zgharta_Bsharri;eservices=bill_inquiry_and_payment;omt_payment=subscription_number_region_town,electricity;road_damage;private_plumbing;private_wells;storm_drain_without_sewer_evidence;LRA_irrigation_assets,comms@eeln.gov.lb,phone;online;walk_in;partner_agent,public_ticket_number_not_published;contact_form_response_within_24h
SLWE,South Lebanon Water Establishment,مؤسسة مياه لبنان الجنوبي,public_utility,MEW,south_lebanon_and_nabatiyeh_governorates,regional_water_operator,"South Lebanon Water Establishment. Manages drinking-water distribution, wastewater collection/treatment/disposal, customer-service faults, billing, e-payment, and district distribution follow-up for South Lebanon and Nabatieh.",water_outage;dirty_water;pipe_leak_public;water_pressure_low;meter_billing_dispute;new_water_connection;water_contamination;sewage_overflow_public;service_request,Route water complaints from South Lebanon or Nabatiyeh governorate here after municipality/GPS confirmation; keep Litani/Qasimiya/Ras Al Ain irrigation as LRA/HITL boundary.,SRC-SLWE-ABOUT;SRC-SLWE-CONTACT;SRC-SLWE-CUSTOMER-SERVICE;SRC-SLWE-BILLING;SRC-SLWE-EPAYMENT;SRC-SLWE-VISIT-REGISTER;SRC-SLWE-OMT,high,2026-05-31,verified_contact,SLWE,,not_published_on_verified_source;use_1785_for_faults,1785;07-757000;07-420206;07-781725;07-530018;07-450006;07-830016;07-740196,https://www.slwe.gov.lb/contact.php?lang=ar,headquarters_address_not_published_in_verified_contact_page,hotline=1785;district_distribution_phones=Saida_Zahrani_Jezzine_Nabatieh_BintJbeil_MarjayounHasbaya_Tyre;epayment=customer_no_service_center;visit_registration=full_name_phone_customer_number_property_number_service_center;omt_payment=subscription_or_old_receipt,electricity;road_damage;private_plumbing;storm_drain_without_sewer_evidence;Litani_Qasimiya_RasAlAin_irrigation_assets,info@slwe.gov.lb,phone;online;walk_in;partner_agent,public_ticket_number_not_published
BWE,Bekaa Water Establishment,مؤسسة مياه البقاع,public_utility,MEW,bekaa_and_baalbek_hermel_governorates,regional_water_operator,"Bekaa Water Establishment. Manages potable water supply and network for Bekaa governorate (Zahle, Baalbek-Hermel, West Bekaa, Rashaya). Emergency line: 1700.",water_outage;dirty_water;pipe_leak_public;water_pressure_low;meter_billing_dispute;new_water_connection;water_contamination;irrigation_water_issue,Route water complaints from Bekaa or Baalbek-Hermel governorate here.,SRC-BWE-ABOUT;SRC-BWE-HOME;SRC-BWE-CONTACT,high,2026-05-30,verified_contact,BWE,,not_published_on_verified_source;use_main_office_for_non_emergency,+961-8-814500,https://bwe.gov.lb/en/contact/,"Zahle Highway, Abed Deyem Building, Floors 3 & 4",contact_form=bwe.gov.lb;main_office=+961-8-814500;zahle_branch=+961-8-820236;baalbek_branch=+961-8-370335;south_bekaa_branch=+961-8-663414,electricity;road_damage;private_plumbing;flooding,info@bwe.gov.lb,online;phone;walk_in,not_published_on_verified_source
MEW,Ministry of Energy and Water,وزارة الطاقة والمياه,ministry,,national,sector_policy_regulator,"Ministry of Energy and Water. Policy and regulatory authority over electricity sector (supervises EDL, EDZ, generators), water sector (supervises 4 water establishments), and oil infrastructure. Handles ministerial-level escalations when EDL/water authority fails to respond. NOT an operational complaint body — routes field complaints to relevant entity.",energy_policy_escalation;water_policy_escalation;electricity_regulatory_complaint;generator_licensing;oil_infrastructure,Escalation/policy layer only. Route field faults to EDL or the relevant regional water establishment first.,SRC-MOEW-DGO,medium,2026-05-30,seed_verified_needs_direct_official_source,MEW,MOEW in seed = MEW in routing,not_applicable_policy_ministry;use_EDL_or_water_establishment_for_field_faults,+961-1-284782,https://energyandwater.gov.lb/,"Beirut, Fern el Shebak, Garius Center, Floors 9-11",policy_inquiry=energyandwater.gov.lb;field_faults_delegate_to_EDL_EDZ_or_water_establishments,operational_electricity_faults(EDL_EDZ);water_supply_issues(water_establishments);direct_customer_service,minister@energyandwater.gov.lb,online;phone;walk_in,not_published_on_verified_source
OGERO,Ogero Telecom,أوجيرو للاتصالات,public_utility,Ministry of Telecommunications,national,fixed_telecom_operator,"State telecom operator managing fixed-line, DSL, VDSL, and fiber infrastructure across Lebanon. Handles landline faults, fixed internet outages, physical damage to telecom cabinets and cables, and low-speed complaints on OGERO infrastructure. Does NOT handle mobile network or billing issues for Alfa/Touch.",fixed_internet_outage;landline_fault;dsl_vdsl_issue;fiber_outage;telecom_cabinet_damage;telecom_cable_cut;slow_fixed_internet;new_line_request;service_unresponsive_ogero;infrastructure_damage,Route fixed-line internet and landline faults here. HITL until TELECOM sector is fully implemented. Do not use for mobile/cellular.,SRC-OGERO-MISSION;SRC-OGERO-CONTACT;SRC-OGERO-FAQ,high,2026-05-30,seed_verified,OGERO,,1515,1515;+961-1-840000,https://ogero.gov.lb/contact.php,"Beirut, Bir Hasan, Ziad Rahbani Avenue",customer_care=1515;contact_form=ogero.gov.lb;social_channels=official_accounts;email=ThePeople@ogero.gov.lb,mobile_network_issues(Alfa_Touch);mobile_billing_disputes(TRA);satellite_internet;private_ISP_issues_beyond_last_mile,ThePeople@ogero.gov.lb,phone;online;social;walk_in;app,fault_reports_may_have_customer_care_ticket;request_ticket_reference_for_followup
ISF,Internal Security Forces,قوى الأمن الداخلي,security_force,MOIM,national_with_regional_units,public_safety_and_law_enforcement,"Responsible for internal security, law enforcement, public order, traffic regulation, crime prevention, and investigative police work. HITL always required — never auto-route criminal or safety matters.",crime;theft;assault;public_disorder;traffic_accident;road_safety_threat;kidnapping;cybercrime;noise_threat,HITL always required. Reviewer confirms entity and urgency before any action. ISF for criminal and public safety matters.,SRC-ISF-STRATEGIC;SRC-ISF-UNITS;SRC-ISF-FAQ,high,2026-05-30,seed_verified,ISF,,112,nearest_ISF_station;1745_domestic_violence_hotline,https://isf.gov.lb/,"ISF General Directorate, Sanayeh, Beirut",emergency=112;domestic_violence=1745;intelligence_tip=1788_needs_reverification;cybercrime=01-293293_needs_reverification,roads_infrastructure(MPWT_MUN);water_electricity_utilities;environmental_violations(MOE);building_permits,not_published_in_verified_source,phone;walk_in;app;online,police_reports_have_report_copy_or_station_reference;criminal_safety_routes_are_HITL_only
CD,Lebanese Civil Defense,الدفاع المدني اللبناني,emergency_response,MOIM,national_with_centers,emergency_fire_rescue_first_responder,"Emergency rescue and firefighting authority. Responds to fires, building collapses, floods, chemical/gas hazards, traffic accident rescue, mountain/sea rescue, entrapment, and mass casualty incidents. Always first responder for any life-safety emergency. Coordinates with ISF and MPWT after scene is secured.",fire_in_building;fire_public_area;building_collapse;flood_rescue;trapped_person;chemical_hazard;gas_leak;road_accident_rescue;mountain_rescue;sea_rescue;entrapment;mass_casualty;hazardous_material_spill;electrical_fire;substation_fire;landfill_fire,Always route any life-safety emergency here first. HITL required to confirm scene and dispatch. Never delay routing for missing location — emergency address can be taken on call. Call 125 immediately.,SRC-CIVILDEF-UNDP-2026;SRC-CD-HOTLINE,medium_high,2026-05-30,seed_verified_needs_official_page,CD,CIVIL_DEFENSE in seed = CD in routing,125,125,https://www.civildefense.gov.lb/,"Civil Defense General Directorate, Tallet el-Khayat, Beirut",emergency_rescue=125;fire_response=125;flood_rescue=125;chemical_hazard=125,crime_investigation(ISF);infrastructure_repair_after_emergency(MUN_MPWT);water_electricity_restoration_after_emergency(EDL_RWA);non_emergency_administrative_complaints,not_published_in_verified_source,phone;walk_in,emergency_dispatch_log_internal;no_public_ticket_policy_published
